we	be
ösüşe	E8eSE
şäherleriň	SEherleriN
Administratiw	odmini88rotib
Diňe	diNe
Internet	internet
Karary	qororu
Pakistan	poqi88on
Türkmenabat	terkmEnobot
Ulag	uloX
agaç	oXoC
basgançakly	bo8XonCoqlu
baýdagynyň	boydoXunuN
bedenterbiýe	bedenterbiye
bellenýär	bellenyEr
bolanda	bolonno
esasan	e8o8on
esaslanýan	e8o8lonyon
gatnaşyjylary	gotnoSujuloru
habary	xoboru
halas	xolo8
jeza	je8o
maddasyna	moddo8uno
onlarça	onlorCo
raýatyň	royotuN
sanyny	8onunu
seljerme	8eljerme
ykdysadyýeti	uqdu8oduyeti
zerurdygyna	8erurduXuno
çykdajylar	Cuqdojulor
öwüşgin	EbeSXen
ýeňillikli	yeNillikli
Saýlaw	8oylob
Türkmenistany	terkmEne88onu
abraýynyň	obroyunuN
arzanladyşHabarlaryň	or8onloduS xoborloruN
bitaraplyk	bitoropluq
dalaşgärleriň	doloSXErleriN
durnuklylygy	durnuqluluXu
döredýän	dErEdyEn
ekin	ekin
goldamak	gollomoq
gyşky	guSqu
jaýlaryny	joylorunu
mirasyny	miro8unu
muzeý	mu8ey
müşderilereNyrhlar	meSdErelEre nurhlor
talaplara	toloploro
teatr	teotr
ugradylmagyMaglumat	uXrodulmoXu moXlumot
wasp	bo8p
zolagynyň	8oloXunuN
ýaşaýjylary	yoSoyjuloru
Duşuşyga	duSuSuXo
Hak	xoq
Köpetdagyň	kEpEtdoXuN
Sebäbi	8ebEbi
başyny	boSunu
bileleşiginiň	bileleSiXiniN
bäşinji	bESinji
desgalaryny	de8Xolorunu
esaslary	e8o8loru
folklor	folklor
gadam	godom
gepleşikleri	gepleSikleri
gozgalýan	go8Xolyon
gyzyklandy	gu8uqlonnu
günlerinde	genlErenne
hünärmen	henErmEn
içki	iCki
kararyň	qororuN
köptaraplaýyn	kEptoroployun
mekdebinde	mekdebinne
meýletin	meyletin
nähili	nEhili
paýtagtymyzdaky	poytoXtumu8doqu
resminamalara	re8minomoloro
taslamany	to8lomonu
tehnologiýalaryň	tehnologiyoloruN
wekiliýeti	bekiliyeti
zadyň	8oduN
ýatdan	yotdon
ýollaryny	yollorunu
Korporatiw	qorporotib
agyz	oXu8
alyşdylar	oluSdulor
bagyşlanyp	boXuSlonup
bardygy	borduXu
býujet	byujet
dabaralara	doboroloro
durýarlar	duryorlor
döreden	dErEdEn
edarasynda	edoro8unno
edilende	edilenne
garşylaýarlar	gorSuloyorlor
gazananlaryny	go8ononlorunu
geldiler	gelliler
görkezijileri	gErkE8ejeleri
habarlar	xoborlor
häkime	hEkime
hödürlenildi	hEderlEnelli
işlemegiň	iSlemeXiN
jaýynyň	joyunuN
kärhanasy	kErxono8u
müňden	meNNEn
parlamentiň	porlomentiN
ählisine	Ehli8ine
ýaşamak	yoSomoq
Awtomobil	obtomobil
Gurluşyk	gurluSuq
Pensiýa	pen8iyo
agrotehniki	oXrotehniki
aşyrylyp	oSurulup
bedew	bedEb
göreşi	gErESe
görmegi	gErmEXe
gündelik	gennElek
intellektual	intellektuol
işlemäge	iSlemEge
maksatnamalaýyn	moq8otnomoloyun
saýlawlary	8oylobloru
tarapy	toropu
tehnikalary	tehnikoloru
türkmenistanlylar	terkmEne88onlulor
zähmete	8Ehmete
ýaramaz	yoromo8
ýeriniň	yeriniN
şertleriniň	SertleriniN
Beýleki	beyleki
Daýhan	doyxon
Syýasy	8uyo8u
agza	oX8o
aýdylanda	oydulonno
binasy	bino8u
demirgazyk	demirXo8uq
galman	golmon
gezeginde	ge8eXinne
göwrümli	gEbremle
gündogar	gennoXor
hepdesiniň	hepde8iniN
kadalaryny	qodolorunu
kompaniýalaryň	qomponiyoloruN
mekdebi	mekdebi
mugt	muXt
nyrh	nurh
paýtagtynyň	poytoXtunuN
serhet	8erhet
tebigaty	tebiXotu
topragynda	toproXunno
tölegleri	tElEXlEri
ugurlaryna	uXurloruno
ygtyýar	uXtuyor
çünki	Cenke
ýagdaýlary	yoXdoyloru
ýaňlanýar	yoNlonyor
ýaşyl	yoSul
ýeňijileri	yeNijileri
şahadatnama	Soxodotnomo
Germaniýanyň	germoniyonuN
Howa	xobo
Resminama	re8minomo
Siz	8i8
Ylmy	ulmu
aralyga	oroluXo
arzasy	or8o8u
berilmelidir	berilmelidir
birini	birini
möhletini	mEhlEtene
möhümdir	mEhemner
serginiň	8erXiniN
siziň	8i8iN
suratda	8urotdo
tapgyrynyň	topXurunuN
taýýarlanylýar	toyyorlonulyor
tussag	tu88oX
ulanylyp	ulonulup
çärelerine	CErelerine
ýadygärlikleri	yodugErlikleri
Durmuş	durmuS
Ony	onu
abadançylygynyň	obodonCuluXunuN
atletika	otletiko
barlamak	borlomoq
baýramynyň	boyromunuN
bedewiniň	bedEbiniN
birleşigi	birleSiXi
bäsleşige	bE8leSiXe
dermanlyk	dermonluq
emläge	emlEXe
estrada	e88rodo
gozgalmaýan	go8Xolmoyon
maksatnamalaryň	moq8otnomoloruN
meýdança	meydonCo
surata	8uroto
suwuň	8ubuN
tehnologiýaly	tehnologiyolu
çykarylýar	Cuqorulyor
Gazagystan	go8oXu88on
Oguzhan	oXu8xon
amerikan	omerikon
birleşikleriniň	birleSikleriniN
däplerini	dEplerini
edýäris	edyEri8
geçýärler	geCyErler
gurluşy	gurluSu
günde	gennE
hasaplamak	xo8oplomoq
maddada	moddodo
maksatlara	moq8otloro
ministrliginde	mini88rliXinne
münberiniň	menmEreneN
seljermesi	8eljerme8i
tamamlap	tomomlop
türgenlerimiz	terXEnlerimi8
ylmyň	ulmuN
Kanuny	qonunu
abadançylygy	obodonCuluXu
agzalan	oX8olon
açmak	oCmoq
aýyrmak	oyurmoq
basketbol	bo8ketbol
bolmagynda	bolmoXunno
eýedigini	eyediXini
harytlarynyň	xorutlorunuN
ilçisi	ilCi8i
jemagat	jemoXot
maksatlar	moq8otlor
nah	nox
namalarynyň	nomolorunuN
zenanlaryň	8enonloruN
ählisiniň	Ehli8iniN
özleşdirmek	E8lESdermek
ýoluny	yolunu
Pyragynyň	puroXunuN
baýram	boyrom
bolmazdan	bolmo88on
boş	boS
buýurmasy	buyurmo8u
däpleri	dEpleri
gutlap	gutlop
görmäge	gErmEXE
ibermek	ibermek
kadalarynyň	qodolorunuN
kompýuter	qompyuter
konsert	qon8ert
olardan	olordon
strategiýasynyň	88roteXiyo8unuN
syýasatyň	8uyo8otuN
tanşyp	tonSup
ygtyýarlyklarynyň	uXtuyorluqlorunuN
ynanýaryn	unonyorun
zyýanly	8uyonlu
ülňülerine	elNelErenE
üýtgedilip	eytXedilip
ýakymly	yoqumlu
ýakynda	yoqunno
ýaryşlaryny	yoruSlorunu
Hindistanyň	hinni88onuN
adamzadyň	odom8oduN
düzgün	de8Xen
edilmegini	edilmeXini
esaslaryny	e8o8lorunu
gazanmagy	go8onmoXu
gazanýan	go8onyon
goýan	goyon
gutlaýarys	gutloyoru8
göreşmek	gErESmEk
görnüşdäki	gErneSdEki
göterimi	gEtEremi
işgäriň	iSXEriN
menzili	men8ili
resmileşdirilýär	re8mileSdirilyEr
salynýan	8olunyon
senesi	8ene8i
taryhyna	toruxuno
tomaşa	tomoSo
ygtyýarlyklary	uXtuyorluqloru
ynsanperwerlik	un8onperberlik
çörek	CErEk
ösdürilip	E88erelep
ýaýbaňlandyryldy	yoyboNlonnurullu
ýygnandylar	yuXnonnulor
Goý	goy
Okuw	oqub
arzuwlaryny	or8ublorunu
barlaglary	borloXloru
elýeterli	elyeterli
energiýasy	enerXiyo8u
galdyrýar	golluryor
harydyň	xoruduN
iňlis	iNli8
kanunçylygynyň	qonunCuluXunuN
kesgitlenildi	ke8Xitlenilli
mejlisler	mejli8ler
nobatynda	nobotunno
orunbasarlary	orunmo8orloru
strategik	88roteXik
talaby	tolobu
teklibi	teklibi
toparyny	toporunu
zenanlar	8enonlor
çykmajak	Cuqmojoq
öndürilişi	EnnereleSi
ösüp	E8ep
ýangyn	yonXun
ýolbaşçy	yolboSSu
Bankyň	bonquN
Derman	dermon
Gyzyl	gu8ul
Olary	oloru
baýramçylygy	boyromCuluXu
bolmagynyň	bolmoXunuN
etdirilýär	etdirilyEr
eýesine	eye8ine
gowşurylýar	gobSurulyor
guralar	gurolor
gyzyklanýan	gu8uqlonyon
günleriniň	genlEreneN
jemläp	jemlEp
nesilleriň	ne8illeriN
resminamanyň	re8minomonuN
senesinden	8ene8innen
zatlar	8otlor
Ýokarda	yoqordo
üpjünçiliginiň	epjenCeleXiniN
Hasabatyň	xo8obotuN
Respublikasynda	re8publiko8unno
alyjynyň	olujunuN
alymlar	olumlor
bedewleri	bedEblEri
bolmagyna	bolmoXuno
dekabrda	dekobrdo
doglan	doXlon
durmuşyny	durmuSunu
duş	duS
edilendigi	edilenniXi
gaznasy	go8no8u
girizilýär	giri8ilyEr
guşakly	guSoqlu
güýji	geyji
hereketleriň	hereketleriN
hödürlenen	hEderlEnEn
işlenilip	iSlenilip
jogapkär	joXopkEr
kömegini	kEmEXeni
meýilnamalary	meyilnomoloru
rejeli	rejeli
sezewar	8e8Ebor
sportunyň	8portunuN
tanyşmaga	tonuSmoXo
türgeni	terXEne
türgenleşik	terXEnleSik
wezipäni	be8ipEni
Ählumumy	Ehlumumu
ähmiýetiniň	EhmiyetiniN
ýoluna	yoluno
Aragatnaşyk	oroXotnoSuq
daşamak	doSomoq
düzümleýin	de8emlEyin
energiýasynyň	enerXiyo8unuN
enjamlaryň	enjomloruN
goramaga	goromoXo
goýumlaryny	goyumlorunu
häkimleri	hEkimleri
maksatnamanyň	moq8otnomonuN
maslahatlaşdylar	mo8loxotloSdulor
mekdepleri	mekdepleri
meşgullanmak	meSXullonmoq
sentýabrynda	8entyobrunno
suwdan	8ubdon
çempionatyna	Cempionotuno
öňdäki	ENdEki
ýaryşy	yoruSu
Düzgünnama	de8Xennomo
Gündogar	gennoXor
Ine	ine
aprelde	oprelle
bagt	boXt
baýragy	boyroXu
berilmegine	berilmeXine
birnäçesine	birnECe8ine
dollaryndan	dollorunnon
enjamlaşdyrylan	enjomloSdurulon
giňeltmegiň	giNeltmeXiN
görnüşine	gErneSenE
haýyşnama	xoyuSnomo
haýyşy	xoyuSu
nyşanyna	nuSonuno
raýatlar	royotlor
reňkli	reNkli
sene	8ene
subutnamasy	8ubutnomo8u
sylaglamak	8uloXlomoq
sözlerini	8E8lErene
talyplaryň	toluploruN
tapawutlanýar	topobutlonyor
tölenen	tElEnEn
yhlasly	uxlo8lu
zatlary	8otloru
çekilýär	CekilyEr
öwüşginli	EbeSXenle
ýerlerini	yerlerini
ýokarlanýar	yoqorlonyor
şäherine	SEherine
Içeri	iCeri
agzalaryna	oX8oloruno
aýdym	oydum
baglydyr	boXludur
basgançagyna	bo8XonCoXuno
bedewler	bedEblEr
bölümde	bElemnE
duşuşyga	duSuSuXo
düzgünine	de8XenenE
geçelgesiniň	geCelXe8iniN
goralýan	gorolyon
gymmatlyklar	gummotluqlor
gymmatlyklaryň	gummotluqloruN
inženerçilik	inZenerCilik
kesilenleriň	ke8ilenleriN
keşbini	keSbini
noýabr	noyobr
owgan	obXon
söwdasynyň	8Ebdo8unuN
tölegler	tElEXlEr
çagalary	CoXoloru
çagyryldy	CoXurullu
çägine	CEXine
önümçilige	EnemCeleXe
önümçiligini	EnemCeleXini
ösüşinde	E8eSennE
öňüne	ENenE
şertnamasyny	Sertnomo8unu
Maslahata	mo8loxoto
TOPH	toph
bölümine	bElemenE
döredilmegine	dErEdelmeXine
gazananlarynyň	go8ononlorunuN
gaýtarylyp	goytorulup
guramanyň	guromonuN
gymmatlyklarynyň	gummotluqlorunuN
görnüş	gErneS
hatda	xotdo
haýsydyr	xoy8udur
perzentlige	per8entliXe
tapgyrynda	topXurunno
tohum	toxum
toparda	topordo
ygtyýarnama	uXtuyornomo
Ýurdumyz	yurdumu8
Ýüpek	yepEk
ýetirmeginde	yetirmeXinne
ýurdundan	yurdunnon
şunda	Sunno
Atly	otlu
Harytlaryň	xorutloruN
Hukuk	xuquq
Serdar	8erdor
Watanymyzy	botonumu8u
bellemelidiris	bellemelidiri8
bäsleşiklerde	bE8leSiklerde
garalýar	gorolyor
gezelenç	ge8elenC
kilometre	kilometre
meýdanlaryny	meydonlorunu
meşgullanýan	meSXullonyon
möwsümine	mEb8emenE
professional	profe88ionol
saýlanyp	8oylonup
topara	toporo
türkmenleriň	terkmEnlEriN
ussatlygyny	u88otluXunu
çarpyşmalar	CorpuSmolor
çekmäge	CekmEge
ýolbaşçylara	yolboSSuloro
şäherleriniň	SEherleriniN
Ahalteke	oxolteke
Uly	ulu
batly	botlu
bermekden	bermekden
bilersiňiz	biler8iNi8
birnäçesini	birnECe8ini
durkuny	durqunu
düzgünlerine	de8XenlErenE
edilmelidir	edilmelidir
forumyň	forumuN
garaşsyz	goroS8u8
höküm	hEkem
işgäri	iSXEri
kanunlary	qonunloru
resminamalaryny	re8minomolorunu
saldamly	8ollomlu
tabşyryklarynyň	tobSuruqlorunuN
tapýar	topyor
taslamalarynyň	to8lomolorunuN
tölemäge	tElEmEge
usul	u8ul
Ätiýaçlandyryş	EtiyoClonnuruS
ýakyndan	yoqunnon
ýokarky	yoqorqu
ýokarlandy	yoqorlonnu
Şertnama	Sertnomo
Birinji	birinji
Ilkinji	ilkinji
Karara	qororo
Köp	kEp
Oraza	oro8o
Watanymyz	botonumu8
bazarlaryna	bo8orloruno
bildirilen	billirilen
bize	bi8e
bölekleýin	bElEklEyin
deňhukukly	deNxuquqlu
etrabyň	etrobuN
gazanyp	go8onup
geçirilmegini	geCirilmeXini
guralmagy	gurolmoXu
howpsuz	xobp8u8
häkim	hEkim
meýdanda	meydonno
meýilnamasynyň	meyilnomo8unuN
nägilelik	nEXilelik
pulunyň	pulunuN
raýaty	royotu
saklanylýar	8oqlonulyor
tehnologiýa	tehnologiyo
watançylyk	botonCuluq
wezipeleriniň	be8ipeleriniN
üýtgetmek	eytXetmek
ýaşlary	yoSloru
ýylky	yulqu
Diplomatik	diplomotik
amallar	omollor
baýrak	boyroq
başlan	boSlon
başlygynyň	boSluXunuN
bermeli	bermeli
bilýär	bilyEr
birža	birZo
bökdençsiz	bEkdEnC8i8
bölüm	bElem
daşarky	doSorqu
derýa	deryo
döndermek	dEnnErmEk
düzgüni	de8Xene
erkekleriň	erkekleriN
fewralda	fEbrollo
gurşap	gurSop
güýzlük	gey8lek
maksatnamalarynyň	moq8otnomolorunuN
oýnuň	oynuN
oýunlaryň	oyunloruN
pudaklarda	pudoqlordo
pugtalandyrmagyň	puXtolonnurmoXuN
sanawynda	8onobunno
tertibiniň	tertibiniN
tölemegiň	tElEmEXeN
ugruny	uXrunu
ýerindäki	yerindEki
Günorta	genorto
Iň	iN
Men	men
Olara	oloro
Wagtlaýyn	boXtloyun
ahlak	oxloq
aýratynlykda	oyrotunluqdo
bahar	boxor
barlaglaryň	borloXloruN
başlangyç	boSlonXuC
baştutany	boStutonu
biragyzdan	biroXu88on
fewral	fEbrol
fewralynda	fEbrolunno
getiren	getiren
geçenden	geCennen
gorag	goroX
guralýar	gurolyor
halkyny	xolqunu
jedeller	jedeller
kemçilikleri	kemCilikleri
maý	moy
nika	niko
notariusy	notoriu8u
noýabrynda	noyobrunno
oýny	oynu
parasatly	poro8otlu
peýdalanylýar	peydolonulyor
puluny	pulunu
sagat	8oXot
seljermesini	8eljerme8ini
taýýardygyny	toyyorduXunu
toplum	toplum
wezipesini	be8ipe8ini
ykdysadyýet	uqdu8oduyet
çykdylar	Cuqdulor
ýerini	yerini
ýükleriň	yeklEreN
şähergurluşyk	SEherXurluSuq
Myhman	muxmon
Pakistanyň	poqi88onuN
bellärliklidir	bellErliklidir
buýsanç	buy8onC
dowamlylygy	dobomluluXu
eýeçiligiň	eyeCiliXiN
gullugyna	gulluXuno
görkezmäge	gErkE8mEge
hereketler	hereketler
howandarlyk	xobonnorluq
höwes	hEbE8
ilata	iloto
iýmit	iymit
jaýyň	joyuN
kada	qodo
namalaryna	nomoloruno
salynmagyna	8olunmoXuno
sergä	8erXE
taryhynyň	toruxunuN
welaýatlarda	beloyotlordo
ysnyşykly	u8nuSuqlu
Ýaponiýa	yoponiyo
Ýaryşyň	yoruSuN
çägi	CEXi
çözmekde	CE8mEkdE
öýi	Eyi
üýtgetmeler	eytXetmeler
ýazylan	yo8ulon
ýetirmegi	yetirmeXi
ýurda	yurdo
ýurtdan	yurtdon
ýönekeý	yEnEkEy
Şertnamanyň	SertnomonuN
şypahana	Supoxono
şäherinden	SEherinnen
Baştutanlary	boStutonloru
Baştutanynyň	boStutonunuN
arassalaýjy	oro88oloyju
baýdagy	boydoXu
deputatlarynyň	deputotlorunuN
edilmeýär	edilmeyEr
gaýdyp	goydup
görülýär	gErelyEr
hyzmatdaşlar	xu8motdoSlor
maslahatlarynyň	mo8loxotlorunuN
müňlerçe	meNlErCe
netijelerine	netijelerine
oýunlaryny	oyunlorunu
pikirine	pikirine
poçta	poCto
prokurory	proquroru
rejelenen	rejelenen
saýlama	8oylomo
sebitlerinde	8ebitlerinne
sülçi	8elCe
tanyşdyrdy	tonuSdurdu
tarapdan	toropdon
tassyklanylan	to88uqlonulon
taýýarlygyň	toyyorluXuN
towuk	tobuq
töweregi	tEbErEXe
ugurlarynda	uXurlorunno
wagtynyň	boXtunuN
welaýaty	beloyotu
zerurlygy	8erurluXu
çykdajylaryň	CuqdojuloruN
özleri	E8lEre
üstünliklere	e88enleklere
Fiziki	fi8iki
Geňeşiň	geNeSiN
birleşikleri	birleSikleri
bähbitleri	bEhbitleri
bölekleri	bElEklEri
durky	durqu
getirilýär	getirilyEr
gurluşygynda	gurluSuXunno
güýjüni	geyjene
pudaklary	pudoqloru
pudaklaryň	pudoqloruN
saglygyna	8oXluXuno
subýektleri	8ubyektleri
tabşyrygy	tobSuruXu
tomusky	tomu8qu
usulda	u8ullo
ylalaşygy	uloloSuXu
Üçünji	eCenje
Ýörite	yEretE
üstünligi	e88enleXe
ýagdaýlaryň	yoXdoyloruN
ýatyrylmagy	yoturulmoXu
ýurdunyň	yurdunuN
ýurdy	yurdu
Kazyýetiň	qo8uyetiN
Köpetdag	kEpEtdoX
SMS	8m8
alýarlar	olyorlor
amaly	omolu
barlan	borlon
bedewleriň	bedEblEriN
bermelidir	bermelidir
boşatmak	boSotmoq
dörän	dErEn
düzmek	de8mEk
edijiniň	edijiniN
emma	emmo
ene	ene
getirmäge	getirmEge
gidýän	gidyEn
girdi	girdi
gowuşýan	gobuSyon
gullugyň	gulluXuN
gurmagyň	gurmoXuN
hakynyň	xoqunuN
isleýärin	i8leyErin
işgärlerine	iSXErlerine
kagyzlar	qoXu8lor
kitabynda	kitobunno
mekdepleriň	mekdepleriN
nyşanlary	nuSonloru
polat	polot
pullary	pulloru
sentýabrda	8entyobrdo
täzelemek	tE8elemek
täzeçil	tE8eCil
ätiýaçlyk	EtiyoCluq
öndürijileriniň	EnnerejeleriniN
ösümlikleri	E8emlekleri
ösýär	E8yEr
ýaşamagy	yoSomoXu
ýerlemek	yerlemek
şonda	Sonno
Girew	girEb
Paýtagtymyzda	poytoXtumu88o
Sergi	8erXi
Toplumyň	toplumuN
anyklaýyş	onuqloyuS
aýdymlary	oydumloru
aşakdaky	oSoqdoqu
belgisi	belXi8i
birnäçesiniň	birnECe8iniN
bölümleriniň	bElemlEreneN
depginlerini	depXinlerini
durmuşyň	durmuSuN
ekişine	ekiSine
gadymdan	godumnon
goragy	goroXu
görnükli	gErnekle
häsiýetleri	hE8iyetleri
hünärmenleriniň	henErmEnleriniN
kitaphana	kitopxono
kompaniýalar	qomponiyolor
kärhanalarynda	kErxonolorunno
maglumaty	moXlumotu
medallary	medolloru
okuwçylarynyň	oqubCulorunuN
pudaklaryny	pudoqlorunu
seýilgäh	8eyilXEh
talyby	tolubu
topragynyň	toproXunuN
ugurdaky	uXurdoqu
wekiliniň	bekiliniN
Ýerli	yerli
çykyşynda	CuquSunno
ýanaşyk	yonoSuq
ýygnananlara	yuXnononloro
ýörelgelerini	yErElXElerini
Döwletleriň	dEblEtlEriN
Guramasy	guromo8u
aralygy	oroluXu
berýändigini	beryEnniXini
bildirmek	billirmek
birinjiligi	birinjiliXi
desselerini	de88elerini
gazananlary	go8ononloru
kenarýaka	kenoryoqo
kub	qub
mallaryň	molloruN
merkez	merke8
meşhurlyga	meSxurluXo
mysaly	mu8olu
möçberleriniň	mECbErlEriniN
nusgasynyň	nu8Xo8unuN
peýdalanýar	peydolonyor
puluň	puluN
salgytlaryň	8olXutloruN
seredilýär	8eredilyEr
serişdelerinde	8eriSdelerinne
tamamlanan	tomomlonon
telekeçiligi	telekeCiliXi
uglewodorod	uXlEbodorod
ugrunyň	uXrunuN
çäkleri	CEkleri
ösmeginiň	E8mEXeneN
ýaryşynda	yoruSunno
ýasalan	yo8olon
ýerleşdirmek	yerleSdirmek
ýollaryň	yolloruN
şäherindäki	SEherindEki
Bilelikdäki	bilelikdEki
Gazagystanyň	go8oXu88onuN
Görogly	gEroXlu
Işe	iSe
Konstitusiýasyna	qon88itu8iyo8uno
MTS	m88
Ozal	o8ol
Saparmyrat	8opormurot
ahyrky	oxurqu
alşyldy	olSullu
awtorlyk	obtorluq
edýändigini	edyEnniXini
geçirdiler	geCirdiler
giden	giden
işgär	iSXEr
işlerde	iSlerde
jemgyýetimiziň	jemXuyetimi8iN
kaliý	qoliy
kesgitlenilen	ke8Xitlenilen
maksadalaýyk	moq8odoloyuq
maliýeleşdirmek	moliyeleSdirmek
mart	mort
materiallary	moteriolloru
medeniýetiň	medeniyetiN
müşderiler	meSdErelEr
obýektlerini	obyektlerini
prokuroryň	proquroruN
pulunda	pulunno
serişde	8eriSde
serişdesi	8eriSde8i
talabyna	tolobuno
tanyşdyryldy	tonuSdurullu
tutanýerli	tutonyerli
zolaklary	8oloqloru
Ýaşulularyň	yoSululoruN
çeşmesi	CeSme8i
öwezi	EbE8e
ýagdaýa	yoXdoyo
ýaşy	yoSu
ýollar	yollor
ýurtlaryndan	yurtlorunnon
ýyllarynda	yullorunno
Aleksandr	olek8onnr
Banky	bonqu
Hormat	xormot
Konstitusiýasynyň	qon88itu8iyo8unuN
Sergide	8erXide
Zerur	8erur
asyl	o8ul
bagyny	boXunu
bereketli	bereketli
daşarda	doSordo
dil	dil
dolandyrmagyň	dolonnurmoXuN
düzümiň	de8emeN
düýp	deyp
düşünişmek	deSeneSmek
edendigi	edenniXi
edilmedik	edilmedik
garamak	goromoq
gowşurdy	gobSurdu
goýulýar	goyulyor
goşan	goSon
gyzlar	gu8lor
göçme	gECmE
günorta	genorto
güwä	gebE
işden	iSden
jaýlaryň	joyloruN
jebir	jebir
kadalara	qodoloro
kesileniň	ke8ileniN
köpasyrlyk	kEpo8urluq
mekdebiň	mekdebiN
mukdaryň	muqdoruN
otaglar	otoXlor
prokuratura	proquroturo
toplan	toplon
ugurdaş	uXurdoS
özlerine	E8lErenE
ýerdäki	yerdEki
ýygnananlary	yuXnononloru
Şahsy	Sox8u
Ikitaraplaýyn	ikitoroployun
Welaýatyň	beloyotuN
başlangyçlaryny	boSlonXuClorunu
bedewi	bedEbi
bellik	bellik
binasynda	bino8unno
bozulma	bo8ulmo
bölüp	bElep
duşuşdy	duSuSdu
düzýän	de8yEn
etjek	etjek
gazanmaga	go8onmoXo
goşuldy	goSullu
gördi	gErde
görkezilmelidir	gErkE8elmelidir
haýwanat	xoybonot
hepdede	hepdede
hoşlaşyp	xoSloSup
hukuklar	xuquqlor
hyzmatdaş	xu8motdoS
kazyýeti	qo8uyeti
kesgitlenilýän	ke8XitlenilyEn
konserni	qon8erni
maksatnamasynda	moq8otnomo8unno
meýdan	meydon
noýabrda	noyobrdo
sepgitlere	8epXitlere
synlady	8unlodu
wekiliýetleriniň	bekiliyetleriniN
özeni	E8Ene
ýetirilmegini	yetirilmeXini
ýuridiki	yuridiki
ýüzlerçe	ye8lErCe
Degişli	deXiSli
Hyzmatdaşlyk	xu8motdoSluq
Maýa	moyo
Russiýadan	ru88iyodon
alnanda	olnonno
behişdi	behiSdi
berilmegini	berilmeXini
borçly	borClu
dabaralaryň	doboroloruN
dabarasynyň	doboro8unuN
dereje	dereje
direktory	direktoru
dolanyşygy	dolonuSuXu
dolmak	dolmoq
erk	erk
girmeýär	girmeyEr
goldawy	gollobu
hepdäniň	hepdEniN
howpsuzlygyň	xobp8u8luXuN
hukuklaryň	xuquqloruN
jemledi	jemledi
kanuna	qonuno
kitaby	kitobu
martda	mortdo
meýletinçilik	meyletinCilik
meňzeş	meN8eS
mugallymlary	muXollumloru
sag	8oX
sergide	8erXide
taslamalaryna	to8lomoloruno
tassyklanýar	to88uqlonyor
wakanyň	boqonuN
welosiped	belo8iped
zawodlar	8obodlor
Özbegistanyň	E8bEXe88onuN
öňden	ENNEn
üýtgemegi	eytXemeXi
Arap	orop
Jenap	jenop
Sagdynlyk	8oXdunluq
asuda	o8udo
aňladýar	oNlodyor
bakja	boqjo
belende	belenne
belentliklerine	belentliklerine
birleşdirýär	birleSdiryEr
däpleriniň	dEpleriniN
energiýasyny	enerXiyo8unu
esaslarda	e8o8lordo
gara	goro
geçirilişi	geCiriliSi
geçmeli	geCmeli
gurlar	gurlor
görkezen	gErkE8En
görýär	gEryEr
kesgitledi	ke8Xitledi
medeniýetini	medeniyetini
metrden	metrden
myhmanhana	muxmonxono
nusgalaryny	nu8Xolorunu
saklanýar	8oqlonyor
saýlawlar	8oyloblor
söýüjilik	8Eyejelek
taýýarlygyny	toyyorluXunu
transmilli	tron8milli
umuman	umumon
ädim	Edim
çagalara	CoXoloro
çykaryldy	Cuqorullu
önümi	Eneme
üznüksiz	e8nek8e8
ýolbaşçysynyň	yolboSSu8unuN
şertli	Sertli
Hazarýaka	xo8oryoqo
Hususy	xu8u8u
aşgabatly	oSXobotlu
bagyşlandy	boXuSlonnu
başlanan	boSlonon
bähbitleriniň	bEhbitleriniN
bäsdeşlige	bE88eSliXe
desgalardaky	de8Xolordoqu
däne	dEne
döreder	dErEdEr
düzümlerinde	de8emlErenne
ele	ele
enjamlaşdyrylyşy	enjomloSduruluSu
esaslandyrylan	e8o8lonnurulon
gaznasyna	go8no8uno
getirip	getirip
gurama	guromo
guramagyň	guromoXuN
görünýär	gErenyEr
görüp	gErep
himiki	himiki
isleýiş	i8leyiS
jogapkärçilikli	joXopkErCilikli
kesgitlendi	ke8Xitlenni
köşgüniň	kESXeneN
manysy	monu8u
merkeziň	merke8iN
möçberinden	mECbErennen
mümkinçiligini	memkenCeliXini
nesliň	ne8liN
redaksiýasynda	redoq8iyo8unno
rugsady	ruX8odu
sebitara	8ebitoro
senagatyny	8enoXotunu
subutnamalary	8ubutnomoloru
sylaglary	8uloXloru
söýgi	8Eygi
talaba	tolobo
toplanan	toplonon
ykjam	uqjom
çarpyşmalary	CorpuSmoloru
ýanwarynda	yonborunno
Awazada	obo8odo
Birnäçe	birnECe
Garagum	goroXum
Kämillik	kEmillik
Mohammad	moxommod
abadançylygyň	obodonCuluXuN
alamatlandyrýan	olomotlonnuryon
alyşmak	oluSmoq
arhiw	orhib
aýratynlygy	oyrotunluXu
aşyryp	oSurup
baglaşmak	boXloSmoq
baýramyna	boyromuno
baýramçylygyna	boyromCuluXuno
bellenilişi	belleniliSi
berilýändigini	berilyEnniXini
bilýärler	bilyErler
bugdaýyň	buXdoyuN
bäsleşigi	bE8leSiXi
böleklerinde	bElEklErinne
dalaşgäriň	doloSXEriN
daşaýjy	doSoyju
eýerip	eyerip
geler	geler
gelmelidir	gelmelidir
gerim	gerim
gözbaş	gE8boS
işjeňleşdirmek	iSSeNleSdirmek
kesilenler	ke8ilenler
kuwwatynyň	qubbotunuN
maddalarynda	moddolorunno
