'll	l 3l
cheering	tSi3riN tSi3riN
cheerio	tSi3ri3u tSi3ri3u
cheerios	tSi3ri3uz
cheerleader	tSi3lida
cheerleaders	tSi3lid3z
cheerless	tSi3l3s
cheers	tSi3z tSi3z
cheery	tSi3ri
cheese	tSiz
cheeseboard	tSizbod
cheeseburger	tSizb3ga
cheeseburgers	tSizb3g3z
cheesecake	tSizkeik
cheesecakes	tSizkeiks
cheesecloth	tSizklo8
cheesed	tSizd
cheeses	tSiziz
cheesier	tSisia
cheesiest	tSisi3st
cheesiness	tSisin3s
cheesing	tSiziN
cheesy	tSisi
cheetah	tSita tSit3
cheetahs	tSit3z
chef	SEf
chefs	SEfs
chela	tSEla
chelicerae	tSElis3ri
chelonian	tSEl3uni3n
chelsea	tSElsi
cheltenham	tSElt3n3m
chemical	kEmik3l
chemically	kEmikli
chemicals	kEmik3lz
chemise	S3miz
chemist	kEmist
chemistry	kEmistri
chemists	kEmists
chemmy	kEmi
chemo	kim3u
chemotherapy	kim3u8Er3pi kim38Er3pi
chenille	tSEnil
cheque	tSEk
chequebook	tSEkbuk
chequebooks	tSEkbuks
chequer	tSEka
chequerboard	tSEk3bod
chequered	tSEk3d
chequers	tSEk3z
cheques	tSEks tSEkz
chequing	tSEkiN
cherish	tSEriS
cherishable	tSEriS3b3l
cherished	tSEriSt
cherishes	tSEriSiz
cherishing	tSEriSiN
cheroot	tSErut
cheroots	tSEruts
cherries	tSEriz tSEriz
cherry	tSEri
chert	tS3t
cherub	tSErob
cherubic	tS3rubik
cherubim	tSErubim
cherubs	tSErobz
chervil	tS3v3l
cheryl	SEr3l
cheshire	tSES3
cheshunt	tSEz3nt
chess	tSEs
chessboard	tSEsbod
chessboards	tSEsbodz
chessman	tSEsm3n
chessmen	tSEsmEn
chest	tSEst
chested	tSEstid
chester	tSEst3
chester-le-street	tSEst3listrit
chesterfield	tSEst3fild tSEst3fild
chesterfields	tSEst3fildz
chestful	tSEstf3l
chestnut	tSEstnot
chestnuts	tSEstnots
chests	tSEsts
chesty	tSEsti
chetah	tSit3
chevalier	SEvalia
chevaliers	SEvali3z
chevet	SEvit
cheviot	SEvi3t
chevrolet	SEvr3ulei SEvr3lei
chevron	SEvron
chevrons	SEvronz
chevy	SEvi tSEvi
chew	tSyu tSu
chewable	tSyu3b3l
chewed	tSyud
chewer	tSyua
chewers	tSyu3z
chewier	tSyuia
chewiest	tSyui3st
chewiness	tSyuin3s
chewing	tSuiN tSyuiN
chews	tSyuz
chewy	tSyui
chez	Sei
chi	kai tSai ki tSi
chiaroscuro	tSai3r3skyur3u
chic	Sik
chicago	Sikog3u
chicane	Sikein
chicanery	Sikein3ri
chicanes	Sikeinz
chicest	tSais3st
chichi	tSitSai
chick	tSik
chickadee	tSikadi
chickadees	tSikadiz
chicken	tSikin tSik3n
chickened	tSikind
chickenfeed	tSikinfid
chickening	tSikiniN
chickenpox	tSikinpoks
chickens	tSik3nz tSikinz
chickenshit	tSikinSit
chickenshits	tSikinSits
chickpea	tSikpi3
chickpeas	tSikpi3z
chicks	tSiks
chickweed	tSikwid
chicle	tSik3l
chico	tSik3u
chicory	tSik3ri
chid	tSid
chide	tSaid
chided	tSaidid
chides	tSaidz
chiding	tSaidiN
chief	tSif
chiefdom	tSifd3m
chiefer	tSifa
chiefest	tSif3st
chiefly	tSifli
chiefs	tSifs
chieftain	tSift3n
chieftains	tSift3nz
chieftainship	tSift3nSip
chiffchaff	tSiftSEf
chiffon	tSif3n
chiffonier	tSif3nia
chigger	tSiga
chiggers	tSig3z
chignon	tSinyon
chihuahua	tSiwowa
chihuahuas	tSiwow3z
chilblain	tSilblein
chilblains	tSilbleinz
child	tSaild
childbearing	tSaildbe3riN
childbed	tSaildbEd
childbirth	tSaildb38
childcare	tSaildke3
childe	tSailda
childhood	tSaildhud tSaildhud
childhoods	tSaildhudz
childish	tSaildiS
childishly	tSaildiSli
childishness	tSaildiSn3s
childless	tSaildl3s
childlessness	tSaildl3sn3s
childlike	tSaildlaik
childminder	tSaildmainda
childminders	tSaildmaind3z
childminding	tSaildmaindiN
childproof	tSaildpruf
children	tSildr3n
chile	tSili
chiles	tSiliz
chilis	tSiliz
chill	tSil
chilled	tSild
chiller	tSila
chillers	tSil3z
chilli	tSili
chillier	tSilia
chillies	tSiliz
chilliest	tSili3st
chilling	tSiliN
chillingly	tSiliNli
chills	tSilz
chilly	tSili
chimaera	tSime3ra
chime	tSaim
chimed	tSaimd
chimera	kaimi3ra
chimeras	kaimi3r3z
chimere	tSaima
chimes	tSaimz
chiming	tSaimiN
chimney	tSimni
chimneypiece	tSimnipis
chimneys	tSimniz
chimp	tSimp
chimpanzee	tSimpanzi tSimpEnzi
chimpanzees	tSimpanziz
chimps	tSimps
chin	tSin
china	tSain3 tSaina
chinaware	tSainawe3
chinchilla	tSintSila
chinchillas	tSintSil3z
chine	tSain
chines	tSainz
chinese	tSainiz
chink	tSiNk
chinking	tSiNkiN
chinks	tSiNks
chinless	tSinl3s
chinned	tSind
chino	tSin3u
chinoiserie	tSinois3ri
chinook	tSinuk
chinooks	tSinuks
chinos	tSin3uz
chins	tSinz
chinstrap	tSinstrEp
chinstraps	tSinstrEps
chintz	tSints
chintzy	tSintsi
chinwag	tSinwEg
chip	tSip
chipboard	tSipbod
chipmunk	tSipmoNk
chipmunks	tSipmoNks
chipolata	tSip3lota
chipolatas	tSip3lot3z
chipped	tSipt
chipper	tSipa
chippers	tSip3z
chippie	tSipi
chippies	tSipiz
chipping	tSipiN
chippings	tSipiNz
chippy	tSipi
chips	tSips
chirk	tS3k
chiropodist	kirop3dist
chiropodists	kirop3dists
chiropody	kirop3di
chiropractic	kair3prEktik
chiropractor	kair3prEkta
chiropractors	kair3prEkt3z
chirp	tS3p
chirped	tS3pt
chirpier	tS3pia
chirpily	tS3pili
chirpiness	tS3pin3s
chirping	tS3piN
chirps	tS3ps
chirpy	tS3pi
chirring	tS3riN
chirrup	tSirop
chirruped	tSirupt
chirruping	tSirupiN
chirrups	tSirops
chis	tSaiz
chisel	tSiz3l
chiselled	tSiz3ld
chiseller	tSais3la
chisellers	tSais3l3z
chiselling	tSiz3liN
chisels	tSiz3lz
chiswick	tSizik
chit	tSit
chitchat	tSitSEt
chitchatting	tSitSEtiN
chitin	tSitin
chitlins	tSitlinz
chits	tSits
chitter	tSita
chittering	tSit3riN
chitterlings	tSit3liNz
chitters	tSit3z
chivalric	tSivElrik
chivalrous	Siv3lr3s
chivalrously	Siv3lr3sli
chivalry	tSiv3lri
chive	tSaiv
chives	tSaivz
chivvied	tSivid
chivvies	tSiviz
chivvy	tSivi
chivvying	tSiviiN
chlamydia	klEmidi3
chlorate	kloreit
chlorates	kloreits
chloride	kloraid
chlorides	kloraidz
chlorinated	klorineitid
chlorine	klorin
chlorofluorocarbons	klor3uflor3kob3nz
chloroform	klor3ufom
chlorophyll	klor3ufil
chloroplasts	klor3uplosts
chloroquine	klor3ukwain
chlorosis	klor3usiz
chlorpromazine	klor3promazin
choc	tSok
chocaholic	tSokaholik
chocaholics	tSokaholiks
chock	tSok
chocked	tSokt
chockfull	tSokful
chocking	tSokiN
chocks	tSoks
chocoholic	tSok3uholik
chocoholics	tSok3uholiks
chocolate	tSok3lit tSokl3t tSok3l3t
chocolates	tSok3l3ts tSok3lits tSokl3ts
chocolatey	tSok3leiti
chocolatier	tSok3lEtia
chocolaty	tSok3lEti
chocs	tSoks
choice	tSois
choicer	tSoisa
choices	tSoisiz
choicest	tSois3st
choir	kwai3
choirboy	kwai3boi
choirboys	kwai3boiz
choirmaster	kwai3mosta
choirmasters	kwai3most3z
choirs	kwai3z
choke	tS3uk
choked	tS3ukt
choker	tS3uka
chokers	tS3uk3z
chokes	tS3uks
choking	tS3ukiN
cholecystectomy	k3ulsistEkt3mi
cholecystitis	k3ulsistaitis
cholent	k3ul3nt
choler	k3ula
cholera	kol3r3 kol3ra
choleric	k3ulErik
cholesterol	k3lEst3rol
cholla	kola
cholmondeley	tSamli
chomp	tSomp
chomped	tSompt
chomping	tSompiN
chomps	tSomps
chon	tSon
chook	tSuk
choose	tSuz
chooser	tSuza
choosers	tSuz3z
chooses	tSuziz
choosey	tSuzi
choosier	tSusia
choosing	tSuziN
choosy	tSusi
chop	tSop
chophouse	tSofaus
chopped	tSopt
chopper	tSopa
choppered	tSop3d
choppering	tSop3riN
choppers	tSop3z
choppier	tSopia
choppiness	tSopin3s
chopping	tSopiN
choppy	tSopi
chops	tSops
chopstick	tSopstik
chopsticks	tSopstiks
choral	kor3l korol
chorale	koreil korol
chorales	koreilz
chord	kod
chordal	kod3l
chords	kodz
chore	tSo
chorea	kori3
choreograph	koriogrEf
choreographed	koriogrEfd
choreographer	koriogr3fa
choreographers	koriogr3f3z
choreographic	kori3grEfik
choreographically	kori3grEfikli
choreographing	koriogrEfiN
choreographs	koriogrEfz
choreography	koriogr3fi
chores	tSoz
chorion	kori3n
chorister	korista
choristers	korist3z
chorizo	tSoriz3u
chortle	tSot3l
chortled	tSot3ld
chortles	tSot3lz
chortling	tSotliN
chorus	kor3s kor3s
chorused	korusd
choruses	kor3siz
chose	tS3uz
chosen	tS3uz3n
chou	tSu
chough	tS3u
choughs	tS3uz
chow	tSau
chowder	tSauda
chowders	tSaud3z
chowed	tSaud
chowing	tSauiN
chris	kris
chrism	kriz3m
chrissy	krisi
christ	kraist
christen	krist3n
christened	krist3nd
christening	krist3niN
christenings	krist3niNz
christian	kristS3n
christiania	krisSi3ni3
christianity	kristiEniti
christians	kristS3nz
christie	kristi
christina	kristin3
christine	kristin
christmas	krism3s
christopher	krist3f3
christy	kristi
chromatic	kr3umEtik
chromatically	kr3umEtikli
chromatids	kr3umatidz
chromatin	kr3umatin
chromatograph	kr3umatogrEf
chromatography	kr3umatogr3fi
chrome	kr3um
chromed	kr3umd
chroming	kr3umiN
chromium	kr3umi3m
chromo	kr3um3u
chromolithograph	kr3um3li83grEf
chromosomal	kr3um3som3l
chromosome	kr3um3s3um
chromosomes	kr3um3s3umz
chromosphere	kr3um3sfi3
chronic	kronik
chronically	kronikli
chronicle	kronik3l
chronicled	kronik3ld
chronicler	kronikla
chroniclers	kronikl3z
chronicles	kronik3lz
chronicling	kronikliN
chronograph	kron3grEf
chronological	kron3lodZik3l
chronologically	kron3lodZikli
chronology	kr3nol3dZi
chronometer	kr3nomita
chronometers	kr3nomit3z
chronon	kronon
chrysalis	kris3lis
chrysalises	kris3lisiz
chrysanthemum	krison83m3m
chrysanthemums	krison83m3mz
chryselephantine	kraislifontin
chrysler	kraisl3
chub	tSob
chubbier	tSobia
chubbiness	tSobin3s
chubby	tSabi tSobi
chubs	tSobz
chuck	tSok tSak
chucked	tSokt tSakt
chucking	tSakiN tSokiN
chuckle	tSok3l tSak3l
chuckled	tSok3ld
chuckles	tSak3lz tSok3lz
chuckling	tSakliN tSokliN
chucks	tSoks
chuff	tSof tSaf
chuffed	tSoft tSaft
chuffing	tSofiN
chuffs	tSofs
chug	tSog tSag
chugged	tSogd
chugging	tSogiN
chugs	tSogz
chukka	tSoka
chukkas	tSok3z
chukkers	tSok3z
chum	tSom tSam
chummed	tSomd
chumminess	tSomin3s
chumming	tSomiN
chummy	tSomi
chump	tSomp
chumps	tSomps
chums	tSamz tSomz
chunder	tSonda
chundered	tSond3d
chundering	tSond3riN
chunk	tSoNk tSaNk
chunkier	tSoNkia
chunkiest	tSoNki3st
chunkiness	tSoNkin3s
chunks	tSoNks
chunky	tSaNki tSoNki
chunter	tSonta
chuntering	tSont3riN
church	tS3tS
churches	tS3tSiz
churchgoer	tS3tSg3ua
churchgoers	tS3tSg3u3z
churchgoing	tS3tSg3uiN
churchill	tS3tSil
churchman	tS3tSm3n
churchmen	tS3tSmEn
churchwarden	tS3tSwod3n
churchwardens	tS3tSwod3nz
churchy	tS3tSi
churchyard	tS3tSyod
churchyards	tS3tSyodz
churl	tS3l
churlish	tS3liS
churn	tS3n
churned	tS3nd
churning	tS3niN
churns	tS3nz
chute	Sut
chutes	Suts
chutney	tSotni
chutneys	tSotniz
chutzpa	hutsp3
chutzpah	tSotspa
chyme	tSaim
ciao	tSau
cicada	sikoda
cicadas	sikod3z
cicely	saisli
cicero	saisr3u
cichlid	sitSlid
cichlids	sitSlidz
cider	said3 saida
ciders	said3z
cig	sig
cigar	sigo sigo
cigarette	sig3rEt sig3rEt
cigarettes	sig3rEts sig3rEts
cigarillo	sigoril3u
cigarillos	sigoril3uz
cigars	sigoz
cilantro	silontr3u
cilia	silia
ciliary	sili3ri
cilium	sili3m
cimex	saimEks
cinammon	sin3m3n
cinch	sintS
cinched	sintSt
cinches	sintSiz
cinching	sintSiN
cinchona	sintS3una
cincinnati	sinsinEti
cinder	sinda
cinders	sind3z
cindery	sind3ri
cindy	sindi
cine	sin
cinema	sin3ma sin3m3
cinemas	sin3m3z
cinematic	sinimEtik
cinematically	sinimEtikli
cinematograph	sinimEt3grEf
cinematographer	sinimatogr3fa
cinematographers	sinimatogr3f3z
cinematography	sinimatogr3fi
cineraria	sin3re3ri3
cinnabar	sinabo
cinnamon	sin3m3n
cinque	sink
cinquecento	sinkwisEnt3u
cipher	saifa
ciphering	saif3riN
ciphers	saif3z
circa	s3ka
circadian	s3keidi3n
circle	s3k3l
circled	s3k3ld
circles	s3k3lz
circlet	s3kl3t
circling	s3kliN
circuit	s3kit
circuited	s3kitid
circuiting	s3kitiN
circuitous	s3kyuit3s
circuitry	s3kitri
circuits	s3kits
circular	s3kyul3 s3kyula
circularity	s3kyulEriti
circularly	s3kyul3li
circulars	s3kyul3z
circulate	s3kyuleit
circulated	s3kyuleitid
circulates	s3kyuleits
circulating	s3kyuleitiN
circulation	s3kyuleiS3n
circulations	s3kyuleiS3nz
circulatory	s3kyuleit3ri
circumambulate	s3k3mEmbyuleit
circumcise	s3k3msaiz
circumcised	s3k3msaizd
circumcising	s3k3msaiziN
circumcision	s3k3msiZ3n
circumcisions	s3k3msiZ3nz
circumference	s3komfr3ns
circumferential	s3k3mf3rEnS3l
circumflex	s3k3mflEks
circumlocution	s3k3ml3kyuS3n
circumlocutions	s3k3ml3kyuS3nz
circumnavigate	s3k3mnEvigeit
circumnavigated	s3k3mnEvigeitid
circumnavigates	s3k3mnEvigeits
circumnavigating	s3k3mnEvigeitiN
circumnavigation	s3k3mnEvigeiS3n
circumnavigations	s3k3mnEvigeiS3nz
circumpolar	s3k3mp3ula
circumscribe	s3k3mskraib
circumscribed	s3k3mskraibd
circumspect	s3k3mspEkt
circumspection	s3k3mspEkS3n
circumstance	s3k3mstEns s3k3mstons
circumstances	s3k3mstonsiz s3k3mstEnsiz
circumstantial	s3k3mstonS3l
circumstantially	s3k3mstonS3li
circumvallate	s3k3mvEleit
circumvent	s3k3mvEnt
circumvented	s3k3mvEntid
circumventing	s3k3mvEntiN
circumvention	s3k3mvEnS3n
circumvents	s3k3mvEnts
circus	s3k3s
circuses	s3k3siz
circusy	s3kosi
cirque	s3k
cirrhosis	s3r3usis
cirrocumulus	sir3kyumyul3s
cirrus	sir3s
cisco	sisk3u
cist	sist
cistern	sist3n
cisterns	sist3nz
citadel	sit3dEl
citadels	sit3dElz
citation	saiteiS3n
citations	saiteiS3nz
cite	sait
cited	saitid
cites	saits
cities	sitiz
citing	saitiN
citizen	sitiz3n
citizenry	sitiz3nri
citizens	sitiz3nz
citizenship	sitiz3nSip
citrate	sitreit
citric	sitrik
citrine	sitrin
citrines	sitrinz
citron	sitron
citronella	sitr3unEla
citrons	sitronz
citrus	sitr3s
cittern	sit3n
city	siti
cityscape	sitiskeip
citywide	sitiwaid
civet	saiv3t sivit
civets	saiv3ts
civic	sivik
civics	siviks
civil	siv3l
civilian	sivili3n sivily3n
civilians	sivily3nz sivili3nz
civilisation	sivilaizeiS3n
civilisations	sivilaizeiS3nz
civilise	siv3laiz
civilised	siv3laizd
civilising	siv3laiziN
civilities	sivilitiz
civility	siviliti
civilization	sivilaizeiS3n
civilly	siv3li
civvies	siviz
clachan	klEtS3n
clack	klEk
clacked	klEkt
clacker	klEka
clacking	klEkiN
clackmannanshire	klEkmEn3nS3
clacks	klEks
clad	klEd
claddagh	klEdog
cladded	klEdid
cladding	klEdiN
claim	kleim
claimable	kleim3b3l
claimant	kleim3nt
claimants	kleim3nts
claimed	kleimd
claimer	kleima
claimers	kleim3z
claiming	kleimiN
claims	kleimz
clair	klE3
claire	klE3
clairvoyance	kle3voi3ns
clairvoyant	kle3voi3nt
clairvoyants	kle3voi3nts
clam	klEm
clambake	klEmbeik
clamber	klEmba
clambered	klEmb3d
clambering	klEmb3riN
clambers	klEmb3z
clammed	klEmd
clamming	klEmiN
clammy	klEmi
clamorous	klEm3r3s
clamour	klEma
clamoured	klEm3d
clamouring	klEm3riN
clamours	klEm3z
clamp	klEmp
clampdown	klEmpdaun
clampdowns	klEmpdaunz
clamped	klEmpt
clamper	klEmpa
clamping	klEmpiN
clamps	klEmps
clams	klEmz
clamshell	klEmSEl
clan	klEn
clandestine	klEndEstin
clandestinely	klEndEstinli
clang	klEN
clanged	klENd
clanger	klENga
clangers	klENg3z
clanging	klENiN
clangour	klENga
clangs	klENz
clank	klENk
clanked	klENkt
clanking	klENkiN
clanks	klENks
clannish	klEniS
clans	klEnz
clansman	klEnzm3n
clansmen	klEnzmEn
clap	klEp
clapboard	klEpbod
clapped	klEpt
clapper	klEpa
clapperboard	klEp3bod
clapperboards	klEp3bodz
clappers	klEp3z
clapping	klEpiN
claps	klEps
claptrap	klEptrEp
claque	klEk
claques	klEks
clare	klE3
clarence	klEr3ns
claret	klEr3t
clarets	klEr3ts
clarification	klErifikeiS3n
clarifications	klErifikeiS3nz
clarified	klErifaid
clarifies	klErifaiz
clarify	klErifai
clarifying	klErifaiiN
clarinet	klEr3nEt
clarinets	klEr3nEts
clarinettist	klEraintist
clarinettists	klEraintists
clarion	klEri3n
clarity	klEriti
clark	klok
clarke	klok
claro	klEr3u
claros	klEr3uz
clarsach	klosEtS
clary	kle3ri
clash	klES
clashed	klESt
clashes	klESiz
clashing	klESiN
clasp	klosp
clasped	klospt
clasping	klospiN
clasps	klosps
class	klos
classed	klost
classes	klosiz
classic	klEsik
classical	klEsik3l
classically	klEsikli
classicism	klEsisiz3m
classicist	klEsisist
classicists	klEsisists
classics	klEsiks
classier	klosia
classiest	klosi3st
classification	klEsifikeiS3n
classifications	klEsifikeiS3nz
classified	klEsifaid
classifieds	klEsifaidz
classifier	klEsifai3
classifiers	klEsifai3z
classifies	klEsifaiz
classify	klEsifai
classifying	klEsifaiiN
classily	klosili
classiness	klosin3s
classing	klosiN
classism	klosiz3m
classist	klEsist
classless	klosl3s
classlessness	klosl3sn3s
classmate	klosmeit
classmates	klosmeits
classroom	klosrum klosrum
classrooms	klosrumz
classwork	klosw3k
classy	klosi
clastic	klostik
clatter	klEta
clattered	klEt3d
clattering	klEt3riN
clatters	klEt3z
clause	kloz
clauses	kloziz
claustrophobia	klostr3f3ubi3
claustrophobic	klostr3f3ubik
clave	kleiv
claver	kleiva
clavicle	klEvik3l
clavicles	klEvik3lz
clavier	kleivia
claw	klo
clawed	klod
clawing	kloriN
claws	kloz
clay	klei
clayey	kleii
claymore	kleimo
claymores	kleimoz
clays	kleiz
clayton	kleit3n
claytonia	kleit3uni3
clean	klin
cleaned	klind
cleaner	klin3 klina
cleaners	klin3z
cleanest	klin3st
cleaning	kliniN
cleanings	kliniNz
cleanliest	klinli3st
cleanliness	klEnlin3s
cleanness	klinn3s
cleans	klinz
cleanse	klEnz
cleansed	klEnzd
cleanser	klEnza
cleansers	klEnz3z
cleanses	klEnziz
cleansing	klEnziN
cleanup	klinap klinop
clear	kli3 kli3
clearance	kli3r3ns kli3r3ns
clearances	kli3r3nsiz
cleared	kli3d kli3d
clearer	kli3r3 kli3ra
clearest	kli3r3st
clearing	kli3riN kli3riN
clearings	kli3riNz
clearly	kli3li kli3li
clearness	kli3n3s
clears	kli3z kli3z
clearway	kli3wei
clearwing	kli3w3riN
cleat	klit
cleats	klits
cleavage	klividZ
cleavages	klividZiz
cleave	kliv
cleaved	klivd
cleaver	kliva
cleavers	kliv3z
cleaves	klivz
cleaving	kliviN
cleek	klik
clef	klEf
clefs	klEfs
cleft	klEft
clefts	klEfts
clem	klEm
clematis	klEmotiz
clemency	klEm3nsi
clement	klEm3nt
clementine	klEmintain
clementines	klEmintainz
clench	klEntS
clenched	klEntSt
clenches	klEntSiz
clenching	klEntSiN
clerestory	klErist3ri
clergy	kl3dZi
clergyman	kl3dZim3n
clergymen	kl3dZimEn
cleric	klErik
clerical	klErik3l
clerics	klEriks
clerihew	klErihyu
clerk	klok
clerked	klokt
clerking	klokiN
clerks	kloks
clerkship	klokSip
cleveland	klivl3nd
clever	klEv3 klEva
cleverer	klEv3ra
cleverest	klEv3r3st
cleverly	klEv3li
cleverness	klEv3n3s
clew	klu
clews	kluz
cliche	kliSei
click	klik
clickable	klik3b3l
clicked	klikt
clicker	klika
clickers	klik3z
clicking	klikiN
clicks	kliks
client	klai3nt
clients	klai3nts
cliff	klif
cliffhanger	klifhENa
cliffhangers	klifhEN3z
cliffhanging	klifhENiN
cliffs	klifs
clifftop	kliftop
clifftops	kliftops
cliffy	klifi
climactic	klaimEktik
climactically	klaimEktikli
climate	klaimit klaim3t
climates	klaim3ts
climatic	klaimEtik
climatically	klaimEtikli
climatologist	klaimatol3dZist
climatologists	klaimatol3dZists
climax	klaimEks
climaxed	klaimEkst
climaxes	klaimEksiz
climaxing	klaimEksiN
climb	klaim
climbable	klaim3b3l
climbdown	klaimdaun
climbed	klaimd
climber	klaima
climbers	klaim3z
climbing	klaimiN
climbs	klaimz
clime	klaim
climes	klaimz
clinch	klintS
clinched	klintSt
clincher	klintSa
clinchers	klintS3z
clinches	klintSiz
clinching	klintSiN
cline	klain
cling	kliN
clinger	kliNga
clingers	kliNg3z
clingfilm	kliNfilm
clinging	kliNiN
clings	kliNz
clingy	kliNi
clinic	klinik
clinical	klinik3l
clinically	klinikli
clinician	kliniS3n
clinicians	kliniS3nz
clinics	kliniks
clink	kliNk
clinked	kliNkt
clinker	kliNka
clinking	kliNkiN
clinks	kliNks
clinometer	klinomita
clinton	klint3n
clip	klip
clipboard	klipbod
clipboards	klipbodz
clipped	klipt
clipper	klipa
clippers	klip3z
clipping	klipiN
clippings	klipiNz
clips	klips
clique	klik
cliques	kliks
cliquey	klikwi
cliquier	klikwia
clitoral	klit3r3l
clitoris	klit3ris
clive	klaiv
cloaca	kl3uka
cloak	kl3uk
cloaked	kl3ukt
cloaking	kl3ukiN
cloakroom	kl3ukrum
cloakrooms	kl3ukrumz
cloaks	kl3uks
clobber	kloba
clobbered	klob3d
clobbering	klob3riN
cloche	kloS
cloches	kloSiz
clock	klok
clocked	klokt
clocker	kloka
clocking	klokiN
clockmaker	klokmeika
clockmakers	klokmeik3z
clocks	kloks
clockwise	klokwaiz
clockwork	klokw3k
clockworks	klokw3ks
clod	klod
clodhoppers	klodhop3z
clodhopping	klodhopiN
clods	klodz
clog	klog klog
clogged	klogd
clogging	klogiN
cloggy	klogi
clogs	klogz
cloister	kloista
cloistered	kloist3d
cloisters	kloist3z
clomp	klomp
clomping	klompiN
clone	kl3un
cloned	kl3und
clones	kl3unz
cloning	kl3uniN
clonk	kloNk
clonked	kloNkt
clonking	kloNkiN
clop	klop
clopped	klopt
clopping	klopiN
clops	klops
clos	kl3uz
close	kl3us kl3uz
closed	kl3uzd
closely	kl3usli
closeness	kl3uzn3s
closer	kl3uz3 kl3us3
closers	kl3us3z
closes	kl3uziz
closest	kl3us3st kl3usist
closet	klozit
closeted	klozitid
closets	klozits
closeup	kl3usop
closeups	kl3usops
closing	kl3uziN
closings	kl3uziNz
clostridium	kl3stridi3m
closure	kl3uZa kl3uZ3
closures	kl3uZ3z
clot	klot
cloth	klo8
clothe	kl3u8
clothed	kl3u8d
clothes	kl3uz kl3u8z
clotheshorse	kl3u8Sos
clothesline	kl3u8slain
clothier	klo8ia
clothiers	kl3u8i3z
clothing	kl3u8iN
cloths	klo8s
clots	klots
clotted	klotid
clotting	klotiN
cloture	klotSa
cloud	klaud
cloudberries	klaudb3riz
cloudburst	klaudb3st
clouded	klaudid
cloudier	klaudia
cloudiest	klaudi3st
cloudiness	klaudin3s
clouding	klaudiN
cloudless	klaudl3s
clouds	klaudz
cloudy	klaudi
clough	klof
clout	klaut
clouted	klautid
clouting	klautiN
clouts	klauts
clove	kl3uv
cloven	kl3uv3n
clover	kl3uva
cloverleaf	kl3uv3lif
clovers	kl3uv3z
cloves	kl3uvz
clown	klaun
clowned	klaund
clowning	klauniN
clownish	klauniS
clowns	klaunz
cloy	kloi
cloying	kloiiN
club	klab klob
clubbable	klob3b3l
clubbed	klobd
clubber	kloba
clubbers	klob3z
clubbing	klobiN
clubby	klobi
clubfoot	klobfut
clubhouse	klobhaus
clubhouses	klobhauziz
clubland	klobl3nd
clubman	klobm3n
clubs	klobz klabz
cluck	klok
clucked	klokt
clucking	klokiN
clucks	kloks
clue	klu
clued	klud
clueing	kluiN
clueless	klul3s
clues	kluz
clump	klamp klomp
clumped	klompt
clumping	klompiN
clumps	klomps
clumpy	klompi
clumsier	klomzia
clumsiest	klomzi3st
clumsily	klomzili
clumsiness	klomzin3s
clumsy	klomzi
clung	klaN kloN
clunk	klaNk kloNk
clunked	kloNkt
clunker	kloNka
clunkers	kloNk3z
clunking	kloNkiN
clunks	kloNks
clunky	kloNki
cluster	klosta klast3
clustered	klost3d
clustering	klost3riN
clusters	klast3z klost3z
clutch	klatS klotS
clutched	klotSt
clutches	klotSiz
clutching	klotSiN
clutter	klota klat3
cluttered	klot3d
cluttering	klot3riN
clutters	klot3z
clyde	klaid
co	k3u
co-op	k3uop
co-operation	k3uop3reiS3n
co-operative	k3uop3r3tiv k3uopr3tiv
co-ordination	k3uodineiS3n
coach	k3utS
coached	k3utSt
coaches	k3utSiz
coaching	k3utSiN
coachload	k3utSl3ud
coachloads	k3utSl3udz
coachman	k3utSm3n
coachmen	k3utSmEn
coachwhip	k3utSwip
coachwork	k3utSw3k
coagulant	k3uEgyul3nt
coagulants	k3uEgyul3nts
coagulated	k3uEgyuleitid
coagulates	k3uEgyuleits
coagulating	k3uEgyuleitiN
coagulation	k3uEgyuleiS3n
coal	k3ul
coalesce	k3u3lEs k3u3lEs
coalesced	k3u3lEst
coalescence	k3u3lEs3ns
coalesces	k3u3lEsiz
coalescing	k3u3lEsiN
coalface	k3ulfeis
coalfield	k3ulfild
coalfields	k3ulfildz
coalfish	k3ulfiS
coalition	k3u3liS3n
coalitions	k3u3liS3nz
coalmine	k3ulmain
coalmines	k3ulmainz
coals	k3ulz
coarse	kos
coarsely	kosli
coarsen	kos3n
coarsened	kos3nd
coarseness	kosn3s
coarsening	kos3niN
coarsens	kos3nz
coarser	kosa
coarsest	kos3st
coast	k3ust
coastal	k3ust3l
coasted	k3ustid
coaster	k3usta
coasters	k3ust3z
coastguard	k3ustgod
coastguards	k3ustgodz
coasting	k3ustiN
coastland	k3usl3nd
coastline	k3uslain
coastlines	k3uslainz
coasts	k3usts
coastward	k3ustw3d
coat	k3ut
coated	k3utid
coati	k3uti
coating	k3utiN
coatings	k3utiNz
coatis	k3utiz
coats	k3uts
coattails	k3utteilz
coax	k3uks
coaxed	k3ukst
coaxes	k3uksiz
coaxing	k3uksiN
cob	kob
cobalt	k3ubolt
cobber	koba
cobbers	kob3z
cobble	kob3l
cobbled	kob3ld
cobbler	kobla kobl3
cobblers	kobl3z
cobbles	kob3lz
cobblestone	kob3lst3un
cobblestones	kob3lst3unz
cobbling	kobliN
coble	kob3l
cobnut	kobnot
cobnuts	kobnots
cobra	k3ubr3 k3ubra
cobras	k3ubr3z
cobs	kobz
coburg	kob3g
