va	vE
tarkibli	tErkibli
texnikada	teXnikEdE
tizmalari	tizmElEri
togʻlarida	toXlEridE
toʻplamlari	toplEmlEri
trikotaj	trikotEj
tushdi	tuSdi
tuzlari	tuzlEri
vitaminlar	vitEminlEr
xlorid	Xlorid
xodimi	Xodimi
yarmi	yErmi
yomgʻir	yomXir
yoziladi	yozilEdi
zamin	zEmin
AQShning	Eqa SniN
Adabiy	EdEbiy
Bino	bino
Buxoroga	buXorogE
Haydar	hEydEr
Milodiy	milodiy
Oʻn	on
Yunon	yunon
adolat	EdolEt
astronomiya	EstronomiyE
ataydilar	EtEydilEr
boshqaradi	boSqErEdi
boʻz	boz
dasturlar	dEsturlEr
dotsent	dotsent
elastik	elEstik
energiyasini	energiyEsini
farmatsevtika	fErmEtsevtikE
federatsiyasi	federEtsiyEsi
gidravlik	gidrEvlik
gʻoyalar	XoyElEr
haqda	hEqdE
harakatining	hErEkEtiniN
havoning	hEvoniN
havzasida	hEvzEsidE
hisoblagan	hisoblEgEn
hokazo	hokEzo
ibodatxona	ibodEtXonE
idoralari	idorElEri
ikkiga	ikkigE
ishlashga	iSlESgE
jihozlangan	jihozlENEn
jismning	jismniN
joylarga	joylErgE
ketishga	ketiSgE
konserva	konservE
kurashish	kurESiS
maydonni	mEydonni
mazmun	mEzmun
moslama	moslEmE
mumkinligi	mumkinligi
mutlaqo	mutlEqo
namunalarini	nEmunElErini
nem	nem
odamlarni	odEmlErni
okrugi	okrugi
olmos	olmos
otib	otib
oʻsimlikning	osimlikniN
qilishdi	qiliSdi
reaktiv	reEktiv
romanlari	romEnlEri
sakkiz	sEkkiz
saylandi	sEylEndi
saylangan	sEylENEn
shaklini	SEklini
stadion	stEdion
tafakkur	tEfEkkur
tanqidiy	tEnqidiy
taxlil	tEXlil
tayyorlanadigan	tEyyorlEnEdigEn
tipdagi	tipdEgi
tipidagi	tipidEgi
turlarida	turlEridE
tuzdi	tuzdi
urushida	uruSidE
uygʻur	uyXur
vegetativ	vegetEtiv
volfram	volfrEm
xudo	Xudo
xususiyatlar	XususiyEtlEr
yadrosi	yEdrosi
yanvarda	yEnvErdE
yaratib	yErEtib
yerlarga	yerlErgE
yerning	yerniN
yogʻadi	yoXEdi
yongʻoq	yoN7oq
FIFA	fifE
Siyosiy	siyosiy
Texas	teXEs
alomatlari	ElomEtlEri
aniqlab	EniqlEb
asir	Esir
beda	bedE
bepul	bepul
biokimyoviy	biokimyoviy
boʻlishga	boliSgE
boʻlishida	boliSidE
boʻsh	boS
dumaloq	dumEloq
erigan	erigEn
etishgan	etiSgEn
fazoviy	fEzoviy
fikrni	fikrni
granit	grEnit
guruhlarga	guruhlErgE
hisob	hisob
hurmat	hurmEt
insonlar	insonlEr
ishladi	iSlEdi
isloh	isloh
jamiyatda	jEmiyEtdE
jamiyatining	jEmiyEtiniN
joyiga	joyigE
ketish	ketiS
kismi	kismi
kotib	kotib
koʻtarib	kotErib
kunlik	kunlik
kuzgi	kuzgi
lugʻat	luXEt
mablagʻ	mEblEX
magmatik	mEgmEtik
manfiy	mEnfiy
materik	mEterik
maydonlari	mEydonlEri
miqdoriga	miqdorigE
moddaning	moddEniN
muammolarini	muEmmolErini
munosib	munosib
namunalar	nEmunElEr
nobud	nobud
noqulay	noqulEy
oksid	oksid
otliq	otliq
oyoqlari	oyoqlEri
pasayishi	pEsEyiSi
qaraladi	qErElEdi
qiroli	qiroli
qissasi	qissEsi
qoʻrgʻoshin	qorXoSin
qudratli	qudrEtli
rivojlanayotgan	rivojlEnEyotgEn
rivojlanmoqda	rivojlEnmoqdE
sharqqa	SErqqE
shoyi	Soyi
sinf	sinf
taqsimoti	tEqsimoti
tizimlar	tizimlEr
tizmasi	tizmEsi
togʻlarining	toXlEriniN
tolalari	tolElEri
topishi	topiSi
toʻqimalar	toqimElEr
toʻrtta	torttE
turlar	turlEr
umurtqali	umurtqEli
xotira	XotirE
xususiyatga	XususiyEtgE
yalligʻlanish	yElliXlEniS
yerlarini	yerlErini
yillardagi	yillErdEgi
yoʻgʻon	yoXon
yuborish	yuboriS
yuradi	yurEdi
yurtida	yurtidE
yuzasida	yuzEsidE
zid	zid
Aslida	EslidE
Bank	bEnk
Bemor	bemor
Elektron	elektron
Erkin	erkin
Gʻulom	Xulom
IV	iv
Kimyo	kimyo
Magnit	mEgnit
Pul	pul
Sport	sport
Viloyatda	viloyEtdE
Xuddi	Xuddi
adabiyotda	EdEbiyotdE
aloqador	EloqEdor
apparatlari	EppErEtlEri
arafasida	ErEfEsidE
aralashma	ErElESmE
atigi	Etigi
aylantirish	EylEntiriS
ayrimlari	EyrimlEri
bakteriyalar	bEkteriyElEr
bargi	bErgi
borilmoqda	borilmoqdE
buta	butE
dostonlar	dostonlEr
eritma	eritmE
filmlarda	filmlErdE
goʻshti	goSti
grafikasi	grEfikEsi
harakatlarini	hErEkEtlErini
hisobda	hisobdE
inqilobi	inqilobi
jarayonlarini	jErEyonlErini
kabilar	kEbilEr
kitoblari	kitoblEri
larda	lErdE
lavlagi	lEvlEgi
loyihasi	loyihEsi
magʻlub	mEXlub
maqomi	mEqomi
marosimi	mErosimi
metro	metro
mikroorganizmlar	mikroorgEnizmlEr
mintaqasida	mintEqEsidE
moʻgʻul	moXul
namligi	nEmligi
natijalari	nEtijElEri
nav	nEv
nomzodi	nomzodi
ogʻirligi	oXirligi
olimlarning	olimlErniN
olov	olov
organizmlarning	orgEnizmlErniN
oshdi	oSdi
ovozli	ovozli
oyda	oydE
qilishning	qiliSniN
qirrali	qirrEli
qoʻshildi	qoSildi
respublikaning	respublikEniN
resurslar	resurslEr
rivojida	rivojidE
rivoyat	rivoyEt
sentabr	sentEbr
sernam	sernEm
shular	SulEr
stansiya	stEnsiyE
strukturasi	strukturEsi
suyagi	suyEgi
taqsimlash	tEqsimlES
tasvirlash	tEsvirlES
taxtga	tEXtgE
tillarning	tillErniN
tilning	tilniN
tish	tiS
toʻplab	toplEb
toʻr	tor
tuzishda	tuziSdE
xilmaxil	XilmEXil
xosdir	Xosdir
xossalariga	XossElErigE
yaqini	yEqini
yerni	yerni
yodgorliklardan	yodgorliklErdEn
yordami	yordEmi
yuqoridagi	yuqoridEgi
zonasi	zonEsi
Bitta	bittE
Farhod	fErhod
Kurash	kurES
Metall	metEll
Oʻtgan	otgEn
Quyoshning	quyoSniN
abadiy	EbEdiy
asoslarini	EsoslErini
atagan	EtEgEn
bagʻirlari	bEXirlEri
batafsil	bEtEfsil
berishda	beriSdE
bez	bez
bilimlar	bilimlEr
bora	borE
borildi	borildi
boʻlganida	bolgEnidE
boʻlimida	bolimidE
boʻlinishi	boliniSi
davlatni	dEvlEtni
dengizga	deNizgE
dengizlar	deNizlEr
doyr	doyr
foiz	foiz
gap	gEp
haq	hEq
harf	hErf
hisoblaydi	hisoblEydi
hosilalari	hosilElEri
inqilobiy	inqilobiy
ion	ion
isitish	isitiS
ixtiyoriy	iXtiyoriy
jahonda	jEhondE
kamayishi	kEmEyiSi
kapitali	kEpitEli
kenja	kenjE
ketishiga	ketiSigE
kiritiladi	kiritilEdi
koʻrinishlari	koriniSlEri
mamlakatdagi	mEmlEkEtdEgi
manbalar	mEnbElEr
masofaga	mEsofEgE
mavjudligini	mEvjudligini
maydonlar	mEydonlEr
mazmunini	mEzmunini
miniatyura	miniEtyurE
mintaqalarida	mintEqElEridE
miqdorida	miqdoridE
molekulalar	molekulElEr
molekulyar	molekulyEr
narxi	nErXi
navbatda	nEvbEtdE
neolit	neolit
odat	odEt
orqaga	orqEgE
oshirgan	oSirgEn
oʻrnatgan	ornEtgEn
qarash	qErES
qonuniy	qonuniy
qoʻllagan	qollEgEn
qoʻshilishi	qoSiliSi
quvurlar	quvurlEr
quvurlari	quvurlEri
rahbarlari	rEhbErlEri
rejasi	rejEsi
respublikada	respublikEdE
rozi	rozi
sharoitlar	SEroitlEr
silindr	silindr
sirtida	sirtidE
soʻzlashadi	sozlESEdi
taalluqli	tEElluqli
takomillashtirish	tEkomillEStiriS
taraqqiyotiga	tErEqqiyotigE
taxta	tEXtE
tayyorlagan	tEyyorlEgEn
temperaturada	temperEturEdE
termik	termik
tillarga	tillErgE
ultrabinafsha	ultrEbinEfSE
universal	universEl
ustidagi	ustidEgi
voqealarni	voqeElErni
xato	XEto
xodimlar	XodimlEr
zali	zEli
zaxiralari	zEXirElEri
zona	zonE
Afrikadagi	EfrikEdEgi
Argentina	ErgentinE
Balx	bElX
Barglari	bErglEri
Belgiya	belgiyE
Biz	biz
Butun	butun
G	ge
Iqlimi	iqlimi
Iskandar	iskEndEr
Kengash	keNES
Mevasi	mevEsi
Misrda	misrdE
Oʻzining	oziniN
Qurolli	qurolli
Sharqshunoslik	SErqSunoslik
Shvetsiya	SvetsiyE
T	te
Tohir	tohir
Vaqt	vEqt
Yunoniston	yunoniston
almashinuvining	ElmESinuviniN
ammiak	EmmiEk
aniqlashga	EniqlESgE
asarlarining	EsErlEriniN
asarlarni	EsErlErni
asbobi	Esbobi
bagʻirlarida	bEXirlEridE
birlashmalari	birlESmElEri
birliklar	birliklEr
bn	been
boʻlmasa	bolmEsE
devoriy	devoriy
energetik	energetik
fanga	fENE
hisoblab	hisoblEb
holatdagi	holEtdEgi
imkoni	imkoni
import	import
integral	integrEl
investitsiya	investitsiyE
ishlatilishi	iSlEtiliSi
kelishiga	keliSigE
koʻli	koli
koʻprik	koprik
larning	lErniN
mahorati	mEhorEti
maktablarda	mEktEblErdE
man	mEn
manfaatlarini	mEnfEEtlErini
maydonida	mEydonidE
minglab	miNlEb
munosabatlarini	munosEbEtlErini
muzeylari	muzeylEri
narsalarni	nErsElErni
navi	nEvi
olishgan	oliSgEn
omillari	omillEri
operatsiya	operEtsiyE
organizmida	orgEnizmidE
oxiriga	oXirigE
oʻrganib	orgEnib
oʻyib	oyib
oʻzgarishiga	ozgEriSigE
oʻzlari	ozlEri
oʻzlashtirish	ozlEStiriS
poʻsti	posti
qahramonlar	qEhrEmonlEr
qamoqqa	qEmoqqE
qatnaydi	qEtnEydi
qirol	qirol
qiymat	qiymEt
qonunga	qonuNE
qonuniyatlarini	qonuniyEtlErini
qoʻltigʻi	qoltiXi
rassomi	rEssomi
romantik	romEntik
rudalar	rudElEr
ruh	ruh
saralash	sErElES
sarf	sErf
shifobaxsh	SifobEXS
shogirdlari	SogirdlEri
siyrak	siyrEk
sohalar	sohElEr
soxta	soXtE
surdi	surdi
tadbirlari	tEdbirlEri
talaffuz	tElEffuz
tarixidagi	tEriXidEgi
tasdiqlangan	tEsdiqlENEn
tayyorgarlik	tEyyorgErlik
telegraf	telegrEf
tillarini	tillErini
tovushlar	tovuSlEr
toʻplam	toplEm
tuzumi	tuzumi
unvoniga	unvonigE
urushdan	uruSdEn
uslubda	uslubdE
uslubiy	uslubiy
vazni	vEzni
yetishib	yetiSib
yopishib	yopiSib
yoyilgan	yoyilgEn
Afina	EfinE
Bokuda	bokudE
Britaniyada	britEniyEdE
Madrasa	mEdrEsE
Motors	motors
Musulmon	musulmon
Relyefi	relyefi
Savdo	sEvdo
Shveysariya	SveysEriyE
Sobiq	sobiq
Tanasi	tEnEsi
Tektonik	tektonik
Turon	turon
Vatan	vEtEn
Xavfsizlik	XEvfsizlik
aeroporti	Eeroporti
aholisini	Eholisini
amiri	Emiri
atashadi	EtESEdi
barglari	bErglEri
bizga	bizgE
boqish	boqiS
botanika	botEnikE
butalar	butElEr
deganda	degEndE
dekabr	dekEbr
diplomatiya	diplomEtiyE
egri	egri
eritmalar	eritmElEr
etmoqda	etmoqdE
favqulodda	fEvquloddE
fikriga	fikrigE
gips	gips
guruhning	guruhniN
gʻarbdan	XErbdEn
hayotda	hEyotdE
huzuridagi	huzuridEgi
ishdan	iSdEn
ishlay	iSlEy
istilosi	istilosi
jarayonda	jErEyondE
javoban	jEvobEn
jihatlari	jihEtlEri
keramika	kerEmikE
koʻrinish	koriniS
koʻrsatmoqda	korsEtmoqdE
koʻtarildi	kotErildi
kurashga	kurESgE
madrasasi	mEdrEsEsi
maydoniga	mEydonigE
miqdorining	miqdoriniN
miqdoriy	miqdoriy
miqyosda	miqyosdE
munosabatda	munosEbEtdE
na	nE
nuri	nuri
oshirib	oSirib
oydan	oydEn
oʻgʻil	oXil
oʻrinli	orinli
oʻtkazdi	otkEzdi
p	pe
prinsipi	prinsipi
proton	proton
qavati	qEvEti
qilar	qilEr
qobiliyatini	qobiliyEtini
qoʻyiladigan	qoyilEdigEn
qurgan	qurgEn
rangda	rENdE
romanida	romEnidE
sabablari	sEbEblEri
sh	Sa
shaffof	SEffof
sohilidagi	sohilidEgi
strategik	strEtegik
talabi	tElEbi
taqdiri	tEqdiri
tasodifiy	tEsodifiy
tayanib	tEyEnib
tillaridan	tillEridEn
tomir	tomir
tubi	tubi
tuproqqa	tuproqqE
unsur	unsur
vokal	vokEl
voqelikni	voqelikni
yahudiy	yEhudiy
yarmidan	yErmidEn
yoʻqotish	yoqotiS
yulduzlarning	yulduzlErniN
yura	yurE
zotlari	zotlEri
Abdullayev	EbdullEyev
Abdulloh	Ebdulloh
Afrikaning	EfrikEniN
Alpomish	ElpomiS
Amerikaning	EmerikEniN
Gon	gon
Ipak	ipEk
Italiyada	itEliyEdE
Kattaqoʻrgʻon	kEttEqorXon
Kompaniya	kompEniyE
Navroʻz	nEvroz
Okean	okeEn
Otasi	otEsi
Oʻtkir	otkir
Shusha	SuSE
Vena	venE
Yevropadagi	yevropEdEgi
almashtirish	ElmEStiriS
amaliyotida	EmEliyotidE
aprelda	EpreldE
atomlar	EtomlEr
bajarilgan	bEjErilgEn
banklar	bEnklEr
bitim	bitim
bogʻlari	boXlEri
borligini	borligini
bosimli	bosimli
davlatlarida	dEvlEtlEridE
dengizining	deNiziniN
dollar	dollEr
dollari	dollEri
egadir	egEdir
ekvatorial	ekvEtoriEl
fazo	fEzo
fermentlar	fermentlEr
harakatiga	hErEkEtigE
ibodat	ibodEt
ijaraga	ijErEgE
iktisodiy	iktisodiy
imkoniyatlarini	imkoniyEtlErini
iqtisod	iqtisod
iz	iz
jahondagi	jEhondEgi
k	ka
kanallari	kEnEllEri
kasalliklarga	kEsElliklErgE
kesish	kesiS
ketib	ketib
koʻpayish	kopEyiS
kredit	kredit
kristallar	kristEllEr
kumir	kumir
kuniga	kunigE
mavzudagi	mEvzudEgi
metallarni	metEllErni
molekulalari	molekulElEri
mustaqilligini	mustEqilligini
nazorati	nEzorEti
oqilona	oqilonE
orkestri	orkestri
ostidan	ostidEn
oʻlkashunoslik	olkESunoslik
oʻrganildi	orgEnildi
oʻtilgan	otilgEn
oʻtmishda	otmiSdE
oʻxshaydi	oXSEydi
plastik	plEstik
qarorgohi	qErorgohi
qismlardan	qismlErdEn
qobiq	qobiq
qurishda	quriSdE
qutb	qutb
reaksiyalari	reEksiyElEri
relyefi	relyefi
savdogarlar	sEvdogErlEr
sharqida	SErqidE
shiddatli	SiddEtli
shoirning	SoirniN
silliq	silliq
slavyan	slEvyEn
soʻzning	sozniN
sust	sust
suvining	suviniN
taraqqiyotida	tErEqqiyotidE
tarmoqlar	tErmoqlEr
tayangan	tEyENEn
tekisliklar	tekisliklEr
tishlari	tiSlEri
toshdan	toSdEn
toʻlgan	tolgEn
toʻsiq	tosiq
turini	turini
turtki	turtki
tushirildi	tuSirildi
uglevodorodlar	uglevodorodlEr
umurtqa	umurtqE
veterinariya	veterinEriyE
xoli	Xoli
yerlari	yerlEri
yozgi	yozgi
yutuqlari	yutuqlEri
yuzi	yuzi
zoti	zoti
бир	bir
Berlin	berlin
Diniy	diniy
Ford	ford
Majnun	mEjnun
Nobel	nobel
O	o
Oyning	oyniN
Qrim	qrim
Sanoatda	sEnoEtdE
Soʻng	soN
Soʻz	soz
Tabiat	tEbiEt
Temurning	temurniN
Yaponiyada	yEponiyEdE
Yillik	yillik
askar	EskEr
aylantiradi	EylEntirEdi
balandlik	bElEndlik
belgilash	belgilES
biroz	biroz
bogʻlaydi	boXlEydi
bolaning	bolEniN
boshqariladi	boSqErilEdi
devon	devon
doʻstlik	dostlik
filmlari	filmlEri
fizigi	fizigi
harakatlanadi	hErEkEtlEnEdi
hayotiga	hEyotigE
hukumatining	hukumEtiniN
insonga	insoNE
ionlar	ionlEr
ishgʻol	iSXol
izdan	izdEn
jismlarning	jismlErniN
kasalliklarning	kEsElliklErniN
kengroq	keNroq
komediya	komediyE
koʻrinishga	koriniSgE
limfa	limfE
litsey	litsey
maktablarida	mEktEblEridE
malaka	mElEkE
mansabdor	mEnsEbdor
maqbara	mEqbErE
materiali	mEteriEli
mavsumiy	mEvsumiy
mehnati	mehnEti
mohir	mohir
musika	musikE
narsani	nErsEni
narx	nErX
oldidan	oldidEn
olmadi	olmEdi
oqimining	oqiminiN
oraligʻidagi	orEliXidEgi
ordeni	ordeni
oshirdi	oSirdi
ovlanadi	ovlEnEdi
oxiridan	oXiridEn
oyining	oyiniN
oziklanadi	oziklEnEdi
oʻldirilgan	oldirilgEn
oʻrmonlari	ormonlEri
oʻyinlar	oyinlEr
palatali	pElEtEli
podsholigi	podSoligi
portlash	portlES
qilsa	qilsE
qoida	qoidE
qolmay	qolmEy
qoplab	qoplEb
qoʻriqxonasi	qoriqXonEsi
radioelektronika	rEdioelektronikE
radiosi	rEdiosi
rayoni	rEyoni
salqin	sElqin
sezgir	sezgir
seziladi	sezilEdi
shahrini	SEhrini
sharti	SErti
shaxsga	SEXsgE
singib	siNib
suvlaridan	suvlEridEn
tanlanish	tEnlEniS
tarixda	tEriXdE
tarqalish	tErqEliS
tayyorlaydi	tEyyorlEydi
teatrlar	teEtrlEr
tezlikda	tezlikdE
tizimga	tizimgE
tizimning	tizimniN
tolasi	tolEsi
tuzi	tuzi
uskunalar	uskunElEr
uzatiladi	uzEtilEdi
vazifa	vEzifE
vitamin	vitEmin
xolos	Xolos
xonalar	XonElEr
xoqonligi	Xoqonligi
yozuvlar	yozuvlEr
yoʻllarining	yollEriniN
yuzasining	yuzEsiniN
zarralarning	zErrElErniN
B	be
Bahor	bEhor
Don	don
Gʻ	Xa
Hamma	hEmmE
Hayot	hEyot
Hisor	hisor
Ijroiya	ijroiyE
Ilgari	ilgEri
Muso	muso
Oʻrmon	ormon
Qadimda	qEdimdE
RNK	erenka
Real	reEl
Samarqandga	sEmErqEndgE
Toshkentga	toSkentgE
Turkiyada	turkiyEdE
Xususiy	Xususiy
Yon	yon
Yulduz	yulduz
adabiyotning	EdEbiyotniN
aniqlagan	EniqlEgEn
aniqlandi	EniqlEndi
ansambl	EnsEmbl
atomlari	EtomlEri
avgust	Evgust
baholash	bEholES
belgilariga	belgilErigE
bezlar	bezlEr
birlashib	birlESib
bolalari	bolElEri
bozorida	bozoridE
bronza	bronzE
etila	etilE
fakat	fEkEt
gʻoya	XoyE
gʻoyalarini	XoyElErini
hosili	hosili
imkoniyatiga	imkoniyEtigE
indeys	indeys
intilish	intiliS
iqtisodiyotning	iqtisodiyotniN
iyunda	iyundE
jamiyatlari	jEmiyEtlEri
janubda	jEnubdE
jurnali	jurnEli
kVtsoat	ka vtsoEt
kasal	kEsEl
kelish	keliS
kompaniyalar	kompEniyElEr
koʻriladi	korilEdi
koʻrsatadigan	korsEtEdigEn
mahalla	mEhEllE
mahsulotining	mEhsulotiniN
mamlakatlarga	mEmlEkEtlErgE
mashxur	mESXur
meros	meros
minora	minorE
mintaqalarda	mintEqElErdE
mollar	mollEr
muskullar	muskullEr
musobaqa	musobEqE
muzliklar	muzliklEr
notekis	notekis
olmay	olmEy
oʻzgargan	ozgErgEn
pishadi	piSEdi
poya	poyE
qadim	qEdim
qalay	qElEy
qandaydir	qEndEydir
qaragan	qErEgEn
qatnashib	qEtnESib
qilinayotgan	qilinEyotgEn
qirilib	qirilib
qoʻshilishidan	qoSiliSidEn
respublikasi	respublikEsi
sathidan	sEthidEn
sersuv	sersuv
shahzoda	SEhzodE
shakllana	SEkllEnE
shulardan	SulErdEn
sistemalar	sistemElEr
sistemasini	sistemEsini
sonining	soniniN
stansiyalari	stEnsiyElEri
tadbirkorlik	tEdbirkorlik
taqdirlangan	tEqdirlENEn
tarjimasi	tErjimEsi
tarmoqlarida	tErmoqlEridE
tarqaldi	tErqEldi
tayinlaydi	tEyinlEydi
tebranish	tebrEniS
toʻgʻon	toXon
toʻsqinlik	tosqinlik
tuproqda	tuproqdE
turgʻun	turXun
turizm	turizm
tutish	tutiS
tuzilishida	tuziliSidE
x	Xa
yarmida	yErmidE
yoʻlidagi	yolidEgi
yuzida	yuzidE
zarra	zErrE
Asarlari	EsErlEri
Bakr	bEkr
Belorussiya	belorussiyE
Dindorlari	dindorlEri
Harry	hErry
Hayvonlar	hEyvonlEr
Hukumat	hukumEt
Indoneziya	indoneziyE
Ittifoq	ittifoq
Jamiyat	jEmiyEt
MK	emka
Moskvada	moskvEdE
Neftni	neftni
Shahrisabz	SEhrisEbz
Tashkiloti	tESkiloti
Xorazmiy	XorEzmiy
Yu	yu
Zelandiya	zelEndiyE
agrar	EgrEr
analitik	EnElitik
aniklanadi	EniklEnEdi
anorganik	EnorgEnik
aralashmalar	ErElESmElEr
arboblari	ErboblEri
arpa	ErpE
asarlarning	EsErlErniN
ashyosi	ESyosi
asrlarga	EsrlErgE
avtobuslar	EvtobuslEr
bildirgan	bildirgEn
birlashtirish	birlEStiriS
bizning	bizniN
boʻrtma	bortmE
eriydigan	eriydigEn
etadilar	etEdilEr
farzandi	fErzEndi
gazning	gEzniN
geliy	geliy
global	globEl
harakatni	hErEkEtni
hodisalarning	hodisElErniN
holatida	holEtidE
ijodiyoti	ijodiyoti
janglarda	jENlErdE
jarayonning	jErEyonniN
kelishib	keliSib
kengayishi	keNEyiSi
komissiya	komissiyE
konsentratsiyasi	konsentrEtsiyEsi
kulollik	kulollik
lavozimida	lEvozimidE
malakasini	mElEkEsini
markazdan	mErkEzdEn
mashqlar	mESqlEr
mintaqaviy	mintEqEviy
modellari	modellEri
molik	molik
mukofotiga	mukofotigE
muskullari	muskullEri
mustamlaka	mustEmlEkE
muvozanat	muvozEnEt
namuna	nEmunE
nashriyoti	nESriyoti
navlarini	nEvlErini
nazardan	nEzErdEn
nisbat	nisbEt
odamlarga	odEmlErgE
odatdagi	odEtdEgi
okeanining	okeEniniN
oladilar	olEdilEr
oyi	oyi
oʻqishga	oqiSgE
oʻsmirlar	osmirlEr
pedagog	pedEgog
poliklinika	poliklinikE
qatlamlar	qEtlEmlEr
qonunda	qonundE
qotishmalar	qotiSmElEr
qoʻli	qoli
qul	qul
qurti	qurti
relyef	relyef
rimliklar	rimliklEr
saqlanish	sEqlEniS
saroylar	sEroylEr
savdosi	sEvdosi
sellyuloza	sellyulozE
sezgi	sezgi
shaklli	SEklli
soz	soz
statistik	stEtistik
struktura	strukturE
suzib	suzib
tanga	tENE
tarixan	tEriXEn
tarixga	tEriXgE
tashlaydi	tESlEydi
tasvirlanadi	tEsvirlEnEdi
temuriylar	temuriylEr
terish	teriS
tishli	tiSli
tonna	tonnE
tuban	tubEn
tubida	tubidE
tushuntirish	tuSuntiriS
tuzilishga	tuziliSgE
ulardagi	ulErdEgi
umrining	umriniN
unli	unli
unvon	unvon
vaqtini	vEqtini
vazifani	vEzifEni
vazifasiga	vEzifEsigE
yangidan	yENidEn
yiring	yiriN
yoʻnalishlari	yonEliSlEri
yuziga	yuzigE
zararkunanda	zErErkunEndE
zigʻir	ziXir
ziyon	ziyon
Alp	Elp
Arxeologik	ErXeologik
Bobil	bobil
Fuqarolik	fuqErolik
Gvineya	gvineyE
Jami	jEmi
Jomiy	jomiy
Kon	kon
Majlisi	mEjlisi
Moʻgʻullar	moXullEr
Mudofaa	mudofEE
Murakkab	murEkkEb
Oʻquv	oquv
Prussiya	prussiyE
Sut	sut
akademiyasining	EkEdemiyEsiniN
atrofiga	EtrofigE
bagʻri	bEXri
baravar	bErEvEr
birikib	birikib
bolalarning	bolElErniN
bosilgan	bosilgEn
bosish	bosiS
boʻlagi	bolEgi
boʻlinish	boliniS
buloq	buloq
dagʻal	dEXEl
darajaga	dErEjEgE
darvozasi	dErvozEsi
dengizning	deNizniN
diniga	dinigE
ertak	ertEk
etganlar	etgEnlEr
fortepiano	fortepiEno
foydalanishni	foydElEniSni
fundamental	fundEmentEl
funksiya	funksiyE
gektar	gektEr
hajmdagi	hEjmdEgi
harakatlarni	hErEkEtlErni
harflar	hErflEr
haykal	hEykEl
hisobidan	hisobidEn
hududlari	hududlEri
hududlarni	hududlErni
huzuriga	huzurigE
ibodatxonalar	ibodEtXonElEr
insonparvarlik	insonpErvErlik
jinslaridan	jinslEridEn
joylashtirish	joylEStiriS
kakao	kEkEo
kattaroq	kEttEroq
kelishgan	keliSgEn
kiladi	kilEdi
konstruksiyalar	konstruksiyElEr
kubogi	kubogi
kursi	kursi
kutubxonalar	kutubXonElEr
kuzatilgan	kuzEtilgEn
l	el
larni	lErni
lazer	lEzer
liniyalari	liniyElEri
loy	loy
madaniyatiga	mEdEniyEtigE
mahsuli	mEhsuli
maktabini	mEktEbini
mavsum	mEvsum
moyli	moyli
munosabatlarning	munosEbEtlErniN
muzlik	muzlik
muzokaralar	muzokErElEr
nihoyat	nihoyEt
nikoh	nikoh
oilasida	oilEsidE
orolda	oroldE
oshishi	oSiSi
oʻgʻillari	oXillEri
oʻtaydi	otEydi
patologik	pEtologik
politexnika	politeXnikE
prof	prof
puxta	puXtE
qahramonlik	qEhrEmonlik
qaram	qErEm
qarshiligi	qErSiligi
qirollik	qirollik
qishki	qiSki
qishloqlar	qiSloqlEr
qoʻydi	qoydi
quroli	quroli
ravnaq	rEvnEq
rejalashtirilgan	rejElEStirilgEn
sababdan	sEbEbdEn
sevgi	sevgi
shakllanish	SEkllEniS
shakllarini	SEkllErini
sharda	SErdE
shariat	SEriEt
sotsialistik	sotsiElistik
statistika	stEtistikE
suvdan	suvdEn
tajribalar	tEjribElEr
talablariga	tElEblErigE
tarafdori	tErEfdori
tasnifi	tEsnifi
taxt	tEXt
tipi	tipi
topiladi	topilEdi
toʻlash	tolES
toʻplagan	toplEgEn
tugaydi	tugEydi
tugʻadi	tuXEdi
tutiladi	tutilEdi
tuya	tuyE
uyushma	uyuSmE
vazifalarini	vEzifElErini
video	video
viloyatning	viloyEtniN
yaroqli	yEroqli
yashashi	yESESi
yoʻnalgan	yonElgEn
zamburugʻlar	zEmburuXlEr
zarralari	zErrElEri
zaxirasi	zEXirEsi
zonalar	zonElEr
Abdullaxon	EbdullEXon
Albatta	ElbEttE
Arabiston	ErEbiston
Aristotel	Eristotel
Bargi	bErgi
Buxoroning	buXoroniN
Falastin	fElEstin
Hindistonga	hindistoNE
Italiyaning	itEliyEniN
Jinoyat	jinoyEt
Juda	judE
Metallurgiya	metEllurgiyE
Movarounnahrda	movErounnEhrdE
Muayyan	muEyyEn
Muqimiy	muqimiy
Mustaqil	mustEqil
Muzey	muzey
Napoleon	nEpoleon
Organik	orgEnik
P	pe
Pekin	pekin
Peterburg	peterburg
Tosh	toS
Ularga	ulErgE
Universiteti	universiteti
Vengriya	veNriyE
Yarim	yErim
al	El
aralashib	ErElESib
asarlariga	EsErlErigE
askarlari	EskErlEri
astasekin	EstEsekin
avlodi	Evlodi
aytilgan	EytilgEn
bayrogʻi	bEyroXi
berk	berk
bezi	bezi
bogʻlanish	boXlEniS
bojxona	bojXonE
borganlar	borgEnlEr
bozorda	bozordE
boʻlganligidan	bolgEnligidEn
bulib	bulib
buyruq	buyruq
buziladi	buzilEdi
daromadi	dEromEdi
dasturlari	dEsturlEri
devorining	devoriniN
dramasi	drEmEsi
energiyaning	energiyEniN
er	er
erkinligi	erkinligi
fikrini	fikrini
firma	firmE
gigiyena	gigiyenE
gravitatsion	grEvitEtsion
hajm	hEjm
