abdisere	obdiser3
fri	fri
frieren	frir3n
frifinne	frifin3
frigjøre	friyer3
frihet	frihet
friidrett	friidrEt
frikjenne	friSEn3
friklatring	friklotriN
frimerke	frimErk3
frimodig	frimudi
frimodige	frimudi3
frimodigere	frimudir3
frimodigst	frimudikst
frimodigste	frimudikst3
frisere	friser3
frisk	frisk
friste	frist3
frita	frito
fritid	fritid
fritidspark	fritidspork
fritt	frit
frivillig	frivili
frivillige	frivili3
frivilligere	frivilir3
frivilligst	frivilikst
frivilligste	frivilikst3
fro	fre
frokost	frukost
frokostrom	frukostrum
from	from
frossen	fros3n
frost	frost
frostvæske	frostvEsk3
frottere	froter3
fru	fr3
frukt	fr3kt
fruktbar	fr3ktbor
fruktesløs	fr3kt3sles
fryd	frid
fryde	frid3
frykt	frikt
frykte	frikt3
fryktelig	frikt3li friktli
fryktelige	frikt3li3
frykteligere	frikt3lir3
frykteligst	frikt3likst
frykteligste	frikt3likst3
frynse	frins3
frynsete	frins3t3
fryse	fris3
fråde	frod3
fråtse	frots3
frø	fre
frøken	frek3n
fugl	f3l
fukte	fukt3
fuktig	fukti
fuktige	fukti3
fuktigere	fuktir3
fuktigst	fuktikst
fuktigste	fuktikst3
ful	f3l
full	f3l
fullbefaren	f3lb3for3n
fullbyrde	f3lbid3
fullføre	f3lfer3
fullkommen	f3lkom3n
fullstendig	f3lstEni
fullstendige	f3lstEni3
fullstendigere	f3lstEnir3
fullstendigst	f3lstEnikst
fullstendigste	f3lstEnikst3
fult	f3lt
fundamental	f3nom3ntol
fundamentalistisk	f3nom3ntolistisk
fungere	f3Nger3
funkle	fuNkl3
funn	f3n
fure	f3r3
furte	f3t3
furu	f3r3
fusjonere	f3Suner3
fuske	f3sk3
fyke	fik3
fyldig	fildi
fyldige	fildi3
fyldigere	fildir3
fyldigst	fildikst
fyldigste	fildikst3
fylke	filk3
fylle	fil3
fylt	filt
fyr	fir
fyre	fir3
fyren	fiin
fyrer	fir3r
fyrstelig	fiSt3li
fyrstelige	fiSt3li3
fyrsteligere	fiSt3lir3
fyrsteligst	fiSt3likst
fyrsteligste	fiSt3likst3
fyrstikk	fiStik
fyrverkeri	firvErk3ri
fysiologisk	fisiulogisk
fysisk	fisisk
få	fo
få lov til	folovtil
få vite	fovit3
fåfengt	fofENt
fåmælt	fomelt
får	for
fårete	for3t3
fæl	fEl
færøysk	fErEysk
fòr	for
fór	fur
fôr	fur
fôre	fur3
føde	fed3
fødested	fed3sted
fødsel	fEts3l
fødselsdag	fEts3lsdog
født	fEt
føle	fel3
følelse	fel3ls3
følelsesløs	fel3ls3sles
følg	fEl
følge	fEl3
følsom	felsom
føn	fen
føne	fen3
før	fer
føre	fer3
først	fESt
første	fESt3
første etasje	fESt3EtoS3
første gir	fESt3gir
førstehjelp	fESt3yElp
førstehånds	fESt3hons
førsteklasses	fESt3klos3s
førti	fEti
føye	fEy3
føyelig	fEy3li
føyelige	fEy3li3
føyeligere	fEy3lir3
føyeligst	fEy3likst
føyeligste	fEy3likst3
gabbro	gobru
gaffel	gof3l
gagne	goNn3
gal	gol
galant	golont
gale	gol3
galleri	gol3ri
galoppere	goloper3
galskap	golskop
gamlebyen	goml3bi3n
gammel	gomol gom3l
gammeldags	gom3ldoks
gamp	gomp
gane	gon3
gang	goN
gangbru	goNbr3
gange	goN3
gangen	goN3n
ganske	gonsk3
gape	gop3
garantere	goronter3
garanti	goronti
gard	gor
garde	god3
gardere	goder3
garderobe	god3rob3
gardin	godin
gardist	godist
gasse	gos3
gassflaske	gosflosk3
gastronomisk	gostrunumisk
gate	got3
gauk	gEwk
gaule	gE3l3
gaupe	gE3p3
gav	go
gave	gov3
gavl	govl
gavmild	govmil
geboren	g3bor3n
gebrokken	g3brok3n
gebyr	gebir
gedigen	g3dig3n
gehen	ge3n
geipe	yEip3
geistlig	gEistli
geistlige	gEistli3
geistligere	gEistlir3
geistligst	gEistlikst
geistligste	gEistlikst3
geit	yEit
geita	yEito
geitost	yEitust
gelatin	SElotin
gelb	gElp
gemen	g3men
generalisere	gEn3roliser3
genere	SEner3
generell	S3n3rEl
genetisk	g3netisk
genial	g3niol
genser	gEns3r
genseren	gEnsEn
genug	g3nuk
genuin	g3n3in
genève	SEnev
geografisk	g3ugrofisk
geologisk	g3ulogisk
geometrisk	g3umetrisk
gerilja	gErilyo
gesims	gEsims
geskjeftig	g3SEfti
geskjeftige	g3SEfti3
geskjeftigere	g3SEftir3
geskjeftigst	g3SEftikst
geskjeftigste	g3SEftikst3
gestikulere	gEstik3ler3
gevinst	gevinst
gewinnen	g3vin3n
gi	yi
gi tilbake	yitilbok3
gi ut	yi3t
gidde	gid3
giddeløs	gid3les
gift	yift
gifte	yift3
gifte seg	yift3sEi
giftig	yifti
giftige	yifti3
giftigere	yiftir3
giftigst	yiftikst
giftigste	yiftikst3
gigantisk	gigontisk
giktisk	yiktisk
gild	yil
gipse	yips3
gir	gir
gire	gir3
girkasse	girkos3
giro	Siru
gisp	yisp
gispe	yisp3
gissel	gis3l
givende	yiv3n3
gjalle	yol3
gjeld	yEl
gjelde	yEl3
gjelle	yEl3
gjemme	yEm3
gjendrive	yEndriv3
gjenge	yEN3
gjengi	yEnyi
gjengjelde	yEnyEl3
gjengs	yENs
gjenkjenne	yEnSEn3
gjennom	yEnom
gjennomføre	yEnomfer3
gjennomgå	yEnomgo
gjennomgående	yEnomgo3n3
gjennomreise	yEnumrEis3
gjennomsiktig	yEnomsikti
gjennomsiktige	yEnomsikti3
gjennomsiktigere	yEnomsiktir3
gjennomsiktigst	yEnomsiktikst
gjennomsiktigste	yEnomsiktikst3
gjennomskue	yEnomsk33
gjennomsnittlig	yEnomsnitli
gjennomsnittlige	yEnomsnitli3
gjennomsnittligere	yEnomsnitlir3
gjennomsnittligst	yEnomsnitlikst
gjennomsnittligste	yEnomsnitlikst3
gjennomstekt	yEnumstekt
gjennomsøke	yEnomsek3
gjennomtrengende	yEnomtrEN3n3
gjennomvåt	yEnomvot
gjenopplive	yEnopliv3
gjenopprette	yEnoprEt3
gjenoppta	yEnopto
gjensidig	y3nsidi
gjensidige	y3nsidi3
gjensidigere	y3nsidir3
gjensidigst	y3nsidikst
gjensidigste	y3nsidikst3
gjenstand	yEnston
gjenta	yEnto
gjenvinne	yEnvin3
gjerde	yEr3
gjerne	yEn3
gjerrig	yEri
gjerrige	yEri3
gjerrigere	yErir3
gjerrigknark	yEriknork
gjerrigst	yErikst
gjerrigste	yErikst3
gjert	yEt
gjesp	yEsp
gjespe	yEsp3
gjess	yEs
gjest	yEst
gjeste	yEst3
gjestfri	yEstfri
gjestfrihet	yEstfrihet
gjete	yet3
gjetning	yEtniN
gjette	yEt3
gjev	yev
gjær	yEr
gjære	yEr3
gjø	ye
gjødsle	yEtsl3
gjør	yer
gjøre	yer3
gjøre rent	yer3rEnt
gjøre vondt	yer3vunt
gjørme	yErm3
glad	glo
glad for	glofor
glane	glon3
glass	glos
glatt	glot
glatte	glot3
glede	gled3
glede seg over	gled3sEiov3r
glede seg til	gled3sEitil
gledelig	gled3li
gledelige	gled3li3
gledeligere	gled3lir3
gledeligst	gled3likst
gledeligste	gled3likst3
gledeshyl	gled3shil
gledestrålende	gled3strol3n3
glefse	glEfs3
glemme	glEm3
glemsk	glEmsk
glemsom	glEmsom
gli	gli
glidefly	glid3fli
glimre	glimr3
glimrende	glimr3n3
glimte	glimt3
glinse	glins3
glipe	glip3
glippe	glip3
glise	glis3
glissen	glis3n
glitre	glitr3
glitrende	glitr3n3
glo	glu
global	glubol
glorete	glur3t3
glovarm	gluvorm
glup	gl3p
glupsk	gl3psk
gløde	gled3
gløgg	glEg
gløtte	glEt3
gnage	gnog3
gneldre	gnEldr3
gni	gni
gnier	gni3r
gnikke	gnik3
gnisse	gnis3
gnistre	gnistr3
gnåle	gnol3
god	gu
godarta	guoto
godartet	guoto
godgjøre	guyer3
godhjerta	guyEto
godhjertet	guyEto
godkjenne	guSEn3
godlynt	gulint
gods	gus
godslig	guSLi
godslige	guSLi3
godsligere	guSLir3
godsligst	guSLikst
godsligste	guSLikst3
godsvogn	gudsvoNn
godt	got
godta	guto
godte	got3
godteri	got3ri
godtroende	gutru3n3
golf	golf
golfklubb	golfkl3b
golfkølle	golfkEl3
golv	golv
gomle	guml3
goro	guru
gotikk	gutik
gra	gro
gradere	groder3
grafikk	grofik
grafisk	grofisk
grafse	grofs3
gram	grom
grammatikalitet	gromotikolitet
grammatikalsk	gromotikolsk
grammatikken	gromotikn
grammatisk	gromotisk
gran	gron
grann	gron
granne	gron3
granske	gronsk3
grasplen til å sole seg på	grosplentilosul3sEipo
grate	grot3
gratinert	grotinet
gratis	grotis
gratulere	grot3ler3
grav	grov
grave	grov3
gravere	grover3
graverende	grover3n3
gravid	grovid
graviditet	groviditet
gravlegge	grovlEi3
gravstein	grovstEin
gre	gre
grei	grEi
greie	grEi3
grell	grEl
gremme	grEm3
grense	grEns3
grenseløs	grEns3les
grenseovergang	grEns3ov3rgoN
grepa	grepo
gresk	gresk
gresse	grEs3
gresselig	grEs3li
gresselige	grEs3li3
gresseligere	grEs3lir3
gresseligst	grEs3likst
gresseligste	grEs3likst3
gresskar	grEskor
gretten	grEt3n
greve	grev3
grill	gril
grille	gril3
grillet	gril3t
grilltenner	griltEn3r
grim	grim
grimme	grim3
grine	grin3
grinete	grin3t3
gripende	grip3n3
gris	gris
grisen	grisn
grisete	gris3t3
grisk	grisk
gro	gru
grom	grum
grotesk	grutEsk
grotte	grot3
grov	grov
grovt	groft
gruble	gr3bl3
grue	gr33
grufull	gr3f3l
grums	grums
grumsete	grums3t3
grundig	gr3ni
grundige	gr3ni3
grundigere	gr3nir3
grundigst	gr3nikst
grundigste	gr3nikst3
grunn	gr3n
grunne	gr3n3
grunngi	gr3nyi
grunnlag	gr3nlog
grunnlegge	gr3nlEi3
grunnleggende	gr3nlEi3n3
grunnløs	gr3nles
gruppe	gr3p3
gruppere	gr3per3
grusom	gr3som
gry	gri
grynte	grint3
grytestekt	grit3stekt
grå	gro
grådig	grodi
grådige	grodi3
grådigere	grodir3
grådigst	grodikst
grådigste	grodikst3
gråne	gron3
gråte	grot3
grått	grot
grønlandsk	grEnlonsk
grønn	grEn
grønne bønner	grEn3bEn3r
grønnlig	grEnli
grønnsak	grEnsok
grønske	grEnsk3
grønt forsikringskort	grEnt foSikriNs kot
grønt kort	grEnt kot
grøsse	grEs3
grøtete	gret3t3
guano	g3wonu
gubbe	g3b3
gud	g3d
guddommelig	g3dom3li
guddommelige	g3dom3li3
guddommeligere	g3dom3lir3
guddommeligst	g3dom3likst
guddommeligste	g3dom3likst3
guffen	g3fn g3f3n
guide	goid
gul	g3l
gull	g3l
gulpe	g3lp3
gulrot	g3lrut
gult	g3t
gulv	g3lv
gunstig	g3nsti
gunstige	g3nsti3
gunstigere	g3nstir3
gunstigst	g3nstikst
gunstigste	g3nstikst3
gurgle	g3rgl3
gusten	g3st3n
gut	gut
gutt	g3t
gylden	yiln
gyldig	yildi
gyldige	yildi3
gyldigere	yildir3
gyldigst	yildikst
gyldigste	yildikst3
gyllen	yil3n
gymnastikk	gimnostik
gynekologisk	gin3kulogisk
gynge	yiN3
gyse	yis3
gyselig	yis3li
gyselige	yis3li3
gyseligere	yis3lir3
gyseligst	yis3likst
gyseligste	yis3likst3
gyte	yit3
gyve	yiv3
gå	go
gå over	goov3r
gå på ski	gopoSi
gå seg vill	gosEivil
gå vekk	govEk
gåen	go3n
gågate	gugot3
gård	gor
gås	gos
gåtefull	got3f3l
gæren	gEEn
gørr	gEr
gøtt	gEt
gøy	gEy
gøyal	gEyol
ha	ho
ha det travelt	hodEtrov3lt
habil	hobil
hage	hog3
hagle	hogl3
hai	hEi
haike	hEik3
hake	hok3
hakke	hok3
hakket	hok3t
hale	hol3
hall	hol
hallusinere	hol3siner3
hals	hols
halsbetennelse	holsbEtEnEls3
halsbrann	holsbron
halsbrekkende	holsbrEk3n3
halt	holt
halte	holt3
halv	hol
halvdel	holdel
halvere	holver3
halvpensjon	holpoNSun
halvtørr	holtEr
halvår	holor
halvøy	holEy
hamle	homl3
hammer	hom3r
hamre	homr3
hamster	homst3r
hamstre	homstr3
han	hon
handfast	honfost
handgripelig	hongrip3li
handgripelige	hongrip3li3
handgripeligere	hongrip3lir3
handgripeligst	hongrip3likst
handgripeligste	hongrip3likst3
handheve	honhev3
handhilse	honhils3
handlaga	honlog3t
handlaget	honlog3t
handle	honl3
handling	hondliN
handtere	honter3
hangle	hoNl3
hanlig	honli
hanlige	honli3
hanligere	honlir3
hanligst	honlikst
hanligste	honlikst3
hann	hon
hannkjønn	honSEn
hans	hons
hanske	honsk3
hanskes	honsk3s
har	hor
harald	horol
hard	hor
hardbarka	horborko
hardbarket	horbork3t
hardhendt	horhEnt
hardnakka	honoko
hardnakket	honok3t
harke	hork3
harm	horm
harme	horm3
harmløs	hormles
harmonere	hormuner3
harmonisere	hormuniser3
harmonisk	hormunisk
harpe	horp3
harry	hori
harselere	hoS3ler3
harsk	hoSk
hasardiøs	hosodies
hassel	hos3l
hasselnøtt	hos3lnEt
haste	host3
hastig	hosti
hastverk	hostvErk
hat	hot
hate	hot3
hatsk	hotsk
hatt	hot
hatten	hotn
haug	hE3
hauk	hEwk
hausse	hE3s3
hav	hov
havarere	hovorer3
havfrue	hovfr33
havn	hovn
havne	hovn3
havre	hovr3
havregryn	hovr3grin
hebraisk	h3broisk
hedensk	hed3nsk
heder	hed3r
hederlig	hed3Li
hederlige	hed3Li3
hederligere	hed3Lir3
hederligst	hed3Likst
hederligste	hed3Likst3
hedre	hedr3
hefte	hEft3
hei	hEi
heidundrende	hEid3ndr3n3
heie	hEi3
heis	hEis
heise	hEis3
hekk	hEk
hekle	hEkl3
hekseskudd	hEks3sk3d
hekte	hEkt3
hektisk	hEktisk
hel	hel
helbrede	h3lbred3
heldig	hEldi
heldige	hEldi3
heldigere	hEldir3
heldigst	hEldikst
heldigste	hEldikst3
helg	hElg
helgardere	helgoder3
helgepris	hElg3pris
helikopter	h3likopt3r
helle	hEl3
heller ikke	hEl3rik3
hellig	hEli
hellige	hEli3
helligere	hElir3
helligst	hElikst
helligste	hElikst3
helmer	hElm3r
helpensjon	helpoNSun
helse	hEls3
helseskadelig	hEls3skodli
helseskadelige	hEls3skodli3
helseskadeligere	hEls3skodlir3
helseskadeligst	hEls3skodlikst
helseskadeligste	hEls3skodlikst3
helst	hElst
helt	helt
heltemodig	hElt3mudi
heltemodige	hElt3mudi3
heltemodigere	hElt3mudir3
heltemodigst	hElt3mudikst
heltemodigste	hElt3mudikst3
helvete	hElv3t3
helvetes	hElv3t3s
hemme	hEm3
hemmelig	hEm3li
hemmelige	hEm3li3
hemmeligere	hEm3lir3
hemmelighetsfull	hEm3lihetsf3l
hemmeligholde	hEm3lihol3
hemmeligst	hEm3likst
hemmeligste	hEm3likst3
hemningsløs	hEmniNsles
hende	hEn3
hendelig	hEn3li
hendelige	hEn3li3
hendeligere	hEn3lir3
hendeligst	hEn3likst
hendeligste	hEn3likst3
hendig	hEni
hendige	hEni3
hendigere	hEnir3
hendigst	hEnikst
hendigste	hEnikst3
henføre	hEnfer3
henge	hEN3
hengi	hEnyi
hengslete	hENSL3t3
henlede	hEnled3
henlegge	hEnlEi3
henne	hEn3
hennes	hEn3s
henrette	hEnrEt3
henrik	hEnrik
henrykke	hEnrik3
hensiktsmessig	hEnsiktsmEsi
hensiktsmessige	hEnsiktsmEsi3
hensiktsmessigere	hEnsiktsmEsir3
hensiktsmessigst	hEnsiktsmEsikst
hensiktsmessigste	hEnsiktsmEsikst3
henstille	hEnstil3
hensynsfull	hEnsinsf3l
hensynsløs	hEnsinsles
hente	hEnt3
hentyde	hEntid3
henvende	hEnvEn3
henvise	hEnvis3
her	hEr
herberge	hErbErg3
herde	hEd3
herje	hEry3
herlig	hELi
herlige	hELi3
herligere	hELir3
herligst	hELikst
herligste	hELikst3
herme	hErm3
hermetikk	h3rmEtik
hermetisere	hErm3tiser3
hermetisk	hErmetisk
herre	hEr3
herreløs	hEr3les
herrer	hEr3r
herse	hES3
herskapelig	hESkop3li
herskapelige	hESkop3li3
herskapeligere	hESkop3lir3
herskapeligst	hESkop3likst
herskapeligste	hESkop3likst3
herske	hESk3
hes	hes
heseblesende	hes3bles3n3
hesje	hES3
hest	hEst
hesten	hEst3n
hestesko	hEst3sku
het	het
hete	het3
heteroseksuell	het3rus3ks3El
hetse	hEts3
hevd	hEvd
hevde	hEvd3
heve	hev3
hevelse	hevEls3
hevn	hEvn
hevne	hEvn3
hevngjerrig	hEvnyEri
hevngjerrige	hEvnyEri3
hevngjerrigere	hEvnyErir3
hevngjerrigst	hEvnyErikst
hevngjerrigste	hEvnyErikst3
hierarkisk	hi3rorkisk
hige	hig3
hikke	hik3
hikste	hikst3
hilse	hils3
hilse på	hils3po
hilsen	hilsn
himle	himl3
himmel	him3l
himmelfallen	him3lfol3n
himmelsk	him3lsk
hindre	hindr3
hinduistisk	hin3istisk
hinke	hiNk3
hipp	hip
hisse	his3
hissig	hisi
hissige	hisi3
hissigere	hisir3
hissigst	hisikst
hissigste	hisikst3
historie	histuri3
historisk	histurisk
hittil	hitil
hive	hiv3
hjelm	yElm
hjelp	yElp
hjelpe	yElp3
hjelpe noen	yElp3nu3n
hjelpeløs	yElp3les
hjelpesenter	yElp3sEnt3r
hjelpsom	yElpsom
hjem	yEm
hjemland	yEmlon
hjemlig	yEmli
hjemlige	yEmli3
hjemligere	yEmlir3
hjemligst	yEmlikst
hjemligste	yEmlikst3
hjemløs	yEmles
hjemme	yEm3
hjemmefra	yEm3fro
hjemmelaget	yEm3log3t
hjemreise	yEmrEis3
hjemsted	yEmste yEmsted
hjerne	yEn3
hjernerystelse	yEn3rist3ls3
hjerneslag	yEn3SLog
hjernevaske	yEn3vosk3
hjerte	yEt3
hjerteanfall	yEt3onfol
hjertelig	yEt3li
hjertelige	yEt3li3
hjerteligere	yEt3lir3
hjerteligst	yEt3likst
hjerteligste	yEt3likst3
hjerteløs	yEt3les
hjertens	yEt3ns
hjerteskjærende	yEt3SEr3n3
hjul	y3l
hjulbent	yulbent
hjørne	yen3
hode	hud3
hodepine	hud3pin3
hodepute	hud3p3t3
hodesett	hud3sEt
hofte	hoft3
hogge	hog3
hoie	huy3
holdbar	holbor
holde	hol3
holden	hold3n
holdning	holdniN
homofil	humufil
homofili	humufili
honning	honiN
honningmelon	honiNmElun
honorere	hunurer3
hope	hup3
hoppe	hop3
hore	hur3
horisontal	horisontol
hormonell	hurmunEl
horn	hun
horribel	horib3l
hos	hus
hoste	hust3
hostesaft	hust3soft
hotellgarasje	hutElgoroS3
hovedgate	huv3dgot3
hovedrett	huv3drEt
hovedrolle	huvEdrol3
hovedsakelig	huv3dsokli
hovedsakelige	huv3dsokli3
hovedsakeligere	huv3dsoklir3
hovedsakeligst	huv3dsoklikst
hovedsakeligste	huv3dsoklikst3
hovedstad	huv3dstod
hoven	hov3n
hovere	hover3
hovmodig	hovmudi
hovmodige	hovmudi3
hovmodigere	hovmudir3
hovmodigst	hovmudikst
hovmodigste	hovmudikst3
hovne	hovn3
hubro	h3bru
hud	h3d
hudflette	h3dflEt3
huie	h3y3
huke	h3k3
hukommelse	h3kom3ls3
hul	h3l
hule	h3l3
hulke	h3lk3
hull	h3l
hullete	h3l3t3
human	h3mon
humanitær	h3monitEr
humle	huml3
humoristisk	h3muristisk
humpe	hump3
humpete	hump3t3
humre	humr3
hun	h3n
hund	h3n
hundre	h3ndr3
hundreogen	h3ndr3oen
hundreår	h3ndr3or
hundse	h3ns3
hungre	huNr3
hunn	h3n
hurpe	h3rp3
hurtig	h3ti
hurtige	h3ti3
hurtigere	h3tir3
hurtigst	h3tikst
hurtigste	h3tikst3
hus	h3s
husdyr	h3sdir
huse	h3s3
huseier	h3sEi3r
huset	h3s3
husholdningsartikler	h3sholdniNsotikl3r
huske	h3sk3
husly	h3sli
husnummer	h3snum3r
hutre	h3tr3
hva	vo
hva for ei	voforEi
hva for en	voforen
hval	vol
hvass	kvos
hvelve	vElv3
hver	vEr
hver dag	vEdog
hver time	vEtim3
hver uke	vEr3k3
hverdagslig	vEdokSLi
hverdagslige	vEdokSLi3
hverdagsligere	vEdokSLir3
hverdagsligst	vEdokSLikst
hverdagsligste	vEdokSLikst3
hvese	ves3
hvete	vet3
hvile	vil3
hvile ut	vil33t
hvis	vis
hviske	visk3
hvit	vit
hvitløk	vitlek
hvitmaling	vitmoliN
hvitt	vit
hvitvin	vitvin
hvordan	vudon
hygge	hig3
hyggelig	hig3li
hyggelige	hig3li3
hyggeligere	hig3lir3
hyggeligst	hig3likst
hyggeligste	hig3likst3
hygienisk	higienisk
hyklersk	hikl3Sk
hyl	hil
hyle	hil3
hylle	hil3
hylster	hilst3r
hylt	hilt
hylte	hilt3
hyperaktiv	hip3roktiv
hypermoderne	hip3rmudEn3
hypnotisere	hipnutiser3
hypokonder	hipukon3r
hypotetisk	hiputetisk
hyppig	hipi
hyppige	hipi3
hyppigere	hipir3
hyppigst	hipikst
hyppigste	hipikst3
hyre	hir3
hysje	hiS3
hysterisk	histerisk
hytta	hito
hytte	hit3
håkon	hokon
hålke	holk3
hånd	hon
håndball	honbol
håndfast	honfost
håndgripelig	hongrip3li
håndgripelige	hongrip3li3
håndgripeligere	hongrip3lir3
håndgripeligst	hongrip3likst
håndgripeligste	hongrip3likst3
håndheve	honhev3
håndhilse	honhils3
håndkle	hoNkle
håndkrem	honkrEm
håndlaga	honlog3t
håndlaget	honlog3t
håndlist	honlist
håndtak	hontok
håndtere	honter3
håne	hon3
hånflire	honflir3
hånlig	honli
hånlige	honli3
hånligere	honlir3
hånligst	honlikst
hånligste	honlikst3
håp	hop
håpe	hop3
håpefull	hop3f3l
håpløs	hoples
hår	hor
hårete	hor3t3
hårfin	horfin
hårgele	hoSEle
hårreisende	horEis3n3
håve	hov3
hæl	hel
hær	hEr
høflig	hEfli
høflige	hEfli3
høfligere	hEflir3
høfligst	hEflikst
høfligste	hEflikst3
hølje	hEly3
høre	her3
høre på en	her3poen
hørsel	hES3l
hørselskadet	hES3lskod3t
hørt	hEt
hørte	hEt3
høst	hEst
høste	hEst3
høve	hev3
høvel	hEv3l
høvelig	hev3li
høvelige	hev3li3
høveligere	hev3lir3
høveligst	hev3likst
høveligste	hev3likst3
høy	hEy
høyde	hEyd3
høydeformat	hEid3fumot
høydepunkt	hEid3punkt
høylytt	hEylit
høyne	hEyn3
høyre	hEyr3
høyrehendt	hEyr3hEnt
høyskole	hEyskul3
høyspenning	hEisp3niN
høyst	hEyst
høytidelig	hEytid3li
høytidelige	hEytid3li3
høytideligere	hEytid3lir3
høytideligst	hEytid3likst
høytideligste	hEytid3likst3
høyttaler	hEytol3r
i	i
i blant	iblont
i dag	idog
i det minste	idEminst3
i går	igor
i helgen	ihElg3n
i kveld	ikvEl
i morgen kveld	imonkvEl
i morgen tidlig	imontidli
i overmorgen	iov3rmo3n
i rett tid	irEt ti
i slekt	iSLEkt
i stedet for	isted3for
i stykker	istik3r
i tillegg	itilEg
iaktta	iokto
iberegne	ib3rEin3
iblant	iblont
ideal	id3ol
idealisere	id3oliser3
idealistisk	id3olistisk
ideell	id3El
identifisere	id3ntifiser3
identisk	idEntisk
ideologisk	id3ulogisk
idiomatisk	idiumotisk
idiotisk	idiutisk
idrettskvinne	idrEtskvin3
idrettsmann	idrEtsmon
idrettsplass	idrEtsplos
idyllisk	idilisk
idé	ide
ifølge	ifElg3
igjen	iyEn
igle	igl3
ignorere	ignurer3
iherdig	ihEdi
iherdige	ihEdi3
iherdigere	ihEdir3
iherdigst	ihEdikst
iherdigste	ihEdikst3
ikke	ik3
ikke-røykere	ik3rek3r3
ild	il
ile	il3
ilegge	ilEi3
ille	il3
illegal	il3gol
illojal	iluyol
illustrere	il3strer3
ilter	ilt3r
imaginær	imoginEr
imitere	imiter3
immatrikulere	imotrik3ler3
immigrere	imigrer3
immun	im3n
imperativ	impErotiv
imperium	imperi3m
implisere	impliser3
imponere	impuner3
importere	impoter3
impregnere	impr3gner3
impresjonisme	imprESunism3
improvisere	impruviser3
impulsiv	imp3lsiv
imøtegå	imet3go
imøtekomme	imet3kom3
inderlig	in3Li
inderlige	in3Li3
inderligere	in3Lir3
inderligst	in3Likst
inderligste	in3Likst3
indignert	inignet
indikere	iniker3
indirekte	inirEkt3
indisk	inisk
individuell	inivid3El
indoktrinere	inoktriner3
indre	indr3
industriell	in3striEl
ineffektiv	inEf3ktiv
infam	infom
infeksjon	infEkSun
inferno	infEnu
infiltrere	infiltrer3
infisere	infiser3
informasjon	informoSun
informativ	informotiv
informere	informer3
informere seg	infomEr3sEi
informieren	informir3n
infusjon	inf3Sun
ingen	iN3n
ingen steder	iN3nsted3r
ingeniør	inS3nyer
ingenting	iN3ntiN
inhabil	inhobil
inhalere	inholer3
initiere	initsier3
injisere	inyiser3
inkludere	inkl3der3
inkludert	inkl3dEt
inklusiv	inkl3siv
inkompatibel	inkumpotib3l
inkompetent	inkump3tEnt
inkonsekvent	inkuns3kvEnt
innadvendt	inodvEnt
innarbeide	inorbEid3
innbakt	inbokt
innbefatte	inb3fot3
innbille	inbil3
innbilning	imbilniN imbilniN
innbilsk	inbilsk
innbitt	inbit
innbringende	inbriN3n3
innby	inbi
innbydende	inbid3n3
innbygger	inbig3r
innbyrdes	inbid3s
innbytter	imbit3r
inne	in3
innebære	in3bEr3
inneha	in3ho
inneholde	in3hol3
innen	in3n
innendørs	in3neS
innenfor	in3nfor
innenriks	in3nriks
innenriksfly	in3nriksfli
innertak	in3tok
inneslutta	in3SL3t3t
innesluttet	in3SL3t3t
inneværende	in3vEr3n3
innfinne	infin3
innflytelse	inflit3ls3
innflytelsesrik	inflit3ls3srik
innfløkt	inflEkt
innfore	infer3
innfri	infri
innfødt	infEt
innføre	infer3
innføring	imferiN
innførsel	imfES3l
inngang	ingoN
inngangsbillett	ingoNsbilEt
inngangspenger	ingoNspEN3r
inngripen	iNgripn
inngå	ingo
inngående	ingo3n3
innhegne	inhEin3
innhente	inhEnt3
innhold	inhol
innholdsløs	inholsles
innholdsrik	inholsrik
innkalle	inkol3
innkassere	inkoser3
innkjørsel	inSES3l
innkvartere	inkvoter3
innlate	inlot3
innlede	inled3
innlegg	inlEi
innlemme	inlEm3
innlevelse	inlev3ls3
innlysende	inlis3n3
innmari	inmori
innordne	inodn3
innpakning	inpokniN
innprente	inprEnt3
innpåsliten	inpoSLit3n
innrede	inred3
innreise	inrEis3
innrette	inrEt3
innrømme	inrEm3
innse	inse
innsjekking	inSEkiN
innsjø	inSe
innskjerpe	inSErp3
innskrenke	inskrEnk3
innskrift	inskrift
innsmigre	insmigr3
innstendig	instEni
innstendige	instEni3
innstendigere	instEnir3
innstendigst	instEnikst
innstendigste	instEnikst3
innstille	instil3
innta	into
inntil	intil
inntrykk	intrik
inntrykksfull	intriksf3lt
innvende	invEn3
innvendig	invEni
innvendige	invEni3
innvendigere	invEnir3
innvendigst	invEnikst
innvendigste	invEnikst3
innvie	invi3
innvikla	inviklo
innvilge	invilg3
innvirke	invirk3
innvortes	invot3s
innynde	inin3
insekt	insEkt
insinuere	insin3er3
insistere	insister3
insolvent	insolvEnt
inspirere	inspirer3
inspisere	inspiser3
installere	instoler3
instinktiv	instiNktiv instiNtiv
instruere	instr3er3
instruktiv	instr3ktiv
instrumental	instr3m3ntol
intakt	intokt
integrere	int3grer3
intellektuell	int3l3kt3El
intelligent	int3ligEnt
intens	intEns
intensiv	int3nsiv
intensivere	int3nsiver3
interaktiv	int3roktiv
interessant	int3r3soN
interessere	int3r3ser3
interessere seg for	int3rEser3sEifor
interessieren	int3rEsir3n
interiør	int3rier
intern	intEn
