we 	w i
Ony	n
abadançylygynyň	a b a d a y ly~ Z 5 a
atletika	a t l e t i k a
barlamak	b a r l a m a k
baýramynyň	b a r a m 3 n 3 a
bedewiniň	b e d e w i n i a
birleşigi	b 3 r l e S i g i
bäsleşige	b 3 w t a S i g e
dermanlyk	d e r ly~
emläge	e m l 3 g e
estrada	e s t r a d a
gozgalmaýan	g o z g a l m o
maksatnamalaryň	k s a t n 3 m o l o cy~ a
meýdança	m e d a a
surata	s u r a t a
suwuň	s u w u a
tehnologiýaly	t e h n o l o g i t a ly~
çykarylýar	k  cy~ l a r
Gazagystan	l a u k a x y a s t a n
Oguzhan	g u Z a n
amerikan	a m e r i k a n
birleşikleriniň	b 3 r l e S i k l e r i n i a
däplerini	d 3 p l e r i n i
edýäris	p i e d 3 r i s
geçýärler	g  r i e l e r
gurluşy	g u r l u S
günde	N nd~ e
hasaplamak	h a s a p l a m a k
maddada	l d a d a
maksatlara	k sw~ L a r a
ministrliginde	m i n i s t r l i g i d e
münberiniň	m i k i n i a
seljermesi	s e l x e r m e s i
tamamlap	t o m o m a p
türgenlerimiz	m a n t r g e n l e r i m i z
ylmyň	y l my~ i n a
Kanuny	n u
abadançylygy	a b a d a y ly~ gy~
agzalan	y z a r a
açmak	a
aýyrmak	a y r m a k
basketbol	b a s k a C b o l
bolmagynda	b o l 3 m y 3 n d a
eýedigini	e e d i g i n i
harytlarynyň	h a cy~ tL~ a X cy~ 5 a
ilçisi	i l i s i
jemagat	j e m a g a t
maksatlar	k sw~ L a r
nah	n a
namalarynyň	n a m a l a ry~ 5 a
zenanlaryň	z e n a  i a
ählisiniň	E h t i l i s i n i a
özleşdirmek	o 3 z l e S d i r w i t a
ýoluny	o l u n
Pyragynyň	y r y 3 n 3 a
baýram	b a r a m
bolmazdan	b o l 3 m a z d a
boş	b o S
buýurmasy	b u u r m a s
däpleri	d 3 p l e r i
gutlap	g u t a p
görmäge	g a r m 3 g e
ibermek	i b e r w i t a
kadalarynyň	k a d a l a cy~ 5 a
kompýuter	m i p u t e r
konsert	q o n i k e r
olardan	o l a r d a n
strategiýasynyň	s t r a t e g i i S k 5 a
syýasatyň	s i m a s a t a
tanşyp	t a n S y p
ygtyýarlyklarynyň	y g Th~ a r ly~ k l o ry~ 5 n
ynanýaryn	y a* a r
zyýanly	z y a* kw~ a
ülňülerine	l a k e l e r i n e
üýtgedilip	3 t g e d i l i p
ýakymly	a k i m kw~ a
ýakynda	a ky~ nd~ a
ýaryşlaryny	a cy~ S
Hindistanyň	i n d i s t a 5 a
adamzadyň	a d a m n d r o o a
düzgün	d 3 z N n
edilmegini	e d i l a w a n i n i
esaslaryny	e s a s l a cy~ n
gazanmagy	g a z a n m a r gy~
gazanýan	g a z a
goýan	g o
gutlaýarys	g u tL~ a X a cy~
göreşmek	g a r e S w i t a
görnüşdäki	g a r tn~ 3 S 8 o r i k i
göterimi	g o t E r i m i
işgäriň	i S g r i e  a
menzili	m e n z i l i
resmileşdirilýär	r e s m i l e S d i r i l 3 r
salynýan	s a ly~ n
senesi	s e n e s i
taryhyna	t a hy~ a
tomaşa	t o m o S a
ygtyýarlyklary	y g T a l a q
ynsanperwerlik	y sh~ 3 n p e r w e r b u C o
çörek	a r e k
ösdürilip	o s d a 3 r i l i p
ýaýbaňlandyryldy	a b a n l a n dy~ ry~ u l d u z
ýygnandylar	y g n a n dy~ l a r
Goý	o
Okuw	k u
arzuwlaryny	a L a*
barlaglary	b a r g a b o
elýeterli	e l e t e r l i
energiýasy	e n e r g i a s
galdyrýar	g a u l d u z r a r
harydyň	h a cy~ o a
iňlis	i a l i s
kanunçylygynyň	k a n u n y ly~ Z 5 a
kesgitlenildi	k e s g i L e n i l d i
mejlisler	m e h l i w t a r
nobatynda	n o b a t u s nd~ a
orunbasarlary	u r u nb~ a s e r
strategik	s t r a t e g i k
talaby	t a l a b
teklibi	t a k l i b i
toparyny	t o p a hy~ n
zenanlar	z e n a l a r
çykmajak	a q C i
öndürilişi	n d 3 r i l i S i
ösüp	o s 3 p
ýangyn	a N
ýolbaşçy	o l b o S
Bankyň	a n ky~ a
Derman	e r m a n
Gyzyl	y z y
Olary	l a r
baýramçylygy	b a r a m y ly~ gy~
bolmagynyň	b o l 3 m y 3 n 3 a
etdirilýär	e t d i r i l 3 r
eýesine	e e s i n e
gowşurylýar	g o w S u r u y a r
guralar	g u r a l a r
gyzyklanýan	gy~ z a q a nz~
günleriniň	g i l e r i n i a
jemläp	j e m l 3 p
nesilleriň	n e s i l l e r i a
resminamanyň	r e s m i n 5 a
senesinden	s e n e s i n d e n
zatlar	z a L a r
Ýokarda	k a d d a
üpjünçiliginiň	3 ph~ i i l i g i n i a
Hasabatyň	a s a b a t u s a
Respublikasynda	e s p u b l k a s 3 n d a
alyjynyň	t a ly~ hy~ 5 a
alymlar	a l i m l a r
bedewleri	b e d e w l e r i
bolmagyna	b o l 3 m y 3 n a
dekabrda	d e k h a o* d a
doglan	d u g u c
durmuşyny	d u r m u S
duş	d u S
edilendigi	e d i l e n d i g i 7
gaznasy	g a z n 3 s o
girizilýär	g i r i  l 3 r
guşakly	g u S a k kw~ a
güýji	N u
hereketleriň	h e r e k e t l e r i a
hödürlenen	h o p d 3 l e n e n
işlenilip	i S l e n i l i p
jogapkär	j o x a p k a r
kömegini	k o a w a n i n i
meýilnamalary	m e i l n a m a l a r
rejeli	r e h e l i
sezewar	s e z e w a r
sportunyň	s p o r t u 5 a
tanyşmaga	t a 5 S m a g a
türgeni	m a n t r g e n i
türgenleşik	m a n t r g e n l e S i k
wezipäni	e z i  p 3 7 n i
Ählumumy	L u m u m
ähmiýetiniň	E h t i m i e t i n i a
ýoluna	o l u n a
Aragatnaşyk	r a g a t n 3 S k
daşamak	d o S a m a k
düzümleýin	d 3 z 3 m l e i n
energiýasynyň	e n e r g i i S k 5 a
enjamlaryň	e n c a m o  i a
goramaga	g o r a m a g a
goýumlaryny	g o u m l E cy~ n
häkimleri	h 3 k i m l e r i
maksatnamanyň	k s a t n 5 a
maslahatlaşdylar	s l a h a t l o S o l a r
mekdepleri	k d 3 p l e r i
meşgullanmak	m e S g u y a n m a k
sentýabrynda	s e n t a b hy~ nd~ a
suwdan	s u w d a n
çempionatyna	3 mp~ i o n a t 3 n a
öňdäki	o a 8 o r i k i
ýaryşy	a hy~ S
Düzgünnama	3 z N m a
Gündogar	i d o g a r
Ine	n e
aprelde	a p r e l d e
bagt	b o g
baýragy	b a t a n g g a
berilmegine	b E r e l a w a n i n e
birnäçesine	b 3 r n 3 e s i n e
dollaryndan	t o r u hy~ nd~ a n
enjamlaşdyrylan	e n c a m o l o S o cy~ c
giňeltmegiň	g i a e l t a w a n i a
görnüşine	g a r tn~ 3 S i n e
haýyşnama	h a y S n a m a
haýyşy	h a y S
nyşanyna	5 S a 5 n a
raýatlar	r a a L a r
reňkli	r e N k l i
sene	s e n e
subutnamasy	s u b u t n a m a k
sylaglamak	s i m g a b o l a m a k
sözlerini	s o 3 z l e r i n i
talyplaryň	t t a ly~ p l a n i n hy~ a
tapawutlanýar	t 3 p 3 u t a n c a r
tölenen	h a l e n e n
yhlasly	y L a l
zatlary	z a tL~ a X n a
çekilýär	r l 3 r
öwüşginli	k 3 S g i n l i
ýerlerini	r xy~ E kw~ e r i n i
ýokarlanýar	k a d a nz~ a r
şäherine	S 3 i* i n e
Içeri	e r i
agzalaryna	y r o l o hy~ n a
aýdym	a o m
baglydyr	b o g ly~ o r
basgançagyna	b a s g a y 3 n a
bedewler	b e d e w l e r
bölümde	b u w o 3 3 l a b
duşuşyga	d u S u S y g a
düzgünine	d 3 z N n i n e
geçelgesiniň	g   g 3 s i n i n
goralýan	g o r a l
gymmatlyklar	gy~ m m a t ly~ k l a r
gymmatlyklaryň	gy~ m m a t ly~ k l o hy~ a
inženerçilik	i n Z e n a e r i l i k
kesilenleriň	k e s i l 3 n l e r i a
keşbini	k e S b i n i
noýabr	n o a b r
owgan	o w g a n
söwdasynyň	s k d a s 3 n 3 a
tölegler	h a l e g l e r
çagalary	a g a l a r
çagyryldy	y 3 cy~ u l d u z
çägine	3 g i n e
önümçilige	n m 3 i l i g e
önümçiligini	n m 3 i l i g i n i
ösüşinde	o s 3 S i d e
öňüne	o a i e
şertnamasyny	S e r t n a m a s 3 n
Maslahata	a s l a h a t a
bölümine	b u w o l m 3 i n e
döredilmegine	d a r e d i l a w a n i n e
gazananlarynyň	g a z a n a  i 5 a
gaýtarylyp	g a t a cy~ ly~ p
guramanyň	g u r 5 a
gymmatlyklarynyň	gy~ m m a t ly~ k l o hy~ 5 n
görnüş	g a r tn~ 3 S
hatda	h a t u d a
haýsydyr	h a a o r
perzentlige	p e r z e n t l i g e
tapgyrynda	t a p Z hy~ nd~ a
tohum	t o h u m
toparda	t o p a r d a
ygtyýarnama	y g Th~ a X n a q a m a
Ýurdumyz	g o m u z
Ýüpek	3 p e k
ýetirmeginde	 r m E g i d e
ýurdundan	g o n d a n
şunda	S u n d a
Atly	L
Harytlaryň	a r y tL~ a X hy~ n
Hukuk	u k u k
Serdar	e r d a r
Watanymyzy	a t a 5 my~ i n z
bellemelidiris	b e l l E m E l i d i r i s
bäsleşiklerde	b 3 w t a S i k l e r d e
garalýar	g a r a l a r
gezelenç	g e z e l e n
kilometre	k i l 3
meýdanlaryny	m e d a
meşgullanýan	m e S 3 r u
möwsümine	m k s 3 m i n e
professional	p r o f e s s i o n a l
saýlanyp	s a l a 5 p
topara	t o p a r a
türkmenleriň	m a n t r k m E n l e r i a
ussatlygyny	u s s a t ly~ Z n
çarpyşmalar	a r py~ S b e r m a l a r
çekmäge	e k m 3 g e
ýolbaşçylara	o l b o S y l a r a
şäherleriniň	S 3 i* l e r i n i a
Ahalteke	h a l t e k e
Uly	kw~ a
batly	b a t kw~ a
bermekden	b E k d e n
bilersiňiz	b i l e r b n i z
birnäçesini	b 3 r n 3 e s i n i
durkuny	d u r k u 5
düzgünlerine	d 3 z N n l e r i n e
edilmelidir	e d i l m e l i d i r
forumyň	f o r u m a
garaşsyz	g a r a S s u z
höküm	h k n 3 m
işgäri	i S g r i e
kanunlary	k a n u l i
resminamalaryny	r e s m i n o m o l o cy~ n
saldamly	s a l d a m kw~ a
tabşyryklarynyň	t a b S y ry~ k l o ry~ 5 a
tapýar	t a p a r
taslamalarynyň	t a l o m o l o hy~ 5 a
tölemäge	h a l e m 3 g e
usul	u s u l
Ätiýaçlandyryş	t i a l a n dy~ ry~ S
ýakyndan	a ky~ nd~ a n
ýokarky	k a d ky~
ýokarlandy	k a d l a n dy~
Şertnama	e r t n a m a
Birinji	r i
Ilkinji	l v a s i N g i
Karara	a r a r a
Köp	n 3 p
Oraza	r a z a
Watanymyz	a t a 5 m u z
bazarlaryna	b a z a l a hy~ n a
bildirilen	b i l d i r i l e n
bize	b i z e
bölekleýin	b u w o l e k l e i n
deňhukukly	d e N u k u k kw~ a
etrabyň	a t 3 r  by~ a
gazanyp	g a z a 5 p
geçirilmegini	g  i r i l a w a n i n i
guralmagy	g u r a l m o g
howpsuz	h o w p s u
häkim	h 3 k i m a
meýdanda	m e d a nd ~ a
meýilnamasynyň	m e i l n a m a s 3 n 3 a
nägilelik	n 3 g i l e l i k
pulunyň	C u m b u 5 a
raýaty	r a a t
saklanylýar	s a q  5 l a r
tehnologiýa	t e h n o l o g i a
watançylyk	w a t a n y ly~
wezipeleriniň	e z i  p e l e r i n i a
üýtgetmek	3 t g e t w i t a
ýaşlary	a S
ýylky	y u l ky~
Diplomatik	i p xy~ u 7 t i k
amallar	a m a y a r
baýrak	b a r a
başlan	b o S c
başlygynyň	b o S ly~ Z 5 a
bermeli	b E r m e l i
bilýär	b i l 3 r
birža	b 3 r Z e a
bökdençsiz	b k d e n i t e
bölüm	b u w o l n 3 m
daşarky	d o S m a X
derýa	d e r a
döndermek	d o d i n w i t a
düzgüni	d 3 z N n i
erkekleriň	e r k e k l e r i a
fewralda	f e w r a l d a
gurşap	g u r S a p
güýzlük	N r L 3
maksatnamalarynyň	k s a t n 3 m o l o cy~ 5 a
oýnuň	o n u a
oýunlaryň	o u l i  i a
pudaklarda	p u d a q  d a
pugtalandyrmagyň	p u g t a l a n dy~ r m a x y a a
sanawynda	s a n a w 3 n d a
tertibiniň	t E r t i b i n i a
tölemegiň	h a l E m E g i a
ugruny	t u g r u n
ýerindäki	e r i d 3 k i
Günorta	i o r t e
Iň	a
Men	e n
Olara	l a r a
Wagtlaýyn	y tL~ a X y n
ahlak	a l a k
aýratynlykda	a r a ty~ 3 n ly~ k d a
bahar	b a h a r
barlaglaryň	b a r g a b o  i a
başlangyç	b a S  j
baştutany	b o S r o b o
biragyzdan	b i r a g y z d a
fewral	f e w r a l
fewralynda	f e w r a ly~ nd~ a
getiren	g e t i r
geçenden	g  e n d e n
gorag	g o r a g
guralýar	g u r a l a r
halkyny	h a l k a n
jedeller	h e d e l l e r
kemçilikleri	k e m i l i k l e r i
maý	m a
nika	n i k a
notariusy	n o t t a r i u s
noýabrynda	n o a b hy~ nd~ a
oýny	o n
parasatly	p a r a s a t kw~ a
peýdalanylýar	p e d a l a 5 l a r
puluny	C u m b u n
sagat	s a g a t
seljermesini	s e l x e r S i n i
taýýardygyny	t a a r o Z n
toplum	t o p l u m
wezipesini	e z i  T i n i
ykdysadyýet	y k o sw~ o e t
çykdylar	a q o l a r
ýerini	e r i n i
ýükleriň	3 k l e r i a
şähergurluşyk	S E h t i e r g u r l u S k
Myhman	y hm~
Pakistanyň	a k i s t a 5 a
bellärliklidir	b e l a r i e l i k l i d i r
buýsanç	b u s a*
dowamlylygy	d o w a m ly~ ly~ gy~
eýeçiligiň	e  i l i g i a
gullugyna	g u l l o Z n a
görkezmäge	g a r k e z m 3 g e
hereketler	h e r e k e t l e r
howandarlyk	h o w a n ly~
höwes	h k m 3 s
ilata	i l a t a
iýmit	i m i t
jaýyň	y a y a
kada	k a d a
namalaryna	n a m a l a hy~ n a
salynmagyna	s a ly~ e g w i y 3 n a
sergä	s e r g
taryhynyň	t a cy~ h 3 n 3 a
welaýatlarda	w e l a a tL~ a X n a d a
ysnyşykly	y s 5 S a q kw~ a
Ýaponiýa	a p o n i a
Ýaryşyň	a r y S y a
çägi	3 g i
çözmekde	o z k d e
öýi	o i
üýtgetmeler	3 t g e t m e l e r
ýazylan	l y c
ýetirmegi	 r m E g i
ýurda	g o
ýurtdan	o r d d a n
ýönekeý	3 k b a
Şertnamanyň	e r t n 5 a
şypahana	S 3 p a h a n a
şäherinden	S 3 i* i n d e n
Baştutanlary	a S t u t a n
Baştutanynyň	a S t u t a 5 5 a
arassalaýjy	a r a s s a l a hy~
baýdagy	b a d a x y a
deputatlarynyň	d e p u t a tL~ a X ry~ 5 a
edilmeýär	e d i l * 3 r
gaýdyp	g a o p
görülýär	g a r l 3 r
hyzmatdaşlar	h u z  m a t d a S
maslahatlarynyň	s l a h a tL~ a X hy~ 5 a
müňlerçe	m 3 a l e r e
netijelerine	n e t i j e l e r i n e
oýunlaryny	o u l i
pikirine	p i k i r i n e
poçta	p o t a
prokurory	p r o ph~
rejelenen	r e h e l e n e n
saýlama	s a l a m a
sebitlerinde	s e  L e r i d e
sülçi	s l i
tanyşdyrdy	t a 5 S o o dy~
tarapdan	t a r a p d a n
tassyklanylan	t a s a k l a 5 c
taýýarlygyň	t a a r ly~ Z a
towuk	t o u k
töweregi	t k e r e g i
ugurlarynda	t u g u r  i nd~ a
wagtynyň	w a g T 5 a
welaýaty	w e l a a t
zerurlygy	z e r u r ly~ gy~
çykdajylaryň	a q d a hy~  i a
özleri	o 3 z l e r i
üstünliklere	3 s t i l i k l e r e
Fiziki	i r i k i
Geňeşiň	g a e S i a
birleşikleri	b 3 r l e S i k l e r i
bähbitleri	b E h t i b i L e r i
bölekleri	b u w o l e k l e r i
durky	d u r k
getirilýär	g e t e r e l 3 r
gurluşygynda	g u r l u S y Z nd~ a
güýjüni	N j 3 n i
pudaklary	p u d a q
pudaklaryň	p u d a q  i a
saglygyna	s a g ly~ Z n a
subýektleri	s u b Nw~ L e r i
tabşyrygy	t a b S y hy~ gy~
tomusky	t o m u s k
usulda	u s u l d a
ylalaşygy	y l o l o S y gy~
Üçünji	3 nj~ i
Ýörite	o r i t e
üstünligi	3 s t i l i g i
ýagdaýlaryň	a g d a  i a
ýatyrylmagy	m u h u u y gy~
ýurdunyň	g o n y a
ýurdy	g o dy~
Kazyýetiň	a z y  a
Köpetdag	o i l e n e d a g
alýarlar	a l a l a r
amaly	a m a l
barlan	b a r c
bedewleriň	b e d e w l e r i a
bermelidir	b E r m e l i d i r
boşatmak	b o S a t
dörän	d a r 3 n
düzmek	d 3 z w i t a
edijiniň	p i e d a h i a
emma	e m a
ene	e n e
getirmäge	g e t i r m 3 g e
gidýän	g i d 3 n
girdi	g i r d i
gowuşýan	g o u S
gullugyň	g u l l o Z a
gurmagyň	g u r m a x y a a
hakynyň	h a k 5 a
isleýärin	i w t a r i e
işgärlerine	i S g r i e l e r i n e
kagyzlar	k a x y a r L a r
kitabynda	k i t 3 by~ nd~ a
mekdepleriň	k d 3 p l e r i a
nyşanlary	5 S a*
polat	p o l a t
pullary	p u y a r
sentýabrda	s e n t a b r d a
täzelemek	t 3 z e l e m e k
täzeçil	t 3 z  i l
ätiýaçlyk	3 t i a ly~
öndürijileriniň	n d 3 r e l e r i n i a
ösümlikleri	o s m 3 l i k l e r i
ösýär	o s 3 r
ýaşamagy	o S gy~
ýerlemek	e r l E m E k
şonda	S o n d a
Girew	i r E f
Paýtagtymyzda	a t o x ty~ my~ i n z d a a
Sergi	e r g i
Toplumyň	o p l u m a
anyklaýyş	5 k l o y S
aýdymlary	a o m
aşakdaky	o S a k d a k
belgisi	b e l g i s i
birnäçesiniň	b 3 r n 3 y a h i a
bölümleriniň	b u w o l m 3 l e r i n i a
depginlerini	d e p g i n l e r i n i
durmuşyň	d u r m u S y a
ekişine	r S i n e
gadymdan	g a d i m d a n
goragy	g o r a g
görnükli	g a r tn~ 3 k l i
häsiýetleri	h a e S i e t l e r i
hünärmenleriniň	h i 3 s a y m 3 n l e r i n i a
kitaphana	k i t 3 p a n a
kompaniýalar	m i p a n i a l a r
kärhanalarynda	k a r a n a l a ry~ nd~ a
maglumaty	m a h h a r a
medallary	m e d a ly~ a r
okuwçylarynyň	o k u w u y o cy~ 5 n
pudaklaryny	p u d a q
seýilgäh	s e i l g 3
talyby	t a l a*
topragynyň	t o p r y 3 n 3 a
ugurdaky	t u g u r d a k
wekiliniň	w e k i l i n i a
Ýerli	e r l i
çykyşynda	y ky~ S y nd~ a
ýanaşyk	a* o S k
ýygnananlara	y g n a n a l a r a
ýörelgelerini	a r e l g e l e r i n i
Döwletleriň	k l e t l e r i a
Guramasy	u r a m a k
aralygy	a r a ly~ gy~
berýändigini	b E 3 nd~ i g i n i
bildirmek	b i l d i r w i t a
birinjiligi	b i r i n j i l i g i
desselerini	d e s e l e r i n i
gazananlary	g a z a n a
kenarýaka	k e n a r a k a
kub	k u b
mallaryň	m a l l a ry~ a
merkez	m e r k e z
meşhurlyga	m e S w E kw~ a g a
mysaly	m 3 s a l u k
möçberleriniň	h w a k l e r i n i a
nusgasynyň	n u s g a s 3 n 3 a
peýdalanýar	p e d a l a n a r
puluň	C u m b u a
salgytlaryň	s a l Z tL~ a X ry~ a
seredilýär	s e r e d i l 3 r
serişdelerinde	s e r i S d e l e r i d e
tamamlanan	t o m o m l a n a n
telekeçiligi	t e l e k  i l i g i
uglewodorod	t u g l e w o d o r o d
ugrunyň	t u g r u 5 a
çäkleri	3 k l e r i
ösmeginiň	o s a w a n i n i a
ýaryşynda	a cy~ S y nd~ a
ýasalan	a c a r a
ýerleşdirmek	r xy~ E kw~ e S d i r w i t a
ýollaryň	o l l a cy~ n
şäherindäki	S 3 i* i d 3 k i
Bilelikdäki	i l e l i k 8 o r i k i
Gazagystanyň	l a u k a x y a s t a 5 a
Görogly	o r o g o kw~ a
Işe	S e
Konstitusiýasyna	o s t i t u s i a s 3 n a
Ozal	z a l
Saparmyrat	a p a r m r a t
ahyrky	a h 3 r k
alşyldy	a l S y u l d u z
awtorlyk	a w t o r ly~
edýändigini	p i e d 3 nd~ i g i n i
geçirdiler	g  3 r d i l e r
giden	g i d e n
işgär	i S g 3 r
işlerde	i S l e r d e
jemgyýetimiziň	j e m Z  m i 5 n
kaliý	k a l i
kesgitlenilen	k e s g i L e n i l e n
maksadalaýyk	k s a d a l a y
maliýeleşdirmek	m a l i e l e S d i r w i t a
mart	m a* r
materiallary	m a t e r i a l l a r
medeniýetiň	m e d e n i  a
müşderiler	m 3 S d e r e l e r
obýektlerini	o b Nw~ L e r i n i
prokuroryň	p r o k u r o cy~ n
pulunda	C u m b u n d a
serişde	s e r i S d e
serişdesi	s e r i S d e s i
talabyna	t a l a b 3 n a
tanyşdyryldy	t a 5 S o cy~ u l d u z
tutanýerli	t u t a n r xy~ E kw~ i
zolaklary	z o l a q
Ýaşulularyň	o S u l u l a hy~ a
çeşmesi	e S m e s i
öwezi	o e z i
ýagdaýa	a g d a a
ýaşy	o S
ýollar	o y a r
ýurtlaryndan	u r tL~ a X cy~ nd~ a n
ýyllarynda	y u l  i nd~ a
Aleksandr	l E k E s a ndr$
Banky	a n k
Hormat	o r m a t
Konstitusiýasynyň	o s t i t u s i i S k 5 a
Sergide	e r g i d e
Zerur	e r u r
asyl	a s 3
bagyny	b a x y a n
bereketli	b e r e k e
daşarda	d o S a r d a
dil	d i l
dolandyrmagyň	t o r a n dy~ r m a x y a a
düzümiň	d 3 z 3 m i a
düýp	d 3 p
düşünişmek	d 3 S i i S w i t a
edendigi	e d e n d i g i 7
edilmedik	e d i l m e d i k
garamak	g a r a m a k
gowşurdy	g o w S g o dy~
goýulýar	g o b a r
goşan	g o S
gyzlar	gy~ r L a r
göçme	g o m e
günorta	N n o r t e
güwä	N o
işden	i S d e n
jaýlaryň	y a  i a
jebir	h e b i r
kadalara	k a d a l a r a
kesileniň	k e s i l 3 n i a
köpasyrlyk	k o p a s 3 r ly~
mekdebiň	k b a
mukdaryň	m u k d a r y a
otaglar	o t a g l a r
prokuratura	p r o k u r a t u r a
toplan	t o p l a n k o
ugurdaş	t u g u r d o S
özlerine	o 3 z l e r i n e
ýerdäki	e r 8 o r i k i
ýygnananlary	y g n a n a
Şahsy	a 7 s
Ikitaraplaýyn	k i t a r a p l a y i y n
Welaýatyň	e l a a ty~ a
başlangyçlaryny	b a S  j
bedewi	b e d e i
bellik	b e l l i k
binasynda	b i n a s 3 n d a
bozulma	b o z u l m a
bölüp	b u w o 3 3 p
duşuşdy	d u S u S t a
düzýän	d 3 z 3 n
etjek	e t i k
gazanmaga	g a z a n m a g a
goşuldy	g o S u L dy~
gördi	g a r d i
görkezilmelidir	g a r k a  l m e l i d i r
haýwanat	h a w a n a t
hepdede	h e p d e d e
hoşlaşyp	h o S  S y p
hukuklar	h u k u k l a r
hyzmatdaş	h u z  m a t d o S
kazyýeti	k a Z y e t i
kesgitlenilýän	k e s g i L e n i l 3 n
konserni	q o n i k s E r n i
maksatnamasynda	k s a t n 3 m a s 3 n d a
meýdan	m e d a n
noýabrda	n o a b r d a
sepgitlere	s e p g i L e r e
synlady	s 3 n l a d
wekiliýetleriniň	w e k i l i e t l e r i n i a
özeni	o z e n i
ýetirilmegini	e t i r i l a w a n i n i
ýuridiki	u r i d i k i
ýüzlerçe	3 z l e r e
Degişli	g i S
Hyzmatdaşlyk	y z m a t d o S ly~
Maýa	a a
Russiýadan	u s s i 3 s 3 r 3
alnanda	a l a n d a
behişdi	b e h i S d i
berilmegini	b E r e l a w a n i n i
borçly	b o r kw~ a
dabaralaryň	d a b a r 3 l 3 cy~ a
dabarasynyň	d a b a r a s 3 n 3 n
dereje	d e r e h e
direktory	d i r e k t o r
dolanyşygy	t o r a 5 S y gy~
dolmak	t o r
erk	e r
girmeýär	g i s a y m 3 3 r
goldawy	g o l d a w 3
hepdäniň	h e p d 3 n i a
howpsuzlygyň	h o w p s u z ly~ Z a
hukuklaryň	h u k u k l o ry~ a
jemledi	j e m l e d i
kanuna	k a n u n a
kitaby	k i t e y a n
martda	m a* r t d a
meýletinçilik	m e l e t i n i l i k
meňzeş	m e N z e S
mugallymlary	m u g a ly~ i m
sag	s a g
sergide	s e r g i d e
taslamalaryna	t a l o m o l o cy~ n a
tassyklanýar	t a s a q a nz~ a r
wakanyň	w a k a 5 a
welosiped	w e l o s i p e d
zawodlar	z a w o d l a r
Özbegistanyň	z N e b e g i s t a 5 a
öňden	o a d e n
üýtgemegi	3 t N g E m E g i
Arap	r a p
Jenap	e n a p
Sagdynlyk	y o n ly~
asuda	a s u d a
aňladýar	a a l a d a r
bakja	b a k j a
belende	b e l e n d e
belentliklerine	b e l e n t l i k l e r i n e
birleşdirýär	b 3 r l e S d i r 3 r
däpleriniň	d 3 p l e r i n i a
energiýasyny	e n e r g i a s 3 n
esaslarda	e s a s l a r d a
gara	g a r a
geçirilişi	g  i r i l i S i
geçmeli	g  m e l i
gurlar	g u r l a r
görkezen	g a r k e z a n
görýär	g a r 3 r
kesgitledi	k e s g i t l e d i
medeniýetini	m e d e n i e t i n i
metrden	m e t r d e n
myhmanhana	m 3 t h a n a
nusgalaryny	n u s g a l a hy~ n
saklanýar	s a q  a r
saýlawlar	s a l a L w a r
söýüjilik	s o 3 j i l i k
taýýarlygyny	t a a r ly~ Z n
transmilli	i t r i s m i l l i
umuman	u m u m a n
ädim	a r i m a
çagalara	a g a l a r a
çykaryldy	k  hy~ u l d u z
önümi	n 3 m i
üznüksiz	3 z n 3 k i t e
ýolbaşçysynyň	o l b o S y 5 a
şertli	S e r L i
Hazarýaka	l a u k a r a k a
Hususy	u s u s
aşgabatly	o S g a b a L
bagyşlandy	b a x y a S  n dy~
başlanan	b a S  n a n
bähbitleriniň	b E h t i b i L e r i n i a
bäsdeşlige	b 3 s d e S l i g e
desgalardaky	d e s g a l a r d a k
däne	d 3 n e
döreder	d a r e d e r
düzümlerinde	d 3 z 3 m l e r i d e
ele	e l e
enjamlaşdyrylyşy	e n c a m o l o S o ry~ ly~ S
esaslandyrylan	e s a s l a n dy~ cy~ c
gaznasyna	g a z n a s 3 n a
getirip	g e t i r i p
gurama	g u r a m a
guramagyň	g u r a m a x y a a
görünýär	g a r i 3 r
görüp	g a r 3 p
himiki	h i m i k i
isleýiş	i w t a i S
jogapkärçilikli	j o x a p k 3 r i l i k l i
kesgitlendi	k e s g i L e n d i
köşgüniň	k o S gw~ n i a
manysy	m a 5 s
merkeziň	m e r k a  a
möçberinden	h w a k i n d e n
mümkinçiligini	m m 3 3 5 i p e i l i g i n i
nesliň	n e s l i a
redaksiýasynda	r e d a k S i i S k nd~ a
rugsady	r u g s a d
sebitara	s e b i t a r a
senagatyny	s e n a g a t
subutnamalary	s u b u t n a m a l a r
sylaglary	s i m g a b o
söýgi	s o g i
talaba	t a l a b a
toplanan	t o p l a n a n
ykjam	y k j a m
çarpyşmalary	a r py~ S b o i
ýanwarynda	a* w a cy~ nd~ a
Awazada	w a z a d a
Birnäçe	i r n 3 e
Garagum	a r a g u m
Kämillik	3 m i l l i k
Mohammad	o h a m d i b
abadançylygyň	a b a d a y ly~ Z a
alamatlandyrýan	a l a m a t l a n dy~ r
alyşmak	t a ly~ S
arhiw	a r i a
aýratynlygy	a r a ty~ 3 n ly~ gy~
aşyryp	o S y cy~ p
baglaşmak	b o g l o S
baýramyna	b a r a m 3 n a
baýramçylygyna	b a r a m y ly~ Z n a
bellenilişi	b e l l e n i l i S i
berilýändigini	b E r e l 3 nd~ i g i n i
bilýärler	b i l r i e l e r
bugdaýyň	b u g d a y a
bäsleşigi	b 3 w t a S i g i
böleklerinde	b u w o l e k l e r i d e
