ve 	v e
varsayımı	v a r  y u m k
vatana	v a t a n a
versiyonunun	e r  o n u n u n
yanda	y a n d a
yağışı	y o X u S k
yaşamsal	y o S a m s a l
yaşlardan	y a S  d a n
yöndeki	y 3 nd~ e k i
yönteminin	y 3 n t e m i n i n
yükseköğretim	y 3 k e k o X r e t i m
yükseltti	y 3 k s l 3 t t i
yürümeye	y 3 a s m e y e
yüzeyinden	y 3 z b a S e n
Çiçekler	i e k l e r
Çoklu	o k l u
çizimleri	i s i m u l e r i
çorba	o r b a
çöküş	k 3 S
ölçümleri	o l m 3 l e r i
önemine	n e m i n e
öngören	n g a r e n
örgütler	o r N L e r
İlçeye	l e y e
şanzıman	S nz~ i u m a n
Aksaray	s a b a r a y
Antlaşma	tL~ a nz~ i S m a
Brooks	r o k
Doçe	o e
Efe	f e
Eflak	f l a k
Elena	l e n a
Eyüp	y 3 p
Halit	a l i t
Hızır	u s  u r
Jose	o s e
Karen	a r e
Kazı	a z k
Khan	h a n
Kurum	u r u n
Louise	o u i s e
Luftwaffe	u f tw~ a f e
Lyon	y o n
Otel	t e l
People	e L l e
Roberto	o b e r t o
Siyonist	i y o r o n i S th~
Tür	a r
Ulaşım	l a S u m
adadaki	a d a d a k i
alayı	a l a y u
anlayışa	a n l a y u S a
açılarak	a u l a r a
baharat	b a h a r a t
başarının	b o S a r u n  n
birleştirilmiş	b 3 r l e S t i r i l m i S
bittiğini	b i t i X i n i
burjuva	b u r xy~ v a
büyükbabası	b u m v 3 t m a b a s k
cehennem	k e h e n n e m
cezalar	C E z a l a r
dağıtmak	d o X u t
denemeler	d e n i m e l e r
deplasman	d e p l a s m a n
deresi	d e r e s i
dinlerin	d i n l e r i n
dönüşmesi	d 3 3 S m e s i
dünyevi	d 3 5 e v i
düşmanlık	d 3 S l 3 k
düşüncesine	d 3 S i u s i n e
ebeveyn	e b e e
edilmesidir	e d i l S i d i r
edinme	e d i n m e
egzoz	g t
ekibinde	r b i d e
ekipmanı	r p m o n
eldeki	e l d e k i
endüstrisine	e nd~ 3 s t r i s i n e
esneklik	e s n e k l i k
etkenler	e t k 3 n l e r
farkındalık	f a r k u nd~ o l u
faşist	f a S i s
festivallerde	f e S t i v a l l e r d e
fiil	f u i l
fırın	f u r 3 n
gazların	g a z l a r 3 n
gelişmelere	g e l i S m e l e r e
gösterilmesi	g o s t E r e l m e s i
güçleriyle	N l e r i y l e
hastaya	h a s t a y a
hedeflerini	h e d e f l e r i n i
hesaplanan	h e s a p l a n a n
hoşnut	h o S n u t
hücrelerinde	h i k a r r e l e r i d e
hükmü	t a 7 i k m 3
inme	i n m e
istasyonunun	i s t a s o n u n u n
istenmiştir	i s t e n m i S t i r
işgücü	i S N k 3
işleriyle	i S l e r i y l e
işlevlerini	i S l e b l e r i n i
kabilesinin	k a b i l e s i n i n
kanunun	k a n u n u n
kayaçlar	k a y a l a r
kaybını	k a a* u n
kaydetmek	k a y a S i w i t a
kaydıyla	k a y d 3 y l a
koni	q l o l
koruduğu	k o r i d u N X u
kullanmasına	k u l u a nz~ s u n a
kıldı	k u l d u
lideridir	l i d i n i d i r
mahalli	m a h a l l i
manzarası	n z a d a C k
merkeziydi	m e r k a  d i
merkezlerine	m e r k e z l e r i n e
mesajın	m e s a 3 n
mirasını	m i r a s u n
misyonu	m i s o n u
muayene	m u a y e n e
nehre	n e h r e
odaklanmaktadır	o d a k a nz~ a d 3 r
olursak	o l u r s a k
oruç	u r u
otele	o t e a
otoritesini	k o t o r i t e s i n i
oynayıp	o y n a y u p
oyunundan	o y u n u n d a n
pH	p
papalık	p a p a l 3 k
prenses	p r e n e
programıdır	p r o g r a m u d 3 r
provalarda	p r o w a l a r d a
pulları	p u y a r k
safra	s a f r a
sahili	s a h i l i
sahnelerde	s a n e l e r d e
santrali	s a n t r a l i
satıcısı	s a t u k u s k
sensör	s e s o r
sistemden	s i s t n a l a b n
sistemik	s i s t e r e p e
sonrasına	s o n r a s u n a
sorulduğunda	s o r u l d u X u n d a
suçlamasıyla	s u l a m a k u y l a
sürümlerinde	s 3 r m 3 l e r i d e
sırrı	s u r k
tabakalar	t a b a k a l a r
tahkim	t a k i m a
tahtını	t a k i u n
tanrıçası	t a 7 u a s k
tanıdık	t o n  d 3
tavırları	t a b u r  k
ticarete	t i k a r e t e
topluluğuna	t o p l u l u X u n a
toptan	t o p t a n
turnesine	t u r n e s i n e
tutkusu	t u t k u s u
unu	u n u
uçağa	u o X a
vefatından	f e f a r u nd~ a n
verilmez	e r e l m e z
vuruşu	v u r u S u
yapıtları	y a p u tL~ a X n a k
yapışkan	y a p u S k a n
yayınlanmamış	y a y u n a nz~ mw~ a mw~ u S
yayınlayarak	y a y u n l a y a r a
yazmaları	y a z b o i k
yetişkinler	y e t i S k i n l e r
yetişti	y e t i S t e
yitirmiş	y i t i r m i S
yollarda	y o l l a r d a
yorumcu	y o r u m k u
yükünü	y 3 k i 3
Çağatay	o X a t a y
çalışacak	o l u S a k a k
çekişme	r S m e
çeviriler	e v i r i l e r
ödemesi	o c i n a l a e s i
özgürlüğüne	o z N r 3 3 X i e
öğrendiğinde	o X r e n d i X i d e
öğretmenleri	o X r e t m E n l e r i
İmparatorluğunun	p a r a t o r b X u n u n
şebeke	S e b e k e
André	ndr$ e
Arda	r d a
Asyalı	s y a l 3 k
Bahçesi	a h e s i
Bilişim	i l i S i m a
Erdem	r b
Esperanto	s p e r a nt~ o
Felix	e l i S
Ferit	e r i k
Filiz	i l i z
Gene	e n e
Georges	e o r g e
Gine	i n e
Harvey	a r e
Kiril	i r i l
Kiss	i s
Kuzeyde	u z e y d e
Köylerimiz	w a  l e r i m i z
Marka	m a X a
Mitchell	i C "
Mutlu	u t l u
Oluşan	l u S
Pan	a n
Personel	e r d a m i
Pınarbaşı	u n a r b o S k
Songs	o N
Wesley	e s l e m
Yaprak	a p r a
Yavaş	a b o S
adayları	a d a 8 a  k
aklın	a k l 3 n
anlatıcı	a n l a t u k k
aradığı	a r a d 3 X k
atanması	a t a n m a s k
atışları	a t u S  k
açığı	a u X k
aşamaya	o S a m a y a
bahsettiği	b a 7 s e t i X i
bakanlar	b a k a n l a r
başkanıydı	b o S  n  y d 3
bildirilen	b i l d i r i l e n
birde	b 3 r d e
bitirip	b i t i r i p
biçimindedir	b i i m i n d e d i r
boyundan	b o y u nd~ a n
boyutlara	b o y u L a r a
bozulma	b o z u l m a
buldukları	b u l d u k  k
büyükşehir	b u m v 3 k S e h i r i
cemiyet	k e m i y e t
cevabını	k p i r a b u n
cıva	k u v a
damadı	d a m a d 3
desteklemiştir	d e s t a k l e m i S t i r
destekleyici	d e s t a k l e y i C i
değerlendirildi	d e X r xy~ E kw~ e n d i r i l d i
değişkenler	d e X i S k 3 n l e r
dinleme	d i n l 3 m 3
donanımlı	d o* o n  m l 3 k
durumlarında	d u r u m  u nd~ a
dönüşünde	d 3 3 S 3 nd~ e
düşerler	d 3 S e r l e r
düşmüştü	d 3 S m 3 S t u*
düşünüyorum	d 3 S i 3 o r u m
ekibe	r b e
esen	e s e n
etmelidir	e t m e l i d i r
evlenip	p i r l e n i p
evlerinin	p i r l e r i n i n
eylemlerin	b l e m l e r i n
eğitimden	e X i t i l a b n
eşyaların	e S a l a r 3 n
fazlaydı	f a z l a y d 3
fikrinin	f i k r i n i n
filmine	b i l m i n e
flüt	f l i
gebelik	g e b e l i k
geleneğe	g e l e n e X e
geçerliliğini	g  r xy~ E kw~ i l i X i n i
gönderdiler	g o d i n d i l e r
gönderildiği	g n d e r e l d i X i
görmediği	g a r m e d i X i
gücünden	N k 3 nd~ e n
hanımı	h a n  m k
havalandırma	h a v a l a n d 3 r m a
ihbar	i h b a r
iktidarda	i k t d a r d a
indirilen	i n d i r i l e n
isimsiz	i s i m i t e
istisnai	i s t i s n a i
isyanın	i s  n  n
işlendiği	i S l e n d i X i
kahramanlık	k a h r a m a n l 3 k
kalkmıştır	k a l m u S t u r
kamplarına	k a m p  u n a
kapsıyordu	k a p s u o r d u
kapısına	k a p u s u n a
katedral	k a t e d r a l
kavramın	k a b r a m 3 n
kayaların	k a y a l a r 3 n
kaybetmişti	k a y t m i S t e
kimliğinin	k i a b u C o X i n i n
kitaptır	k i t 3 p t u r
kolaylaştırır	k o l a y l a S t u r u r
kolaylığı	k o l a y l 3 k X k
kullanımıyla	k u l l o n  m u y l a
kulüpten	k u l u 3 p t e n
kurumlarının	k u r u m  u n  n
kutuplu	k u t u p l u
kuvars	k u b a r
kuşun	k u S u n
köşeye	k o S e y e
kütleleri	g u t l e l e r i
lens	l E n
liglerinde	l i g l e r i d e
maceraları	m a C E r a l a r k
mavisi	m a i s i
mekanlar	m e k a n l a r
milis	m i l i s
mülkiyeti	m l e z i
nikâh	n i k o
niteliğindeki	n i t e l i X i n d e k i
olabileceğine	o l 3 b u a i l e u X i n e
piramit	p i r a m i t
platformlarda	p l a y i t h m l a r d a
propagandası	p r o p a g a nd~ a s k
pürüzsüz	p 3 r 3 z s 3
rastlamak	r a s L a m a k
resimli	r e s r h a y
ringin	r i N i n
sadakat	s a d a k a t
sanatında	s a n a t u nd~ a
sarp	s a r p
savunuyordu	s a b u n u y o r d u
sinyaller	s i 5 a l l e r
sitenin	s i r e n i n
sorunlu	s o r u n l u
sürdürüyor	s 3 o 3 a s n i o z i
tabidir	t a b i d i r
tanışmıştır	t o n  S m u S t u r
taşıması	t o S u s k
telefonla	t e l e f o n l a
telefonları	t e l e f o n l a r k
tereyağı	t e r e y o X k
terimin	t e r i m i n
toplantıları	t o p l a nt~ u l a r k
tutuklanan	t u t u k l a n a n
uygulamasını	u y g u l a m a k u n
uzayın	u z a y 3 n
uzunluğuna	u z u n l u X u n a
uğraşır	u X r o S u r
versiyonda	e r  o n d a
videoda	v i d e o d a
yakalandığı	y a k a l a n d 3 X k
yapmaktadırlar	y a p a d 3 l a r
yapımcılar	y a p u l u l a r
yaşamayı	y o S a m a y u
yeryüzündeki	y e ry~ 3 z 3 nd~ e k i
yoğunlaşmıştır	y o X u n l o S m u S t u r
yoğunluğunu	y o X u n l u X u n u
yurtdışına	y u r t d 3 S u n a
yöntemine	y 3 n t e m i n e
yüzük	y 3 z 3
zarara	z a r a r a
zorlukları	z o r l u k  k
Çan	a n
Çocukları	o k u k  k
çabalarıyla	a b a l a r u y l a
çizgisini	i z g i s i n i
çıktıkları	u u k  k
öldürülmesine	o l d 3 r l S i n e
örneğini	a r tn~ e X i n i
özdeş	o z d a e S
şampiyona	S a m p i y o n a
şehirlerine	S e b a l e r i n e
şeritli	S e r i L i
şiirinin	S i i r i n i n
Birmingham	i r m i N h a m
Bulut	u l u t
Burun	u r u n
Chuck	h u k
Country	o N t r
Darbe	a r b e
Deep	e 3 p
Destek	e s t e k
Evet	f e d
Falcon	a l k o n
Gençlerbirliği	e n l e r p e t e n l i X i
Hayvanat	a y v a n a t
Ice	k e
Jake	a k e
Kardinal	a r d i n a l
Kendilerine	e nd~ i l e r i n e
Kerim	r i m
Kişinin	i S i n i n
Klaus	l a u s
Komedi	e d i
Korece	o r e k e
Kuzeydoğu	u z e y bw~ X u
Kyle	y l e
Leopold	e o p o r d
María	a r i a
Mercury	i l a e r
Mısırlılar	u s u l u l a r
Neden	e d e n
Nihayetinde	i h a y e t i n d e
Ostrogotlar	s t r o g o 7 L a r
Otomatik	t o m a t i k
Parlak	a r l a k
Patlama	a t l a m a
Politika	o l i t i k a
Reed	e d
Rob	o b
Roberts	o b e r c
Sistemleri	i s t e m l e r i
Sorumlu	u r u m l u
Sosyoloji	o s o l o h i
São	a o
Trump	r u m p a
Tugayı	t u g a y u
Volkan	o l u m
Yasama	a s a m a
Yaşayan	o S E n
Yenişehir	e n i S e h i r i
aktarımı	a k t a r u m k
alfabe	a l f a b e
alttan	a l t a
altüst	a l t 3 s t
arabaları	a r a b a l a r k
askerden	a s k e r d e n
ayaklanmalar	a y a k l a n m a r
ayrıntı	a y r u nt~ k
açıklanır	a u k l o n  r
balıkları	b a l u x k  k
bankanın	b a n f i n  n
barındırdığı	b a r u n d 3 r d 3 X k
bireylerde	b 3 r e y l e r d e
birleştirildi	b 3 r l e S t i r i l d i
biçimsel	b i i m e l
bodrum	b o d r u m
bütçeli	b i e l i
büyüklüğüne	b u m v 3 k 3 3 X i e
dayanak	d a y a a n a k
demektedir	d E m E  r
denizlerde	d e n i z l e r d e
desteklemeye	d e s t a k l e m e y e
değiştiği	d e X i S t e X i
donma	d o* m a
duvarların	d u b a r  3 n
dönünce	d n i j e
dönüştürmek	d 3 3 S t 3 s a y m 3
ederim	e d e r e m
efendisi	e f e n d i s i
ellerindeki	e l l e r i n d e k i
erişmek	r i S w i t a
esasına	e s a s u n a
etkinliğe	e t k i n l i X e
evliydi	p i r p o l i y d i
eşine	e S i n e
fay	f a y
fişek	f i S e k
geliştiği	g e l i S t e X i
genişledi	g e n i S l e d i
gölde	g o l d e
görürüz	g a r 3 a s
görüşmeye	g a r 3 S m e y e
gösterirken	g o s t E r k e n
gösterse	g o s t E r s e
hallerde	h a l l e r d e
hesaplanması	h e s a p a nz~ s k
hesaplar	h e s a p l a r
husus	h u s u s
hükümete	t a 7 i k 3 m e t e
hükümetine	t a 7 i k 3 m e t i n e
ilgiyle	i l g i y l e
inşaatına	i n S a r 3 s i g u n a
kahramanlar	k a h r a m a n l a r
kalitesinin	k a l i t e s i n i n
kalpli	k a l p l i
kauçuk	k a u u k
kaybolmuş	k a y b o l S
kaydeden	k a y d e d e n
kayması	k a y s k
koloniler	k o l o n i l e r
kopyasını	k o p y a s u n
kozmolojik	7 o y m o L o n o x
kulağa	k u l o X a
kurtulmayı	k u r t u l m o y u
kurutulmuş	t u l m u S
kıran	k u r i
lisede	l i s e d e
mahkemeler	m a k e m e l e r
manastırın	m a n a s t u r 3 n
mağarada	m o X a r a d a
mekaniğinin	m e k a n i X i n i n
mesajını	m e s a u n
militan	m i l i t a n
modülü	m o d l 3
müteakip	m i  k i p
oranlarda	o r a n  d a
ormanlarda	o r m a n  d a
performanslı	p e r h s l 3 k
pilotlar	p i l o L a r
portakal	p o r t a k a l
proteinlerin	p r o t e i t n~ l e r i n
resimlerin	r E b u p l e r i n
savaşların	s a v a S  3 n
sergilendiği	s e r g i l e n d i X i
setleri	s e t l e r i
siparişi	s i p a r i S i
sitelerinde	s i t e l e r i d e
slogan	s l o g a n
sokar	s o k a r
solcu	s o l k u
sonbaharda	s o n b a h a r e d a
sorguya	s o r g u y a
soyluların	s o y l u l a r 3 n
sürmeye	s 3 s a y m 3
tavşan	t a b S
tesadüfen	t e s a d 3 m a n u n
turun	t u n u m
tüfeği	m a n t f X i
ulaşırlar	u l o S u l a r
vektörü	s k h a a s
vermemiştir	e r m e m i S t i r
yakınlardaki	y a k u l i  d a k i
yapamaz	y a p a m a z
yapılacaktır	y a p u l a k a k t u r
yapımda	y a p u m d a
yardımına	y a r d 3 m u n a
yazılabilir	y a z u l a b i l i r
yazının	y a z u n  n
yaştaki	y a S t a k i
yetmiş	y e t m i S
yollara	y o l l a r a
zorlayan	z o r l a y a n
Çınar	u n a r
çalışanlarının	o l u S a*  u n  n
çemberin	e mb~ e r i n
çetesi	e t e s i
çevirerek	e p i t e n e r a
çevreden	u s r e d e n
ölçer	o l e r
öncesinden	n u s i n d e n
ör	o r
örneklerini	a r tn~ e k l e r i n i
öyküler	w a  g u l e r
ülkesinden	l k e s i n d e n
üçüncülük	3 i k l 3
İdman	d m a n
İskenderiye	s k e n d e r i y e
ışıklar	u S u k l a r
ışıkları	u S u k  k
şarkıcılar	S m a X u k u l a r
şut	S u t
Banka	n
Bizanslıların	i r a w o s l u l a r 3 n
Craig	r a i g
Crown	r o w n
Diyanet	i y a n e t
Evliya	v l i y a
Fahri	a h r i
Fermi	e r m i
Göztepe	o z kw~ a u L a
Halbuki	i g u n u N
Hardy	a r t a
Kanuni	n u
Kid	s e i
Kırşehir	u r S e h i r i
Mazda	a z d a
Nazilerin	a z i l e r i n
Okyanusu	ky~ a n u s u
Orlando	r l a n d o
Saddam	a d d a m
Sawyer	a w w u r
Slovak	l o v a k
Sokağı	o k o X k
Square	k a r e
Stüdyo	m a n t o o
Tahta	a h t a
Tanrının	a 7 u n  n
Theodore	h e o d o r e
Türklerde	3 r k l e r d e
Wolf	o l f
Woman	t a x
Yarbay	a r b a y
Yargı	a r g k
Yönetmeni	n e t m e n i
Yüzyılın	3 z y u l 3 n
aerodinamik	a e r o d i n a m i k
alışverişi	o l u S e r i S i
anatomik	a n a t o m i k
arayarak	a r a y a r a
araziyi	a r a z i y i
arıtma	a r u m a
aylarca	a y l a r k a
ayrıcalıklı	a y r u k a l 3 k k l 3 k
açıkladılar	a u k l a d 3 l a r
bağlarını	b o X  u n
bedenin	b e d e n i n
beşe	b e S e
bildirim	b i l d i r i m a
birimlerin	b i r i m l e r i n
birimlerinden	b i r i m l e r i n d e n
birisini	b i r i s i n i
bombaları	b o mb~ a l a r k
bonservis	b o n e r v i s
boyalı	b o y a l 3 k
boyutlarında	b o y u tL~ a X n a u nd~ a
bulunmadı	b u l u n m a d 3
bulunmasıdır	b u l u n s u d 3 r
bölümündeki	b u w o l 3 m 3 nd~ e k i
bütçesi	b i e s i
cesetleri	k o w L e r i
cezasının	C E z a s u n  n
demografik	d e m o g r a f i k
desteklenmiştir	d e s t a k l e n m i S t i r
devrimin	d e b l i m i n
değişmeyen	d e X i S m e y e n
diplomasi	d i p xy~ u 7 s i
dosyalar	d o s m a r a r
düştüğünde	d 3 S t 3 X 3 nd~ e
ekonomide	e k o n o m i d e
emeği	3 m 3 X i
emlak	e m l a k
erişildi	r i S i l d i
etabı	e t a b k
etmemektedir	e t y o g o k  r
eşiyle	e S i y l e
finalist	f i n a l i s
geliştirilmesinde	g e l i S t i r i l S i d e
getirdiğini	g e t e o n X i n i
gittikleri	g i t t i k l e r i
golf	k o r f
gördüklerini	g a r d 3 k l e r i n i
güneşli	g i e S
hareketinden	h a r e k e t i n d e n
hentbol	h e n t b o l
hikâyeye	h i k o e y e
huzurunda	h u z n d a
hücreye	h i k a r r e y e
hükûmetini	t a 7 i 3 m e t i n i
ihtimal	i h t i m a l
ilgilenmiştir	i l g i l 3 n m i S t i r
ilişkisine	i l i S k i s i n e
imparatora	i m p a r a t o r a
imzalanmıştır	i m z a l a n m u S t u r
inanıyor	n  n i o z i
istedim	i s t e d i m a
jandarma	T a n r m a
kaldırılarak	k a l d 3 r u l a r a
kanatta	k a n a t
kazara	k a z a r a
kaçırma	k a u r m a
kenarlı	k e n a X l u k
kesilen	k e s i l 3 n
kesit	k e s i t
konuşulur	q o n u S u l u r
kumandanı	k u m a n n
kurtaran	k u r t a r a
kurtulmuştur	k u r t u l m u S t u r
kurşuna	k u r S u n a
kuyrukları	k u y r u k  k
kütlenin	g u t l e n i n
lanse	l a s e
maskeli	s k e l i
meclisin	m e t l i s i n
mesire	m e s i r
mevsimsel	m e b b u p e l
motive	m o t i v E
muhasebe	m u h a c e b e
numarasını	n u r a S u n
obje	o b e
olayının	o l a y u n  n
oranın	o r a n  n
parçalanmış	p i a l a n m u S
psikolog	p i k o l o
sese	s e s e
sessizce	s e s s i z j e
silindirli	s i l i n d i r l i
simülasyon	s i m 3 p i S k o n
sponsorluk	s p o Th~ o r l u k a 7
sürmüşlerdir	s 3 r m 3 S l e r d i r
sıkıntılı	s u k u nt~ u l 3 k
takımlarda	t a k u m l a r d a
tanrıya	t a 7 u y a
taşra	t o S r a
tesadüf	t e s a d 3 f
tonluk	t o n l u k
uzayı	u z a y u
uğrayarak	u X r a y a r a
uğraşmaya	u X r o S m a y a
yavruları	y a b 3 r u l a r k
yazılması	y a z u l s k
yaşadıktan	y o S a d 3 a
yaşamaktadırlar	y o S w a d 3 l a r
yenir	y e n i r
yerdi	y e r d i
yerleştirme	y e r l e S t e o m e 7
yıkılması	y 3 k u l s k
yıkıma	y 3 k u m a
zaferle	z a f e r l e
Çoban	o b a n
Üretilen	r e t i l e n
çalışılmaktadır	o l u S u l a d 3 r
çevrilerek	u s r e l e r a
çıkışında	u k u S u nd~ a
önayak	n a y a k
üyenin	3 y e n i n
İmparatorun	p a r a t o r u n
İtalyanlar	t t a ly~ a* l a r
şarkılarıyla	S m a X u l a r u y l a
şartlara	S i t l a r a
Adli	d l i
Amsterdam	m s t E r d a m
Bang	a N
Birincil	i r i n k i l
Boşnak	o S n a k
Dönüş	n 3 S
Düşünce	3 S i j e
Ekran	k r i
Ellen	l l e n
Endeksi	d e k s i
Erkeklerin	r k e k l e r i n
Finans	s a m
Fonu	n u
Foster	o s t e r e n
Fourier	o u r i e r
Greg	r e
Görünüşe	o r i 3 S e
Hamburg	a m b u l
Hamidiye	a m i d i y e
Hedef	e d e f
Hey	u y
Honda	o n d a
Kabul	a b u l
Katedrali	a t e d r a l i
Kristal	r i s t a l
Kutup	u t u p
Kuvvetlerinin	u w e L e r i n i n
Lesnar	e s n a r
Müslümanları	3 w 3  k
Neville	p i r i l l e
Pamuk	a m u k
Persler	e r w t a r
Prag	r a g
Pınar	u n a r
Sefer	e f e r
Suyu	u y u
Tanrılar	a 7 u l a r
Yarımadası	a r u d a s k
Zemin	e m i n
Zırhlı	u r l 3 k
anlaşıldığı	a n l o S u l d u X k
araçlarla	a r a  l a
arkeoloji	a r k e i
atak	a t a k
atama	a t a m a
ayar	a y a r
aydın	a y d 3 n
azaltmaya	t r o l t m a y a
açıklamasına	a u k l a m a k u n a
açıklığa	a u k l 3 k X a
ağaca	o X a k a
ağın	o X 3 n
ağırlığının	o X u X l u x X u n  n
banliyö	b a n p o l i y 3
başarılara	b o S a r u l a r a
başlangıcını	b o S l a N u k u n
benimsemiştir	b e n i m e m i S t i r
beygir	b e y h i r i
beyni	b e y n i
bitiminde	b i t i m i n d e
bulunmakla	b u l u n m a k l a
denizi	d e n i z i
diliyle	d i l i y o l e
dolaşarak	d o l o S a r a
duruş	d u r u S
dönüşler	d 3 3 S l e r
dönüşünü	d n 3 S i 3
düşmanca	d 3 S C a
düşmeye	d 3 S m e y e
edilemeyen	e d i l 3 m e y e n
eklenmesiyle	e k l e n S i y l e
elbette	e l t t e
emeklilik	3 m 3 k l i l i k
entropi	e n t r o p i
erimiş	r i m i S
eteğinde	e t e X i d e
evliliğin	p i r l i l i X i n
fiziğin	f i L X i n
formuna	f o r m u n a
galaksilerin	g a l a k S i l e r i n
gerileme	g e r i l 3 m 3
gezisi	g e L
gotik	g o t i k
gömülmüştür	g o m l m 3 S t a r
görüntülerin	g a r i t 3 l e r i n
gününden	g i 3 nd~ e n
harcama	h a r k a m a
hastalıktır	h a s t o l u u r
hayvancılıkla	h a y v a n u k a u l u b l e
ihtiyaçlarına	i h mb~ a u   u n a
ilişkilerine	i l i S k i l e r i n e
incelenen	m a e l e n e n
isteyerek	i s t e y e r e k
isyancıların	i s y a n C i u l a r 3 n
izleyicilerin	i r L b a i l e r i n
kaldırılan	k a l d 3 r u l a n
kalesinin	k a l e s i n i n
katilin	k a t i l i n
katıdır	k a t u d 3 r
katılmadan	k a t u l d a n
kazada	k a z a d a
kilitli	k i l i L i
korkutucu	k o r k u t u k u
kullanılmasıyla	k u l l o n  l s u y l a
kuruş	S
kümeye	k 3 m e y e
lazım	l a z u m
lehçe	l e h e
madalyasını	d a r a s u n
magazin	a z i n
makalenin	m a k a l e n i n
mekiği	k i X i
melodik	m e l o d i k
mesele	m e s a i l e
olaydır	o l a y d 3 r
oluşturulmasına	o l u S t u r u l m o s u n a
operatör	o p e r a h a r
oyuncularla	o y u n k u l a l a
oğlan	o X c
pagan	p a g a n
pantolon	p a n t o l o n
parametre	p a r a m E t r e
pilotun	p i l o t u n
pozisyonuna	p o a o n u n a
resme	r e s m e
romancı	r o m a n C i k
savaşlarında	s a v a S  u nd~ a
sağlamıştı	s o X l a m u S t k
sebepler	s e b e p l e r
sesiyle	s e s i y l e
solisti	s o l i s t i
spiral	s p i r a l
söylüyordu	s o u y 3 o r d u
sürmekte	s 3 s a y m 3 k t e
süslenmiştir	s 3 w t a n m i S t i r
sıcaklıkları	s u k a k l 3 k k  k
sıkıca	s u k u k a
sınıfları	s u n  f  k
sığınma	s u X u n m a
taahhüt	t a h t a 7 i 3 *
tadını	t a d 3 n
tanımak	t o n
tanınmasını	t o n  n s u n
teknolojiye	t a k n o l o x
telefonlar	t e l e f o n l a r
tesislerinde	t e s i w t a r i d e
toplanıp	t o p l o n  p
toplumdan	t o p l u m d a n
topraktan	t o p r a k t a n
törensel	h a r e s
türetilen	m a n t r e t i l e n
ucundaki	u k u nd~ a k i
uygulamasının	u y g u l a m a k u n  n
uygulayarak	u y g u l a y a r a
uymayan	u y m E n
uçaklarının	u a q  u n  n
uçaktan	u a k t a n
vücutta	a kw~ t t a
yansıyan	y a s u a n
yapımlarında	y a p u m  u nd~ a
yasaklar	y a s a q
yayıldığı	y a y u l d u X k
yenilgisi	y e n i l g i s i
yurda	y u r d a
yönetimde	y 3 n e t i m d e
yüzyıldaki	y 3 z y u l d a k i
çalışılan	o l u S u l a n
çekilip	e k i l i p
çekilirken	e k i l i l k e n
çiftliği	i f i L e X i
çizginin	i z g i n i n
çocukluğundan	o k u k l u X u nd~ a n
çokluğu	o k l u X u
çökmesi	k m e s i
öldürmesini	o l d 3 s a y m 3 s i n i
ömrünün	o m r i o N
özelliktir	o 8 ly~ i k m 3 t i r
özne	o z n e
üzerlerine	3 r i ly~ l e r i n e
İnci	n u X a i
İnegöl	n e g o
ısrarla	u s r a l a
Şövalye	o v a r
şairler	S a i r l e r
şampiyonada	S a m p i y o n a d a
şirketiyle	S i r k  j l e
şık	S u
Adams	d a m
Allan	S
Alınan	l u n a n
Aslı	s l 3 k
Barrett	a r
Bartın	i t 3 n
Bayrağın	a y r o X 3 n
Bizanslı	i r a w o s l 3 k
Bölümünü	o l m 3 i 3
Cohen	o h e n
Cross	r o s
Curtis	u r t i s
Efsaneye	f s a n e y e
Erkan	r k a n
Fritz	r i c
Görevi	o b e b i
Hafta	a f t a
Halka	a l
Halkla	a l l a
Harbiye	a r
Jessica	e s s i k a
Joan	o a n
Joker	o k a r
Lara	a r a
Malcolm	a l k o l m
More	u r e
Mükemmel	3 k E m E t m e l
Nehrin	e h r i n
Nicolas	i k o l a
Off	f
Organik	r g a n i k
Pekin	e k i N
Rap	a p
Reform	e h m
Seth	e t
Seyahat	e y a h a t
Tatlı	a t l 3 k
Titus	i t u s
Turhan	u r h a n
Tyrion	3 r i o n
Uygulamalı	y g u l a m a l 3 k
Uzaktan	z a k t a n
Yapay	a p a y
Yıldızlar	u l d u z l a r
almasından	a l s u nd~ a n
anarşist	a n a r S i s
atomları	a t u m  k
atomu	a t u m u
aydır	a y d 3 r
açıldığında	a u l d u X u nd~ a
aşireti	o S i r e t i
bağışladı	b o X u S  d 3
başlamışlardı	b a S  m u S  d 3
başrolünde	b o S r o l 3 nd~ e
belirti	b e l i r t i
bildirmek	b i l d i r w i t a
brüt	b r i
bütünlüğünü	b i i 3 3 X i 3
davasında	d a b E s u nd~ a
dağılması	d o X u l s k
dudak	d u d a k
dönüştürülmesi	d 3 3 S t 3 r l m e s i
düştüğünü	d 3 S t 3 X i 3
düşünmüştür	d 3 S i m 3 S t a r
düşüşü	d 3 S 3 S 3
edileceğini	e d i l e u X i n i
elçilik	e l i l i k
etkileşimli	e t k i l e S r h a y
evsiz	p i r i t e
eğitmen	e X i t m e n
garnizon	g a r n i z o n
geleneğinde	g e l e n e X i d e
gidiyor	g i d i y o r o
göndermiş	g n d e r m i S
görevin	g a r E f i n
görmekte	g a r k
görmez	g a r m e z
haftası	a f t a s k
hakimi	h a k i m i
harekâtın	h a r e k a t 3 n
hastalığından	h a s t o l u X u nd~ a n
heavy	h e a b
hibrit	h i b r e
