li 	l i
Politika	o l i t i k a
Service	e r v i k e
Sports	p o r c
Super	u p e r
Tork	u r
agrikoli	y r i k o l i
applikaw	a p p l k a w
area	a r e a
bajd	b a d
dahru	d a h r u
ddedikati	d  k a t i
demokratiċi	d e m o k r a t i
dettaljata	d e t l j a t a
diehla	d i e h l a
dizabilita	d i z a b i l i t a
emigranti	e m i g r a n t i
eroina	e r o i n a
ghandniex	x a nd~ n i e 7
ghaziz	x a z i z
għanijiet	g a n e
għedt	g e d
habat	h a b a t
idoqqu	d o x k
ilaħħqu	i l a q u
illegalment	i l l e 7 a l m E n t
implimentati	i m p l i m e n t a t i
inferjuri	i n f e r h u r i
innijiet	i n t e
intemmet	i n t a m
issejhu	i s sx~ e xe u
ivvota	i v v o t a
ivvutaw	i v b u t a w
iġorr	i X i o r
jhalli	h i s k a d i
jiffunzjona	h i f u n z y o n a
jitressaq	h i t r e s s a q
jobdu	j o b d u
kalm	k a l m
karatteristiċi	k a r a t t E r i s t i
koalizzjoni	k o a l i z z y a r o n i
ktejjeb	k b 3  E b
kunsens	k u n w o
librerija	b r e r i j a
maghrufin	m a gh~ i r o k u p i n
mistrieh	C u w u z i e x
moħħna	m o n a
msallab	m s a ly~ a b "
multi	l t i
nagħmluha	n a g m  a
oqbra	o x b r a
pjani	ph~ a n i
propjeta	p a z o x e t a
proċedura	p r o e d u r a
qligħ	q l i g
rakkont	r a k n t a 5 a
sensittiva	s e ns~ i t i v a
siġġijiet	s i X i X i a h i e t
sodod	s o d o d
soċjeta	s o x e t a
splodiet	s p l o d i e t
superjuri	s u p e r h u r i
timla	t i l a
tinkwieta	t i n kw"$ i e t a
tipika	t e p i k a
titneħħa	t i t n e a
zied	z i e d
ħlasijiet	l a C e
żviluppaw	v i l u p p a w
Ghasafar	h a s a f a r
Gie	i e
Gordon	u r d o n
Habib	a b i
Kun	u n
Lapsi	a p s i
Leo	e o
Lili	i l i
Lixandra	i S o n d r a
Lorenzu	o r e n z u
Manager	a n a g a r
Maris	a r i s
Pereżempju	i d i 3 mp~ C u
Roderick	o d e r i C
Salvatur	a l v a t u r
Sovjetika	o w o x e t i k a
Tonna	o n a
abbuz	a b "
akkużi	a k k u i
approva	a p p r o v a
benefattur	b i n i f a t t u r
blat	b l a t
blokk	b l o k
bord	b o r d
daret	d a r e t
dipartimenti	d i p i t i m e n t i
dixxiplu	d i S S i 7 i pw~ l u
dnubiet	d hn~ o i e t
ekk	e k
episodji	a p i s o d h i
ergajt	e r g a j
faccata	f a k k a th~ a p 3
falliment	f a ly~ i * a 5 a
ffurmat	f f u r m a t
fiex	f i e 7
finanzjament	f i n a n c~ c e n t
fiss	f i S
friski	f r i s k i
ghex	q Z e 7
għaddejt	g a d j
għalqa	g a q a
għalqu	g a q
għeruq	g e r u w
hares	h a r e
helwa	h e l w a
iddeċidejt	i d a i d e h a
ihossu	i h o s s u
indunajt	i d u n a x a
introdotta	i n t r o d o t t a
iqisu	i k i s u
itella	i t e l a
ittieħdu	i t t i e d u
jafdaw	y a f d a w
jibki	h i b k i
jiddejjaq	h i d a j j a q
jirnexxilhom	h i r n " n lx~ o m
jiġġieldu	h i N g X i a e l d u
jneħħi	h n e i
joqrob	j o x r o b
kanċer	k a n 3 q
kelmtu	k e l m t u
kunflitt	k u n f ty~
kwantità	k w a n t i t 7
lbieraħ	l a
loghob	l o x o b
lum	l u m
mandat	m a n
marki	m a* r k i
minfloku	m i n f L o k u 7
minuri	m i n u r i
missjunarja	m i 7 C i x u n a r j a
miżżewġin	m i e w X i a n
narahom	n a r a h o m
niltaqghu	n i l t 3 k u
nsibuha	s i b u h a
obbligatorja	o b bl~ i g a t o r j a
opportun	o p p o r t u n
osservati	o s e r v a t i
paroli	p e r o l i
qamar	k " a m a r
rah	X o h
restawrata	r e s t a r a t a
ricetti	r i C E t t i
strateġiku	s t r a t e X i a k u
sustanzi	s u s t a nz~ i
tarax	t a r a
tfuliti	t f u l i t i
tfulitu	t f u l i t u
tghiduli	t 3 x  d u l i
uniċi	u n i
ux	u S
vantaġġi	v a nt~ a NG~ i i
wahdi	w a h d i
xogħolijiet	t " a m g o l i j i e t
ġabar	N g a b a r
ġrat	N g n a
ġustifikat	N g u s t i i S t i m a
Ħadt	a d
ħassu	n i u
Ambjent	m by~ E n t
Band	a n d
Bibbja	d i b i k j a
Binha	h a
Development	u s k u a m E n t
Festi	e s t i
Ifisser	f i s e r
In	n
Inglizi	N l i z i
Isma	s m a
Karmelitan	a r m e l i t a n
Lampedusa	a m p e d u s a
Marlene	a r l e n e
Nazzjonalist	a z z y a r o n a l i s
Nistaqsi	i s t a q s i
Proposti	r o p o s t i
Vatikan	a t i k a n
after	a f t e r e n
appartament	a p p i t a m E n t
apprezzata	a p p r e z z a t a
assigurazzjoni	n i i g u r a z z y a r o n i
aġġornat	a NG~ N g o r n a t
ballun	b a l u n
bidwi	b i d w i
biljett	b i l x e t
ddeċidew	d a i d o
domanda	d o m a n d a
ek	o X
erġajna	e r N g a x n a
fikom	f i k o m
gawdew	g o b
generalment	g e n e r a l m E n t
grazzji	g r a z z y a r i
halliet	h a ly~ i e t
haqqu	h a k " o u
has	h a s
helu	h e l u
igorr	i g o r
imwieled	i m w i e l e d
inawgurata	i n a w g u r a t a
incident	m a i d e n t
ingib	i N i
insir	s i r a
inġenerali	i n x n e r a l i
inħobbu	i n o b b u
isbah	i s b a h
ix	i S
jaghmilha	h a n a m i L a
jdawwar	n d a w w a r
jhares	h a r e
jigbru	y i g o* u
jikkomunika	h i k m i u n i k a
jinkitbu	j i n k a m b u
jintroduċi	h i t r o C u i
jinħatru	j i n a t r u
jipproteġi	h i p p r o t e N g i
jitjiebu	h i ty~ a 5 a u
jitqiegħdu	h i t g w i e g d u
jixirqilha	h i S i r q i L a
jsofru	h  r u
jħaddmu	y a d m u
kantuniera	k a n t u n i e r a
kwieti	kw~ i e t i
laħam	l a m
legalment	l e 7 a l m E n t
mentalità	m e n t a l i t 7
mohbija	o* h b i j a
nappella	a pw~ p m u S
niccelebraw	n i C s e l e b l a w
nimmaġina	n i m X i a t u
niskopru	n i s k o p r u
personalitajiet	p e r s o n a l i t a
pittur	p i t t u r
pogga	p o g g a
ppjanat	p p j a n a t
qiesu	q e s u
restrictions	r a i cy~ t i o* s
rispettati	r i 8 p e n e t a t i
ristrett	r i s t r e t
riħ	r i
sinċier	s i n i e r
social	s o k i a l
ssaħħaħ	s s a
ssostni	a d a m s t n i
stati	s t a t i
taqlib	t a q b u C o
televiziv	t e l e p i t e
tentattiv	t e n t a t t i
terremot	t e r a m o t
teżistix	t e i s t iT
tmiemu	m i e m u
togħla	t o x l a
tolleranza	t o l l e r a n c a
toqod	t o x o d
tqassmu	t q o 7 m u
tqiegħed	t g w i e g 3 d
trabi	tr~ a b i
traġedja	tr~ a x a j a
ttiehdet	t e h d e t
turija	t u r i j a
twajba	t w a h b a
twarrab	t w a r a b "
tħossha	t o s a
versi	e r S i
wiċċha	w i h a
zieda	z i e d a
ċertifikati	e r t i i S t i m a
Ġorġjana	u r NG~ j a n a
ġmielu	N g m i e l u
ħatar	a t a r
Art	r
Callus	C a L u s
Due	u e
Gimgha	i m gh~ a
Għadu	a d u
Għamilna	o m e L n a n
Hadt	a d
Helen	e l e n
Ii	i
Ikkuntattjat	k k u n t a t y a t
Isfel	s f
Jimmy	i m
Kontraenti	o tr~ a l e v e n t i
Lura	u r a
Manchester	5 u k u n C e s t e r e n
Minghajr	i N a r
Programm	r o g r a m 3 n
Ratzinger	a c i N e r
Sandro	a ndr$ u
Tkellimna	k e ly~ i m n a
Ugo	g o
accetta	a k C E t t a
aġġornata	a X i X i o r n a t a
aħħar	a r
bata	b a t a
bejni	b e h n i
bintha	b i t a
bit	b i t
dati	d a t i
determinazzjoni	d e t e r m i n a z z y a r o n i
difensur	d i f e s u r
dubbju	d u b by~ u
emozzjonijiet	e m o z z y a r o* e
euro	u
fiżiċi	f u i
ghaziza	x a L c a
għola	k o r a
ilbies	i l a
impjant	i m p C i
isibuha	s i b u h a
issibu	i s s i b u
issuq	i s b
jaffettwaw	y a f e t tw~ a w
jalla	y a ly~ a
jaqbżu	y a q b u
jattakka	h a t k
jgħidlu	h g i d l u
jibza	h i b z a
jiddi	h i d i
jikkonsulta	h i k k o s u l t a
jinsew	j i n o
jintwera	h i t w e r a
jirrepeti	h i r e p e t i
jispikkaw	h i s p i k k a w
jissieħeb	h i s s i a p
jistabbilixxi	h i s t a b i k a C i S x i
joghgbok	h t gb~ o k
jqajjem	h q a
jtella	h t e l a
kanna	k a n n a
kienitx	C
kommess	k o m e s
konsum	q o n i k s u m
kontinwi	k o nt~ i n i
kontroversja	k o nt~ r o e r s a q
kreattivi	k r E a t t i b i
kumbinazzjoni	mb~ i n a z z y a r o n i
kunvent	k u n v e n t
lajċi	l a h i
letteratura	l e t t E r a t u r a
mozzjoni	m o z z y a r o n i
mużiċisti	m u i s t i
mżejna	m e h n a
nevitaw	n e b i t a w
nippretendu	pw~ p r e t e n d u
nitolbuk	n i t o l b u k
noqodu	n o x o d u
nzommu	n z o m m u
pistola	p i s t o l a
pjazza	ph~ t c a
preżenza	p h r e n c a
program	p r o g r a m
qalila	q a l i l a
qasmu	q a s m u
rajthom	r a h t o m
sagri	s a g r i
saritx	s a r i t 7
sbatax	s b " a t a
skratac	s k r a t a
space	s p a k e
sparaw	s p a l a w
ssibu	s s i b u
stajniex	s t a x n i e 7
sturnell	s t u r n "
suggett	s u g g e t
tagħtih	t a g t i h
televiżivi	t e l e i i v i
tghidli	t x i d l i
tiddaħħal	t i d a 7 a l
tikxef	t i k " e a f
tislima	t i s l i m a
trasferit	t r a s f e r i k
turiżmu	t u r i m u
vvutaw	v b u t a w
website	w o r s i t e
xhin	S i n
Bastjan	a s t y a n
Birdlife	o l i f e
Corpus	u r p u s
Ekonomiku	q o n o m i k u
Elezzjoni	l e z z y a r o n i
Emmanuel	m
Grupp	n i n p
Għar	a r
Għarbija	a r b i j a
Henjin	e n j i n
Inutli	n u L i
Jibqa	i b N g a
Jistgħu	i s t 3 x u
Kotba	o t b a
Lhudija	h u d i j a
Liverpool	Ng~ e r e n p o l
Minnufih	i n f i
Ninsabu	s a b u
Punt	u n t
Sptar	p t a r
Tripli	r i p l i
Zerafa	e r a f a n a
abbandunati	a b " b a d u n a t i
amministrattiv	a m i n i s t r a t t i
attur	a t t u r
been	b e n
bejh	b e h
cameras	k a * a s
cemplu	k 3 mp~ l u
deskritta	d e s k r i t t a
disinji	d i s i nj~ i
domt	b
ekonomikament	e k o n o m i k a m E n t
emerġenza	E m E r x z a
ferħan	f e r i
fethu	f e t u
finanzi	f i n a nz~ i
flusu	f l u s u
fortizza	f o r t i z c a
ghazlu	g tr~ u ndr$ l u
gonzipn	g o n z i p n
guvni	g u b n i
hegga	h 3 g a
hieni	hy~ e n i
hobz	h o b
hwienet	w k a e t
ibqa	i b N g a
iffirma	f f i r m a
imbierka	i m b i e r
inbeda	i n b e d a
indunaw	i d u n a w
infatti	i n f E t
infittxu	i n f i 5 u
intervisti	i n t E r i s t i
intlaħaq	i n a a q
ippubblikata	i p p u b b l k a t a
ippubblikati	i p p u b b l k a t i
isimhom	i s i m o m
issemma	i s e m a
issostni	i s s o s t n i
jarmi	h a r m i
jassistu	y a s s i s t u
jeħel	h e
jiddaħħlu	h i d l u
jidentifikaw	h i d e n t i f i k a w
jidhirli	h i d i r l i
jifred	h i f r e d
jinkwieta	j i n kw"$ i e t a
jipproduċi	h i p p r o C u i
jirrifjuta	h i r fy~ u t a
jirritornaw	h i r i t o r n a w
jissieħbu	h i 7 a 5 a u
jiġġenera	h i N g x n e r a
jkollniex	h q u L n i e 7
jobdi	j o b d i
jpoġġu	h p o X i X i u
konsegwenza	q o n i k g w e n z a
konservazzjoni	q o n i k e r v a z z y a r o n i
kumitati	k u m i t a t i
kuntratturi	k u n t r a t t u r i
mahsub	m a 7 s u b
maskili	s k i l i
mxew	m " e a
nagħlaq	n a g l a q
naqblux	n a q bl~ S
naqsux	n a q s u S
nibni	n i b n i
nizlu	n i z l u
noqoghdu	n o m g w t d u
ntlaqat	tL~ a nz~ i
perikolużi	p e r i k o l u i
qabez	q a b e z
qbadna	q b a d n a
rati	r a t
removed	r E m o p e d
room	r o o m
rrefera	r e f e r a
running	r u n n i N
separatament	s e p a r a t a m E n t
serħan	s e r i
sinjura	s i n j u r a
sodisfaċenti	s o d i s y l e v e n t i
sparar	s p a r a r
stmati	s t m a t i
tapprezza	t a p p r e z c a
telghu	t E l x u
temporanju	t e m p o r a n j u
tgħolli	t o l l i
tintilef	t i n t i l e f
tintlaħaq	t i t a a q
tirrispetta	t i r 8 p e n e t t a
tiswija	t i fs~ i j a
titli	t i L i
tlajt	L a
toqba	t o x b a
tuzzana	t u z u k a n a
zminijiet	z m i n i j i e t
Ċensu	n s i
ċimiterju	i m i t E r C u
ħolqien	o l g w i e n
ħorox	u r u 7
żammet	a m e
Bakery	a k e r
Brown	r o w n
Damjan	a m a d " a
Demajo	e m a t a
Fredu	r e d u
Għaxaq	a g a q
Hall	o l
Hunter	u n t e r
Ikla	k l a
Iltqajt	l t q a
Indri	n d r i
Industrijali	u z i j a l i
Jgħidu	g i d u
Kaccatur	a k k a t u r
Madre	a d r e
Napli	a p l i
Nieħu	i e u
Nota	o t a
Parroċċa	a r o a
Penza	e n z a
Rettur	e t t u r
Road	o a d
Soċjalista	c a l i s t a
Spanjola	p a n j o l a
Sportiv	p o r t i
Toroq	o r o q
Vittoriosa	i t o r i o s a
Youth	o u c
abort	a b o r
akkademiċi	a k a d e m i
allowance	o l  w a n C i e
bagħtu	b o g t u
banek	b a i k
bravu	b r a b u
cost	k o s
ddaħħal	d a l
ddeċidiet	d a i d i e t
delizzju	d e l i z z y a r u
deċiżi	d e i
elevaw	e l e v a w
estrem	e s t r e m
iddoqq	i d a i s q o
ifakkru	f a k r u
ikabbar	i k a b b a r
ikabbru	i k a b o* u
immedjata	i m  j a t a
infurzar	i n f u r a r
intensiv	i n t e s i b E
isfar	i s f a r a
issaħħaħ	i s s a
istagun	i s t a g u n
iħabbtu	i mp~  t u
jaccetta	y a k C E t t a
jaqleb	y a q l e
jbierek	h b i e r a
jdejh	n d e h a
jghamel	h x a m e l
jhallas	h a ly~ a
jhobbu	h o b b u
jiffaċċja	h i f a h a
jikkumplimenta	h i k k u m p l i m e nt~ a
jilgħabu	h i l g a b u
jinqatgħu	j i n q a t x u
jinġiebu	h i  a 5 a u
jirritorna	h i r i t o r n a
jistawx	h i s t a w S
jitressqu	h i t r e s s kw~
jkellimni	h k e ly~ i m n i
jonqosx	j o n pw~ o s 7
jtellgħu	h t e l a x u
kanzunetti	k a n z u n e t i
kkunsidrat	k k u s i d r a t
km	k m
kompromess	m i p r o m e s
konsulent	q o n i k r e p e n
kulmeta	k u l m e t a
maqtugħa	m a q t u g a
mdawra	m d " i x
mhuma	h u m a
missierhom	m i s s i e r o m
movimenti	m o v i m e n t i
nagħżel	n a g e l
niesu	n i e s u
nirrispettaw	n i r 8 p e n e t 3
nħobbu	n o b b u
organizzaw	u r g a n i z z a w
partitarju	p e r t i t a r C u
preliminari	p r e l i m i n a r i
priorità	p r i o r e 7
priġunier	p ry~ i u n i e r
protetta	p r o t e d t a
pubblikazzjonijiet	p u b bl~ i k a Z z y a r o* e
qaddejja	q a d j j a
qaghad	q a x a d
qisni	g w i h s n i
qsim	k s i m
responsabbilta	r e s p o i r a r u w b i l t a
rikonoxxuti	r i k o* T T u t i
salva	s a l v a
simpatija	s i m p a t i j a
spiritwalment	s p i r i t w o l m E n t
spiċċajna	s p i a x n a
staqsieh	s t a q s i e x
tirrakkonta	t i r a k k o nt~ a
tissejjah	t i s sx~ e xe j a h
tistabbilixxi	t i s t a b i k a C i S x i
tkanta	t k a nt~ a
tkisser	t s e r
tlitt	L i
tnax	t e p o n
traffikar	tr~ a f f i k a r
trasferiti	t r a s f e r i k i
wieġbet	v i  N g b e t
wihed	w i h e d
ġenerazzjonijiet	N g 3 n 3 q  t z y a r o* e
ħalib	a l i
ħdanha	d a h a
ħolqa	o l N g a
żżejjed	E
Alessandru	l 3 s a  ndr$ u
Alexander	l E a n d e r
Bajada	c a d a
Bhalma	h a l m a
Brussels	r u s s l 3
Cini	i n i
Darren	a r
Darwin	a r E f
Duncan	u n k a n
Ganni	a n i
Irrizulta	r i z u l t a
Karol	a r o l
Laqgħa	a q g a
Marsalforn	3 y s a l h n
Mentri	e n t r i
Napuljun	a p u l h u n
Net	e t
Newton	e w t o n
Pietà	i e t 7
Publiju	u b l i j u
Qorti	u r t i
Refalo	i f a l o
Semma	e m a
Stadium	t a d i u m
abbandunat	a b " b a nd~ u
ammonti	a m m o* t i
attendiet	a t e t
blata	b l a t a
card	k a r d
ddikjarat	d i k y a r a t
esklussivament	p i p 3 l 3 l u s s i w a* m E n t
esprimew	e s p l i m i a
estensjoni	3 S t a n cx~ o* n i
flessibbli	f l 3 s a d i b i k l i
fuljett	f u L E t
għana	g a n a
għaqlija	g a q l i j a
hadna	h a d n a
hena	h e n a
imbghad	i m b x a d
inawgura	i n a w g u r a
informazjoni	i n h z y a r o n i
introduzzjoni	i n t r o C u z z y a r o n i
inġibu	i n i i b u
iqumu	i k i m u
issemmi	i s e m m i
jagħtiha	h 3 g g t i h a
jfakkru	h f a k r u
jharsu	h a r s u
jinħadem	j i n a b
jipproteġu	h i p p r o t e N g u
jirregola	h i r e g o l a
jirriżultaw	h i r u l t 3
jittiehed	h i t t i e h e d
jitħaddem	h i t a d b
jmorrux	h m o r S
kampjuni	k a m p C i x u n i
kampnar	k a m p n a r
konnessi	q o n i k n e s
kummissjoni	k u m s cx~ o* n i
lehen	l e h e n
lenti	l e n t i
mira	m i r a
mitejn	m i b 3  n
mwiet	x u m a e t
nghamlu	x a m l u
nharsu	c 3 y s u
notice	n o t i k e
nħares	n a r e
preċiżament	p r e i m E n t
primarju	p l i m a r C u
qabli	q a b l i
qaddej	q a d a x
qajmet	q a m e t
relatata	r e l a t a t a
reviżjoni	r E f i j o n i
rimedju	l i m e d C u
ritmu	r e m u
salvazzjoni	s a l v a z z y a r o n i
sarux	s a r u S
separazzjoni	s e p a r a z z y a r o n i
speed	s p e 3 d
stampi	s t a m p i
stretta	s t r e t t a
temmew	t a m i a
tinħareġ	t i n a r e i
tipparteċipa	t e p p i t e i p a
tistqarr	t i s t k ar
tiżjin	t i j i n
tmiemha	m i e m a
uffiċċju	u f i j u
ward	w a r d
wettqet	w e t E
zvilupp	z v i l u p p
Ġiet	i e t
ġusti	N g u s t i
ħamra	a m r a
ħarta	i t a
ħesrem	e s r E m o
Aaron	a r o n
Air	i r
Arts	r c
Battista	a t t i s t a
Berlin	e r l i n
Bibliċi	i b l i
Blair	l a i r
Evarist	v a r i s
Fabri	a b " r i
Giorgio	i o r i o
Iermu	e r m u
Immakulata	m m a k u l a t a
Interpellant	t E r p e l l a n t i
Kelma	e l m a
Konġunt	o  u n t
Latina	a t i n a
Laudate	a u d a t e
Libjani	i b j a n i
Liġi	i NG~ i
Mhemmx	h e m 7
Nina	i n a
Officer	f i C E r
Problema	r o b l 3 m a
Senior	e n i o r
Teresa	e r e s a
Trust	r u s
Uhud	h u d
Unjoni	nj~ o n i
allavolja	a l l a v o l j a
ambulanzi	a m b u l a n z i
awtorizzat	a w t o r i z z a t
bicciet	b i k C y e t
bidel	b i d
bilqieghda	d 3 b i q i e x d a
bħalek	b a r a
damx	d a m 7
dettall	d e t l o
dikjarazzjonijiet	d i k y a r a z z y a r o* e
diżastru	d i a s t r u
eskluż	p i p 3 l 3 l u
essenzjalment	e s e n z y a l m E n t
ex	Z i 7
fdat	f d a t
ferhan	f a i
fir	f i r
flejjes	f j i
ftakar	f k a r
funeral	f u n e r a l
ghalaq	g l o i
ghat	x a t
ghodda	x o d a 7
għajb	g a j
għanja	g a n j a
għidtlu	g i d L u
gżiritna	g i r i t u n a
hasra	h a s r a
hdejh	h d e h a
ihoss	i h o s
inqatel	i n q a t 3
inġabru	i n i a b r u
irrifjuta	i r fy~ u t a
irħula	i r u l a
jafda	y a f d a
jaghzel	h a n a z e l
jaqghu	y a q x u
jassisti	y a s s i s t i
jemminx	j e m i n 7
jgħidilhom	h Ng~ i dy~ lx~ o m
jgħinna	h g i N
jhoss	h h o s
jidentifika	h i d e n t i f i k a
jiflaħx	h i f a g
jifli	h i f l i
jikkonsidra	h i k k o s i d r a
jirreġistra	h i r  X i a s t r a
jitghallem	h i t x a l l 3 m
jitlestew	h i L e s t i a
jixirqilhom	h i S i r q i L o m
jlaħħqu	h l a q u
jordna	c u k u d n a
jwaqqfu	fw~ a k " o w u
jwarrab	fw~ a r a b "
kaċċa	k a
kilo	k i l o
kompli	m i p l i
kunfidenzjali	k u n f i d e n z y a l i
marittimu	m a r i t i m u
maħruġ	m a r u X i
meqruda	m e k r u d a
milqut	l k
ministerjali	m i n i S t E r q
mit	m i t
miżjuda	m i o n u d a
naqqas	n a k " o 3 s
nibdlu	n i b d l u
niezel	n i e z d
nitolbok	n i t o l b o k
niżviluppaw	n i v i l u p p a w
norqod	n o r q o d
nħallsu	n a ly~ s u
ommhom	o m o m
paniku	p a n i kw~ a
parkeġġ	p e r k e N g i
passiġġieri	p a s s i X i X i a o r i
pls	p l a
preċiża	p r e i a
profeti	p r o f e t i
qarrejja	q a r  a
qegħdha	E g d a
rawh	n a l
reklam	r e k l o m
rnexxieli	r n " n e l i
saritlu	s a r i L u
sebat	s e b a t
serjeta	s e r o x e t a
sewwasew	s e w w a s o
sidru	s i d r u
siehbu	s i e h b u
sms	s m
speciali	s p e k i a l i
spezzjonijiet	s p e z z y a r o* e
speċjalizzat	s p e q  z z a t
surmast	s u r m s d a
tiffaċċja	t i f a h a
titolbu	t i t o l b u
tpogga	t p o g g a
tqabbel	t k mp~
varjetà	v a r E t 7
votanti	v o t a n t i
waqghu	w a q x u
waqtiet	w a q t i e t
zmienu	z m i e n u
Ġnien	n i e n
ġraw	N g l a w
ħadha	a d a
żid	s e i
Awstraljani	w s t r a l j a n i
Galdes	a l d e
Griegi	r i e g i
Għaqda	a q d a
Haber	a b " a r
Ikolli	q u L i
Keith	e i t
Konvint	n v i nt~
Ommna	m m n a
Publju	u b lx~ u
Rabat	a b a t
Ried	i e d
Rivelazzjoni	i v e l a z z y a r o n i
Sacco	a kh~  o
Smajt	C
Sparatura	p a r a t u r a
Verament	e r a m E n t
Zealand	e a l a n d
airgun	a i r g u n
arkitettoniku	a r k i t e t o n i k u
aġġornati	a i NG~ o r n a t i
bandisti	b a n d i s t i
bastimenti	b a s t i m e n t i
ddoqq	d q o
emmint	e m e t u
estiż	e s t i
eċċellenza	e l l e n z a
filfatt	b i l f E t
flokk	f d r
floku	f L o k u 7
gass	g a s
gharaf	x a r a f
gradi	g r a d i
għenet	g e n e t
hieles	hy~ e l e
ibnek	i b i k
ilaħħaq	i l a q
iltaqgħu	i l t 3 k u
indirizza	i n d i r i z c a
inkredibbli	m  b bl~ i
ippropona	i p p r o p o n a
ivarjaw	i v a r j a w
jaghtihom	y a t  o m
janalizza	h a n a l i z c a
jaqbez	y a q b e z
jiffranka	h i f p a p a
jindunaw	h i d u n a w
jingħalaq	h i N a l a q
jinjora	j i n j o r a
jinxtara	j i n t a r a
jipprovaw	h i p p r o w a w
jirranġa	h i r a  a
jirrikonoxxu	h i r k o* T T u
jiskopru	h i s k o p r u
jivvjaġġaw	x i v v gy~ NG~ NG~ a w
kreattiva	k r E a t t i v a
kulljum	k u l u lx~ u m
kwarti	kw~ i t i
lokalment	l o  m E n t
lsien	l s e i
lukanda	l u k a n d a
massima	s s i m a
medji	m e d h i
memorji	m e m o r u
mossa	n o S s a
ngħaqdu	N a q d u
ngħidilhom	N i d i L o m
nirreferu	n i r e f e r u
nispiċċa	n i s p i a
niċeċ	n i e
niġbru	n i NG~ o* u
no	n o
nofshom	n o p o m
noqghodu	n o m g w t o d u
novelli	n o p e m u S i
paci	p a k i
party	p e r t
petizzjoni	p e t i z z y a r o n i
ppreżentati	p p h r e n t a t i
qawmien	q a w m i e n
rakkomandazzjonijiet	r a k e d a z z y a r o* e
ridux	r i d u S
riferenza	r i b u Ng~ e r e n z a
ruhna	r u h n a
saqajna	s a q a n a
segwa	s e gw~ a
serqa	s e r X a
setgha	s e t gh~ a
sezzjonijiet	s e z z y a r o* e
sfrenat	s f r e n a t
siwi	s i w i
sorpriż	s o r p r i
sostenn	s o s t e n n
spallejh	s p a l j
sparati	s p a r a t
staff	s t a f
stampata	s t a m a t a
tagħtini	t a g t i n i
tingħaqad	t i N a q a d
tinqabad	t i n q a b a d
tinzamm	t i n z a m 3 n
tipproponi	t e p p r o p o n i
tivvota	t i b v o t a
tonda	t o n d a
tqanqal	t g o n l u k
trakk	t r a k
uliedi	l i e d i
waħdek	w a d e k
xjentifiċi	S i n t i f i
ċaħad	k i m a t o
ċelebrazzjonijiet	e l e o* tr~ z y a r o* e
Ġara	a r a
ħmieġ	m i e i
ħolqot	o l pw~ o t
żvela	f e l a
Apokalissi	p o k a l i s s i
Artikli	r t i k l i
Bencini	i n C i g i n i l
Borġ	u r i
Buġibba	u X i a b b a
Dalam	a l a m
Demicoli	e m i k o l i
Djoċesana	j o e s a n a
Fortunatament	u r t u n a t a m E n t
Galizia	a l i L a
Għaddew	a d o
Għalih	a l i
Indipendenza	n t i p e n d e n z a
Korp	u r p
Limited	i m i
Lord	u r d
Marta	i t a
Maurice	a  i cy~ e
Pueri	u e r i
Qieghed	i e x 3 d
affettwati	a f f e t tw~ a t i
bandiera	b a n d i e r a
bastiment	b a s t i m E n t
bejnu	b e h n u
beħsiebu	b e s a 5 a u
bhallikieku	b a ly~ i k i e k u
bird	b 3 r d
definit	d e f i n i t
diska	d i s k a
dispjaċir	d i s ph~  i r
dramm	d r a m 3 n
editorjali	e d i t o r q
elef	e l e f
employed	3 mp~ l o t
eroj	e r o x
esaġerati	e s a x r a t
et	e t
fadallu	f a d a L u
feather	f e a t h e r
fliexken	f l i " k e n
ghamilha	x a m i L a
gibed	g i b e d
għarfu	g a r f u
għeżież	g e i e
ic	i k
idejna	d e h a n a
imposti	i m p o s t i
innocenti	i n n o k l e v e n t i
intenzjoni	i n t e n z y o n i
internament	i n t E r n a m E n t
inthom	i t o m
introdotti	i n t r o d o t t i
inzarma	z a r m a
inżomm	i n o m m
iressaq	i r e s s a q
irriżenja	i r e n j a
jabbużaw	y a b a w
jagħmilna	h a n k i m e L n a n
jaġixxu	y a X i a T T u
jaħsbuha	y a s a
jeħilsu	h e i l s u
jhedded	h h e d 3 d
jifdal	h i f d a l
jiffaċilita	h i f a i l i t a
jikkonkludi	h i k k o nk ~ l u d i
jikkontestaw	h i k k o nt~ k 3 n C 3
jisirqu	h i s i r X u
jisraq	h i s r a q
jissokta	h i s s o k t a
jitpoġġa	h i t p o i X i a
jqaddes	h q a d m 3 s
kapijiet	k a p e
kelliex	k e ly~ i e 7
klima	k l i m a
konfermat	q o n i k f e r m a t
kontribuzzjoni	k o nt~ b u z z y a r o n i
kwalitajiet	k w a r i t a
kwarta	kw~ i t a
leħnu	l E n u
liners	l i n e r
ltqajna	l t q a n a
magħqud	m a h k d
mart	m a* r
meqjusin	m e k h u s i n
mibdul	m i b nd~ u l k a
miksija	7 s i j a
miktubin	7 t u b i n
mqassma	m  7 m a
munita	m u n i t a
niksbu	n i k s b u
nipprovdu	pw~ p r o w d u
nirbaħ	n i r b a
ommok	m o k
parrokjali	p e r o k q
perjodi	p e r d s i i
pjaċevoli	ph~ a e v o l i
players	p l a y i l e r
ppruvat	p p r u p a t
provdut	p r o w d u t
qagħdu	q a g d u
qalbkom	q a l b k o m
qaleb	q a l e
qarrieqa	q a r e k a
