eta 	e t a
segidan	s e N i d a n
sinboliko	s i n b o l i k o
sinesmenak	s i n e s m E n a k
suediar	s u e dy~ a r
sufritzen	s u f r i c e n
teknikaren	t a k n i k a r e
tekniken	t a k n i k e n
telebistarako	t e l e b i s t a r a k o
terminoaren	t E r m i n o a r e
uztera	u z i k E m i
zaizkigu	z a i z k i x u
zalduna	z a l d u n a
zan	z a n
zeluletan	z e l u l 3 t a n
zerbitzuaren	z e r b i E c a r e
zink	5
zoriontasuna	z o r i o n t a s u n a
zorra	z o r a
zuelakoan	z u e l a k a
Aintzira	i n c i r a
Aldeko	l d e k o
Aldizkaria	l d i z k a r i a
Andaluziako	nd~ a r u  a k o
André	ndr$ e
Animalien	n i m a l i e n
Arduino	r d i n a m b a
Armadan	r m a d a n
Arrek	r k
Atenasen	t e n a s e n
Babes	a b e sy~ s
Berriaren	e r a r e
British	r i t i S
Erregina	r e g i n a
Franz	r a n c i
Gazteen	a z t e n
Gernika	E a n i k a
Gernikako	E a n d a m a k o k
Ian	a n
Irakeko	r a k e k o
Komunitate	n i t a t e
Kongoko	o N o k o
Lehenak	e h e n a k
Lehenengoak	e h e g o a k
Mariano	a ry~ a
Mendeetan	E d i 3 t a n
Militar	i l i t a r
Ministerioaren	i n i S t E r i o a r e
Moore	o r e
Newtonen	e w t o n e n
Non	o n
Ordenagailu	r d e n a g a i l u
Oriok	r i o k
Ospe	s p e
Otto	t t o
Partida	i t i d a
Peru	e r u
Peña	e ny~ a
Udala	d a l a
Uharteak	h a r t e a k
Zesarrek	e s a r k
aintzirak	a i n a m b c i r a
akatsa	a k a c a
aktiboaren	a k t i b o a r e
aldaketek	a l d a k e t e k
aldameneko	a l d a m E n e k o
aldapa	a l d a p a
antologia	a n t o l o g i a
apaintzen	a p a i N c e n
apezpiku	a p e z p i k u
argirik	a r k i r i k
arrantzale	a r a c a l e
arratsaldean	a r a c o l d e
ataleko	a t a l e k o
atleta	a t l e t a
atxiloketa	a 5 i* d r e t a
autoreak	a u t o r e a k
balioko	b a l i o k o
baliorik	b a l i o r i k
batzea	b a t 8 a
batzuetarako	b a c e t a r a k o
beharrekoak	b e h a r Nw~ 3 a k
beharren	b e h a r
behatzaile	b e h a w i l
belaunaldiz	b e l a u n a l d i z
bereizgarriak	b e r a i z a r a k
bertoko	b E t o k o
bidaiarientzako	b i d a i a r i e n c a k o
bilduz	b i l d u
birusa	b 3 r u s a
bitar	b i t a r
biziaren	b u  a r e
bizitzaz	b i s i m w i
bururatu	b u r u r a t u
burutuko	b u r u n k o
demokratikoa	d e m o k r a t i k a
deskarga	d p i p 3 l 3 m a g a
dituztenez	d i t u z t e n e z
domeinu	b e i n u
dutenei	d u t e n e i
edertasunaren	e d e r t a s u n a r e
ekialdea	r a l d e a
ekosistema	Nw~ 3 s i s t e m a
emakumeentzako	e m a k u m e n c a k o
emigratu	e m i g r a t u
entzuteko	e n c t e k o
eraginkorragoa	e r a g i n k o r a g o a
erakusketan	e r a k u s k 3 t a n
erbestean	e r b e s t e a n
ereduaren	e r e d u a r e
erpin	e r p i n
erreakzionatzen	e r  a k 5 o n a c e n
errebote	E r e b o t e
erreferentziazko	E r e f e r e n t a t k o
erregulatzen	E r e g u l a c e n
errepresentazio	E r e p r e s e n t a q 5 o
erresonantzia	E r e s o n a c i a
eskaintzak	p i p 3 l 3 m i n c a k
eske	e s k e
espirituala	e s p i r i t u s a l a
estaliak	e s t a l i a k
etxalde	a C " a l d e
euskarara	u s k a r a r a
ezabatzea	d a b a c e a
ezaugarrietako	d a u N a r e t a k o
ezkutua	d k u t u a
faseak	f a s u a k
feminismoaren	f a m i n i S y a r e
fidagarria	f i d a g a r i a
finalean	f i l e*
fisikaren	f i s i k a r e
gaiei	g a i e i
gainezka	g a i n e z
gaixorik	g a i S o r i k
garaienak	g a r a i e n a k
garaituak	g a r a i t u a k
garaiz	g a r a i z
gazteagoa	g a z a g o a
gelaxka	g e l a x
gidaria	g i d a r i a
gobernadoreak	g o b E a n a d o r e a k
gonbidatzen	g o* b i d a c e n
gosea	g o s e a
guduaren	g u d u a r e
gurasoei	g u r a s o e i
gustatu	g u s t a t u
gutxitzea	g u 5 i* c e a
hamargarren	h a m a r a r
handietako	h a n d i e t a k o
harrapakinak	h a r a p a k i n a k
hartzeak	h a r c e a k
hegazkina	h e g a z k i n a
hemisferioan	h e m i s f e r i o a n
hiruki	h i r u k i
hizlari	h i z l a r i
hobesten	h o b e s t e i n
hodia	h o d e s i a
hozten	h o z t e n
inteligentzia	i n t e l i g 3 n c i a
ironia	i r o n i y a
irtetea	i r t e t e a
irteteko	i r t e t e k o
izpiritu	i r p i r i t u s
janariak	h a n a r i a k
joka	j o k a
jokatuz	j o k a t u s
jokatzea	j o k a c e a
jolastu	j o l a s t u
justifikatzen	x u s t i f i k a c e n
kalkuluak	k a l nt~ u g u n a k
kartel	k a r t e l
kasa	k a s a
katearen	k a t e a r e
katolikoen	k a t o l i k o e n
kirolak	l o l a k
kokatzea	k o k a c e a
kontakizunak	k o nt~ a k i z u n a k
kontserbazioa	k o nt~ a b e r b a z i o a
krimen	k r i m e n
lehenagotik	l e h e n a g o t i k
lekualdatu	l E k E w E l d a N a t u
ligan	l i g a n
lineako	l i n e a k o
litro	l i t 3 r o
logela	l o g e l a
logiko	l o g i k o
lokalak	l o k a l a k
lurrazaleko	l u r tr~ u r e k o
maitea	m a i t e a
maldan	m a l d a n
mendetan	m e n d e t a n
merkataritzan	m e r k E t E d i t o w i
mesede	m e s a i d e
metrotan	m e t r o t a n
momentua	m o p i N t u a
monarkiaren	m o n a r k i a r e
muinoan	m u i n o a n
multzoan	l c o a n
neurona	n e u r o n a
noizbait	n o y z b a i t
norantza	n o r a nt~ c a
nuklearraren	n u k l e a r a r e
ofizialik	o f i h  a l i k
ohorez	h o r e z
onaren	o n a r e
oparotasun	o p e r o t a s u n
ordutan	u r d u t a n
osasuntsu	o s a s u n s " u u
ospetsuenetako	o 8 p e n e c u e n e t a k o
paraleloa	p a r a l e l o a
parkearen	p e r k e a r e
portuan	p o r t u a n
prezipitazio	p m u  p i t a L o
psikologikoak	p i k o l o g i k o a k
saiakeran	s e i a k e r i
salduena	s a l d u e n a
sarraskia	s a r a s k i a
sentsazioa	s e nt~ a b a z i o a
sinbolizatzen	s i n b o l i z a c e n
sistemek	s i s t e r e p i k
sona	s o n a
tanta	t a n t a
topaketa	t o p a k e t a
traba	tr~ a b a
tradizionalen	i t r i w L o n a l e n
uholdeak	a h o l d e a k
umearen	u m e a r e
ustiapena	u s t i a p e n a
zabalagoak	z a b a l a g o a k
zeharreko	z e h a r r e k o
zeinean	z e i n e
zenbakiaren	z e n k i a r e
zerbitzuek	z e r b i E c k i k "
zigortua	z i g o r t u a
zituztelarik	z i t u z t e l a r i k
zunda	z u n d a
Abraham	b r a h a m
Amaitzeko	m a i c e k o
Arrantza	r a c a
Barruko	m a n u k o
Bergarako	e r g a r a k o
Biztanleen	i r t a n l e n
Carlo	a r l o
Chicagoko	h i k a g o k o
Day	a y
Denak	e n a k
Doktrina	o i n a
Done	o 7
Duke	u k e
Efektu	f e u
Eguzkitik	g u z k i t i k
Erregimen	r e g i m e n
Errepide	r  a t e
Errusiak	r s a k
Filipinetako	i l i p i n e t a k o
General	e n e r a l
Gizakia	i r a k i a
Guztiz	u z t i z
Heriotzaren	r i o w i
Hiriburua	i r i b u r u a
Hiztegi	i r t e g i
Horrezaz	u r d a z
Hugo	u g o
Jackson	a k k o*
Jedi	e d i
Kanadan	a n a d a n
Kim	i m
Kroaziako	r o i  a k o
Maurice	a  i cy~ e
Mazedoniako	a z e d o n i a k o
Ministroa	i n i s t r o a
Mugimendua	t u g i m e nd~ i
Mundua	u n d u N a
Nancy	5 u k a
Nazioartean	a z i o i t e a n
Ondasun	nd~ a s u n
Printzipio	r i t a p i o i
Revista	e i s t a
Seinale	p i s a l e
Sofia	o f i a
System	y s t e m
Tenplu	e n p l u
Tolosa	o l o s a
Union	n i o n
Urteetan	r t i 3 t a n
Xake	a k e
abizen	a b i z a n
ahultzen	a h u l c e n
aipatuz	i p a t u s
aktibitatea	a k t b i t a t e a
albumean	a l b u m e
alternatibo	a l t E r n a t i b o
amodioa	a m o t i a
anaiarekin	a r e k i N
antzokia	a n c  k i a
apaindutako	a p a i d u t a k o
arbuiatu	a r a t u
arkitektoek	a r k a m u a k
armadari	a r m a d a r i
atmosferako	a t n o S f e r a k o
atzizkia	a t a z k i a
automatiko	a u t o m a t i k o
badio	b a d i o
bakunak	b a k u n a k
banaketak	b a n a k e t a k
bandan	b a n d a n
barrualdea	b a r w E l d a N e a
barrunbe	b a r a n b e
batuketa	b a t u k e t a
batzordeko	b a t z o r d e k o
bazekien	b a z e k i e n
behatzen	b e h a c e n
berezitasuna	b e r a  t a s u n a
berrantolatu	b E r a n t o l a t u
beteak	b e t e a k
bezeroei	b e z e r o e i
biolentzia	b i o l e n c i a
biran	b 3 r i
bizantziar	b i s a n t a a r
bizkor	b i z k o r
bolumenaren	b o l u m e n a r e
boterean	b o t e r e a n
burgesia	b u r g 3 s i a
buruzagiek	b u r u c a G k
buztinezko	b u z t i n e z k o
delakoak	d e l a k o a k
desagertuko	d e s a g a n a
disolbatzaile	d i s o l b a w i l
dohain	d o h a i n
dotore	d o t o r e
duzun	d u z u n
ebaluatzeko	e b a l u a c e k o
ebaluazio	e b a l u a L o
eboluzioaren	e b o l u z i o a r e
eginik	g i n i k
egoitzan	i g o nh~ w i
ekologikoa	e k o l o g i k a
ekuazioak	e k u a z i o a k
elikatu	e l k a t u
emozio	e m o  o
entziklopedia	e n c i k o p e d i a
epaia	a p a i a
epel	e p e l
epelak	e p e l a k
erailketa	e r a a l k e t a
erantzungo	e r a nt~ a f o N g o
eroritako	e r o r i t a k o
errealeko	e r  a l e k o
errefuxiatu	e r  pw~ n a t u
erregimenaren	E r e g i m E n a r e
eskeintzen	e s k e i nt~ z a n
eskumen	e s k u m e n
eskuratuz	e s k u r a t u s
espedizioaren	e s p e d i L o a r e
estetikoa	e s t e t i k a
etengabea	e t e N a b e a
eustea	u s t e a
ezkondua	d nd~ i
eztabaidagarria	d t a b a i d a g a r i a
famatuak	f a m a t u a k
freskoak	f r e s k o a k
frontean	f b u* d a k
frontoi	f r o n t o i
funtzionala	f u n t a o n a l a
gaizto	g a i z t o
gardena	g a r d e n a
garestia	g a r e s t a
gazteentzako	g a z % t e n c a k o
gehiegikeriak	g e h i e g i k e r i a k
gomendatu	g o m e n d a t u
gorputzetik	g o r p u c e t i k
grafiatzat	g r a f i a c a t
gutxiren	g u 5 i* r e n
harresien	h a r e s e i
harritzekoa	h a r i c Nw~ 3
hartaz	h a r t a z
hautagaitza	h a u t a g a i c a
heriotzarekin	h e r i o w i r e k i N
hiltzera	h i l c e r a
hirurogei	h i r u r o g e i
hitzarekin	h i w i r e k i N
hitzekin	h i c e k i N
honetakoak	h o n e t a k o a k
igogailu	l i m g a i l u
ikusmen	i k u s m e n
inbasio	i n b a s i o
ingurumenaren	i N u r u m e n a r e
institutu	s t i t u t u
institutuan	s t i t u t u a n
irabazitako	i r a b a z i t a k o
irudietan	i r u d i 3 t a n
izeba	i z e
jendetza	h e n d e c a
justifikatzeko	x u s t i f i k a c e k o
kalitatearen	k a l i t a t e a r e
karlistek	k a l i s t e k
kodeak	k o b a k
konfigurazio	q o n i k f i g u r a L o
konposatua	q o n i k p o s a t u a
kontuetan	k o nt~ u 3 t a n
korrontearen	k o r b u* d a k a r e
kurbadura	k u r b a d u r a
kutsatutako	k u c " a t u t a k o
kutsatzen	k u c a c e n
lekukoa	l E k E u k o
lerroan	l E r o a n
liberalek	b e r a r a
literaturako	t E r a t u r a k o
lizentziatua	l i z e n t a a t u a
lodiak	l o dy~ a k
lurpean	l u r k
magnitudea	m a h n i t u d e a
mailen	m a i l e n
maiztasunak	m a i z t a s u n a k
margoak	m a* r g o a k
master	s t e r e n
matematikoa	m a t e m a t i k a
melodia	m e l o d i a
merkatal	m e r k a t a l
minaren	m i n a r e
mintzo	m i n c o
modulua	m o d u l u a
moteldu	m o t e l d u
mutila	m u t i l a
nabarmentzeko	n a b a s a y m 3 n c e k o
nagusira	n a g u s i r a
nazien	n a z i e n
negoziazio	n e g o  a 5 o
negoziazioak	n e g o  a z i o a k
neskato	n e s k a t o
nobleak	n o b l a e a k
oinetan	o i N 3 t a n
ondoriozta	d o r i o z t a
opariak	o p a r i a k
oposizioa	L o k i t e  o a
orno	u r n o
oroitzapenak	o r o i c a p e n a k
ospetsuaren	o 8 p e n e c u a r e
oxido	o X i d o
pasatuko	p a s a t u k o
pertsonaiek	p e r c o n a i e k
plakak	p l a y i m a k o u
poesiaren	p o a r e
politikoari	p o l i t i k o a r i
politikorik	p o l i t i k o r i k
populatuena	p o p u l a t u e n a
praktikak	p r a k t i k a k
praktikoak	p r a k t k o a k
pribatuan	p l e d a t u a n
prozesatu	p r o z e s a t u
prozesatzen	p r o z e s a c e n
sakabanatuta	k a b a n a t u t a
salbatzen	s a l b a c e n
santutegia	s a n t u t e g i a
setio	s e t i o
substantziak	s u b s t a n t a a k
sufritu	s u f r i t u
teologia	t e o l o g i a
teorikoak	t e o r i k o a k
testuingurua	t e s t u i N g u r u a
tunela	t u n e l a
txostenak	T o s t e n a k
ugariz	t u g a r i z
zabaldutako	z a b a l d u t a k o
zaindari	z a i d a r i
zenbaiten	z e n b a i t e n
zenbakien	z e n b a k i e n
zigortzen	z i g o r c e n
zurrun	m a g o r u n
zuzenketa	z u z e Nkw$ e t a
Ángel	N
Alan	l a n
Antzerkian	nt~ r i ly~ k i a n
Arrain	r a i n
Artea	r t e a
Atlantikoko	L a n t i k o k o
Augusto	t u g u s t o
Dick	i S k
Donald	o n a l
Egoitza	g o nh~ c a
En	n
Errusiaren	r s a r e
Eskala	s k a l a
Espainiatik	s p a i a t i k
Ezagutza	z a g u c a
Fundazioa	u n d a z i o a
Garaipen	a r a i p e n
Garcia	a r i a
Gazteak	a z a k
Gorenak	o r e n a k
Gorputzaren	u r p u c a r e
Gurasoek	u r a s o* k
Hamalau	a m a l a u
Hamasei	a m a k e i
Hegazti	g a z t i
Holmes	o l 8 i m 3 s
Horixe	u r i S 3
Inperioak	n p e r i o a k
Island	s l a n d
Jupiter	u p i t e r e n
Komunistako	n i s t a k o
Lanean	i
Latinoamerikako	a t i n o a m e r i k a k o
Lewis	e w i s
Loch	T h
Lorategi	o r a t e g i
Madame	a d a m e
Marc	a r
Mekanika	e k a n i k a
Miss	i s
Napoleon	a p o l e 7 o n
Navarra	a b a r a
Nekazari	e k h a z a r i
Oinarri	i n a r i
Planeta	l a n e t a
Ptolomeo	t o l o m e o
Virginia	i r g i
Zergatik	e r g a t i k
Zubi	u b i
Zuzenbidea	u z e n b i d e a
abestian	a b " a i a n
adarren	a d a r
administrazioak	a d m i n i s t r i  o a k
agerpenak	a g a p e n a k
akademikoa	a k a d e m i k a
aldagaiak	a l d a g a i a k
altzairuzko	a l c a i r u w Z k o
antzekotasuna	a n c  Nw~ 3 t a s u n a
aplikatzeko	a p l k a c e k o
ardatzak	a r d a c a k
ardatzaren	a r d a w i
areago	a r e a g o
areagotuz	a r e a g o t u s
arestian	a r e s t i a n
argitaletxea	a r g i t a l e 5 e a
arkitekturan	a r k a m u u r a
arkuak	a r k u a k
arrakastatsuena	a r k a s t a c u e n a
arroza	a r o y a 7
askotarikoak	a s k o t a r i k o a k
asmakizun	a s m a k i z u n
astun	a s t u n
astuna	a s t u n a
atentatu	a t e n t a t u
atzemateko	a c e m a t e k o
aurkakoak	a u r  k o a k
bakarrarekin	b a k a r a r e k i N
bakartia	b a k a r t i a
baketsua	b a k a C a a
balada	b a l a d a
baliogabetu	b a l i o g a b e t u
barrualdean	b a r w E l d a N e
benetazko	b e n e t a z k o
bermatuz	b E r m a t u s
bestelakoak	b e s t e l a k o a k
biko	b i k o
bilakaeran	b i l a k a e r i
biologikoa	b i o l o g i k a
bizkorra	b i z k o r a
boteretsu	b o t e r a C a u
defendatzaile	d e f e n d a w i l
deformazio	d e h L o
demografi	d e m o g r a f i
desagertzea	d e s a g a c e a
diena	d i e n a
doinua	d o i n u a
doktorearen	d o k t o r e a r e
dramatikoa	d r a m a t i k a
drogak	d r o g a k
edukiaren	e d u k i a r e
elektronikoen	e l e k l a q o e n
elezahar	e l e z a h a r
elkarlana	e l k a l a n a
emariak	e m a r i a k
entropia	e n t r o p i a
erauzi	e r a u
erbestera	e r b e s t E r a
ereduari	e r e d u a r i
erradioa	e r a d i o a
erregaia	e r g i a
erregela	E r e  l a
errekor	E r e k o r
eserlekua	e s E r l e k u a
eskultore	e s k u l t o r e
estatuek	e s t a t u e k
estimatua	e s t i m a t u a
etekina	e t e k i n a
etiko	e t i k o
etzanda	e c a n d a
exekutatzen	" e k u t a c e n
ezagunen	d a g u n e n
ezkutatzeko	d k u t a c e k o
garaiaren	g a r a i a r e
garraiobide	g a r a i o b i d e
garrantzitsuagoa	g a r a n t a c u a g o a
gatazkan	g a t a z k a n
gelditzea	g e l d i c e a
gerretan	g e r  a
gertatuz	g e r t a t u s
gidariak	g i d a r i a k
gogoz	g o k o n s
gola	k o r a
gomendagarria	g o m e n d a g a r i a
goragoko	g o r a g o k o
gorrian	g o r i a n
halabeharrez	h a l a b e h a r m u
hautespen	h a u 8 p e n e ty~
hileta	h i l e t a
hilez	h i l e z
hilketaren	h i l k e t a r e
hilobian	h i l o b i a n
hiritarrak	h i r i t a r a k
hondoa	h o n d o a
hortzak	h o r c a k
ikas	i k a s
ikusiz	i w o i k u
ilara	i l a r a
ingurunearen	i N u r u n e a r e
interneten	i n t E r n e t e n
iraultzaileak	i r a u l w i i l e a k
itxurakoa	C u r a k a
ixtea	i S t e a
izaeraren	i r o e r a r e
izua	i r i
kai	k a i
kapitalismoaren	k a p i t a l i s y a r e
kezkatuta	k e z k a t u t a
koadroak	k o i a k
kontrastea	k o nt~ r a s t e a
kopuruan	k o p u r u a n
kristalak	k r i s t a l a k
lanetarako	l a n e t a r a k o
lapurtzen	l a p u r c e n
lasterketan	l a s t E r k 3 t a n
lehenengoak	l e h e g o a k
lehiaketetan	l E nt~ a k e t e t a n
lesioak	l e s i o a k
libreki	b r e k i
lituzkete	t u z k e t e
lokala	l o
luzapena	l u z a p e n a
magma	m a h m a
magnetikoaren	m a j  k o a r e
mailaz	m a i l a z
margolaritza	m a* r o l a r i c a
margotutako	m a* r g o t u t a k o
matematikako	m a t e m a t i k a k o
mendilerroa	m e n d i l e r o a
mendira	m e n d i r a
mental	m e n t a l
milimetro	m i l i m E t r o
monje	m o n j e
mugitzea	m u g i c e a
muinoa	m u i 5 o a
musulmanek	s u l i k
nabarmenagoa	n a b a r m E n a g o a
negozioa	n e g o  o a
noizbehinka	n o y z b e h i n
noranzkoa	n o r a nz~ k a
ohean	h e
onartuak	o i t u a k
onera	n e r a
ordoki	u r d o k i
osaera	o s a e r a
pareko	p a r e k o
partea	p e r t e a
partikularen	p e r t i k r u a r e
pertsonentzat	p e r c o c a t
petrolioa	p e t r o l i o a
petrolioaren	p e t r o l i o a r e
pilotari	p i l o t a r i
pinturaren	p i t u r a r e
planetan	p l a y i n e t a n
plataformak	p l a y i t a h
probintzietan	p l o b i t a 3 t a n
programazioa	p r o g r a m a z i o a
protagonismoa	p r o t a g o n i S m o a
santuak	s a n t u a k
sarreraren	s a r e r a r e
sendotzen	s e n d o c e n
soilak	S o l a k
solairuetan	s o l a i r u 3 t a n
sorgin	s o r g i n
sormen	s o r m e n
sortzean	s o r c e
suntsipena	s u n c i p e n a
sustantzia	s u s t a n t a a
suzko	s u z k o
taldekideen	t a l d e k i d e n
tiroz	t u r o
tresnen	t r e s n e n
turistikoa	t u r i s t i k a
txikiz	C q i z
ulertuko	u l e r n a
ustekabeko	u s t a k a b e k o
zabalena	z a b a l e n a
zaurituak	z a u r i t u a k
zenbatzen	z e n b a c e n
zeneko	z e n e k o
zientifikoan	z i e n t i f i k a
zirkulazio	z i r l o t e l a a o
zoriontsu	z o r i o n c u
Aktore	k t o r e
America	m e r i k a
Argentina	r g 3 n t i n a
Arkeologia	r k e o l o g i a
Ate	t e
Balkanetako	a l u m  k o
Bareko	a r e k o
Begi	e g i
Bildu	i l 7 u
Biltzarra	i l c r a
Boliviako	o l i v i a k o
Boris	u r i s
Brontze	r o n c e
DNAren	r e n
Dagoeneko	a g o n e k o
Distantzia	i s t a n t a a
Donostiara	n o s t i a r a
Dublin	u b l i n
Emma	m a
Erabiltzaile	r a b i l w i l
Erabiltzen	r a b i l c e n
Eskolaren	s k i
Franklin	r a n k l i n
Gailu	i l u
Ginea	i n e a
Giuseppe	i u s e p p e
Gloria	l o r i a
Hartara	i t a r a
Isaac	s a a k
Jaime	a i m e
Jaurlaritzako	a u r l a r i c a k o
Juana	u a n a
Kanpoaldean	a n p o a l d e
Katalunia	a t a l u n i a
Kondairak	d a i r a
Kontseiluaren	n c  l u a r e
Lasterketa	a s t E r k e t a
Lawrence	a w m i n C i e
Leo	e o
Londresera	o ndr$ e s E r a
Magdalena	a g d a l e n a
Mila	i l a
Monte	b u* d a k
Nahi	a h i
Parisa	a r i s a
País	a i
Port	u r
Rodrigo	o d r i x o
Sailak	i l a k
Trenbide	r e n b i d e
Unibertsitatera	n i b e r c i t a t e r a
War	a r
Wilhelm	i l h e l m
adieraztea	a d i e r a z t e a
agerikoa	a g e r i k a
aipamenak	i p a m E n a k
aldamenean	a l l a p i N o
aldekoen	a l d e k o e n
altxatzeko	a l T a c e k o
altzari	a l c a r i
antolatzaile	a n t o l a w i l
antzemateko	a n c  e m a t e k o
antzezlanean	a n c  e z l a n e
aparkaleku	a p a r k a l e k u
ardurapean	a r d u r a
areagotzeko	a r e a g o c e k o
argitaratuta	a r g i t a r a t u t a
arrantzaleen	a r a c a l e n
arrapala	a r a p a l a
arrazak	a r l a k
arrokak	a r r a k
artelanak	i t e l a n a k
artistikoak	i t i s t i k o a k
asaldura	a s a l d u r a
astronomo	a s t r o n o m o
aurreikusitako	a u r  k u s i t a k o
aurrekontu	a u r e k o nt~ u
aurrerantz	a u r e r a n c
azkarren	a z  r
azpialdean	a z k a l d e
baloratzen	b a l o r a c e n
barre	b a r
barru	b a r u
batailoi	b a t a i l o i
bateratzen	b a t e r a c e n
begiratuz	b e g i r a t u s
beharrei	b e h a r
beltzean	b e l c e
benetakoa	b e n e t a k a
berrehun	b E r e h u n
berrikusi	b E r i k u s i
besteei	b e s t a i
bilerak	b i l e r a
bortizkeria	b o r t i z k e r i a
bortxatu	b o r T a t u
dakartza	d a k a r c a
daramatza	d a r a m a c a
daukana	d a u k a n a
denetan	d e n e t a n
desagertuta	d e s a g a t u t a
desira	d e s i r a
dezaketela	d e z a k e t e l a
dibortziatu	d i b o r nk~ a t u
diruz	d i r u
ekoizpenean	Nw~ 3 i z p i n i
elkartuko	e l i t u k o
emakumezkoena	e m a k u m e z k o e n a
eraztunak	e r a z t u n a k
eremutan	e r e m u t a n
erradiazioaren	e r a d i a z i o a r e
errealitatean	e r  a l i t a t e a n
erregularrak	E r e g u l a r a k
errekaren	E r e k a r e
erresumako	E r e s u m a k o
erromatarra	e r u m o  r a
espaziora	e s p a z i o r a
espezializatuak	e s p a  a l i z a t u a k
estropadan	e s t r o p a d a n
etiketak	e t i k e t a k
etxerik	e 5 e r i k
ezaren	d a r e
ezberdinez	d k d i n e z
ezinbestean	n k a  b e s t e a n
ezohikoa	e z o i k o
feministak	f a m i n i s t a k
finantzatu	f i n a n c a t u
fresko	f r e s k o
gainditzea	g a i d i c e a
galerian	g a l e r i a n
garrantzitsuenetarikoa	g a r a n t a c u e n e t a r i k a
geneak	g e n e a k
gertutik	g e r t u t i k
giroko	g i r o k o
gizonekin	g i z o n e k i N
gizonezkoena	g i z o n e z k o e n a
gogorragoa	g o g o r a g o a
gurdi	g u r d i
haraneko	h a r a n e k o
harrapari	h a r a p a r i
harresiaren	h a r a r e
hartzean	h a r c e
hemeretzi	h e m e r e c
heriotz	h e r i o c
hezetasuna	h e z e t a s u n a
hilobiaren	h i l o b i a r e
hiztunen	h i z t u n e n
hondartzak	h o n d a r e c a k
ibaira	i b a i r a
ideala	d e a l a
ikasketen	i k a s k e t e n
ikusitako	i k u s i t a k o
ilustratu	i l u s t r a t u
inguruetako	i N u r u e t a k o
ingurutik	i N u r u t i k
inkesta	m e s t a
institutuko	s t i t u n k o
irakasleen	i r a k a l e n
irtenbidea	i r b i d e a
iruzkinak	i r u z k i n a k
itsasontzien	t i b o n c i e n
izenekoan	i r Nw~ 3
jaialdian	y a i 7 m dy~ a n
jaramonik	h a r a m o* i k
jatetxea	h a t e t f e a
jatorrizkoa	h a t o r i z k a
kalitatezko	k a l i t a t e z k o
kapitainaren	k a p i t a i n a r e
kartzelatik	k a r c e l a t i k
klimaren	k l i m a r e
kontsul	q o n i k c u l
lanetik	l a n e t i k
laukizuzena	l a u k i z u z e n a
lepoko	l e p o k o
libratu	b r a t u
liburutan	b a
makila	k i l a
makinen	k i n e n
mamia	m a m i a
mehe	m e e
mintzatu	m i n c a t u
miresten	m i r e s t e i n
muinoak	m u i n o a k
musikako	s d a m a k o k
neskaren	n e s k a r e
neur	n e u r
nobleziaren	n o b l a a  a r e
nuklearrak	n u k l e a r a k
odolean	o d o l e
okertu	o k e r t u
oliba	o l i b a
orkestrarako	u r X e s t r a r a k o
orotara	o r o t a r a
paregabea	p a r e g a b e a
planetako	p l a y i n e t a k o
polizien	p o l i z i e n
poloniar	p o l o n i a r
saiakuntza	s e i a k u n c a
sakoneko	s a k o n e k o
sartua	s i t u a
segundu	s e g u n d u
sektoreko	s a q t o r e k o
semeek	s e m E k
sentimendua	s e n t i m e nd~ i
taldeka	t a l d e k a
teknologikoak	t a k n o l o g i k o a k
telebistak	t e l e b i s t a k
trataera	tr~ a t a e r a
uneoro	u n e o r o
urtebetera	u r t e b e t e r a
urtzen	u r c e n
uztaila	u z t a i l a
xake	S a q e
zaindaria	z a i d a r i a
zantzuak	z a c a k
zenerako	z e n e r a k o
zentralak	z e n t r a l a k
zibilizazioaren	z i b i l i z a z i o a r e
zirenek	z i r  i k
zirrara	z i r a r a
à	7
Altuera	l t u e r a
An	n
Askok	s k o k
Bakterio	a k t E r i o
Bautista	a u t i s t a
Beasaingo	e a s e i Ng~ o
Blue	l u e
Britainiarrek	r i t a i a r k
Dan	a n
Der	e r
Disney	i s n i
Eskozia	s k o  a
Euzko	u z k o
Federazioak	e d e r a z i o a k
Friedrich	r i e d r i C
Gary	a r
Gohan	o h a n
Gokuk	o k u k
Golden	o l d e n
Gordon	u r d o n
Great	r e a t
Group	r o u p
Hitzak	i c a k
Ikasleak	k a s l e m a k
Independentziaren	d e p e n d e n nk~ a r e
Iritzi	r i c
Itunaren	t u n a r e
Jakin	a k i n
Kanal	a n a l
Klase	l a s e
Kongresuko	o N r e s u k o
Kopan	o p a n
Lanbide	a n b i d e
Legebiltzarreko	E g E m e l w i r e k o
Lehengo	e h e n g o
Miranda	i r a n d a
Nagusi	g u s i
Napoliko	a p o l i k o
Nick	i S k
Nintendo	i n t e n d o
Nueva	k i k " v a
Oraingoan	r a i N o a n
Ordea	r b a
Oria	r i a
Oñatiko	5 a t i k o
Palestinako	a l e s t i n a k o
Parkea	a r k e a
Parlamentuak	a r l a m e n t u a k
Pelikula	e l i k u l a
Posible	o s i b l e
Prentsa	r e n c a
Quebeceko	u e b e k e k o
Ramses	a m e
René	e n e
Saiakera	a y a k e r a
Sailaren	i l a r e
Science	C y e n C i e
Tradizio	r a d i L o
Zientzialari	c i a l a r i
Zilarrezko	i l a r d k o
Zuberoako	u b e r o a k o
Zubia	u b i a
Zutabe	u t a b e
adostasunik	a d o s t a s u n i k
