an 	a n
Capellen	a p e l l e n
Dekoratioun	e k o r a t i o u n
Demo	e m o
Diego	i e g o
Dronen	r o n e n
Ecoute	k o u t e
Edy	d
Fassade	n i a d e
Flamen	l a m e n
Fonge	o n g e
Frontaliere	r o n t a l i e r e
Geeschter	e S t E r
Genial	e n i a l
Hell	E l o
Hitler	i L e r
Howald	o w a l
Ierfschaftssteier	e r f S a f c S t a i e r
Joel	o
Kleed	l E l o d
Memberstaate	e m k s t a t e
Modert	o d e r
Nët	3
Oplagen	p l a y i g 3 n
Ouschtervakanz	S t E a v a k a n c i
Page	a g a
Paien	i e n
Paulo	a u l o
Playoff	l a y o f
Presserot	r e s e r o t
Péitruss	e i t r u s
Road	o a d
Roeltgen	o e l t g 3 n
Schnappschoss	C a pw~ p s C o s
Schäffchen	Ch~ a f E N
Setz	e c
Som	i r
Staatsschold	t a c s C o l
Statue	t a t u a
Steiersystem	t e i e r S k s t e m
Switch	w i c
Touren	o u r e n
Toyota	o y o t a
Verkéiersmëttel	e r k e i e r s k i S t
Véirel	e i r e l
Weiderentwécklung	e i d e r e n t wy~ S k l u N
Work	u r
allerhand	a ly~ a i
androen	a n e n
bannenzeg	b a n n e n z e
bliwen	b l i w e n
britteschen	b r i t t e S E N
bäibehale	b 3 i b e h a l e
bäissen	b 3 s e n
béise	b e i s e
bësselche	b e s s l 3 C e
decisiv	d e 7 i s i
déiwen	d e w e n
eenegen	e n e g 3 n
empfonnt	e m p f o n a 5 a
erakënnt	e r a k 3 n a 5 a
erneieren	E r n  e r e n
erwëschen	e r w e s E N
faszinant	f a s 5 a*
fixéieren	f i S e i e r e n
fléissend	f l e s o n d
fäerte	f 3 e r t e
fërdert	f 3 r d e r
gescheckt	g e S E C k
héigen	h e i g 3 n
innovative	i n n o w a t i v E
iwwerrannt	i w w e r a a 5 a
kanadesch	k a n a d e S
komplexe	m i p l " e
kontrolléiere	q o n i k tr~ u L e i e r e
landeswäit	l a n d e s w 3 i t
naiv	n a i
néie	n 3 bw~ i e
perséinlecht	p e r s e i n l e t
poetesch	p o e t e S
problem	p l o b l 3 m
prominent	p r o m i n e n t
resuméiert	r e s u m u i e r
rietse	r i e t s e
ronne	r o n n e
schlechtem	S l e t o m
unzezéien	u n z e z E i e n
vague	v a a
verschwanne	e r S w a n e
verspillt	e r s p i l l
virausgesat	v i r a u s g 3 s a t
wanderen	w a n d e r e n
wourop	w o u r o p
wéinegen	wy~ i n e g 3 n
Aal	a l
Allgemenge	L b i g o e N g e
Bassist	n i i s
Batteur	a t t e u r
Befreiung	i f r e i u N
Bruttoinlandprodukt	r u t o i N l a nd~ p r o C u k
Bur	u r
Collage	o l l a g e
Contrôle	o tr~ u n
Crew	r E f
Danielle	a n i
Deemols	e m o l
Dess	e s
Differenzen	i f e r e n z a n
Doranner	o r a n n 3 q
Employéen	p l o y e e n
Erwuessene	r u e s e n e
Fiat	i a t
Formular	o r m u l a r
Gaming	a m i N
Gemengeconseiller	E m E N E k o n e i l l e r
Geräischer	e r 3 i S E r
Gerät	e r 3
Général	ky~ y a l
Gëff	3 f
Ha	a
Hallo	a l o
Infirmièren	n f i r m i e r e n
Jair	i r
Jerry	e r
Justizministère	u s t i z m i n i S th~ e
Kuba	u b a
Kucke	u C k e
Käl	3
Leon	e 7 o n
Lesbos	e s b o s
Mall	o l
Monsieur	o s e i u r
Moossnahmen	o s s n a mw~ e n
Muskelen	u s k e l e n
Natiirlech	a t i r l E C
Nopeschland	o m i C a nz~ i
Physik	h i k u
Protagonist	r o t a g o n i S th~
Rad	a d
Rechtsstaatlechkeet	e T c s t a L e C k a
Regional	g i o n a l
Reiz	e i z
Réischt	e i s t
STi	i
Scale	k a l e
Schatz	C a c
Schmidt	C m i d
Schwächten	C w 3 t E n
Schëller	C E ly~ l e r
Sechs	e T
Selwer	e l w e r
Sensibilitéit	e ns~ i b i l i t e i t
Silva	i l a a
Sozialist	o  a l i s
Steiererklärung	t e i e r a i n k l 3 r u N
Stephan	t e p a n
Stream	t r e a m
Surface	u r f a k e
Sursis	u r s i s
Terrassen	e r a s e n
Tiger	i g e r
Topfoto	o p f o t o
Trail	r a i l
Vereenegte	e r e g t e
Verwaltungsgeriicht	e r w a l t u N s g e r i i t
Videospiller	d e o s p i l l e r
Witzer	i t 8 e
Wonder	d e r
Zertifikat	e r t i i S t i m a
ageet	y o t a x a
allze	a ly~ z e
anzeschätzen	a n z e s Ch~ a c e n
auswielen	a u fs~ i e l e n
bedreift	b e d r e i f
begrenzen	b e g r e n z a n
breeder	b r e n d e r
dausenden	d a u s e n d e n
derduerch	d e r dw~ o mb~ o
eneen	e n e n
erennert	e d e e r
eroof	e r o
eventuelle	u s k nt~
fehlen	f e h l e n
frustréiert	f r u s t r e i e r
gedeeft	g e d e f
geknuppt	g e k n u p p
gesprengt	g e s p r e N
gewinnten	g e % n t e n
grëndlech	g r 3 n d l E C
haard	h a r d
haiteg	h a i t e
iergendenger	i e r g e n d e N e r
kandidéieren	k a n d i d e i e r e n
kandidéiert	k a n d i d e i e r
kranke	k r a n k e
lenken	l e Nkw$ e n
léit	l e i t
materlieft	m a t u r xy~ E kw~ i e f
minimalistesch	m i n i m a l i s t i S
nogewisen	n o g e w i e n
ophëlt	o ph~ e t a s
opweises	o p w e z o s
passiv	p a s s i
realiséiere	r e a l i s e i e r e
schecken	S E C k e n
schwarzen	S w ar z a n
seriéis	s e r i e i s
simpel	s i m p e l
ugespaant	t u g 3 s p a i
unhalen	u z a l e n
verlafen	e r l a f e n
verschiddensten	e r S i d a s t e i n
vertraulech	e r tr~ a u l E C
weini	w e i n i
zesummegedoen	z e s u m m E g E d o e n
zouléisst	z o l e i 7
Ënnerschrëften	a n n e r S r e f t e n
ëmsetze	m e c e
Advent	d e a 5 a
Animateur	n i m a t e u r
Animatiounsfilm	n i m a t i o u s u k a C m
Armenien	s a y m 3 n i e n
Bols	o l
Brot	r o t
Burton	u r t o n
Bëtong	3 o N
Cellule	i L u l e
Chargé	h a r g e
Coursë	o u r o
Diane	i a n e
Dury	u r
Elektroautoen	l E k E tr~ u a u t o 7 o n
Empathie	p a th~ i e
Erwaardunge	r w a r d u N e
Favoritten	a v o r i t
Filteren	i l t E r E n
Fisheye	i S e y e
Fortsetzung	u r c e c u N
Glécklecherweis	l e S k l e 5  w e i s
Halen	a l e n
Holtz	o l c
Indie	n t i e
Interessien	t e r e s s i e n
Interviewen	t E r v i e u e n
Jiddefalls	i d a e f k a d
Johann	o h a n n
Joëren	o 3 r e n
Julian	l i a n
Keeser	e e r
Logementsminister	o g i E m E n c m i n i s t e r e n
Maschinne	a s C i n n e
Meeschterwierk	e S t E a % e r
Mellt	i L
Miami	i a m i
Migrante	i g r a n t e
Niewt	i e w
Nuit	u i
Ongläichheeten	N l 3 i C i* e t e n
Onrou	n u
Optik	p t i k
Pole	o l e
Provokatioun	r o v o k a t i o u n
Präiss	r 3 i s
Questionnaire	u e s t i o n 3 n a i r
Rass	n i
Renmans	e n
Rudder	u d a r
Schlecht	C l e t
Schweess	C w e e s
Simmer	i m e r
Sourcen	o u r k e n
Staark	t a r
Statistike	t a t i s t i k e
Szenen	z e n e n
Tracé	r a k e
Ulaf	l a f
Veräi	e r 3 i
Virreider	i r  d e r
Wuhan	a a n
Zeitunge	e i t u N a
Zäitschrëft	3 i c C r e f
afrikanesch	a f r i k a n i S
anzedämmen	a n z e d E m e n
anzefänken	a n z e f 3 n k e n
auszeüben	a u s 8 3 b e n
auto	a u t o
begleed	b e g l e 3 d
bloer	b l u t r
chinesescher	C i n e s e S E r
chronesch	C r o n i S
definitive	d e f i n i t i v E
doud	t o u d
duerchernee	d u e r x e r S i
elementar	l E l E m E n t a r
envisagéiert	e n i s a g e i e r
erfreelech	e r f h r e l E C
erschéngen	e r S e 3 n
est	e s t
generéieren	g e n e r e i e r e n
gewinnte	g e w i n t a
grujeleg	g r u h e l e g
irgendeen	i r g e n d e n
konventionell	q o n i k f e n t i o n 3 "
matschwätzen	m a c C w 3 c e n
mettlerweil	m e t  w e i l
mierke	m i e r k e
nationalistesch	n a t i o n a l i s t i S
observéieren	o b e r v e i e r e n
pass	p a s
probéiren	p r o b i r
protegéieren	p r o t e g e i e r e n
recherche	r e 5  C e
reegt	h r e x
schummen	S u m e n
stierzen	s t a o r z a n
traitéieren	tr~ a i t e 7 i e r e n
usech	u s n
uvertraut	u w e r tr~ a u t
vehement	f e h e m E n t
verrode	e r o t e
verännere	e r a* d n e r e
virugoen	v i r u g o e n
waerten	gw~ a 3 r t e n
weiderhinn	w e i d a i n b u n
wierksam	v i  s a b a m
zeréckgegraff	z e r e S k  b o ch~ f
zréckbehale	z r e S k b e h a l e
Ëmdenken	l a b Nkw$ e n
Adresse	d r e s s e
Allerdengs	l l e r q i s i r
Artistes	r t i s t i
Assurancen	a d a u r a n C E n
Behuelen	e h u i e l e n
Belvaux	3 l i N
Binsfeld	s m a n u l
Braas	r a
Bréngt	r e n g
Camionnette	a m i o n n e t
Chancë	h a n C i 3
Dominique	i n i k E
Enregistrement	n r e g i s t r E m E n t
Entringer	t r i N e r
Ewald	w a l
Flughafen	l u x a f e n
Fëscher	e s E r
Gala	a l a
Gales	a l e
Geopark	e o p a r
Glühwäin	l 3 xw~ 3 i n
Haal	a l
Haaptsächlech	a s u b e t a C l E C
Hellegen	e l l E g E n
Hiwwel	i w w e l
Holocaust	o l o k a u s
Impreza	p r E z E
Interieur	t E r i u r
Interpellatioun	t E r p e y a t i o u n
Jung	u N
Junior	u n i o r
Komfort	h
Konten	n t e n
Leeschtunge	e S t u N a
Leidelenger	e i d e l e N e r
Lens	t a
Liest	e s
Links	m
Ludwig	u d w i g
Lycéeë	y k o k u i 3
Nerven	e r b e n
Nostalgie	o s t a l g i e
Oeuvre	u
Onschärft	s Ch~ a r f
Paribas	a r i b a b a s
Passwierder	a s fs~ i e r d e r
Presidentschaft	r e s i d e n c C a f
Progressioun	r o g o r e s s i o u n
Psychiatrie	s i m a t r 3 i e
Routine	o u t i n e
Sarkozy	a r 7 o y
Senior	e n i o r
Skandaler	k a nd~ a r a r
Sprangprëssessioun	p r a Np ~ r e s e s s i o u n
Steiergelder	t e i e r g e l d e r
Stross	t r o s
Tatta	a t t a
Theorien	h e o r i e n
Trends	r e n d
Téinung	e i n u N
Unitéiten	n i t e 7 i t e n
Universitéiten	n i v e r  a  i t e n
Verdéngscht	e r d 3 7 N s t
Walker	a l k a r
Websäiten	e b s i t e n
Weisen	e i s e n
Wirtgen	i r t g 3 n
aaler	a l E r
anerwäerts	a n e r w 3 e r c
aschätzen	a s Ch~ a c e n
bewegt	b e w e g
chaotesch	C a o t e S
consomméieren	k o Th~ o m p a u i e r e n
directeur	d i r E C u r
emsou	e m s o u
entsat	e nt~ a b a t
erukomm	m 3 r u k o m m
extreme	e S a m e
favorabel	f a v o r a b e l
gelt	g e l
gestalte	g e s t a l t e
gezéckt	g e z E S k
gouff	g o u f
gout	g o u t
gëfteg	g 3 f
hikommen	h i k o m e n
iwwerdroenDe	i w w e r e n e
leschtem	l e S t o m
luewen	l u e u e n
maer	m a e r
militäresche	m i l i t 3 r e s C e
ongewëss	o N e w e s
packe	p a k k e
protegéiert	p r o t e g e i e r
rare	r a r e
rescht	r e s t
rëselen	r 3 e l e n
sammele	s a m k u
sitt	s i t
spuenescher	s p u e n e S E r
stäerksten	s t 3 E a X s t e i n
säitlech	s i L n
tauschen	t a w S E N
transferéiert	i t r i s f e r e i e r
ufangs	u f a N
unzeschwätzen	u n z i S  w 3 c e n
verdreiwen	e r ndr$ s e n
verstaanen	e r s t a n e n
virgedroen	v i r g e d r o e n
weideres	w e i d e r e
Éiwegkeet	i w e g k a
Aenhéicht	e n h u e i t
Alice	l i k e
Alle	l
Ariichtung	i C t u N
Arrêté	r e a
Associatioune	a d a m i a t i o u n e
Ausname	u s n a m e
Auszeechnung	u s z e k 3 r h n u N
Bestand	e s t a nd~
Bierchemer	i l l a g u m e r
Bëschbränn	e s C o* a* d n
Comic	o m i
Côte	t e
Disco	i s k o
Distanzen	i s t a n z a n
Dortmund	u r t nd~
Drénken	r e n k e n
Dschungel	S u N
Dupont	u p o n s
Enthusiasmus	nt~ u s i a s m u s
Fëschbech	e s C G
Gaange	a n g e
Gebäi	e b 3 i
Gefore	i f o r e
Genève	e n e v e
Groussbritannie	r o u s o* i t a n n i e
Gäng	a* d
Haaptpersonnage	a p t p e r d a m i n a g e
Handlung	a nd~ l u N
Helden	e l d e n
Homosexualitéit	s " a l i t e i t
Kaarte	a i t e
Kees	e s
Kmiotek	m i o t e k
Kritike	r i t i k e
Musekszeen	u s e k s z e n
Must	u s
Mënschlechkeet	3 n S l e C k a
Natura	a t u r a
Opdeelung	p b e l u N
Pink	i n
Plattforme	l a t h m e
Prinzipiell	r i n z i p i e l o
Rescue	e s k u e
Rolling	o l l i N
Rotondes	k o t o n d e
SDKEis	i s
Schrott	C r o t
Seehofer	e o f e r
Sevilla	p i r i l l a
Slam	l a m
Spillen	p i l l e n
Statu	t a t u
Subside	u b i d e
Tesla	e s
Theisen	h e i s e n
Verzicht	e L i t
Village	i l l a g e
Waassertuerm	a s e r t u e r m
Wäerteunterrecht	3 e r t e u n t e r  t
Zeile	u l
Zeréck	e r e k
anzebréngen	a n z e  r e n g 3 n
bescheiden	b e s 5  d e n
betraffen	b e t r a f e n
bëllegen	b e L e g 3 n
chineseschen	C i n e s e S E N
datts	d a z u
deieren	d e i e r e n
delikat	d e l k a t
drei	d r e i
déiwer	d e w e r
eegenem	e x e n e m
entgéintzewierken	e n t g e i nt~ 8 % e r k e n
euro	u
fin	f i n
frëscher	f r e s E r
fundéiert	f u nd~ e i e r
fëschen	f e s E N
geklomme	g e k o m
genausou	g e n a u s o u
geschwächt	g e S  w 3 t
gestemmt	g e s t a m
gewerkschaftlech	g e w e r k S a f L n
haet	h a e t
ich	i C
iwwerginn	i w w e r g i n n
iwwerlaascht	i w w e r l a s o t
kurz	k u r
oh	o
onnëtz	o  c
praktesche	p r a k t e s C e
reese	r E e s e
rof	r o f
räichste	r 3 i C s t e
sëllech	o L n
up	u p
versot	e r s o t o
verwalten	e r w a l t e n
wonnerbaren	w o n n e r b a d e n
wot	w o t
wäite	w 3 i t e
zäitweileg	z 3 i t w e i l a
Ästhetik	s t h e t i k
ëmstellen	m s t e l l l e n
ënnerhuele	3 n a i w e l e
Alexis	l " i s
Alleng	L i N
Ausschnëtt	u s S  t
Aussteller	u s s t e l l a e r
Autorin	u t o r i n
Awunnerzuel	w u l i S L
Bedreeung	p i e d r e u N
Belounung	e l a u n u N
Berg	E a g
Boîte	o i S t i e
Béis	e i s
Cabinet	a b i n e t
CaraPio	a r a i o
Charta	h i t a
Deene	e n e
Defi	i f i
Demonstratiounen	e m o* s t r a t i o u n e n
Dräilännereck	r 3 i l a* d n e r a T
Employé	p l o y e
Engleschen	N l e S E N
Ennert	a n n e r
Feierlechkeeten	e i e r l e C k e 7 e t e n
Feierowend	e i e r o w e n
Fonctionnaire	n C i t i o n 3 n a i r
Fändelen	a* d d e l e n
Fërderung	3 r d e r u N
Gemengeréit	E m E N E r e i t
Genren	e n r e n
Geschir	e s C i r
Globaliséierung	l o b a l i s e i e r u N
Gläich	l 3 i C
Gläichheet	l 3 i C h i*
Grain	r a i n
Géigeniwwer	e x e n i w w e r
Hautfaarf	a u t y a r f
Ierfschaft	e r f S a f
Informatiounsaustausch	n f o r m a t i o u sh~ 3 u s t a u S
Invasioun	n b E s i b o u n
Jiddweree	i d a w e r a
Kaiser	a z o l
Klenge	l 3 N a
Konjunktur	o k " a N kp~ i r u t a
Landesverband	a n d e s e r b a nd~
Losch	o S
Léifsten	e i f i s t e i n
Marino	a r i n o
Mazout	a z o u t
Medail	e d a i l
Mehlen	e h l e n
Mise	i s e
Mutt	u t
Oliver	Ng~ e r e n
Opstig	p s t i g
Paie	i e
Praktiken	r a k t i k e n
Privatliewen	r i v a t l i e u e n
Produzente	r o C u z i n t e
Psychologen	s i m C o l o g 3 n
Pétange	e tw~ l e a
RaRo	a o
Recette	e T E t t e
Reie	e i e
River	Ng~ e r e n
Samsdes	a m s d a m 3 s
Scheif	C e i f
Sportaart	p o r t a
Startschoss	t a l c C o s
Stein	t a i n
Sträifen	tr~ 3 i f e n
Sécherheetsmesuren	e S e r h i* c S u r e n
Sëcherheet	e i* h i*
Tabelleleader	a b " a l l e l e a d e r
Tablett	a b l e t
Te	e
Teams	e a m
Trifolion	r i f o l i o n
Ukënnegung	k 3 n n e g u N
Vert	e r
Viruerteeler	i r u e r % t e l e r
Wüst	3 s t
Zenners	e n n e r
aer	a e r
ambitiéise	a m b i t i e i s e
ausdréckt	a u s ndr$ e S k
bestehend	b e s t e h e n d
bestellt	b e s t e l l a
cours	k o u r
doe	d o e
dohinn	d u h i n n
dolaanscht	d o l a s t
dora	d o r a
doruechter	d o r u e t E r
entscheedende	e n c C e n d e n d e
entschëllegen	e n c C E ly~ l E g E n
eraginn	e r a g i n n
eranzekommen	e r a nz~ Nw~ 3 e n
erfrëschend	e r f r e s C
erreechbar	e r e C b a r
frëndlechen	f r 3 n d l e C e i n
geklomm	g e k o m m
gief	g i e f
gängeg	g 3 3
heivunner	h e i  n n 3 q
individuellen	i n d i v i d
knappe	k a pw~ p e
kommunal	k o m u n a l
loungen	l o u N 3 n
onbekannten	o b e k a n n t e n
ongefeier	o N e f e i e r
pardon	p e r d o n
partiell	p e r t i E l o
pünktlech	p 3 Nkw$ L n
reliéisen	r e l i e i s e n
renovéieren	r e n o v e i e r e n
rouege	r o u e g e
subjektiv	s u by~ E i
ugestallt	t u g 3 s t a ly~
variéieren	v a r i e i e r e n
verbanne	e r b a n n e
verzielen	e r  e l e n
viir	v i i r
woaren	w o a r e
wonnerschéine	w o n n e r S e i n e
wouvun	w o u b u n
zouenen	z o u e n e n
Ëmfroen	m f r o e n
Ëmgank	hwy$ n
ëmgoe	m g o e
Aktivisten	k t i s t e i n
Basel	a s
Beats	E w e c
Behaaptung	e h a n a p t u N
Bekämpfung	e k 3 m p f u N
Besetzung	e s a i c u N
Bettendorf	e t o r f
Bridge	r i d g e
Col	o l
Corner	u r n 3 q
Denkmal	e Nkw$ m a l
Diagonal	i a g o n a l
Dispositiounen	i s p o s i t i o u n e n
Doropshi	o r o p S i
Dorunner	u r u n n 3 q
Dosende	o s e n d e
Duercherneen	u e r x e r n e n
Elvis	l v i s
Entrepreneuren	t r e p r e n e u r e n
Entspanung	nc~ E p a n u N
Faktor	a k t o r
Fassong	n i o N
Fleegeheem	l E l o g e f e e m
Freiburg	r e i b u l
Frëndschaften	r 3 n j C a f t e n
Groupement	r o u p E m E n t
Gäertner	3 e r t n e r
Géigestand	e i g 3 s t a nd~
Hacker	a k k a r
Häerzer	3 e r 8 e
Koch	T h
Komitee	o m i t e r i
Kran	r a
Landsleit	a nd~ w t a i t
Langweil	Nw~ e i l
Meint	e i nt~
Middegkeet	i d a g k a
Mladenovic	l a d e n o v i k
Motorrieder	k o t o r e d e r
Muno	u n o
Nohaltegkeetsminister	o h a l t e g k e c m i n i s t e r e n
Noutwennegkeet	o u t w 3 n g k a
Oplo	p l o
Palestina	a l e s t i n a
Parken	a r k e n
Patten	a t t e n
Phasen	h a c e n
Pneu	n e u
Protection	r o t e k t i o n 3
Punk	u n
Rechnungen	e T n a N g 3 n
Remise	e m i s e
Rewenig	a w e n i g
Ring	i N
Russ	u s
Schwartz	C w ar c
Spotify	p o t i f
Spuenesch	p u i n i S
Suicide	k i k i d e
Tattoo	a t o
Veranstaltung	e r i s t a l t u N
Vergiesst	a rx~ e s s d a
Visitte	i s i t t e
Wiederkonditiounen	i e d i n nd~ i t i o u n e n
Wor	o r
ad	a d
ameséieren	a m e s e i e r e n
aussergewéinlechen	a u s e r g e wy~ i n l e C e i n
auszeprobéieren	a u s 8 p r o b i e r e n
begréisse	b e g r e i s s e
beonrouegend	b e o n a r o u e g e n d
bestued	b e s t u 3 d
bäikomm	b 3 i k o m m
energetesch	e n e r g e t e S
erleedegt	e r l e n d e g
erofzelueden	e r o f z e l u e d e n
gefléckt	g e f l e S k
gejaut	g e y a u t
gell	g e l o
gepecht	g e p e t
gesamter	g e s a m d u r
geschéngt	g e S  e N
grandios	g r a nd~ i o s
higoen	h i x o e n
irgendwann	i r g e n d w  n
iwwerduecht	i w w e r d u e t
konsuméieren	q o n i k s u m u i e r e n
kukken	k u k k e n
licht	l i t
lued	l u e d
nolauschtert	n o l a u S t E a
ofgeleent	o f g e l e l e v e n t
ofgeléist	o f g e l e i s
onrealistesch	o r e a l i s t i S
pedagogesch	p E d a g o g e S
photo	f o t o
plaidéiert	p l a y i n d 3 7 i e r
presidéiert	p r e s i d e i e r
präziséieren	p r 3 a  i e r e n
sauer	s a i a
stockéiert	s t o k k e i e r
unanime	u n a n i m e
waars	w a a r
wirkt	w i r a k
Ëmbau	b a u
ëmstridde	m u z i d e
ënnendrënner	3 n n e n d r 3 n n 3 q
Aaen	a e n
Alfred	l f r e d
Antenne	t e n n e
Bankgeheimnis	a n k g e f e i m n i s
Bauen	a u e n
Bedürfnisser	p i e d 3 r f n i 7 e r
Beiträg	e i t r 3
Bléi	l e i
Boden	o d e n
Buschtawen	S t a w e n
Chev	h e v
Classique	l a s s i k E
Cloud	l a u d
Critèrë	r i t 3 7 r 3
Dave	a b e
Deementspriechend	e m E n c p r i n
Demandeurs	e m a n d e u r
Depot	a p o t
Diskriminéierung	i s k l i m i n e i e r u N
Dommheet	mw~ o t a x a
Drone	r o n e
Drop	r o p
Déiften	e i f i t e n
Détailer	e tw~ a i l e r
Finance	s a m a e
Finanzkommissioun	i n a n c~ k o m m i s s i o u n
Franziskus	r a n z i s k u s
Geesseknäppchen	e 7 Nw~ n 3 p p E N
Gemengewahle	E m E N E w a h
Gespréichspartner	e s p r e i C s p i t n e r
Gletscher	l E c E r
Hausemer	a u s E m E r
Henckes	i n C i k e s
Hiewel	i e w e l
Hybrid	y o* i d
Hyundai	y u n d a i
Ideeën	d e n a n
Jonathan	o n a t a n
Klassik	l a s s i k
Kommando	o m m a n d o
Kulturzenter	u l t u r e n t e r
Mainstream	s t r e a m
Marine	a r i n e
Nancy	5 u k a
Notiz	o t i z
Ongeféier	g e o f o k i e r
Opweises	pw~ e z o s
Pinocchio	i n o k C i o
Reflexiounen	i f l " i o u n e n
Regierungsmemberen	g i e r u N s y o g o b e r e n
Reng	i N
Rimm	i m m
Roos	o s
Santiago	a n c a
Schwong	C o N
Stockholm	t o k o l m
Stäck	t 3 k
Szenario	z e n a r i o
Tuten	u t e n
Useren	s E r E n
Zouversiicht	o u e r  i C
Zëmmeren	m *
dreemt	d r e e m
drenken	d r e Nkw$ e n
engagéierten	g a g e i e r t e n
epes	e p e
erofzesetzen	e r o f 8 e c e n
exzeptionell	" 8 p t i o n 3 "
fokusséieren	f o k u s  i e r e n
fäeg	f 3 o g
geheiert	g e f e i e r
gielen	g i e l e n
gratuléiert	g r a t u l e i e r
griicheschen	g r i C e S E N
heelen	h e l e n
honnerten	h o n n e r t e n
intresséieren	i n t r e s  i e r e n
konservative	q o n i k e r v a t i v E
längsten	l 3 N s t e i n
moins	m o nsw$ i
notéieren	n o t t e i e r e n
ofschneiden	o f S n e i d e n
opzefänken	o p 8 f 3 n k e n
potenziell	p o t e n z i "
proaktiv	p r o a k t
sectoriel	s e k t o r
spezifeschen	s p a  f i S E N
stationéiert	s t a t i o n 3 e i e r
tanken	t a n k e n
tippen	t e p p e n
trennt	w a m i n a 5 a
verréckelen	e r e S k e l e n
vollkommen	v o l l k o m e n
vru	v r u
waarmt	w a i r o u
wollekegen	w o l l E k E m E g 3 n
wonnerbare	w o n n e r bh~ a r e
wouvunner	w o u b u n n 3 q
Äispist	i s p i s
Äscht	S t
ëmmerhinn	m * i n b u n
Adressen	d r e s e n
Angelduerf	g e l d u e r f
Astrid	s t r i d
Atmosphäre	m o s b 3 ph~ 3
Attraktioun	t tr~ a k t o u n
Ausgangspunkt	u s g a N s p u n k a y
Bann	a n n
Benevollen	i n i v o l l e n
Benzin	e n z i n
Beton	e t o n
Bijou	c u
Bundeslänner	u n d e s l a* d n 3 q
Demandë	e m a n d 3
Dessinée	3 s a h a j
Direction	i r E C t i o n 3
Duerchmiesser	u i l l m i e s e r
Dëss	e s
Ecken	k k e n
Elektromobilitéit	l E k E tr~ o m o b i l i t e i t
Entdeckung	nt~ b S k u N
Florian	l o r i a n
Fraktiounen	r a k t o u n e n
Géigeleeschtung	e i g e l e e S t u N
Gëlle	3 L e
Hannergrënn	a n n e r g r 3 n n
Heintz	e i c
Human	u m a n
Häerzinfarkt	3 e r 5 f a r k
Intercercle	t E r u r k l e
Ironie	r o n i e
Iso	s o
Iwwerreschter	w w e r e S t E r
Jakob	a k o b
Jason	a s o*
Jugendaarbecht	t u g e n a r k t
Jugendgrupp	t u g e n d g a m p
Kaaf	a f
Kaiserslautern	a i s E r w a u t E r n
Kierchtuerm	i l l t u e r m
Kiosk	i o s k
Kulturjoer	u l t u r w a
Landwirtschaftsministère	a n d w i r a c C a f c m i n i S th~ e
Liberté	i b e r a
Lucas	u k a s
Léiweng	e i e z i N
Maarnech	a r n i C
Maggy	y gy~
Manipulatioun	a n i p u l a t i o u n
Matthias	a t t a a s
Millimeter	i ly~ i * t e r e n
Namur	a m u r
Nascht	a s t
Nazien	a z i e n
Nenner	e n n 3 q
Nëss	e s
Orthographie	r t o b o ch~ t a b e
Package	a k k a g e
Putsch	u t S
Rapporten	a p p o r t e n
Salvador	a l v a d o r
Scholde	C o l d e
Schwéngefleesch	C wy~ n g e f l e i S
Sinner	i n n 3 q
Souvenir	o u b e n i r
Sozialofbau	o  a l o p b a u
Spot	p o t
Strofe	t r o f e
Strofraum	t r o f r a u m
Toiletten	o l  t e n
Tombola	c o l a
Trapp	r a p p
Uewerkuer	a w e r
Veranstaltungen	e r i s t a l t u N 3 n
Verkeefer	E a X e f e r
Versécherung	e r s e S e r u N
Virgängerin	i r g 3 N i n i n
Walrecht	a l a t
Wopen	o p e n
aale	a l e
ausgewandert	a u s  l o a nd~ e r
befrot	b e f r o t
bescheed	b e S  e d
bewunnt	b e w S i
consultéieren	r o n r e p e n n i e r e n
dreet	d r e t
effekt	e f Nw~
entgoen	e n t g o e n
erausgoen	e r a u s g o e n
erfollegräichsten	e r f o l l e g r 3 i C s t e i n
ervirhiewen	e r p i t e n hy~ e u e n
fatal	f a t a l
fatzeg	f a t 8
feele	f e l e
gefloss	g e f l o s
gefëmmt	g e f b r o u
iergendwellech	i e r g e n d w e ly~ n
israelesch	i s r a e l e S
iwwerleeë	i w w r xy~ E kw~ e 3
iwwerreechen	i w w e r  e C e i n
lassgoen	l a 7 g o e n
logescherweis	l o g 3 s S e r w e i s
matkréien	m a tw~ k r e i e n
nozekommen	n o y a Nw~ 3 e n
oofgeschnidden	o f g 3 s C n i d a e n
opbaut	o p b a t u
personaliséiert	p e r s o n a l i s e i e r
plausibel	p l a y i u s i b e l
prouwen	p r o u w e n
schléisse	S l e i s s e
staunen	s t a u n e n
stong	s t o N
stëmme	s t 3 m
ugetruede	t u g e t r u e d e
ukucke	u k u k k e
une	u n e
unzeleeën	u n z e l e l e a n
verbindlech	e r c i n l E C
verdréit	e r ndr$ e i t
verfalen	e r f a l e n
verkënnt	e r k 3 n a 5 a
versetzen	e r e c e n
verstärkt	e r s t 3 r k
wiren	w i r
woxx	w o g 7
zäiteweis	z 3 i t e u e i s
ënnerierdesch	3 n n e r i e r d e S
Aarbechtskonditiounen	a r G C c nd~ i t i o u n e n
Abus	b u s
Affekote	f e k o t e
Albanien	l b a n i e n
Bagdad	a g d a d
Bebauungsplang	e b a u N s p l a N
Besseres	e s s u r
Bichermaart	i C e r m a r
