on 	o n
põnevusega	p h o* 5 u s i k e g a
röövi	r a t 3 w i
röövinud	r a t 3 v i n u d
ründavad	a s nd~ a v a d
saakski	s a k u r
saladust	s a l a d u s
salajase	y u r i c s e
seksuaalse	s a q s u a l s e
seletuskirjas	s e l e t u s k i r j a s
sisenedes	s i s i N o m 3 s
solist	s o l i s
soomlase	s o b a l a
soovitatav	s o v i t a t a
staatus	s t a t u s
sulgema	s u l 3 k
surmani	s u r m a n i
suurkogu	s u r k o x u
süsteemist	s 3 s t i 3 m i s
taipa	t a i p a
teadlikkus	t e a d l i k k u s
teatrisse	t e a t r i s s e
teavitatud	t e a b i t a t u d
teoseid	t e o s e i d
terveid	t E r e i d
tiibadesse	t i b a d 3 s a
toetuda	t o e t u d a
toimiks	t o m i k
toite	t o y t 3
tuleneva	t u l 3 n 3 q v a
tuletõrjujad	t u l e t o* r b i k " a j a d
tundlik	t u nd~ b u C o
tunnistajaks	t u n n i s t a k
tuttavalt	t u t t a v a l
tähed	t E h t i 3 d
tõelisi	t e m e l i s i
tüütu	m a n t i u
umbusaldusavalduse	u mb~ u s a l d u s a v a l d u s e
uurijate	u r i j a t e
uuteks	u t e k
vaatajat	v a t a j a t
vaimulikule	n a i n e n l i k u l e
valeta	v a l e t a
valimiskampaaniat	v a l i m i s k a m a n i a t
valmimine	v a l m i m i n e
vanaproua	v a n a p r o u a
vastati	v a s t a t i
venelase	f e n e l a s e
verest	v e r e s
vähki	v E h t i k i
vääriliselt	v 3 r e l a s l 3
võiduni	v o i d u n i
võitlemise	v o i L e m i s e
Ühiskonna	h i s k o* n a
õiglust	o i k L u s
õiguslikku	n a i g u s l i k k u
õigusriigis	n a i g u s ry~ i g i s
õpetati	n a p e t a t i
ühekordse	3 h e k o r d  e
ühinemiseks	3 h i n e m i s Nw~
üksus	3 k u s
üritan	3 r i t a n
Aastatel	a s t a t e l
Adavere	d a v e r i
Ambla	b l a k
Ametnik	m e t n i k
Buss	u s
Derby	e r b i e
Ericssoni	r i C a d a m i i
Erna	r n a
Esimesena	s i S e n a
Fashion	a s i o n
Herbert	e r k
Hodorkovski	o d o r k o p u r
Inimesel	n i S e l
Ivangorodi	v a N o r o d i
Juss	u s
Karis	a r i s
Keskkonnainvesteeringute	p i p 3 l 3 k o b e s t a i n i  t e
Kirikukogu	i r i k u k o x u
Kirsti	i r s t i
Kristust	r i s t u s
Kruus	r u u s
Kujutage	u h u t a j
Kuressaarde	u r e s  a r d e
Lakewoodi	a k e d i
Laske	a s k e
Lennujaama	e n n a j a m a
Lugu	t u g u
Manuel	a n
Mitt	i t
Money	o i
Morgan	u r g a n
Muinsuskaitse	u nsw$ i u s k a i 5 u
Otsin	c i n
Pankade	a n k a d e
Peskov	e s k o v
Põllumajandusminister	n a L u m a x a d u s m i n i s t e r e n
Robbie	o b e k u e
Rävala	3 v a l a
Rõngu	h o* 5
Trumpile	r u m p i l e
Vahet	m a h e t
Valdis	a l d i s
Voog	o
Väikesed	3 i k e s 3 d
ahjus	a h h u s
ajaliselt	s u r a s l 3
ajupestud	dy~ u a T t u d
aluseid	a l u s e i d
ametivande	a m e t i v a n e
ametlikus	a m e  k u s
ammune	a m u n e
andmebaas	a nd~ m e b a
artistid	i t i s t i d
arupärimise	m a m 3 r i m i s e
arvatavalt	a r v a t a v a l
asjaajamise	a s gy~ i c s e
asukohas	a s u k o h a c
asutakse	a s u t a k s e
autoroolis	a u t o o l i s
deklareeritud	d e k l o h r e r i t u d
eeldatakse	e l d a t a k s e
ehmatas	e h m a t a s
eksistentsi	e k s i S t E nt~ u
elukeskkond	u l u g i t p i p 3 l 3 k o n d i
etteantud	e t a n t u d
graafik	b o ch~ a f i k
harjutavad	h a r w a t t a v a d
heameelega	h e a m i E l E g a
hektaril	h e k t a r i l
hiidlastele	h i  l a s t e a
hobust	h o s
hoiatuse	h o a t u s e
hoidmist	h o i d m i s
homseks	h o e k
hoobi	h o b i
idapiiri	i d a p i i r i
inimlikku	i n i m l i k k u
innustada	i n s t a d a
investeeringut	i n v e s t a i n i N u t
isikutel	i s i k u t e l
juhatust	x u a t u s
juhust	x u w s d a
jäägi	h 3 g i
kahekordne	k a h e k o r d n e
kandmist	k a n d m i s
kaose	k a o s e
kasvataja	k a s v a t a h a
katavad	k a t a v a d
kehtivuse	k e h t i b u s e
kellestki	k e ly~ a* 7 k i
kinga	k i Ng~ a
kollektiivse	q u L e k t i v s e
koondunud	k o d u n u d
koormusega	k o r s e N a
kordama	k o r d a m a
korrad	k o r a d
korrastatud	k o r a s t a t u d
kuiv	k u i
kustutama	k u s t u t a m a
kuulutajale	k u l u t a j a l e
kuvand	k u v a n d
käsitlevad	k a s L e b E d
kättemaksu	k a t t e m a k s u
kümnendil	k 3 m n e n d i l
küsitluses	k 3 s L e
küüditamise	k 3 3 d i t a m i s e
lahendamisele	l a h e n d a m a s l 3 e
le	l e
lemmiku	l E m m i k u
lepet	l e p e
lepitakse	l e p i t a k s e
liiast	l i s d a
loodusega	l o e
lukus	l u k u s
läkski	l 3 k u r
lätlane	l 3 L a n e
lõhkuma	l o i k u m a
lõpetamisel	l o p e t a m i s
maandada	m a nd~ a d a
maasikaid	m a i k a i d
mahutada	m a w d a 7 t a d a
maksimumi	k b u p u m i
manitseb	n i t e
maratonil	r a t o n i l
minusse	m i n u s s e
mootori	o t o r i
mälestussamba	m a g l e s t u s s e i
mäletada	m a g l e t a d a
mäletagi	m a g l e t a g i
märksõna	m a g r k s n o* n a
mõisas	m o i s a s
mõistusele	m o i s t u s e l e
mõõt	m o n a k
naabrimees	n a b l i m e s
neelab	n e e l a b
nimetus	n i m e t u s
noorest	n o r e s
norm	n o r m
näeksid	n 3 Nw~ s i d
nägudega	n 3 g u d e g a
ok	o k
olemisest	o l e m i s a* 7
olemusest	o l e m u s a* 7
omand	o m a n d
omandama	t a nd~ a m a
omanikuga	o m a n i k u g a
oo	o
ootuspärane	o t u s p 3 7 r a n e
oskuse	o s k u s e
osutama	o s u t a m a
otsustades	c u s t a d e
paigale	p a i g a l e
palgalõhe	p a l g a l o e
pangaga	p a N a g a
pelga	p e l g a
planeerinud	p l a y i S i n i n u d
pooldajaid	p o l d i j e i
prognoose	p r o g i E 5 o s e
puhkab	p u h k " a b "
puhuvad	p u w v a d
põlesid	p o l e s i d
põllumajandust	p o L u m a x a d u s
regionaalpoliitika	r e g i o n a l p o l i i t i k a
rütmis	r i m i s
seik	s e i k
sissetulekuid	s i s e t u l e k u i
solvav	s o l v a
säilitab	s i l i t a b "
sõnumiga	s h o* 5 i m i g a
sõrmede	s o* r b i m e d e
sünd	s a
tagastamine	t a g a s t a m i n e
talvisel	t a l i s
tarbivad	t a l b i v a d
teemadest	% t e l a* 7
teenistusse	% t e n i S t u s s e
tegelast	t e   s d a
tellima	t E l l i m a
tendentsi	t e n d e n s i
teooria	t e o r i a
test	t e s
tihedad	t i h e d a d
toidud	t o d u d
toimuvaga	t o i m u b a g a
tuhandest	a nd~ a* 7
tulene	t u l e n e
tulenevate	t u l e n e b E t e
tuline	t u l i n e
täpsustanud	t 3 p s u s t a n u d
tõenäolisem	t e m e n 3 o l i s e m a
tööpäeval	h a t 3 p 3 7 p i r a l
uni	u n i
vaadaku	v a a d a k u
vaadet	v a a d e t
vabastamine	v a b a s t a m i n e
vahelisel	v a h e l i s
valeks	v a l e k
valguse	v a l g u s e
valitsusliit	v a l i c u s l i i t
vallavanemaks	v a l l a v a n i m a k
varu	v a r u
venemaale	f e n i m a l e
viimastest	v i i m a s t e s
viiruse	v i r u s e
võikski	v o i k u r
võimsad	v o i m s a d
Õigupoolest	i g u p o l e s
Ühisliigas	h i s l i x a s
ületamise	u l e t a m i s e
üritusega	3 r i t u s e N a
Aafrikas	a f n i t i m a s
Ametnikud	m e t n i k u d
Big	i g
Dr	r
Ekspressis	k s p r e s s i s
Eleringi	l E r b i N i
Ericsson	r i C s o*
Esmapilgul	s l u nd~ g u l
Goldman	o l d m a n
Haridusministeerium	a r i d u s m i n i S t a i n i u m
Hermann	e r n
Hiinasse	i n 3 s o s e
Hinnad	i n t i
ISISe	e
Indoneesia	d o S i  a
Johnson	o h E 5 o*
Kauri	a u r u
Kerese	e r e s e
Kirja	i r j a
Komitee	o m i t e r i
Kullamaa	u y a m a
Kundas	u n d 3 s
Kuula	u L
Kütuse	u t u s e
Leedjärv	e n d E n
Lillo	i l l o
Londonisse	d o n i 7 e
Majandusminister	a x a d u s m i n i s t e r e n
Masingu	a s i Ng~ u
Milano	i l a
Milvi	i l a i
Ministrid	i n i u z i d
Peamiseks	e a m i s Nw~
Pilv	i l v
Rannu	a n t u
Riito	i t o
Roose	o s e
Soku	o k u
Solovjov	o l o v j o N
Tehingu	e h i Ng~ u
Tiidus	i d 3 s
Toomet	o e
Tuisk	e s k u r
Tulge	u l 3 k
aitamiseks	i t a m i s Nw~
aktsioon	a k c i o n
alaliselt	a l a l a s l 3
alkoholiaktsiisi	a l k o h o l i a k c i s i
alluma	C a L u m a
ametite	a m e d i
andestada	a n d e s t a d a
arengute	a r e n g u t e
auru	a u r u
avaldamiseks	a b a l d a m i s Nw~
beebi	b e b i
bussist	s s i s
eeldavad	e l d a v a d
eelistused	e l i s t u s 3 d
elluviimist	i L u b i m i s
eluaastast	e l u a s t s d a
eraisikud	e r a i s i k u d
esindasid	e s i n d a s i d
ettepanekutega	e t p a n e k u t e g a
eurodes	u r o d e
fraktsioonist	f r a k c i o n i S th~
hoolitses	h o l i t e
hotellid	h o t e l l i d
hõbe	n a b e
igakuiselt	i g a a s l 3
institutsioonid	s t i t u c i o " w i d
istungitel	i s t u N i t e l
jaemüük	y a e m 3 3
jalakäijad	y a l a k 3 i j a d
jaolt	y a o l
jonni	j o n i
joon	h o n
juhtkonnaga	x u nth$ k o* n a g a
jutustada	x u t u s t a d a
järgnevate	E n N n i s v a t e
kaalutakse	k a l u t a k s e
kaldub	k a l d u b
kallimat	k a l i m a t
kanalite	k a n a l i t e
karistama	k a r i s t a m a
kaubanduskeskuses	k a u b a nd~ u s k e s k u e
keskerakondlasi	k e s k e r a k o n d l a s i
kodakondsuseta	k o d a k o n d s e t a
kohvikusse	k o h v i k u s s e
kommunikatsiooniministeerium	k o m u n i k a c i o n i m i n i S t a i n i u m
komplekt	m i p l e k
koolitaja	o l i t a h a
koopia	k o o p i a
koristaja	k o r i s t a h a
korruptsioonivastase	k o r k i n c i o n i v a s t a s e
kortermajade	k o r t E r C i e
kotis	k o t i s
kuipalju	k u i p a l C u
kukkudes	k u k k u d e
kuritegudes	k u r i t e g u d e
kuuele	k u  e
kõrvaldati	k o i r v a l d a t i
küünib	k 3 i Ch~ o
lagunes	l a g u n i
laienenud	l a i e n e n u d
langetamine	l a n g 3 t a m i n e
langusest	l a N o
liikuv	l i k u
linlaste	l i n l a s t e
lollitada	l o l l i t a d a
loodusele	l o e l e
loomuliku	l o l i k u
lõpmatuseni	l o p m a t u s e n i
maadel	m a y
maatasa	m a t a s a
madalaima	d a l a i m a
magab	a
maksustamine	k s u s t a m i n e
mitmetele	m i t m e t e a
mitmetes	m i t m e t e
moodustamist	d u s t a m i s
mootoriga	o t o r i g a
moraal	m o r a l
murelik	r e l i k
muutustega	m u t u s t e g a
mäletame	m a g l e t a m e
märgatud	m a g r g a t u d
märkasin	m a g a s i n
mõtlemata	m o L e m a t a
mõtlev	m o L e v
nendeni	n e n d e n i
noorukit	n o r u k i t
nähtu	n 3 k i w
nõuetega	n u u e t e g a
nõukokku	n u u k o k k u
olukorrad	o l u k o r a d
omanud	o m a n u d
osapooli	o s a  o l i
otseseid	o c e s a i i d
paiga	p a i g a
paranda	p a r a n d a
parandanud	p a r a nd~ a n u d
pereema	p e r a e m a
pesema	p e S e m a
piirist	p i i r i s
pinna	p i N
plaadi	p l a y i a d i
planeerimine	p l a y i S i l i m i n e
praktilist	p r a k t a C i w
pronksmedali	p u k a y s m e d a l i
proovivad	p o v i v a d
protseduuri	p r o c e d u r i
pukki	p u k k i
pääsemist	p 3 e m i s
põhjendatuks	p o o x e n d a t u k
põhjendusega	p o i e
põrgu	p o* r b i x u
püssi	p 3 s s i
raskesse	r a s k 3 s a
religiooniõpetuse	r e l i g i o y o* p e t u s e
renditud	r e n d i t u d
režiimi	r E Z e i i m i
riigiasutused	r i g  a s u t u s 3 d
saatkonda	s a t k o n d a
seadustada	s e a d u s t a d a
setu	s e t u
sidunud	s i d u n u d
sihtkohta	s i h t k o h t a
sis	s i s
sisaldub	s i s a l d u b
soovija	s o v i y a
stabiilset	s t a b i l e t
streiki	s t r e i k i
surutakse	s t a k s e
suunduvad	s u n d u N v a d
suurematele	s u r e m a t e a
sõidud	s o i d u d
sõimu	s o i m u
sõjaks	s o n i 5
taandunud	t a d u n u d
tarbijaid	t a l b i j e i
tegeleks	t e g e l e k
telefonikõne	t e l e f q l o n o* n e
telekas	t e l e k a s
terrorist	t e r ph~ i s
tervishoiutöötajate	t E r i s o i u h a t 3 t a j a t e
toomise	o m i s e
tseremoonia	c e r a m o
tungida	t u N i d a
töötegijad	h a t 3 t e g i y a d
une	u n e
unistusi	u n i S t u s i
uuriva	u r e
vaheaega	v a h e a e g a
vallavalitsusele	v a l l a v a l i s e l e
valvama	v a l v a m a
varuks	v a r u k
vastuste	v a s t u s t e
veedavad	v e r e d a v a d
viidanud	v i i d a n u d
vähemuse	v E h t i  s e
vähendatud	v E h t i e n d a t u d
vältima	v 3 l t i m a
väravas	v 3 r a v a s
võiduks	v o d 3 k
võimaldama	v o i m a l d a m a
võimalikule	v o i m a l i k u l e
äratada	3 r a t a d a
ärkas	r i e k a s
õhtut	n a nth$ u t
õunu	n a u n u
üldisest	l i a s s d a
üldsusele	l j e l e
üleandmine	u l e a nd~ m i n e
Adams	d a m
Ajakirja	k i r j a
Ametiühingud	m e t i 3 i N u d
Endiselt	nd~ a s l 3
Film	i l m
Hakkasin	a k a s i n
Hallik	a ly~ i k
Henno	3 n
Herkeli	e r k e l i
Hollande	o l l a nd~ e
Häädemeeste	3 d E m E k 3 n C
Jaanuar	a n u a r
Johannese	o h a n n e s e
Jumalalt	u m a l a l
Kagadze	a g a c e
Kaljuvee	a l xy~ e e
Kallasel	a ly~ a
Kapten	a p t e n
Karja	a r j a
Kena	e n a
Kiir	u i a
Kontaveit	o* t a b e i t
Kutsume	u c u
Küllike	l l i k e
Leib	e i
Liikumine	i k u m i n e
Linnar	i n n a r
Maal	a l
Mattias	a t t i 3 s
Mike	i k e
Moskvale	o s k v a l e
Näha	E h t i a
Oscari	s k a r i
Pant	a n c
Paur	a u r
Pelgulinna	e l g l i n t a
Primakov	l i m a k o v
Pärtel	r i e t e l
Rajasalu	s u s a l u
Riigiprokurör	i g i p r o k u r o r
Sky	ky~
Sonda	o n d a
Soojuse	o b u s e
Taiwani	i r i k i
Tehvandi	e h v a n d i
Tobreluts	o b r e l u c
Torino	u r i n o
Tõniste	n o* n i S th~ E
Uudised	u d z o
Vaik	a i k k i
Vietnami	i e t n a m i
Viimaks	i m a k
absoluutse	a b "   u c " e
aktiivseid	a k t i v e i d
algatamise	a l g a t a m i s e
allesjäänud	a l l e s E 3 n u d
allikaks	a ly~ i k a k
alul	a l u l
ametile	a m e t i l e
andmises	a nd~ C u w e
arengukavas	a r e n g u k a v a s
arutame	a r u t a m e
avalikustamine	a b a l i k u s t a m i n e
bänd	b 3 n d
demokraatiast	d e m o k r a a t i s d a
direktiivi	d i r e k t i v i
dollariga	d o l l a r i g a
ebakindlus	e b a k i n y l u s
edasisi	e d a s i s i
eelised	e l z o
eesistuja	e s i s t u h a
ekspordiks	e k s p o r d i k
elasime	e l a s i m e
elluviimine	i L u b i m i n e
elluviimisel	i L u b i m i s
esinemas	e s i n i m a s i
ettegi	e t t e g i
ettekandeid	e t t e k a n d e i d
ettekujutuse	e t t 3 k u h u t u s e
ettekujutust	e t t 3 k u h u t u s
finaalseeria	f i n a l s E r e r i a
haavata	a n a t a
haldamise	h a l d a m i s e
hariduses	h a r i d u e
hiiglaslik	i g a  l a l i k
hukkamõistu	h u k k a m o* N i s t u
huvitavate	h u b i t a v a t e
häbenema	h 3 b i n i m a
imestan	i m e s t a n
inimestena	i n i m e s t e n a
investorile	i n v e s t o r e l e
jaa	gy~ a
juurdlus	x u r d l u s
juurte	x u r  e
järge	E n g e
jätmist	x o t m i s
jõugu	h o u g u 7
jõuks	h o u k
kaal	k a l
kaaslased	k a l a s 3 d
kahtlustatavad	k a k i l u s t a t a v a d
kanalit	k a n a l i t
kandidaatidest	k a n d i d a a t i d a* 7
kandub	k a
kandva	k a n d v a
kannatas	k a n n a t a s
kaplan	k a p l a n k o
kartuses	k a r t e
katte	k a t t e
keskkonnamõju	k e s k k o m o* N C u
kevadeni	k e v a d e n i
kilomeetreid	k i l 3 a  a i d
kingiti	k i N i t i
klubile	k l u b i l e
kodude	k o d i d 3 7
kogumaht	k o g u m a th~
kohapeale	k o h a  a l e
kohtumiseks	k o h t u m i s Nw~
kohustuslikud	k o h u s t u s l i k u d
kolmandana	k o l m o n d a n a
koormuse	k o r s e
krunt	k r u n t
kulgevad	k u l u  v a d
külastamine	k 3 l a s t a m i n e
lahutamatu	l a h u t a m a t u
langeks	l a N 3 s k
lastehaigla	l a s t e h a i g l a
liikmega	l i k a w a n
likvideerimine	l i k v i d e l i m i n e
lisama	l i s a m a
loeti	l u d
loosi	l o s i
lugupidamist	t u p i d a m i s
lõhet	l o h e t
lõpetaks	l o p e  k
lühemaks	l 3 h e m a k
maksumusest	k s u m u s a* 7
masinaga	s i n a g a
meelelahutus	m e e l e l a h u t u s
meenutati	m e n u t a t i
menetleda	m E n e t l e d a
messi	m e s
motiiv	m o t i i
muusikalise	m u s i k a l i s e
mälestuste	m a g l e s t u s t e
määrama	m 3 r a m a
müts	m 3 c
neljandiku	n e l y a nd~ i k u
notari	n o t t a r i
noteeritud	n o t o r e r i t u d
okupandid	o k u p a n d i d
olümpiamängudele	o l m 3 p i m 3 n g u d e l e
otsusta	c u s t a
otsustajate	c u s t a j a t e
otsustavaks	c u s t a v a k
paarid	p a a r i d
pagulast	p a g  s d a
pagulastega	p a g u l a s t e g a
pakitud	k i t u d
pakkuva	p a k v a
palge	p a l g e
palja	p a l j a
palvemaja	p a l Ng~ e r e p a h a
panemine	p a n i m i n e
passid	p a s s i d
perevägivalla	p e r E f 3 g i v a ly~ a
piiridest	p i i r i d a* 7
pimedad	p i m e d a d
pistab	p i s t a b "
poliitikutega	p o l i i t i k u t e g a
pressi	p r e s
protsessil	p r o c e s s i l
pruukinud	p r u k i n u d
raadiot	r a a d i o t
rahuldab	y a w a l d a b
referendumit	r e f e r e nd~ i m i t
resolutsiooni	r e s o l u c i o n i
riigikaitsekomisjoni	r i g  k a i t e k o C u w cx~ o* n i
riiklikule	r i i k l i k u l e
rikkamad	r i k k a m a d
rongis	r o N i s
rämpsu	r 3 m p s u
saatusest	s a t u s a* 7
saavutatakse	s a a b u t a t a k s e
saavutuste	s a a b u t u s t e
salaviina	s a l a v i i n a
sarjast	s a r  s d a
sekkumise	s a q  m i s e
show	S o
soovide	s o v i d e
sots	s o c 3
säilimine	s i l i m i n e
sõiduautost	s o i d u a u t o s
söömas	s o  m a s i
sügavas	s 3 g a v a s
süüdistades	s 3 3 d i s t a d e
tabamiseks	t a b a m i s Nw~
tasemelt	t a s E m E l
tast	s d a
tavade	t a v a d e
teadmatus	t e a d m a t u s
teatatakse	t e a t a t a k s e
teenindab	% t e n a S a b "
tegemisele	t e g e m a s l 3 e
teisipäevast	t e i s i p 3 7 e b E s
teravaid	t e r a w a i d
tervitasid	t E r v i t a s i d
toetava	t o e t a v a
toimetavad	t o i m e t a v a d
tsiteeris	c i r e e r i s
tuhatkond	hy~ a t r a k o n d i
tungivalt	t u N i v a l
turismitalu	t u r i s m i t a l u
turvamehed	t u r v a m e h e d
täheldada	t E h t i e l d a d a
tõmba	t e m i
tõustes	t e m u s t i
töödelda	h a t 3 d e l d a
töömees	h a t 3 m e s
ujumas	u h u m a s
uudisteagentuurile	u d i s t e a g 3 n t u r e l e
vaadetega	v a a d e t e g a
vabadusest	v a b a d u s a* 7
vaenlast	v a  s d a
vahendada	v a h e n d a d a
vaimulikuna	n a i n e n l i k u n a
vajaka	v a j a k a
valimisjaoskonnas	v a l i m i s  s k o
vanuseklassi	v a n u s e k l a s s i
varja	v a r j a
vastavaks	v a s t a v a k
vastavust	v a s t a b u s
veebilehe	v e r e  l e e
vigastuste	v i g a s t u s t e
vihjas	v i h j a s
viiendas	v i e n d 3 s
vägivallaga	v 3 g i v a l l a g a
väidan	v 3 i d a n
väljamõeldis	v 3 lx~ a m o* N e l d i s
Ülemnõukogu	l E m n o* u k o x u
õigusriik	n a i g u s r i
õigusta	n a i g u s t a
ühekordne	3 h e k o r d n e
ükskõikseks	3 k s k o i k k e k
üksmeelt	3 k s m e l
ülekande	u l e k a nd~ e
ütlete	u t l e t e
üürida	3 3 r i d a
Algus	l g u s
Antonio	t o o
Arjakas	r  k a s
Aseri	s e r i
Elizabeth	l i r o t
Gent	e n t
Hotel	o t e l
Hõbemägi	n a b e m 3 g i
If	f
Iisraelis	i s r a e l i s
Investi	n v e s t i
Joonas	o n a s
Järgmisena	r i e g C u w e n a
Jõgevamaalt	o* N g e b E m u t a l t a s
Jõulud	n a u l u d
Kapitali	a p i t a l i
Koju	c u
Kutsun	u c u n
Kuue	u
Lass	n i
Lastehaigla	a s t e h a i g l a
Lepajõe	a p a h o e
Marti	i t i
Meeskonna	e s k o* n a
Mäeots	3 e a 7 a
Noormets	o r m e c
Oktoobris	k % p e g i s r i s
Oodatud	o d a t u d
Paadam	k i m a t o a m
Patarei	a t a r e i
Piho	i h o
Plaanis	l a N i s
Politseil	o l i t e i l
Premium	r E m i u m
Põhiseadus	n a u h a s a d u s
Regionaalhaigla	g i o n a a L i g l a
Remmelg	e m e l
Reporter	a p o r t e r
Saarna	a r n a
Senise	e n i s e
Taivo	e  o
Tooma	o m a
Treffneri	r E f n e r i
Turg	u r
Türgist	3 r Ng~ i S
Uuspõld	u s p o l
Veebruaris	e b r u a r i s
Voore	o r e
Yahoo	a h o
advokaatide	a d v o k a t i d e
agentuurile	a g 3 n t u r e l e
akti	a k t i
alatiseks	a l a t i s Nw~
alustamine	a l u s t a m i n e
alustuseks	a l u s t u s Nw~
ametkonnad	a m e t k o
ametnikega	a m e t n i k e g a
andekaid	a n d e k a i d
arendamisega	a r e n d a m i s e N a
arvestati	a r b e s t a t i
arvuteid	a r i d
asjaoluga	a s  l u g a
auditi	a u d i t i
austab	a u s t a b "
autodel	a u t o d o
autorooli	a u t o r o l i
demagoogia	d e m a g o N i
di	d i
dokumentaalfilmi	d o k u m e n t a l u k a C m i
ebameeldiva	e b a m e l d i v a
ebaõiglaselt	e b a o i k L a s l 3
eelneval	e l S w a l
ekspeaminister	e k 8 p e n e a m i n i s t e r e n
elektriga	e l e k tr~ i g a
emotsioonide	e m c i o " w i d e
enesetapu	i n i e t a p u
enneolematu	e n S o l e m a t u
erakordse	e r a k o r d  e
esialgsed	e s i a l k e d
ettevõtjal	e t u s n a k q
garanteerib	g a r a nt~ e r i b a
halvim	h a l i v i m a
hangete	h a n g e t e
haruldase	h a r u l d a s e
heategevuslik	h e a t e g u s i k b u C o
helistaja	h e l i s t a h a
hirmul	h i r m u l
hobused	h o s 3 d
hunti	h u n t i
huumor	h u m o r
ideele	d e l e
imestust	i m e s t u s
investeerimist	i n v a* 7 e l i m i s
isast	i s s d a
istumise	i s t u m i s e
jahti	y a th~
juhised	x u h z o
juhtkonnas	x u nth$ k o
juulikuu	x u l i k u
juute	x u t e
jälgimise	x o l g i m i s e
jõudnudki	h o u d n d k i
kaalutud	k a l u t u d
kaevanduse	k a p i r a nd~ u s e
kaevatud	k a e b E t u d
kaldal	k a l d a l
kannataks	k a n n a t a k
kannatanut	k a n n a t a n u t
kannatanute	k a n n a t a n u t e
kasumeid	k a s u m e i d
kasvavate	k a s v a b a t e
kauplusesse	k a u p l u s 3 s a
kehtivaid	k e h t i v a i d
kesik	k e k u
kingituste	k i N i t u s t e
kirjutamist	l h u t a m i b s d a
kirjutise	l h u t i s e
kodusel	k o t u s
kohtume	k o h t u
koja	k o k a
kolimist	k o l i m i s
koostööleppe	k o s u k h a t 3 l e p p e
koristatud	k o r i s t a t u d
korraldusi	k o r a l d u s i
kosta	k o s t a
kriminaaluurimise	k r i m i n a l u r i m i s e
kroonitud	k r o " w i t u d
kujutatud	k u h u t a t u d
kultuurielu	k u l t u r i e l u
kuluhüvitiste	k u l u f n t a 7 i v i t i s t e
kuulnudki	k u L n d k i
käibega	k a i b e g a
käputäis	k a m a p u t i 3 i s
käsitletakse	k a s L e  k s e
kõlada	k o i d a d a
kõneldi	k o i n e l d i
külili	k 3 l i l i
küsimustest	k 3 b u p u s t e s
küüniline	k 3 i i l i n e
laekuma	f e k u m a
langusele	l a N u s e l e
lehelt	l e h e l
lihtsustada	l i h c u s t a d a
liiduga	l i d u g a
liikluseeskirja	l i i k l u s E r e s k i r j a
liikumispuudega	l i k u m i s p u d e g a
liikvel	l i k v e l o
likvideerimise	l i k v i d e l i m i s e
linnakohtus	l i n t i k o h t u s
linnapeakandidaat	l i n t a  k a n d i d a t
linnavõimud	l i n t a b o i m u d
loomadega	l o m a d e g a
lugupidamine	t u p i d a m i n e
lähedastega	l E h t i e d a s t e g a
läti	l 3 t i
lõpetajad	l o p e t a q d
madalikule	d a l i k u l e
maksed	m a k S 3 d
maksete	k e t e
materiaalse	m a t e r i a l s e
merest	m e r a
metallist	m e t a ly~ i s
mispeale	m i s p e a l e
muigas	m u i x a s
mäletate	m a g l e t a t e
märkides	m a g r k i d e
mõnitamine	m o n i t a m i n e
müüdava	m 3 3 d a v a
naabritele	n a b r i t e a
negatiivsete	n e g a t i s v e t e
neljapäevasel	n e l gy~ p 3 7 e b E s
niikaugele	n i k a u g e l e
ninaga	n i n a g a
noortetöö	n o r t o
numbritega	n u mb~ r i t e g a
nähtamatu	n E h t i  m a t u
nälg	n 3 l
närv	n 3 r v
nõuetest	n u u e t e s
ollagi	o l l a g i
om	i r
omakapitali	w k a p i t a l i
omavoliliselt	t a v o l i r a s l 3
organiseeris	u r g a n i S e r i s
ostujõud	o s t u h o u d
otsustavat	c u s t a v a t
pahad	p a h a
pakane	p a k a n e
palet	p a l e t
pankadel	p a n f i y
parlamendivalimistel	p a l a m e n d i v a l i m i s t e l
patta	p a t t a
peatuma	p e a t u m a
peost	p e o s
pererahvas	p e r h e n e h v a s
perspektiiv	p e r 8 p e n e k t i
pidurdab	a t u r d a b
pink	p i n
poliitilistel	p o l i i t i l i s t e l
politseijuht	p o l i 5 u  dy~ u a th~
projektijuhi	p t o n o x e k t dy~ u a
protsessid	p r o c e s s i d
purunes	p u r u n i
puudumisest	p u d i m i s a* 7
põhiliseks	p o i l i s Nw~
põlvkonnale	p o l v i k o l e
pööravad	p a t 3 a w a d
pühendada	p 3 h e n d a d a
rahuldav	y a w a l d a
rahvahääletusele	r a h v a h 3 l e t u s e l e
raseduse	r a s e d u s e
reageerisid	r E G e r i s i d
reformierakonna	r e f o r m i e r a k o* n a
rekonstrueerimine	r e k o s t r u e l i m i n e
ressurss	r e s s u r s
ringkonna	r i N k o* n a
ristimise	r i s t i m i s e
rõhutades	3 u t a d e
saabumine	s a a b u m i n e
sattumist	s a t t u m i s
sidus	s i d u s
sihikule	s i h i k u l e
sissepääs	s i s e p 3
sisulisi	s i s l i s i
soetanud	s o e t a n u d
soodushinnaga	s o d u s i n n a g a
soodustused	s o d u s t u s 3 d
soovijatele	s o v i y a t e a
sotsidele	c i d e l e
sponsorite	s p o Th~ o r i t e
strateegiliste	s t r a % t e x i l i s t e
