të 	t 3
pazare	p a z a r e
porse	p o r s e
përmirësime	a p i r m i r e s i m e
referohen	r e f e r o h e n
shkatërrimit	S k a y r m i t
sipërfaqen	s i p e r f a 7 e n
sipërmarrje	s i p e r m a r e
tallet	t a l l e t
tatim	t a t i m
tatimet	t a t i e
trendi	t r e n d i
xhep	h e p
zhduk	C d u k a
zinxhirit	5 h i r i t
Deçanit	 a n i t
Diellit	i e ly~ i t
Egjipti	gy~ i p t i
Financiare	s a m a a r e
Fletoren	l e t o r e n
Gashit	a s i t
Izet	z e t
Jonuz	n u
Majko	a h k o
Osmane	s m a n e
Pence	i n C i e
Reagon	e a g o n
Ronald	o n a l
Sveçla	v  l a
Viktimat	i k t m a t
antikushtetues	a n t i k u S t e t u e
antikushtetuese	a n t i k u S t e t u e s e
ardhë	a r d e
bazohen	b a z o h e n
botërorë	b o y ph~ 3
bukuri	b u k u r i
dekreti	d e k r e t i
depresioni	d e p r e s i o n i
dritës	d r i y
esenciale	e s i n C i w a l e
familjeje	b o m e L j e
fatet	f a t e
festivalit	f e S t i v a l i t
fyerje	f y e r e
gjithçkaje	gy~ i th~  dy~ e
karriera	k a r e r a
komisionin	k o m i s i o n i n
konsum	q o n i k s u m
largoheshin	l a r  h i  n
lejet	j
limit	l i m i t
mbërthyer	b e r t w u r
mesnatës	m e s n a t 3
myslimanët	m 3 w i m a
nderi	d e r i
njoftoj	nj~ o f t o
organizmit	u r g a n i z m i t
paketat	p a k e t a t
papërgatitur	p a p e r g a t i t u r
parandalon	p a r a nd~ a r o n
pikëpamjet	p i k 3 p a m
porositë	p o r o s i t 3
prekshme	p r e k S m e
profesionalizëm	p r o f i S i o n a l i z b
progresin	p r o g r e s i n
publikojnë	p u b l i k o x n E
revistës	r E i s y
rinovuar	r i n o b u a r
rrënojat	r 3 n o x a t
rubrikën	r u b r i k a n
sfond	s f o n d i
sherr	S e r
shkeljeve	S k e l k u s k
shkuarës	S k u a r e
shndërrua	S nd~ 3 r a
shofer	S o f e r
themel	th~ e m 3
thjeshte	th~ i  t e
trashëgimi	tr~ a S 3 g i m i
tufës	t u f 3
universale	u n i v e r s a l e
veproi	f e p r o i
vera	e r a
vëmë	v m 3
çaji	h a u
Ballkanik	a ly~ k a n i k
Beogradin	e o g r a d i n
Bruno	r u n o
Fakultetit	a k u l t e t i
Fjolla	j o r u
Gara	a r a
Gusht	S t i
Kampionati	a m p i o n a t i
Kolegjit	o l e gy~ i t
Krimi	l i m i
Kulturore	u l t u r o r e
Kurbinit	u r b i n i t
Ndihem	d i h e m
Ore	r e
Palmer	a l a m e
Periudha	r i u d a
Personalisht	e r s o n a l i sC~ t i
Perëndimi	e r 3 n d i m i
Pronari	r o n a r i
Qendër	e nd~ 3 r
Samiti	a m i t i
Selanik	e l a n i k
Studentët	t u d e n y
Veles	e l e
Zbardhet	b a r 8 e t
Zogut	o g u t
agjentët	y E n y
ambientit	a m b i e n t i
ankthit	a n k th~ i t
apartamente	a p i t a m e n t e
aventurën	E b e n t u r e n
banim	b a n i m
bashkëpunëtorë	b a S i k 3 p u n E t o r 3
bashkësisë	b a S i k e s i s 3
belg	b e l
beteje	b e t e h e
borës	b o r e
diktaturë	d i k t a t u r 3
dorëzua	d o r e z i
dënuan	d 3 n u a n
emërimet	e m E l i m e t
falenderuar	f a l E d i n u a r
figurës	f i g u r e
fillova	b i l l o v a
fokusohet	f o k u s o h e t
ftesa	f t 3 s a
fuqizimin	f u k t e  m i n
goditet	g o d i t e
horizont	h o r i z o n s
humbasim	h u mb~ a s i m
hyrjet	h 3 r
insistuar	s i s t u a r
kampet	k a m p e
kartë	k a r t 3
kolesterolit	k o l e s t E r o l i t
kombëtaren	m i b 3 a r e
kontinentin	k o nt~ i n e n t i n
kornizën	k o r n i z a n
kësteve	k e s t e v e
lansuar	nz~ i s i a r
largojnë	l a r g o x n E
mblodhi	b l o 8 7
mbushet	 S
merreshin	m e r i  n
miqësor	m i k e s o r
mosmarrëveshjet	n o S r 3 e S
nisje	n i S e
paguante	p a g u a n t e
papritmas	p a p r e m a s i
parandalojë	p a r a nd~ a r o h 3
pasqyron	p a s qy~ r o n
pensionit	p e ns~ i o n i t
pushojnë	p u s o x n E
përzier	a p i L i e r
racizmit	r a i z m i t
rritej	r i t a
shfrytëzon	S f hy~ y z o n
shikojë	S i k o x 3
shkruhej	S k m a d a x
shprehjen	S p r e h i
shtabit	s k i a b i t
shtetësisë	S t e s i s 3
skandaloz	s k a n l o z
trembur	t r e m b u r
vizitave	p i t e  t a b e
vjeçarja	v  a r j a
vëmendshëm	v E n m e n d e m
zbardhet	z bh~ a r 8 e t
Arrestohet	r e s t o h e t
Atyre	t r e
Berishes	r i S
Bild	i l 7
Engel	N
Juve	u w e
Kamenicës	a m e n i C 3
Menduh	e nd~ i
Mustafën	u s t a f a n
Pasojat	a s o j a n
Prillit	r i l l i t
Rodriguez	o d r i g e z
Senati	e n a t i
Shengen	h E N E n
Superligën	u p e r l i g a n
Xhevdet	h e b d e t
anijen	a n i y e n
antishqiptare	a n t i S g w i p t a r e
arrij	m a n i
dasmat	d a s m a t
deklaronte	d e k  b u* d a k
dikurshme	d i k u r S m e
dokumentacionit	d o k u m e n t a  i o n i t
emocional	e m o k i o n a l
godinën	g o d i  n
heronj	h e r o
keqes	k e E
konkurrencën	k o nk ~ u r  C a n
kontrollojë	k o nt~ r o l 3
kornizë	k o r n i z 3
këngëtare	k 3 n g 3 a r e
magjike	m a h j i k e
mbërrijë	b e r i j 3
medha	m e d a
mesditës	m e s dy~ y
minimizuar	m i n i m i z u a r
miqësisë	m i k e s i s 3
ndihmoj	n t i 7 m o x
ndërmarrjen	nd~ 3 r m a r i
nervor	n e r v o r
njihni	j E n i
njoftojë	nj~ o f t o h 3
njësia	T a s i a
nënshtrua	n 3 n C tr~ i
pezullimi	p e z u l l i m i
prirur	p r i k i t
prisnim	p r i s n i m
protokolle	p r o t o k o l l e
përqafuar	a p i r q o p u a r
qielli	q i e l l i
quaj	k a x
rrethojnë	r  o x n E
samit	s a m i t
shkëmbyer	S k 3 mb~ w u r
telefona	t e l e f o n a
termin	t E r m i n
ushtrojë	u s tr~ o h 3
vila	v i l a
Çmimin	m i m i n
çdokush	d o k u
Alia	l i a
Analiza	n a l i c a
Fejsbuk	j s b u k
Holandës	o l a nd~ 3
Investimet	n v e s t i e
Laç	a
Legjenda	g o x e n d a
Martini	i t i n i
Mezi	e z i
Norvegjia	u r e gy~ i a
Pasha	a s a
Policor	o l i k o r
Prilep	r i l 3 p
Qarkun	a r k u n
Sebastian	e b a s t i a n
Shkaku	h k a k u
Supreme	u p r e m e
Uji	x i
Unioni	n i o n i
Vetëvendosja	e y f e n d o s a q
afatgjate	a f a r gy~ a t e
afrimin	a f l i m i n
aftësive	a f y k u b e
brutale	b r u t a l e
dallohet	d a l l o h e t
dhemb	dh~ E m o
disponueshëm	d i s p o n u e e m
dënimet	d 3 n i m e t
falimentimit	f a l i m e n t i m i t
farmaci	f a r m a t i
frutave	f r u t a b e
humbë	h u m b 3
infektohet	i n f k t o h e t
infektuan	i n f w E n
kapitenit	k a pw~ i r e n i t
koja	k o k a
kryeni	k r y e n i
këmbëngul	k b b 3 n g u l
luftërat	l u f y n a
luftëtarë	l u f y n a p a 3
malit	m a l i t
mashtrimi	m a Ch~ l i m i
matet	m a t e
mbikëqyrjen	b i k 3 qy~ r i
monitorimit	m o n i t u l i m i t
ndalesë	nd~ a r a o
ndërtimet	nd~ 3 r t i e
ngjyrën	N hy~ r e n
normën	n o r m a n
organizuan	u r g a n i z u a n
palestineze	p a l e s t i n e z e
pallatin	p a l l a t i n
pasionin	p a s i o n i n
pasurit	p a s u r i t
plotësuese	p l a l i y s u e s e
poet	p o e t
pretendimeve	p r e t e n d i * v e
punonjësi	p u n T a s i
pyesni	py~ o s a n i l
përmasave	a p i r m a s a b e
rregullores	r e g u l l o r e
sezonale	s e z o n a l e
shkencëtarë	S k i n C i 3 a r 3
shkrimtar	S k l i m t a r
shmang	S
shoqja	S o x j a
siguronte	s i g u r o n t e
sirianë	s i r i a n E
tabelës	t a b e l 3
tamponë	t a m p o n E
vendosëm	f e n d o o m
veprimtaria	f e p l i m t a r i a
vone	v o n e
çuditërisht	u d i y r i sC~ t i
Andrew	n d r E f
Arbenita	r b e n i t a
Bashkësia	a S i k e s i a
Drejtorit	r e y o t o r i t
Gani	a n i
Hercegovinë	e r e g o b i
Lopez	o p e z
Mercedes	e r b m 3 s
Nxënësit	S 3 n 3 s i t
Post	o s
Rrjeti	r o x e t i
Rrugore	r u g o r e
Samitin	a m i t i n
Tetë	e t 3
Turke	u r k e
Xhaka	h a k a
absurd	a j a y i n
ankesave	a n k e s a b e
asistime	a s i s t i m e
baltë	b a l t 3
bashkëkohore	b a S i k e k o h o r e
bejme	b e h m e
bisedojmë	b i s e d o h m 3
biçikletë	b i i k l e t 3
burgje	b u r gy~ e
deklarimin	d e k  m i n
denoncimin	d e n o n C i i m i n
denoncoi	d e n o nC~ o i
ditëlindjes	d i t E ly~ u g o s
dëmtimet	d b t i e
dështon	d e s t o n
faktikisht	f a k t i k i sC~ t i
faljen	f a l x e n
folën	f o l a n
gjeta	gy~ e t a
gjithmone	gy~ i th~ m o* e
gjyqin	g hy~ m u a n
hajdut	h a u d u t
hotelin	h o t e l i n
humbim	h u m b i m
incidente	m a i d e n t e
intensivisht	i n t e n k u b i sC~ t i
kalimtare	k a l i m t a r e
këpucë	k 3 p u k 3
lexohet	l e S o h e t
luftëtarëve	l u f y t a r e v e
mbledhin	b l e d i n
mjekja	m h k j a
nismës	n i S k i S
paqëndrueshme	p a q 3 n d r u e S m e
punime	p u n i m e
pësojë	a p i z a s 3
raportimet	r a p o r t i e
rrethi	r
rëndësia	r 3 n d e s i a
shfrytëzohen	S f cy~ y z o h e n
shuarjen	S u a r i
stinës	s t i
totali	t a t a l i
trashëguar	tr~ a S 3 g a r
vargje	v a r gy~ e
zakonet	z a k o n e t
çerdhe	e r d e
çmenduri	m e n d u r i
Barack	a r a k
Berlini	e r l i n i
Bojan	o j E n o
Fero	e r o
Fitër	i t e r
Fondacioni	d a c i o n i
Ibrahimovic	b r a h i m o v i k
Mëngjesin	3 n g o x e s i n
Pakos	a k o s
Pashë	a e
Salah	a l a h
Toka	o k a
Vjen	h e n
Vogël	o g i e L
abuzim	a b u s i
aleancë	a l e a*  3
anashkaluar	a n a S k a l u a r
aplikacionit	a p l k a c i o n i t
avionët	a g o y i m E
bllok	b l l u d
degën	d e g a n
dekadën	d e k a d a n
dërgojmë	d 3 r g o h m 3
flasësh	f l a o S
fotografisë	f o t o g r a f i S 3
gjalla	gy~ a ly~ a
gjyshi	g hy~ S i
individit	i n d i v i d i t
integritetit	i n t e g r i t e t i
joqeveritare	j o E e r i t a r e
konfuzion	q o n i k u a o n
konstruktiv	q o n i k s t r u k t
kulture	k u l t u r e
kuvendi	k u b e n d i
laboratorë	l a b o r a t o r 3
lexon	l e S o n
liderë	l i d i n 3
lire	l i l e
lumturi	l u m t u r i
mekanizmi	m e k a n i z m i
miratojnë	m i r a t o x n E
ndihmohen	n t i 7 o* h e n
ndërton	nd~ 3 r t o n
ndërtua	nd~ 3 r t u a
njerezve	n o x e r e z v e
njerëzimi	n o x e r e z i m i
nxirrte	! i r t e
palestër	p a l e s y r
parqe	p e r X e
pavarësia	p a b a r e s i a
prezantohet	p r e z a n t o h e t
prodhimet	p r o d i m e t
përmirëson	a p i r m i r e s o n
qiellin	q i e ly~ i n
regjistrim	r E gy~ % l u z i m
role	r o l e
shikosh	S i k o S
shkarkua	S k a t u
shqyrtojnë	S qy~ r t o x n E
urimin	u r i m i n
ve	v e
zbulim	z l i m
zhduken	C d u k e n
zjarrfikësve	z y a r m f i k e s v e
Atalantës	t a l a n t e
Fjalët	y a l 3
Gardës	a r d 3
Halil	a l i l
Islamik	s l a m i k
Julian	l i a n
Kalifornisë	a l i f o r n i S 3
Mentor	e n t o r
Rahovec	a h o v e k
Rihter	i k i a r
Sado	y i
Shëndetësore	h 3 n d e t e s o r e
Sormani	o r m a n i
Zërit	3 r e
alkooli	a l o l i
aspekti	a 8 p e n e k t i
bandat	b a n
bardhezinjtë	b a r d a  nj~ t 3
bllokuara	b l l o k u a r a
bonus	b o n u s
botes	b o t e
brezit	b r e z i t
dendur	d e n d u r
denoncon	d e n o nC~ o n
dietë	d i e t 3
dish	d i S
ekranin	e k r a n i n
guri	g u r i
karakteristikat	k a r a k t E r i s t i k a t
klimë	k l i m 3
koje	k o k o
koncesionare	q o n i k u s i o n a r e
litra	t r a
lokalin	l o l i n
mbaheshin	b a h i  n
merak	m e r a
ndalin	nd~ a r i n
ndërgjegjshëm	nd~ 3 r gy~ e gy~ e m
nominuar	n o m i n u a r
oborr	o b o r
penduar	p e nd~ i a r
pezullimit	p e z u l l i m i t
plazhi	p l a y i Z i
policise	p o l i k i s e
portë	p o r t 3
pranua	p r a n u a
prezente	p r e z e n t e
provon	p r o v o n
përfshirjes	a p i r f S i r i
revolucion	r E f o b e l i o n
rrezet	r e z e t
rrezikojë	r m u  k o x 3
sasisë	s a s i s 3
serish	s e r i S
shkeljes	S k e l i
shkëmbimi	S k 3 m b i m i
shpërdorim	S a p i r d o r i m
syrin	s 3 r i n
tren	t r e n
tunelit	t u n e l i t
turpshëm	t u r p e m
tërheqës	y r h e k 3
urisë	u r i s 3
videove	v i d e o v e
Çani	a n i
Besim	e s i m
Chelseat	h e l s a t
Corriere	u r e r e
Donatorëve	o n a t o r e v e
France	r a n C i e
Grand	r a n d
Klubet	l u b e t
Krishtlindjes	r i S L u g o s
Listën	i s t e n
Lushtaku	u s k i a k u
Mjekësore	h e k e s o r e
Putini	u t i n i
Sergio	e r g i o
ambulancë	a m b u l a n k o 3
anulua	a n u l u a
armëpushim	a r m 3 p u S i m
bashkëpunojmë	b a S i k 3 p u n o x m 3
blen	b l e n
bëre	b e
cash	k 3 s o
demokratë	d e m o k r a t 3
derdhur	d e r d u r
dolëm	t o r b
dosja	d o s a q
durimin	d u r i m i n
fluturimit	f l u t u r i m i t
fqinjë	f m u a t u 3
funksione	f u n k S i o n e
holandeze	h o r a n d e z e
interneti	i n t E r n
kampionateve	k a m p i o n a t e v e
komandantit	k o m a n d a n t i
kompeticion	m i p e t i i o n
kopsht	k o p sC~ t i
luftërave	l u f y r a v e
mosrespektim	n o S a 8 p e n e k t m
ndalonte	nd~ a r b u* d a k
nota	n o t a
nënshkruajnë	n 3 n S k r u a x n E
ofertës	o f e r y
padrejtësisht	p a d r e y o y s i sC~ t i
pajisjen	p a h i s i
panikut	p a n i k u t
parandalohet	p a r a nd~ a r o h e t
prezantimit	p r e z a n t i m i t
prishet	p r i S e t
pushtimin	p u S t i m i n
përjetojmë	a p i r E t o h m 3
respektoni	r E 8 p e n e k t o n i
rrjedhin	r u n d i n
shpikur	S p i k u r
ska	s k a
sovjetike	s o w o x e t i k e
topit	t o p i t
tradhti	tr~ a d t i
trazira	i t r i  r a
tubimin	t u b i m i n
unifikuar	u n i f i k u a r
zemërim	z e m E r i m a
zjarrtë	z y a r m t 3
Bush	S
Cfare	f a r e
Dhurata	h u r a t a
Doja	o h a
Egjiptit	gy~ i p t i
Fillimi	i ly~ i m i
Goran	o r a
Iu	u
Kastrioti	a s t r e o t i
Komisariatit	o m i s a r i a t i
Kërkojmë	3 r k o h m 3
Mbretëresha	b r e y r e s a
Mehmetaj	e h e
Mynihut	y g u g u t
Neni	e n i
Niko	i k o
Njerëz	h e r e
Paqes	a q o s
Rimëkëmbjes	i m u k b by~ E
Traumës	r a u m E
agjendë	y o x e n d 3
atdhetare	a t 8 e t a r e
bente	b e n t e
besonin	b e s o n i n
bordi	b o r d i
detyrimisht	d e t 3 r i m i sC~ t i
dilema	d i l 3 m a
dritat	d r i t a t
dyshon	o T u n
dëmtimit	d b t i m i t
epokën	a p o k a n
furnizime	f u r n i  m e
guximshme	w S i 7 i m S m e
hedhim	h e d i m
hulumtim	h u l u m t i m
incidenti	m a i d e n t i
klienti	k l i e n t i
kthjellët	k th~ i L 3
kuptosh	k u p t o S
kushtetuta	w o j  t e t u t a
luanin	l u a n i n
mbështetën	b e s t e n
merreni	m e r
meshkujve	S k u h v e
ministritë	m i n i s t r e 3
monitorim	m o n i t o r i m a
ndenjur	n a n j u r
nënkryetar	n 3 n k r e t a r
operon	o p e r o n
opsione	o p s i o n e
opsioni	o p s i o n i
organizojë	u r g a n i z o h 3
parandalim	p a r a nd~ a r i m
pashmangshëm	p a S m a N e m
pasoi	p a s o i
presidentja	p r e s i d e n t j a
prishi	p r i S i
prodhimeve	p r o d i * v e
përhapen	a p i r a p e n
qëlluan	q 3 L u a n
radikale	r a d i k a l e
rezolutë	r e z o l u t 3
shëndetësia	S 3 n d e t e s i a
thërret	th~ 3 r
veturës	f e t u r e
vlere	v l e r e
vlerësuan	v l e r e s u a n
zonjën	z o T a n
Atij	t i
Bulqizës	u l m u a z 3
Egje	gy~ e
Hetimit	e t i m i t
Jasharit	a s a r i t
Komuniteti	n a y t
Kroacinë	r o a c i
Politikës	o l i t i k 3
Zyrtarë	y r t a r 3
ambasadoren	a m b a s a d o r e n
aplikimeve	a p l i k i * v e
asist	a s i s
aventura	E b e n t u r a
dashurën	d a S u r e n
deklarimet	d e k l a r i m e t
deritanishëm	d e r i t a n i S b
dollarëve	d o l l a r e v e
domethënës	b e th~ 3 n 3
drejtime	d r e h t i m e
ekonomive	e k o n o m i v E
ekzekutimit	e k 8 k u t i m i t
ftojmë	f t o h m 3
gazetaren	g a z e t a r e
gjyqësorit	g hy~ k e s o r i t
grumbullimi	g r u mb~ u L l i m i
kako	k a k o
kapë	k a p e
kompleksin	m i p l e k s i n
kthej	k th~ 3
kuadrit	k u a d r e
kënd	k 3 n d
likuiditetit	l i k u i d i t e t i
lotët	l o y
lëkundjet	l e k u n d h e t
marë	m a* r 3
mjekimin	m r m i n
monitorimi	m o n i t u l i m i
mujorin	m u C u k u i n
ndje	j e
njërës	T a r e
nxjerrim	! E r i m
on	o n
paralizuar	p a r a l i z u a r
patriot	p a t r e o t o
pe	p e
përjetë	a p i r E t 3
përmbajtjes	a p i r mb~ a th~ i
përmenden	a p i s a y m 3 n d e n
republikanët	r e p u b l k a
rrogën	r o g a n
shefat	S e f a t
shefja	a S i fy~ a
skemës	s k e m E
stadiume	s t a d i u
syrit	s 3 r i t
teoritë	t e o r i t 3
testuan	t e s t u a n
thelbin	th~ e g u i n
titullohet	t i t u l l o h e t
twitter	t w i t t e r
ulëse	u l e s e
urë	u r 3
varrimit	v a r m i t
vetvetes	f e d b e t e
vlerësojë	v l e r e z a s 3
voni	v o n i
zbardh	z bh~ a r i 8
zhdukjen	C l u 7 i
ëndrrave	3 n d r a w e
Arabisë	r a b i s 3
Atdheut	t d u u t
Azerbajxhani	z e r b a h a n i
Begaj	g a x
Bjellorusinë	j e l l o r u s i
Doda	o d a
Duhen	u h e n
Dukagjinit	t u k a gy~ i n i t
Emisioni	m i s i o n i
Europe	u r o p e
Gjoka	j o k a
Industria	d u s t r e
Kishim	i S i m a
Kudo	u d o
Lacios	a c i o s
Lika	i k a
Lojërat	o h 3 n a
Pallatin	a l l a t i n
Përfaqësues	3 r f a 7 e s u e
Qipro	i p r o
Republikane	e p u b l k a n e
Sekretarit	e k r E t a r i t
Shqiptarë	h e i p t a r 3
Universitar	n i v e r s i t a r
Xhavit	h a v i t
ane	a n e
arsyeshëm	a r S k a e m
biletat	b i l 3 t a t
boshatisur	s a t i s u r
dallon	d a l l o n
dasmave	d a s m a b e
depozitave	d e p o  t a b e
depresion	d e p r e s i o n
dëshmitë	d e s m i t 3
efektivët	e f e k t v E n
emigracionit	e m i b o ch~ i o n i t
enjtja	E nj~ ty~ a
fqinjëve	f m u a t u T a v e
front	f r o n s
garantohet	g a r a n t o h e t
gjyqi	g hy~ i r a
harrohet	h a r h e t
japësh	y a p e S
kapluar	k a p l u a r
kohëzgjatje	k o h 3 z gy~ a jw~ e
kryetaren	k r e t a r e
kumtesë	k u m t e s 3
kushtoni	w o j  th~ o n i
këshillojnë	k e s i l l o x n E
mamaja	m a m a h a
mija	m i j a
mëtejmë	m E b 3  m 3
nakon	n a k o n
nxitje	n n jw~ e
nxituar	! i t u a r
nënshkruhet	n 3 n S k r u h e t
oficerëve	o f i h u r e v e
plazhin	p l a y i C i n
poezisë	p o e a 3
polak	p o l a k
preferon	p r e f e r o n
pritjen	p ry~ th~ i
përfshiu	a p i r f S i u
përmirësohen	a p i r m i r e s o h e n
rinisur	r i n i s u r
rëndon	r 3 n t u n
sakrificën	s a q  k a n
shkodrane	S k o d dr~ a n e
shtetësinë	S t e s i
simbolik	s i m b o l i k
suedeze	s u e d e z e
sugjeroi	s u gy~ e r o i
thellohet	th~ "  h e t
ulën	u l a n
zvogëlojë	z v o gw~ 3 3
Alibeaj	b a
Bankat	a n f i
Belgjikës	e l gy~ i k 3
Cdo	d o
Demokracia	e m o k r a c i a
Drenasit	r e n a s i t
Dubai	u b a i
Faton	a t u n
Fondin	d i n
Grupin	n i n
Kontrollit	o t r o l l i t
Luginë	t u g i
Mirënjohje	i r 3 n j o h e
Nishani	i S a n i
Rudi	u d i
Soros	o r o s
albinfo	a l b 3 f o
anasjelltas	a n a s E l l t 3 s
aromë	a r o m 3
baze	b a z e
bllokojë	b l l o k o x 3
blloku	b l l o k u
dedikim	d e d i k i m
delegacion	d e l e 7 a i o n
delegacionin	d e l e 7 a i q l
diplomati	d i p xy~ u 7 t i
dyshojnë	o C o x n E
dëbuar	d e b 3 r
fe	f e
funksionit	f u n k S i o n i t
katror	k a t r o r
klinikën	k l i n i k a n
kompromise	m i p r o m i s e
koncesion	q o n C i o n
koordinimin	k o r d i n i m i n
ktheva	k th~ e v a
kuqezinjve	k u E 5 nj~ v e
kurajo	k u r a t a
këtilla	k 3 i l l a
largëta	l a r g 3 t a
legjitim	l E g j i t i m
leja	l e y a
madhështore	d e s t o r e
mbasi	b a s i
monument	m o n u m e n t
pandryshuar	p a ndr$ 3 r
paskan	p a s k a n
porti	p o r t i
portokalli	p o r t o q u r i
prekshëm	p r e k e m
prishë	p r i e
provimin	p r o v i m i n
pushuesit	p u s u e s i t
qëllimeve	q 3 ly~ i * v e
rregulli	r e g y L i
rrethanë	r  n E
sekretarit	s e k r E t a r i t
shijen	S i y e n
shmangien	S m a N i e n
shoferët	S o f e r e
shpërndara	S a p i r d a r a
shpëtimi	S a p i t i m i
shtretërve	S t r e y r v e
teje	t e h e
varianti	v a r i a n t i
versioni	e r S i o n i
vlejë	v j 3
zbuloni	z l o n i
zyre	z r e
Aksident	k s i d e n t
Barcelonë	a r k e l o n E
Cramon	r a m o n
Doçi	o i
Karantina	a r a n t i n a
Keshtu	a m a k i w
Kete	e t e
Koçi	o i
Mjekja	h e k j a
Neritan	r i t a n
Nou	o u
Paga	a g a
Pekinit	e k i n i t
Posta	o s t a
Qazim	a z u* f o
Senatit	e n a t i
Thesarit	h e s a r i t
Ujmanit	h m a n i t
aplikacioneve	a p l k a c i o n e v e
autobusëve	a u  o v e
avionëve	a g o y i m E v e
biznesmenit	b i z n e s m E n i t
boksit	b o k s i t
dala	d a l a
edicionit	e d i k i o n i t
epiqendër	a p i k e nd~ 3 r
frymëzim	f cy~ k i n z i n h o
fyt	fy~
gjumin	gy~ i m i n
grumbullim	g r u mb~ u L l i m
hasin	h a s i n
higjiena	h i x n o x e n a
humori	h u m o r i
infektime	i n f k t m e
kamerës	k a m E r e
karta	k i t a
kontestuar	k o nt~ a* 7 a r i
lejeve	j p i r e
luftonte	l u f  b u* d a k
masakra	m a s a k r a 7
mashtrime	m a Ch~ l i m e
mëngjesi	m E N o x e s i
pakten	k
parashikimin	p a r a s i k i m i n
performancës	p e r f o r m a n C i 3
peticion	p e t i i o n
pjesëve	ph~ E o v e
prezantua	p r e z a n t u a
prishin	p r i S i n
profesorit	p r o f i S o r i t
pushtuesit	p u S t u e s i t
përcjellin	a p i r Sx~ e ly~ i n
përjetoi	a p i r E t o i
qarku	q o m i 7 k u
rrogë	r o g 3
shko	S k o
shokuar	S o k u a r
shoqërie	S o x 3 r i e
shtatzëna	s k i a c 3 n a
shtynë	S T
substancë	s u b s t a n C i 3
terreni	t e r
urie	u r i e
xhirimet	S b a  e
zgjidhjet	z gy~ i d
zërit	z 3 r e
Deda	e d a
Eduart	d u a r
Gjuriq	x u r i
Hetimi	e t i m i
Insajderi	s a d E r i y a
Kane	a n e
Miqtë	i k t 3
Postës	o s y
Pres	r e
Projektligjit	t o n o x e k L e gy~ i t
Selmani	e l m o n i
Sëmundja	m i j a
Turp	u r p
Ura	r a
Vendimin	e nd~ i m i n
Videoja	d e o h a
Votimi	o t i m i
Vuçiqi	u i k i
Zelanda	e l a n d a
aksidentalisht	a k s i d e n t a l i sC~ t i
aplikohen	a p l i k o h e n
arta	i t a
botim	b o t i m
buzëqeshur	b u z 3 E S u r
copa	k o p a
deklarim	d e k  e m
dine	d i n e
dëmtimin	d b t i m i n
ekspertizë	e k 8 p e n e r t i z 3
gazetares	g a z e t a r e
gjerat	g E n a
harroj	h a r n d a
incidentin	m a i d e n t i n
klikime	k l i k i m e
kokat	k o k a t
komitetit	k o m i t e t i
kushtonte	w o j  th~ o n t e
kërkimi	k 3 r k i m i
lekëve	l E k E 3 v e
lëvizte	l 3 p i t e  t e
mbajtura	b a h t u r a
mbështes	b e s t e
mekanizma	m e k a n i z m a
metodologjinë	m e t o d o l o g j i
minimum	m i n i m u m
mysafirët	m 3 s a f i r e
mësimdhënësve	m E b u p 8 3 n 3 s v e
ndotur	d o t u r
ndërruan	nd~ 3 r u a n
ngacmuar	N a T e a r
njoftohet	nj~ o f t o h e t
njëherit	T a h e r i k
poezinë	p o d i
prioriteti	p r i o r i t e t i
qendron	q o n d r o n
reflektojnë	r e f l e k t o x n E
rëndësisë	r 3 n d e s i s 3
shfrytëzimin	S f cy~ y  m i n
stimuluese	s t i m u l u e s e
tabelën	t a b e l 3 n
thata	th~ a t a
traditës	i t r i w y
trondit	t r o n d i t
urimi	u r i m i
veprimtarive	f e p l i m t a r i v E
vepronte	f e p r o n t e
zodiakut	z o dy~ a k u t
çerekfinale	e r e k f e f i n a l e
Azinë	z i
Beteja	e t e
Bremen	r E m E n
Elezi	l e z i
Federal	e d e r a l
Gjërat	T a n a
Gostivari	o s t i b a r i
Guardian	u a r dy~ a n
Hysen	y e n
Izmir	z m i*
Jenner	e n n 3 q
Koca	o k a
Kërkesat	3 r k e s a t
Lindja	j a
Melania	e l a n i a
Mitrovica	i t r o v i k a
Oerd	e r d
Pallati	a l l a t i
Palët	a l 3
Pushteti	u s t e t i
Shqipe	h e e p e
Suksesi	u k s e s i
aprovimin	a p r o v i m i n
arrinin	m a n i n i n
bllokoi	b l l o k o i
britanikët	b r i t a n i k 3
cent	C E n t
cështje	k e s jw~ e
dinamikën	d i n a m i k a n
dobësi	d o b e s i
enët	e n E
euros	u r o s
fajtorë	f a h t o r 3
faturë	f a t u r 3
fiks	f i k
fikse	f i k s e
formimi	f o r m i m i
garave	g a r a v e
gjendemi	gy~ e n d e m i
gëzimi	g 3 z i m i
habit	h a b i t
inkurajuese	m u r a h u e s e
kandidaturën	k a n d i d a t u r e n
kontradiktore	k o nt~ r a d i k t o r e
kryej	k r y a x
kërcënimeve	k 3 r 3 n i * v e
largohem	l a r  h e m
luksin	l u k s i n
lëkura	l e k u r a
madhësi	d e s i
mandatet	m a nd~ a t e
masakrës	s m a s k r e
mbrëmshme	mb~ r b S m e
mirëmbajtjen	m i r e mb~ a th~ i
mister	m i s t e r e n
nënshkrimi	n 3 n S k l i m i
opsionet	o p s i o n e t
pacientja	p a k i e n t j a
