de	d e
exercito	" e r i t o
extensión	e S X o n
filmografía	b i l m o g r a f i a
gobierno	g o b i E a n o
instalacions	s t a l a i o* s
libres	b r e
mal	m a l
meridional	m e r i d i o n a l
modo	m o t o
puent	p u e n t
treballar	t r e b a y a r
volumen	v o l u m e n
Deriva	r i v a
Les	m 3 s
Manuel	a n
Press	r e s
alemana	a l 3 m a n a
anyada	5 a d a
arabes	a r a b e sy~ s
branca	b r a C a
chefe	C e f e
civil	i v i l
clara	k l a r a
colonias	k o l o n i a s
denominacions	d e n o m i n a g a o* s
documentos	d o k u m e n t o s
eslavos	e s l a v o s
familias	f a m i l i a s
fundamental	f u nd~ a m e n t a l
melitars	m e l i t a r
memoria	m e m o r i a
mm	m m
negra	n e g r a
nuevos	n u e v o s
pai	p a i
paz	p a z
pende	p e n d e
posibilidat	p o s i b i l i d a t
principio	p r i n k i p i o i
puyar	p u y a r
qualas	k a l a
quedó	k e d o
real	r e a l
recursos	r E C u r s o s
sale	s a l e
seguindo	s e g i d o
selvas	s e l v a s
sudeste	s u d a* 7
territorial	t e r i t o r i a l
tienga	t i E n g a
tradicionalment	i t r i w C i w r o n a l m E n t
unos	u n o s
Antimás	t i m a
Congreso	o N r e s o
Corona	o r o n a
Frusciante	r u s k i a n t e
García	a r T i a
Italia	t a l i a
Mas	a s
Nomás	o m a q a
Oriental	r i e n t a l
Zelanda	e l a n d a
belunas	b e l u n 3 s
calor	k a l o r
choven	C o p e n
chugadors	C o g a d o r
clasico	k l a s i k o
components	k o m p o n e n c
comportamiento	k o m p o r t a m i e n t o
conservación	r o n e r v a i o n
corresponden	k o r e s p o n d e n
cuentas	kw~ e n t a s
dengún	i s u r u n
escudo	e s k u d o
fenomeno	f e n o m E n o
imperio	i m p e r i o
mención	m E n C i w o n
menors	m E n o r
moderna	m o d E a n a
moderno	m o d E a n o
momento	m o p i N t o
peso	m i o
politicos	p o l i t i k o s
poseye	p o s e y e
principalment	p r i n k i p a l m E n t
pronunciación	p r o n u n C i w a i o n
propias	p r o p i a s
remonta	r E m o* t a
resultato	r e s u l t a t o
tardi	t a r d i
templo	t 3 mp~ l o
valor	v a l o r
Anque	n kw~ i
Centro	e n t r o
Dos	o s
Federación	e d e r a i o n
Mundo	u n d o
Museu	u s e u
aconsiguió	a k o s i g i o
avions	a g o y o* s
buen	b u e n
calidat	k a l i d a t
concentración	r o n C i tr~ a i o n
conoixitas	r o n o i S i t a s
considerata	k o s i d i n a
conta	r o n t a
culto	k u l t o
decenio	d e 7 o
dimensions	d i * ns~ i o* s
economico	e k o n o m i  o
emplegato	3 mp~ l e 7 a t o
escribir	e s k b i r
escrita	e s k r i t a
frase	f r a s e
historico	h i s t o i cy~ o
ilesias	i l e s i a s
incluyen	i n k l u y e n
institución	s t i t u i o n
ir	i r
luent	l u e n t
mesura	m e s u r a
negro	n e g r o
nobles	n o b l a m 3 s
nucleyar	n u k l e y a r
periglo	p e r i L o
personache	p e r s o n a C e
pieza	p y E z E
poca	p o k a
producen	p r o C u s e n
quiere	k i e r e
sers	s e r
subchuntivo	s u b w a n t i b o
transmisión	i t r i s m i s i o n
troles	t r o l e
valura	v a l u r a
vin	v i n
visto	v i s t o
vivir	v i k w 3 L i
Copa	o p a
España	s p a 5 a
Le	e
Palacio	a l a i o
Portugal	u r t u g a l
administrativa	a d m i n i s t r a t i v a
anyal	5 a l
aviento	a g o y e n t o
britanico	b r i t a n i k o
campión	k a f u k o n
cautivo	k a u t i b o
chirmán	C i r N n
cofadría	k o f a d r i a
conoixer	r o n o y " e a r
conquiesta	r o n k i e s t a
dició	d i k i o
diferencias	d i f e r e n C i w 3 s
esdevinió	e s b v i n i o
fabrica	f a b r i k a
famosa	f a m o s a
fuella	f u e y a
internacionals	i n t E r n a g a o n a l
investigación	i n v e s t i g a i o n
lacos	l a k o s
levan	l e b E n
lingüistico	l i N 3 i s t  o
lurs	l u r
menistro	m E n i s t r o
metodos	m e t o d o s
muralla	m u r a ly~ a
nueit	n u e i t
para	p a r a
permiten	p e r m i t e n
perén	p e r e n
plegoron	p l e g o r o n
polacos	p o l a  o s
profesionals	p r o f i S i o n a l
quedan	k e d a n
quedoron	k e d o r o n
razons	r a z o* s
scientifica	S e e n t i f i k a
semana	s e m a n a
sexual	s e S u a l
sirven	s i r a b e n
solar	s o l a r
tant	t a n t
terrestre	t e r a* 7
vocabulario	v o k a b u l a r i o
Academia	k a d e m i a
Bellas	e y a
Club	l u b "
Constitución	o s t i t u i o n
Lituania	i t u a n i a
Meya	e y a
Pireneus	i r e n e u s
Tot	o t
Tres	r e
Viena	i e n a
allora	a ly~ o r a
caracters	k a r a k t E r
castellana	k a s t e l a nz~ a
centros	C E n t r o s
clamada	k l a m a d a
colección	k o l e k i o n
comercio	k o * i o
conoixen	r o n o i S e n
conservan	r o n e r w a n
cubierta	k u b i e r t e
culturas	k u l t u r a s
derivaus	d e r e  u s
dioses	d i o e
dotze	d o c e
escribió	e s k m a Ch~ o  o
escritos	e s k r i t o s
etimolochía	e t i m o L o C i a
evitar	p i r i t a r
fiesta	f i e s t a
individuos	i n d i v i d u o s
industria	i d u s t r e
leyenda	l e y e n d a
literalment	t E r a l m E n t
longaria	l o N g a r i a
manca	n k a
maximo	m a x i m o
mezcla	m e z k l a
minchar	m i n C a r
musulmana	s u l m a n a
nacionals	n a g a o n a l
ocasions	k a s a  o* s
orichens	u r i t a C e n
parabras	p a r a b a s
periodos	p e r i o d o s
planas	p l a y i n 3 s
plegau	p l e 7 a u
poemas	p o e m a s
rasgos	r a s g o s
revista	r E i s t a
sexo	s e g o
usuarios	u s u a r i o s
versant	e r s i
Bell	E l o
Cambridge	a m b r i d g e
Chesús	h e s u
David	a b i d
Isabel	s a b e l
Suecia	k i k " i a
Torre	u r
Ya	a
aduya	a d u y a
alas	a l a
altras	a l a s
artistica	i t i s t i k a
campanya	k a m a 5 a
chusto	C u s t o
conflictos	r o n f l i k t o s
creya	k r e y a
curto	k u r t o
descendients	d e s k e n d i E nt~ u
diners	d i n e r
do	d o
documenta	d o k u m e nt~ a
educación	e d u k a i o n
eixemplos	e i  3 mp~ l o s
especials	e s p E kh~ a m e* i a l
etapa	e t a p a
feitas	f e i t a s
formando	f o r m a n d o
fuertes	f u e r t e
identidat	d e n t i d a t
ideyas	d e y a s
liquido	l i k i d o
naixió	n a i n o
necesidat	d e* k a* b e s i d a t
oracions	o r a i o* s
partitos	p e r t i t o s
producir	p r o C u l
programas	p r o g r a m a s
publicó	p u b l i C
quimica	k i m i k a
qué	k e
qüestión	q 3 e s t i o n
radices	r a d i k m 3 s
rechistro	r E c  s t r o
rusa	r u s a
sabe	s a b e
significato	s i g  k a t o
sinyal	s i n y a l
sufixos	s u f i S o s
tabla	t e y a n u s
tecnolochía	t e k n o l o C i a
tendencia	t e n d e n C i w a
tornan	t o r n a n
tuca	t u k a
verbal	e r b a l
árbols	g b o l
Alifonso	l i f o s o
Consellero	o* s  e r o
Esto	s t o
Huesca	u e s k a
Mequinenza	e k i n a m b e n z a
Mont	n t a 5 a
Natural	a t u r a l
Occidental	kh~  i d e n t a l
Saturno	a t u r n o
Toponimia	o p o n i m i a
agosto	a g o s t o
armenios	a r m E n i o s
brancas	b r o m a s a
cadaguna	k a d a g u n a
cheneración	C e n e r a i o n
chira	C i r a
conchunta	r o n ch~ u n t a
contexto	r o n t " t o
els	e l
emplegan	3 mp~ l e g a n
entidat	e n t i d a t
expansión	" k ns~ i o n
favor	f a v o r
fisica	f i s i k a
fonema	f o n i m a
fusión	f u s i o n
gas	x a s
humán	h u m a n
influencias	i n f n i n C i w 3 s
institucions	s t i t u i o* s
interpretación	i n t E r p r e t a i o n
latins	l a t i n
luita	l u i t a
moneda	m o n e d a
numerosas	n u m e r o s a s
octubre	o k t u o*
paper	p a  r
parar	p a r a r
perque	p e r kw~ i
piel	p i e l
posibles	p o s i b l e
prencipios	p m i n C i i p i o s
reciben	r E c i b e n
revolución	r E f o b e l i o n
ribera	b e r a
sala	s a l a
substantivo	s u b s t a n t i b o
superiors	s u p e r i o r
tamas	t o m o s
tarde	t a r d e
temporal	t e m p o r a l
teorías	t e o r i 3 s
tipico	C o* a* o
urbán	u r b a n
veyen	f e y e n
á	a
Atlas	L a s
Beluns	e l u n
Biblioteca	i b l i o t e k a
Cassini	n i i n i
Colección	o l e k i o n
Luna	u n a
Mayor	a y o r
Pirineo	r i i o
Segunda	e g u n d a
amuestran	a m u e s t r i
artistas	i t i s t a s
artistico	i t i s t  o
azul	a z u l
carne	k a r n
cerca	C E r k a
chenerals	C e n e r a d
chovens	C o p e n
clasica	k l a s i k a
complexo	k o m p l " o
considerar	k o s i d e r a r a
consonant	k o Th~ o n a nt~
contrario	r o n t r a r i o
cursas	k u r s a s
definición	d e f i n i C y o n
deixó	d e i  o
electrica	e l e k i cy~ a
escala	e s k a l a
esdevenió	e s i s u s k a i o
espacial	e s p a k i a l
espanyols	e s p a 5 o l
fegura	f e g u r a
figura	f i g u r a
finalidat	f i n a l i d a t
freqüencia	f r e k 3 i n C i w a
fundo	f u n d o
hombre	h o mb~ r e
imachens	i m o t a C e n
independients	i n d e p e n d i E nt~ u
interpretacions	i n t E r p r e t a i o* s
matrimonio	m a t r i m o* i o
mesmas	m e s m a s i
mil	m i l
morió	m o r i o
motivos	m o t i v o s
municipals	m u n i C i p a d
organos	u r g a n o s
parlan	p a l a n
partius	p e r t i u s
piedras	p i e d r o s
plan	p l a n k o
podrían	p o ndr$ i
portugués	p o r t u g e
prenioron	p r e n i o r o n
qualo	k a l o
refirme	r e f i r m e
relativa	r e l a t i v a
representar	r e p r e s e n t a r
respuesta	r e s p u e s t a
sinyals	s i 5 a d
tipica	t e p i k a
ubierto	u b i e r t o
verda	e r d a
viello	v i e l o
viene	v i e n e
viento	v i e n t o
web	w e
zaguerías	z a g e r i 3 s
Comité	a
División	i v i s i o n
Esquema	s k a m a
Estas	s t a s
Existe	S i s t e
Fabla	a b l a
Frank	r a n
General	e n e r a l
Luenga	u e n g a
Madrid	a d r i d
Países	a i e
Presenta	r e s e nt~ a
Salvador	a l v a d o r
amaneixió	a m a n e i n o
animal	a n i m a l
baixas	b a i S o s
buenas	b u e n 3 s
cadagún	k a d a g u n
cantón	k a n t o n
clubs	k l u b
collas	k o l l a
comparanza	k o m a r a n c a
competicions	k o m p e t i i o* s
comuna	k o m u n a
conoixius	r o n o i n u s
continental	r o n t i n e n t a l
corazón	k o r a z o n
cristiana	k r i s t i a n a
cruz	k r u
debe	d e b e
deixa	d e i  a
derivan	d e r i w a n
desapareixer	d e s a p a r e i  e r
emplegau	3 mp~ l e 7 a u
emplegos	3 mp~ l e g o s
encomenzó	e nC~ o m e n z o
esportes	e s p o r t e
estudeos	e s t u d e o s
expresión	" p r e s i o n
fablants	f a b l a n c
femenina	f a m E n i n a
formó	f o r o b e
grafía	g r a f i a
guerras	g e r a s
igualment	i g u a l m E n t
metano	m e t a n o
minerals	m i n e r a d
mitat	m i t a t
modernos	m o d E a n o s
motivo	m o t i b o
nativos	n a t i v o s
necesidatz	d e* k a* b e s i d a c
normal	n o r m a l
obtener	o b t 3 n 3 q
organismos	u r g a n i S m o s
pachina	p a C i n a
paisache	p a i s a C e
partidos	p e r t i d o s
pelo	p e l o
pobreza	p o b r E z E
podió	p o d i o
posteriorment	p o s t E r i o r m E n t
profesional	p r o f i S i o n a l
proposición	p r o p o s i i o n
ra	r a
reinos	r e i n o s
sierras	s i e r a s
suposa	s u p o s a
tecnicas	t e k n i k a s
verbals	e r C i C
verde	e r d e
Antis	t i s
Anvista	n i s t a
Fútbol	o k u t b o l
Mar	a r
Seu	e u
Socialista	T i a l i s t a
William	i ly~ i a m
amplaria	a m p l a r i a
articlo	i t i k l o
astí	a s t i
baloncesto	b a l o n C i e s t o
barrio	b a r o
basa	b a s a
belún	b e l u n
benasqués	b e n a s kw~ e
caballo	k a b a l o
cambeos	k a m b e o s
caza	k a z a
chacimientos	C a kw~ e i m i e n t o s
charrar	C a r r a r a
chents	C e n c
cheografica	C e o g r a f i k a
cognato	k o g i E 5 a t o
component	k o m p o
conchunción	r o n ch~ u n C i w o n
conciertos	r o n C y e r t o s
conoixencia	r o n o i S i n C i w a
conte	r o n t e
cuerpos	kw~ e r p o s
curva	k u r v a
decidió	d e 7 dy~ o
deixar	d e i  a r
describe	d e s k b e
discografica	d i s k o g r a f i k a
discos	d i s k o s
distinción	d i s t i n C i w o n
doncas	d o* a s a
du	d u
espectadors	e s p E kh~ a m e* a d o r
europeus	u o p e u s
familiar	f a m i l i a r
fauna	f a u n a
foneticas	f o n e t i k a s
guitarra	g i t a r a
hipotesi	h i p o t e s i
instrumento	s t r u m e n t o
licencia	l i k i n C i w a
lisos	l i s o s
literaria	t E r a r i a
mamiferos	m a m i f e r o s
masculín	s k u l u N n
medios	m e d i o s
n	n
necesariament	d e* k a* b e s a r i a m E n t
obchectivo	o b C e k t i b o
oral	o r a l
pensar	p e i r a r a
penya	p e n y a
perder	p e r d e r
piezas	p y E c~ 3 s
pista	p i s t a
pistas	p i s t a s
potencia	p o t e n C i w a
presentar	p r e s e n t a r
pronombres	p r o n o mb~ r e
radio	r a d i o
rechional	r e C i o n a l
recibir	r E c i b i r
relichiosas	r e l i C i o s a s
repuis	r e p u i s
restos	r e s t o s
rota	r o t a
tenendo	t e n e n d o
terrestres	t e r  u z i
uellos	 o s
unico	u n i C o
urbana	u r b a n a
Alavez	l a v e z
Aragonés	r a g o n e
Can	a n
Castellón	a s t e l l a o n
Diario	i a r i o
Espanyola	s p a 5 o l a
Europea	u r o p e a
Gara	a r a
Huei	u e i
Liga	i k a
Puet	u e ty~
York	u r
amaneixen	a m a n e i  e n
artificial	a r   i a l
autoridatz	a u t o r i d a c
auxiliar	 i l i a r
camins	k a m i n
cantaire	k a nt~ a i r
centrals	C E n tr~ a d
cercuito	T E r a kw~ i t o
chineses	C i n e e
clama	k l a m a
concello	r o n C i e l o
continar	r o n t i n a r
correspondient	k o r e s p o n d i e n t
curso	k u r s o
definir	d e f i n i r
deixando	d e i  a n d o
destacan	d e s t a k a n
diminutivo	d i m i n u t i b o
documentación	d o k u m e n t a q i o n
duque	d u kw~ i
ellos	 o s
esporte	e s p o r t e
estrelas	3 S t r e l a
europeas	u o p e a s
facilment	f a c i l m E n t
fembras	f a m b a s
fisico	f i s i k o
fizo	f i r o
frontera	f r o n t E r a
helenismos	h e l e n i S m o s
historicos	h i s t o r i k o s
leyer	l e y e r
macizo	m a c i r o
maratón	r a t o n
marcas	m a* r k a s
marcha	m a* r C a
mecanica	m e t a n i k a
mensaches	m e sh~ 3 C m 3 s
metodo	m e t o t o
midas	d 3 s
mira	m i r a
mui	m u i
norueste	n o r u a* 7
orichinals	u r i C i n a l
paretz	p a r e c
participoron	p e r t i k i p o r o n
particlas	p e r t i k l a
patrimonio	p a t r i m o* i o
personal	p e r s o n a l
pintura	p i t u r a
plans	p l a y i a
potencial	p o t e n C i w a l
publicación	p u b l i k a i o n
puertas	p u e r t o s
punta	p u n t a
reacción	r e a k i o n
relacionau	r e l a c i o n a u
relichioso	r e l i C i o s o
respectivament	r e s p E kh~ a m e* t i w a* m E n t
retz	r e c
sectors	s e k t o r
software	 tw~ a r e
standard	s t a n r d
tenioron	t e n i o r o n
tractato	tr~ a k t a t o
trescruzato	w a m i s k r u w Z a t o
ueste	u a* 7
variable	v a r i a b l e
vei	f e i
verdat	e r d a t
veyió	v b a o
visible	v i s i b l e
vive	v i v E
Alpes	l p e 7 e s
Bavera	E b e r a
Estato	s t a t o
Finlandia	i n l a n d i a
Gramática	r a m e t i k a
Grecia	r E c i a
Gredos	r e d o s
Khan	h a n
Londres	o ndr$ e
Nuestra	u e s t r a
Pedro	p i e d r o
Ramón	a m o n
Roya	o y a
Sol	o l
Sovietica	o v i e t i k a
Suiza	k i c a
Tradicionalment	r a d i k i o n a l m E n t
abril	a b " r i l
aconseguir	a k o n e g i r
actos	a k t o s
agricola	y i cy~ o l a
antimás	a n t i m a
autoridat	a u t o r i d a t
bizantins	b i s a n t i n
canals	k a n a l
castellano	k a s t e l a nz~ o
celebra	k e l e b r a
censo	C E s o
chacimiento	C a kw~ e i m i e n t o
cierto	C y e r t o
clamato	k l a m a t o
conflicto	r o n f l i k t o
consumo	k o s u m o
continent	r o n t i n e n t
describir	d e s k b i r
distinguir	d i s t i N g i r
doble	d o b l a e
documentau	d o k u m e n t a u
efectos	e f e k t o s
embotada	e m b o t a d a
escritura	e s k r i t u r a
eslavo	e s l a v o
esleito	e s l e i t o
esto	e s t o
etnografico	e t n o g r a f i k o
fierro	f i e r o
frisón	f r i s o n
fuego	f u e g o
fuese	f u e s e
funcionamiento	f u n C i w o n a m i e n t o
ganar	g a n a r
habría	h a b r i a
hemisferio	h e m i s f e r i o
hese	h e s e
instrumentos	s t r u m e n t o s
larga	l a r g a
lengua	l 3 N u a
masclos	s k l o s
mayors	m a y u r
meter	m e t e r
musicals	s i k a d
nomadas	n o m a d 3 s
normas	n o r m a s
paret	p i
parlar	p a l a r
patrón	p a t r o n
pinturas	p i t u r a s
platos	p l a y i t o s
plazas	p l a y i c~ 3 s
podioron	p o d i o r o n
prenen	p r e n e n
primerías	p r i * i 3 s
pus	p u s
quatreno	k a t r e n o
radiación	r a d i a i o n
realizar	r e a l i s a r
relacionaus	r e l a c i o n a u s
remontan	r E m o* t a y
replega	r e p l e g a
reptils	r e p t i l
rumán	r u m a n
salir	s a l i r
scientifico	S e e n t i f i k o
seguir	s e g i r
sirve	s i r a v e
tozal	t o z a l
trol	t r o l
variacions	v a r i a i o* s
viviban	v i v i b a n
vías	v i 3 s
Autonoma	u t o n o m a
Categoría	a t e g o r i a
Chapón	h a p o n
Chunto	h u n t o
Chusé	h u s e
Estos	s t o s
Felipe	e l i p e
Ixa	S a
Ixo	t "
Luis	k i s
Rumanía	u m a n i a
Valle	a l
Villa	i l l a
World	u r l
abaixo	a b a i S o
altos	a l t o s
amigos	a m i g o s
arco	a r k o
biens	s o N
bulgaros	l a r o s
caracteriza	k a r a k t E r i c a
casco	k a s k o
celtas	C E l t 3 s
chermanismos	C e r m a n i S m o s
complemento	k o m p l E m E n t o
completa	k o m p l e t a
constitución	k o s t i t u i o n
corrients	k o r e n c
costato	k o s t a t o
curtos	k u r t o s
cómo	b r u m o
dau	d a u
diario	d i a r i o
diccionario	d i k i o n a r i o
diftongo	d i f t o n g o
dura	d u r a
equipos	e k i p o s
escritas	e s k r i t a s
esportiva	e s p o r t i v a
estase	e s t a s e
exposición	" p o s i i o n
fabricación	f a b i cy~ a i o n
famoso	f a m o s o
finals	f i n a l
fruito	f r u i t o
historiadors	h i s t o r i a d o r
hora	h o r a
imperial	i m p e r i a l
indicar	i n d i k a r
intrés	i n t r e
locucions	l o k u k i o* s
maquinas	m a k i n 3 s
materia	m a t e r i a
mete	m e t e
mirar	m i r a r a
misión	m i s i o n
monts	m o* t a 5 a
muertos	m u e r t o s
nieu	n i e u
peixes	p a i S 3 m 3 s
pendendo	p e n d e n d o
pintor	p i n t o r
popularidat	p o p u l a r i d a t
preso	p r e s o
procesión	p r o k o n
prochectos	p r o C e k t o s
profesor	p r o f i S o r
protagonista	p r o t a g o n i S th~ a
ret	r e t
rock	r o k
romanico	r o m a n i k o
ropa	r o p a
salita	s a l i t a
sangre	s a n g r e
scenario	s k e n a r i o
seguiu	s e g i u
sigan	s i g a n
siguen	s i g u e n
sinyor	s i n y o r
sovietico	s o v i e t  o
termino	t E r m i n o
termín	t E r m l e
terrenos	t e r  o s
transición	i t r i s i i o n
tribus	t r i b u s
universal	u n i v e r s a l
universidat	u n i v e r i d a t
vez	p e m u
viella	v i e y a
visigodos	v i s i k a t o s
Adintro	d i t r o
Baixos	i S o s
Campionato	a m p i o n a t o
Chusticia	h u s t i i a
Concello	o C E l o
Consultato	o* s u l t a t o
Diputación	i p u t a i o n
Don	o n
Fuent	k i k " a 5 a
Gobierno	o b i E a n o
Grupo	n i n o
Hongría	o N r i a
Kirk	i r
Maria	a r i a
Mexico	e n  o
Oxford	S h d
Parlamento	a r l a m e n t o
Peninsula	s u l a
Primera	r i *
Pueden	u e d e n
Ribagorza	i b a g o L a
Street	a
actriz	a k t r e
anyals	5 a d
aplicacions	a p l i k a i o* s
baixar	b a i S a r
be	b e
belatros	b e l a t r o s
bispe	b i s p e
blancas	b l a n k o 3 s
bomba	b o m b a
caballos	k a b a l l o s
cabalto	k a b a l t o
cadena	k a d e n a
capaz	k a p a z
catolicos	k a t o l i k o s
chermanico	C e r m a n i k o
chirmans	C i r
ciclo	C i w C i l o
coda	k o d a
companyers	k o mp~ a 5 e r
composicions	k o m p o s i i o* s
concreto	r o n C i r e t o
controlar	r o n t r o l a r
costera	k o s t E r a
creixer	k r e i  e r
cubilar	k u b i l a r
decisión	d e 7 i s i o n
dentrada	d e n t r a d a
depresión	d e p r e s i o n
derivato	d e r i v a t o
dió	d i o
dolars	t o r a r
emplega	3 mp~ l e g a
esdevenindo	e s i s u s k n a S i
establió	e s t a b l i o
estadio	e s t a d i o
estudeo	e s t u d e o
exclusivament	" k l u s i w a* m E n t
existiba	" i s t i b a
facilidat	f a c i l i d a t
factors	f a k t o r
feble	f e b l e
federal	f e d e r a l
fenomenos	f e n o m E n o s
fundador	f u n d a d o r
habitadors	h a b i t a d o r
habito	h a b i t o
hectarias	h e k t a r i a s
historicas	h i s t o r i k a s
humanas	h u m a n a s
iba	i b a
indicativo	i n d i k a t i b o
indichenas	i n d i t a C e n a s
interpretar	i n t E r p r e t a r
letras	l E t r 3 s
lexicos	l E n  o s
masiau	s i a u
menester	m E n e s t e r e n
menutos	m E n u t o s
militar	m i l i t a r
mosica	s i k a
motor	m o t o r
muro	u d o
musclos	s k l o s
noble	n o b l a e
ocupación	o k u p a i o n
pareixito	p e r a i S i t o
participios	p e r t i k i p i o s
partz	p e r t
permitió	p e r g i v o
perteneixe	p e r a i S 3
perteneixen	p e r t e n e i  e n
plato	p l a y i t o
popularment	p o p u l a s a y m 3 n t
pos	p o s
prenendo	p r e n e n d o
privar	p r i v a r
pronuncia	p r o n u n C i w a
publicacions	p u b l i k a i o* s
publicato	p u b l i k a t o
publicau	p u b l i k a u
pues	p u e
raso	r a s o
recient	r E C y e n t
recients	r E C y e n c
reconoiximiento	r E c o n o i x i m i e n t o
recuperar	r E C u p e r a r a
referencias	r e f e r e n C i w 3 s
reinato	r e i n a t o
relichions	r e l i C i o* s
relichiosos	r e l i C i o s o s
representant	r e p r e s e n t a nt~
representants	r e p r e s e n t a n c
respective	r e s p E kh~ a m e* t i v E
riqueza	r i k E z E
rurals	r u r a d
seguida	s e g i d a
sudueste	s u d u a* 7
tanyer	t a 5 e r
teniu	t e n i u
tensión	t e s i o n
tornada	t o r n a d a
torres	t o r m 3 s
totalment	t a t a l m E n t
tractau	tr~ a k t a u
ubierta	u b i e r t e
variar	v a r i a r
vien	v i e n
vita	v i t a
zifra	z i f r a
Agustín	g u s t i
Armenia	s a y m 3 n i a
Bretanya	r e t a 5 a
Cinca	i n k a
Española	s p a 5 o l a
George	e o r g e
India	n t i a
Louis	o u i s
Media	e d i a
Pueyo	u e y o
Red	3 d
Serbia	e r b i E a
Sistema	i s t e m a
Todas	o d a s
Turolenses	u r o l e n e
abundants	a b u n d a n c
acabaus	a k a b a u s
actuacions	a k t u a i o* s
anglesa	a N l 3 s a
armas	a r m a s
arredols	m a n e d o l
aspectos	a 8 p e n e k t o s
autonoma	a u t o n o m a
caixa	k a i x a
carta	k i t a
casó	k a s o
chelera	C e l e r a
chinés	C i n e
colonia	k o l o n i y a
considerada	k o s i d e r a d a
diferiencia	d i f e r i n C i w a
dividita	d i v i d i t a
divisions	d i v i s i o* s
ducato	d u k a t o
durando	d u r a n d o
economicos	e k o n o m i k o s
encomienza	e nC~ o m i e n z a
entibo	e n t i b o
esfensa	e s f s a
establita	e s t a b l i t a
formada	f o r m a d a
global	g l o b a l
gols	k o r
guión	g i o n
historicament	h i s t o r i C i C e n t
individual	i n d i v i d u a l
inferiors	i n f e r i o r
latinas	l a t i n 3 s
libertat	b e r t a t
luego	l u e g o
malautía	m a l a u t i a
masas	m a s a s
mediterrania	m e d i t e r a n i a
mercato	m e r k a t o
mercau	m e r k a u
molimento	o l i m e n t o
nacions	n a g a o* s
nombrato	n o mb~ r a t o
normalment	n o r m a l m E n t
ocupaba	o k u p a b a
orientación	u r i n t a i o n
paisaches	p a i s a C m 3 s
particularment	p e r t i k u l a s a y m 3 n t
pasando	p a s a n d o
pasoron	p a s o r o n
plegan	p l e g a n
portalada	p o r t a l a d a
posicions	p o s i i o* s
precipitación	p r E c i p i t a i o n
prefixo	p r e f i S o
presonal	p r e s o n a l
pro	p r o
rechistros	r E c  s t r o s
relaciona	r e l a c i o n a
reproducción	r e p r o C u k i o n
republica	r e p u b l i k a
reserva	r e s E r v a
revuelta	b e b u e l t a
récord	r e k o r d
serán	s e r a n
significaus	s i g  k a u s
sinonimo	s i n o n i m o
situacions	s i t u a i o* s
subespecie	s u b e s p E kh~ a m e* i e
substantivos	s u b s t a n t i v o s
sustantivos	s u s t a n t i v o s
tampoco	t a m p o k o
tradicions	i t r i w C i w r o* s
trafico	tr~ a f i k o
uello	u e l o
urbans	u r b i s
valors	v a l o r
victimas	v i k t i m a s
vivió	v i v i o
Atra	t r a
Barranco	a r a*  o
Chaime	h a i m e
Chapeto	h a p e t o
Chunta	h u n t a
Fernández	E a n a n d e z
Ferrando	e r a n d o
Imachen	m a E N
Ixe	S 3
Jean	e
Literatura	i t E r a t u r a
Loís	o i
Mesmo	e s m o
Más	a s
Orden	r d e n
Pablo	a b l u
Penya	5 e 5 a
Rei	e i
Representa	a p r e s e nt~ a
Robert	o b e r
Sinyora	i n y u r a
Tanto	a n t o
Tomo	o m o
agricolas	y i cy~ o l a
amplament	a m p l a m E n t
apareixen	a p a r e i  e n
aquell	a q u "
britanicos	b r i t a n i k o s
cadiera	k a d i e r a
calcula	k a l k u l a
cambras	k a mb~ a s
campionato	k a m p i o n a t o
cans	k a*
cantos	k a n t o s
capiella	k a p i e y a
caracteristico	k a r a k t E r i s t  o
cargos	k a r g o s
catalana	k a t a l a n a
cayer	k a y e r
chugador	C o g a d o r
cielo	C y e l o
civilización	i v i l i r o i o n
cobalto	k o b a l t o
coincide	k o m a i d e
coincidindo	k o m a a y a S i
combate	k o mb~ a t e
combinación	k o mb~ i n a g a o n
completo	k o m p l e t o
conchuncions	r o n ch~ u n C i w o* s
condatos	r o n d a t o s
condición	r o n d i i o n
constant	k o s t a nt~
constituye	k o s t i t u y e
construyó	k o s t r u a
contar	r o n t a r
contiene	r o n t i E n E
costas	k o s t o s
creyan	k r e y a n
cristianismo	k r i s t i a n i S m o
crosta	k r o s t a
crovate	k r o w a t e
cubierto	k u b i e r t o
curtas	k u r t o s
cutio	k u t i o
decadas	d e k a d 3 s
der	d e r
despoblato	d e s p o b l a t o
destín	d e s t i
dividen	d i v i d e n
dividito	d i v i d i t o
documento	d o k u m e n t o
emplegando	3 mp~ l e 7 a n d o
erosión	e r o s i o n
escriben	e s k r i b e n
escritor	e s k r i t o r
esdevenir	e s i s u s k a i r
esportistas	e s p o r t i s t a s
estreita	e s t r e i t a
