va 	v a
boʻlmasligi	b o 7 l m a l i g i
dehqon	d e h e o n
dona	d o n a
eni	e n i
fabrikasi	f a b n i t i m a s i
fuqarolik	f b a r o l i k
gʻalla	g 7 a ly~ a
havzalari	h a v z a l a r i
ishini	i S i n i
ittifoq	i t i f o q
jarayonlarni	h a r a y o n l a r n i
kirishadi	k i r i S a d i
klinik	k l i n i k
muallif	m u a l l i f
ota	o t a
oyoq	o y o q
oʻnlab	o 7 n l a b "
oʻsimliklari	o 7 b u p l i k a r i
qarashlari	q a d a C L a r i
qismdan	g w i h s m d a n
qurilmalari	k r e l m o l a r i
raketa	r a k e t a
sanoatlari	s a n o a L a r i
saylov	s a y l o N
shakllanishiga	S a k y a n i S i g a
sistemasining	s i s t e m a s i n i N
sotish	s o t i S
tanasi	t a n a s i
tarkibini	t a r k i b i n i
tashabbusi	t a S a b s i
televideniye	t e l e v i d
Afgʻoniston	f g 7 o n i S th~ o n
Bozor	o z o r
Maxsus	a x u s
Millatlar	i l l a L a r
Paxta	a x t a
Pokiston	o k i s t o n
Qoʻshma	o 7 S m a
Shunda	h u nd~ a
Yevropaning	p i r o p a n i N
belgilaydi	b e l g i l a y d i
birining	b i r i n i N
dorilar	d o r i l a r
doston	d o s t o n
dostoni	d o s t o n i
fikrlar	f i k r l a r
havoda	h a v o d a
hukmron	h u k m r o n
huzurida	h u z u r i d a
ilgʻor	i l g 7 o r
kompyuter	m i p y u t e r
konsert	q o n i k e r
maqsadlarda	m a q s a d  d a
natijasi	n a t i y a s i
nuqta	n u k t a
oʻlim	o 7 l i m
oʻrganilgan	o 7 r g a n i l g a n
parazitlik	p a r a z i L i k
port	p o r
qismlarida	g w i h s m l a r i d a
qurilmasi	k r e l m i s i
sathi	h a t i
sayohat	s a y o h a t
simfonik	s i m f o n i k
sirti	s i r t i
tarqaladi	t a r q a l a d i
tugʻma	t u x 7 m a
ustalari	u s t a l a r i
ustasi	u s t a s i
xizmatlar	S i z L a r
yoʻnalishda	y o 7 n a l i S d a
yuborgan	y u b o r g a n
yuritish	y u r i t i S
AQShda	h d a
London	d o n
Soʻngra	o 7 r a h a
aloqada	a l o x a d a
beriladigan	b e r i l a d i g a n
buyum	b u y u m
dalolat	d a r o r a t
davlatlarning	d a b l a tL~ a X n a q i N
davridan	d a b r i d a n
davrning	d a b r n i N
dramatik	d r a m a t i k
dushman	d u S m a n
ettirdi	e t t 3 r d i
idishlar	d i S l a r
jangovar	y a N o w a r
kishining	k i S i n i N
koʻzda	k o 7 z d a a
makkajoʻxori	m a k x o 7 S o r i
marmar	m a r m a r
mayin	m a y i
milliard	m i l l i a r d
muammolar	m u a m m o L a r
muammolarni	m u a m l a r n i
muassasasi	m u a s s a s a s i
muhitda	m u h i t d a
mustahkamlash	s t a k a m p i S
nazaridan	n a z a r i d a n
nisbati	n i s b a t i
oʻtadigan	o 7 a d i g a n
oʻtkazadi	o 7 t kh~ a z a d i
oʻyinlari	o 7 i n l a r i
qoʻliga	q o 7 l i g a
shahridan	S 3 r i d a n
sifatini	s i f a t i n i
sogʻliqni	s o g 7 l i k n i
sohibi	s o h i b i
tabiatda	t a b i a t d a
transporti	i t r i s p o r t i
turga	t u r g a
ukasi	t u k a s i
xavfsizlik	S a b f s i z b u C o
xoʻjaliklarida	S o 7 j a l i k a r i d a
yotqiziqlari	y o t m u a z i k l a r i
Oʻsimlik	7 X a b u C o
Oʻsimliklar	7 b u p l i k a r
Ye	e
aholini	a h o l i n i
atrof	a t r
aylana	a y l a n a
bajariladi	b a j a r i l a d i
bilib	b i l i
boshqaruvi	s q o m i 7 g a n i
buning	b u n i N
dars	d a r
daryolar	d a r o l a r
dehqonlar	d e h e o n l a r
erda	e r d a
ini	i n i
jildli	h i l d l i
kasalliklarni	k a s a ly~ i k l o r n i
kemalar	k e m a l a r
koʻllar	k o 7 y a r
koʻpaytirish	k o 7 p a i t i r i S
kuzda	k u z d a
mahrum	m a h r u m
milliondan	m i l l i o n d a n
mulki	l k i
musbat	s b a t
noyabr	n o y a b r
ogʻiz	o g i i
olmagan	o l m a g a n
orollar	o r o y a r
ortishi	u r t i S i
ovqatlanish	o w q o L a n i S
oʻrnatiladi	o 7 r n a t i l a d i
qabilalar	q a b i l a l a r
qilishdan	q i l i S d a n
qishda	q i S d a
qismidan	g w i h s m i d a n
qoʻzgʻolon	q o 7 z g 7 o l o n
rahbar	r a h b a r
reaksiyalar	r e a k S i y a l a r
shakllanishida	S a k y a n i S i d a
talabalar	t a l a b a l a r
taxallusi	t a g a l l u s i
tezda	t e z d a a
tilini	t i l i n i
viloyatlari	v i l o y a L a r i
xor	S o r
ya	y a
yaratadi	y a r a t a d i
yerdagi	y e r d a g i
yigʻindisi	y i g i nd~ i s i
yotgan	y o t g a n
zilzila	z i l z i l a
Ibrohim	b r o h i m
Musiqa	u s i k a
Nizomiy	i z o m i
aytish	a i t i S
boʻlganlar	b o 7 l g a n l a r
elementlarning	l E l E m E n tL~ a X n a q i N
fakultetini	f a k u l t e t i n i
folklor	f o l k o r
goʻzal	g o 7 z a l
hayvonlarni	h a y v o n l a r n i
his	h i s
hududiga	h u d u d i g a
ijodining	i j o d i n i N
irsiy	i r s i
kalta	k a l t a
keltirish	k e l t i r i S
kengayib	k e N a y i b a
maktabida	k t a b i d a
maqsadlarida	m a q s a d l a r i d a
olam	o l a m
orasidan	o r a s i d a n
organizmga	u r g a n i z hwy$ a
oshiq	o s i
oshirishga	o s i r i S g a
oʻgʻit	o 7 g i
parranda	p e r a n d a
poligrafiya	p o l i g r a f i y a
poʻstining	p o 7 s t i n i N
qatoriga	q a t o r i g a
rivojlana	r i v o h l a n a
siydik	s i y o d i k
televizion	t e l e p i t e  o n
tizimining	t i  m i n i N
tomoniga	t o m o* i g a
un	u n
usulini	u s u l i n i
vaqtning	v a q t n i N
xam	S a m
xili	S i l i
Usmonli	s m o* l i
asarning	a s e r n i N
asosidagi	a s o s i d a g i
aylanma	a y a nz~ m a
bemorning	b e m o r n i N
boshidan	s i d a n
dir	d i r
elementar	l E l E m E n t a r
epik	a p i k
farqi	f a r q
gi	g i
hayotining	h a y o t i n i N
hayotning	h a y o t n i N
hibsga	h i j g a
hodisasi	h o d e i s a s i
hukmdori	h u k m d o r i
jinoiy	j i n o i
kattaligi	k a t t a l i g i
kiritdi	k i r i t u d i
kompaniyalari	m i p a n i y a l a r i
mebel	m e b e l
mohiyatini	o* h i y a t i n i
muharrir	m u h a r i r
muskul	s k u l
obrazlar	o b r a z l a r
olinishi	o l i n i S i
omborlari	c o r l a r i
qilganlar	q i l g a n l a r
raqamli	r a q o m l i
salmoqli	s a l m o q
shaharga	S a h a r e g a
tillariga	t i l l a r i g a
tolali	t o l a l i
tumanlari	t u m a n l a r i
vodiysida	v o d i y i d a
xulosa	S u l o s a
yasaladi	y a s a l a d i
yuritilgan	y u r i t i l g a n
Dunyo	u n y o
Hindistonning	i n d i s t o n n i N
Imom	m o m
Maydoni	a y d o n i
Men	e n
Movarounnahr	o w a r o S a h r
Suvda	u w d a
Togʻli	o g i 7 l i
analiz	a n a l i z
balandlikda	b a l a nd~ l i k d a
begona	b e g o n a
biron	b 3 r o n
biz	b i z
boʻlishgan	b o 7 l i S g a n
deya	d e y a
differensial	d i f f e r a ns~ i a l
doira	d o i r a
ehtiyoj	e h t i y o x
hujayralari	h u y a 3 r a l a r i
ibtidoiy	i b t i d o i
ifodalash	f o d a l a S
ilohiy	i l o h i
jamoalar	c a m o k a l a r
kapital	k a p i t a l
kiyim	k i y i m
korxonalarida	k o r S o n a l a r i d a
kunga	k u N a
men	m e n
mil	m i l
muzeylar	m u z e y l a r
namlik	n a a b u C o
ortadi	u r t a d i
oʻtroq	o 7 h a z a
pastga	p a s t 3 x a
punkti	p u n k t i
qaytadan	q a i t a d a n
qiziqish	q i z i k i S
qoidalariga	q o m i i d a l a r i g a
qoraqalpoq	q o r a q a l p o q
resurslari	r e s u r w a r i
rezina	r e z i n a
si	s i
sirt	s i r
sozanda	S o z a n d a
surgan	s u r g a n
tashlash	t a S p i S
tashqarida	t a S q a r i d a
togʻlar	t o x 7 l a r
tomonlari	t o m o* l a r i
turkum	t u r k u m
unib	u n i
vosita	v o s i t a
yuqoriga	y u pw~ o r i g a
yurtlarida	y u r L a r i d a
OʻzRda	7 z d a a
Parij	a r i
Respublikada	e s p u b l k a d a
The	e
Turkmaniston	u r m a n i S th~ o n
Urush	r u S
Va	a
apparati	a p p a r a t
asarda	a s e r d a
asarini	a s a r i n i
asoslanib	a s o s l a n i
avlodlari	a b l o 8 7 l a r i
baho	b a h o
birikmalari	b i r i k m a l a r i
borligi	b o r l i g i
dolzarb	t o r z a r
faxriy	f a x r e
haqi	h a q
haykaltaroshlik	h a y k a l t a r o S b u C o
hududidagi	h u d u d i d a g i
imkoniyat	i m q l o l x a t
imperator	i m p e r a t o r
insoniyat	s o n i y a t
jan	y a n
karbonat	k a r b o n a t
kontinental	k o nt~ i n e n t a l
mahsulotda	m a 7 s u l o t d a
mamlakatlarning	m a m l a k a tL~ a X n a q i N
mantiqiy	m a n t i k i y a
maqsadda	m a q s a d a 7
merosi	m e r o s i
mol	m o l
mutaxassis	m u t a g a s s i s
nisbiy	n i S b i
qatnashadi	q a t n 3 S a d i
qismlarini	g w i h s m l a r i n i
qurollar	k r o y a r
rivojlantirishga	r i v o h nz~ i  r i S g a
ruhi	r u h i
tayinlandi	t a y i n l a n d i
texnologiyasi	t e S n o l o g i y a s i
turkman	t u r m a n
turlaridan	t u r l a r i d a n
tutash	t u t a S
yetdi	y e t d i
yilgi	y i l g i
yoʻllarini	y o 7 y a r i n i
yubordi	y u b o r d i
Adabiyot	d a b i y o t
Nemis	e m i s
Tarixi	a r i x i
Universitet	n i v e r s i t e
Usmon	s m o n
Xon	o n
Ya	a
ahamiyatiga	a h a m i y a t i g a
asosda	a s o s d a 7
axloq	a x l o q
bahor	b a h 3 r u
barmoq	b a r m o q
bular	b u l a r
darajadagi	d a r a j a d a g i
dostonlari	d o s t o n l a r i
elektronika	e l e k t r o n i k a
etilib	e t i l i
funksional	f u n k S i o n a l
hayvonlari	h a y v o n l a r i
holatlar	h o l a L a r
idish	d i S
italyan	i t t a ly~
janr	h a n r
jarayonini	h a r a y u n i n i
kalsiy	k a l s i
kirishi	k i r i S i
klasterdir	k l a s t E r d i r
komissiyasi	k o m i s s i y a s i
koʻtarilib	k o 7 t a r i l i
masala	m a s a l a
mohiyati	o* h i y a t i
muassasa	m u a s s a s a
muddatli	m u d L i
nazariya	n a z a r i y a
nusxa	n u s a
olganda	o l g a n d a
ostidagi	o s t i d a g i
oylik	o y b u C o
oʻzidan	o 7 z i d a n
pasayadi	p a s a y a d i
qamal	k " a m a l
qaramasdan	q a r a m a k d a n
qarori	q a r o r i
qish	q i S
qoʻyib	q o 7 y i b a
qumli	k r h a y
reaksiyaga	r e a k S i y a g a
sharoitlarda	S a r o i L a r d a
shartnomasi	S a r t n o m i s i
simob	s i m o b
sirk	s i r
toshkoʻmir	t o S l o d a 7 m i*
toʻq	t o 7
tushishi	t u S i S i
universitetining	u n i v e r s i t e t i n i N
uran	u r a
uslubida	u s l u b i d a
vulkan	v u l u m
yaratishga	y a r a t i S g a
yoʻqolib	y o 7 pw~ o l i
yuboradi	y u b o r a d i
Aholisining	h o l i s i n i N
Kosmik	o s m i k
Madaniyat	a d a n i y a t
Nurota	u r o t a
Oʻzbekistan	7 z n t u mb~ i s t a n
Samarqandda	a m a r q o n d a 7
aeroport	a e r L o k
aralashmasi	a r a l a S m i s i
askarlar	a s k a l a r
bayram	b a y r a m
bogʻlab	b o N 7 l a b "
burun	b u r u n
davrdan	d a b r d a n
davridagi	d a b r i d a g i
etishni	e t i S n i
gol	g o l
gulli	g y L i
havzalarida	h a v z a l a r i d a
hayotga	h a y o t g a
kamaytirish	k a m a i t i r i S
kiradigan	k i r a d i g a n
koʻpayib	k o 7 p a y i b a
loyiha	l o y i h a
masofada	s o f a d a
miyaning	m i y a n i N
moy	m o y
natriy	n a t r e
nomiga	n o m i g a
oʻqi	o 7 i r a
oʻzgarish	o 7 z N a r i S
poliz	p o l i z
qoldirgan	q o l d i r g a n
qoʻshdi	q o 7 S d i
qurollari	k r o l l a r i
sanaladi	s a n a l a d i
shaklga	S a k l g a
sharoitlari	S a r o i L a r i
shoʻr	S o 7 r
siyosatini	s i y o s a t i n i
taqozo	t a q o r o
termini	t E r m i n i
vazifalarni	v a z i f a l a r n i
vino	v i n o
xoʻjaligiga	S o 7 j a l i g i g a
yaratishda	y a r a t i S d a
yetkazadi	y e t kh~ a z a d i
yuboriladi	y u b o r i l a d i
yuritadi	y u r i t a d i
zarba	z a r b a
Gaz	a z
Hasan	a s a n
Iravan	r a w a n
Karimov	a r i m o N
Keyinroq	b a 7 a
Navoiyning	a v o i y n i N
Sud	u d
Volga	o l g a
Yadro	a d r o
ajoyib	a x o y i b a
albomi	a l b o m i
amerikalik	a m e r i k a l i k
dinamik	d i n a m i k
filiali	b i l i a l i
fosh	f o S
funksiyasi	f w o m s i y a s i
gʻoyaviy	g 7 o y a v i
individual	i n d i v i d u a l
insoniy	s o n i y a
izlanishlar	i r L a n i S l a r
jamoalari	c a m o k a l a r i
jazo	y a z o
jumlasiga	x u m l E s i g a
koʻtargan	k o 7 t a r g a n
manzarali	n z a r a l i
maqbarasi	m a q bh~ a r a s i
matn	m a t n
mintaqa	m i n t a q i r a
nikel	n i k e l
nima	n i m a
old	o l
ovozi	o v o z i
oʻtmay	o 7 t m a y
preparatlar	p r e p a r a L a r
psixologik	p s i S o l o g i k
qobiliyati	q o b i l i y a t i
quyish	q u y i S
roʻyxatga	r o 7 y a t g a
sirtiga	s i r t i g a
sulfat	s u l f a t
tekisligi	t a k i w i g i
tomosha	t o m o s a
tubdan	t u b d a n
tushuniladi	t u S u n i l a d i
vaqtlarda	v a q tL~ a X n a d a
yanvar	y a n v a r
yurtini	y u r t i n i
zimmasiga	z i N s i g a
Fan	a n
Federatsiyasi	e d e r a c i y a s i
Fors	u r
Ingliz	N l i z
Ona	n a
Rossiyaga	o s s i y a g a
Umar	m a r
Vizantiya	i r o n i y a
Xitoyning	i t o y n i N
Xuroson	u r o s o n
Yengil	o N i l
ajraladi	c r a l a d i
apparat	a p a d a n a
ataladigan	a t a l a d i g a n
birbiriga	b 3 r b i r i g a
boshladilar	s L a d i l a r
boshqalardan	s l u k  d a n
boʻyoq	b o 7 o q
darajali	d a r a q
devoni	d e v o n i
falsafasi	f a l s a f a s i
hisoblanib	h i s o b l a n k o Ch~ o
hissasi	h i s s a s i
imkoniyatini	i m a q " b a l i y a t i n i
ishni	i s n i
istirohat	i s t i o 7 a t
jez	h e z
jihozlar	h i o z l a r
jins	j i n
kela	k e l a
kengash	k e N a
koʻpayishi	k o 7 p a y i S i
koʻzi	k o 7
kvars	k v a r
manbalari	n b a l a r i
marganets	m a* r g a n e c
miqdordagi	m i k d o r d a g i
muhitning	m u h i t n i N
munosabatlarni	m u n o s a b a tL~ a X n a q i
nusxasi	n u s a s i
oilaviy	o i l a v i
omil	o m i l
qavat	q a v a t
qiya	q i y a
qoʻshiqlar	q o 7 S i k l a r
quloq	k l o q
reaksiya	r e a k S i y a
reaksiyasi	r e a k S i y a s i
shoiri	S o i r i
shundaki	S u nd~ a k i
siqib	s i k Ch~ o
soldi	s o l d i
sulton	s u l t o n
taqaladi	t a q a l a d i
tayinlangan	t a y i n l a N a n
toʻplash	t o 7 p p i S
uzok	u z o k
xalqlarning	S a q  n i N
xotini	S o t i n i
yaylov	y a y l o N
yetti	e t i
yo	r o x
zararli	z a r a l i
Atom	t o m
Avtomobil	v t o m o b i l
Eronda	r o n d a
Jaloliddin	a l o l i d i n
Mineral	i n e r a l
Nerv	e r v
Sharqda	h a r X d a
Tuproq	u p r o q
antik	a n t i k
armiyasi	a r m i y a s i
avtomobilsozlik	a o m o b i l s o z b u C o
aytgan	a i t g a n
berilishi	b e r i l i S i
birlashgan	b 3 r l a S g a n
boshqarib	b o S k  r i b a
dasht	d a S i
dorivor	d o r i v o r
fanining	f a n i n i N
gʻarb	g 7 a r
hadis	h a d i s
ilmi	i l m i
joylashadi	j o y l a S a d i
kanallar	k a n a y a r
kengaytirish	k e N a i t i r i S
kengligi	k e N l i g i
koʻtarish	k o 7 t a r i S
kuzatib	k u z a t i
lari	l a r i
matematika	m a t e m a t i k a
metallarning	m e t a l l a r n i N
mexanizmi	m e S a n i z m i
natija	n a t i j a
nomlanadi	n o m l a n a d i
oxirlarida	o y o S i k a l a r i d a
oʻlka	o 7 l
oʻrganadigan	o 7 r g a n a d i g a n
oʻrnatish	o 7 r n a t i S
paleolit	p a l e o l i t
paytlarda	p a y tL~ a X n a d a
platina	p l a y i t i n a
qadimda	q a d i m d a
qilayotgan	q i l a y o t g a n
qiziqarli	q i z i k a l i
qoʻlyozma	q o 7 ly~ o z m a
tayinlanadi	t a y i n l a n a d i
toki	t o k i
turlarini	t u r l a r i n i
turlarining	t u r l a r i n i N
tusli	t u s l i
unumli	s a r h a y
ushlab	u s l a b
uylar	u y l a r
xoni	S o n i
xususiyatlarga	S u s u s i y a tL~ a X n a g a
yozda	y o z d a
zavod	z a v o d
Akademiyasi	k a d e m i y a s i
Aliyev	l i y e v
Aynan	y n a n
Fransuz	r a s u
Gʻarb	7 a r
Ish	S
Kasallikning	a s a ly~ i k n i N
Mahkamasi	a h m i s i
Olimpiya	l i m p i y a
Shirin	h i r i n
Turkistonda	u r k i s t o n d a
ajralgan	c r a l g a n
asarlarda	a s e r  d a
aytiladi	a i t i l a d i
bajargan	b a m a x g a n
bogʻlar	b o N 7 l a r
boshlanishi	s a nz~ i i S i
buyon	b u j o n
darak	d a r a
davlatga	d a b l a t g a
egalari	g a l a r i
fondi	f o n d i
fuqarolarning	f b a r o l a r n i N
gʻoyasi	g 7 o y a s i
haddan	h a d
hodisalarni	h o d e i s a l a r n i
janri	h a n r i
kiritildi	k i r i t i l d i
klaster	k l a s t e r e n
klubi	k l u b i
kremniy	k r E m o 7 n i y a n
mato	m a t o
maydonda	m a y d o n d a
moslashgan	n o S l a S g a n
muhandislik	m u a nd~ i w i k
mustaqilligi	s t a q i l l i g i
obrazi	o b r a z i
ogʻriydi	o g i 7 r i y d i
oʻstiriladi	o 7 s t i r i l a d i
oʻymakorligi	o 7 i m k o r l i g i
qilmaydi	q i l m o w d i
qilmoqda	q i l m o x d a
qoʻlda	q o 7 l d a
qoʻshish	q o 7 S i S
qurol	k r o l
shakllanadi	S a k y a n a d i
sharqda	S a r X d a
shimolida	S i m o l i d a
sudi	s u d i
tashlangan	t a S l a N a n
tenglamalar	g l o m o L a r
tobe	t o b e
tra	t r a
tuproqning	t u p r o q o n i N
tus	t u s
urushlar	u r u s L a r
usta	u s t a
xalqlarining	S a q  i n i N
yapon	y a p o n
yaratiladi	y a r a t i l a d i
yogʻi	y o g i
yurgan	y u r g a n
yuzlab	y u z l a b
Allohning	l l o h n i N
Amaliy	m a l i
Amerikada	m e r i k a d a
Daryo	a r y o
Fransiyada	r a s i y a d a
Nukus	u k u s
Qirollik	i r o l l i k
Rasmiy	a s m i
Shayx	h a y 7
Temuriylar	e m u r i y l a r
Tibbiyot	d e b e k u y o t
alifbosi	a l i f b o s i
apparatlar	a p p a r a L a r
bazasi	b a z a s i
beton	b e t o n
biladi	b i l a d i
bitilgan	b i t i l g a n
boshka	b o S
boyligi	b o y l i g i
boʻlmish	b o 7 l m i S
boʻyidagi	b o 7 i d a g i
ekiladigan	e k i l a d i g a n
eksperimental	e k 8 p e n e r i m e n t a l
ettirish	e t i r i S
faoliyatiga	f a o l i y a t i g a
fuqarolari	f b a r o l a r i
gumbaz	g u m b a z
gʻoyat	g 7 o y a t
hujjat	h u h
hukmdor	h u k m d o r
idrok	d r o k
imkoniyatlari	i m q l o l x a L a r i
inshoot	i n T o u t
istalgan	i s t a l g a n
jurnal	x u r n a l
konstitutsiyasi	q o n i k s t i t u c i y a s i
koʻtarilishi	k o 7 t a r i l i S i
kulrang	k u l u r a N
kup	k u p
kura	k u r a
kutib	k u t i
kvadrat	k v a d r a t
madaniyatining	d a n i y a t i n i N
maqola	m a q o l a
marosim	m a* r o s i m
mashinasozligi	S i n a s o z l i g i
mevali	m e v a l i
moʻgʻullar	m o 7 g 7 u y a r
mumkinligini	m u m k i n l i g i n i
namoyandalari	n a m o y a nd~ a r a r i
namunasi	n a m u n a s i
nurlari	n u r l a r i
odamlarning	o d a m  n i N
olishni	o l i S n i
oʻsimliklarda	o 7 b u p l i k l o r d a
oʻxshab	o 7 S a b
poytaxt	p o i t a x
qirgʻiz	q i r g i
qismga	g w i h s hwy$ a
razvedka	r a z v e d
realistik	r e a l i s t i k
saklash	s a q  s o
signal	s i g n a l
sonini	s o n i n i
sotilgan	s o t i l g a n
sulh	s u L
tasvirlar	t a s p i t e n l a r
tezkor	t e z k o r
tuproqlarda	t u p r o q  d a
tuzishga	t u a m g a
uylari	u y l a r i
vatanparvarlik	v a t a n p a r v a l i k
vaziyat	v a z i y a t
yoshdan	y o S d a n
yoshli	y o S l i
yurishi	y u r i S i
zaif	z a i f
Guruh	u r u
Ikkala	k k a l a
Keng	i N
Said	e i
Samarkand	a m a r k a nd~
Shaharning	h a h a r e n i N
Til	i l
Transport	r a s p o r
Xoja	o h a
Yana	a n a
asarlaridan	a s a l a r i d a n
asosli	a s o s l i
astronomik	a s t r o n o m i k
bera	b E r a
boshiga	s i g a
boʻr	b o 7 r
boʻshligʻi	b o 7 S l i g i
buladi	b u l a d i
darajasida	d a r a s i d a
davrdagi	d a b r d a g i
doirasi	d o i r a s i
endi	e n d i
funksiyalar	f w o m s i y a l a r
gazetasi	g a z e t a s i
hafta	a f t a
havzasi	h a v z a s i
iyulda	i y u l d a
jarayonining	h a r a y u n i n i N
kasalliklarini	k a s a ly~ i k a r i n i
kasalxonasi	k a s e i o n a s i
kompaniyasining	m i p a n i y a s i n i N
koʻrsatiladi	k o 7 s a t i l a d i
mamlakatni	m a m l a k a t n i
modeli	m o d e l i
muharriri	m u h a r i r i
muhitga	m u h i t g a
nasriy	n a s r e
orasiga	o r a s i g a
oʻpka	o 7 p
oʻsimliklarni	o 7 b u p l i k l o r n i
oʻzgarishlarga	o 7 z N a r i S  g a
oʻzgartirib	o 7 z a r t e m a Ch~ o
pardasi	p e r d a s i
parvarish	p i v a r i S
podsho	w a b S o
psixologiya	p s i S o l o g i y a
punktlari	p u n k L a r i
qazilmalar	q a z i l m o l a r
qumtosh	k m t o S
rasman	r a s m a n
reja	r e h a i
ruslar	r u s l a r
sharafiga	S a r a f i g a
soniga	s o n i g a
suyuklik	s u y u k l i k
tanasining	t a n a s i n i N
tarmoklari	t a r m o k l a r i
tarqalib	t a r q a l i
tashqil	t a S q i l
terisi	t e r i s i
togʻi	t o x i
togʻlarda	t o x 7  d a
tomirlar	t o m i X l u a r
toshlar	t o s L a r
tushadigan	t u S a d i g a n
ukrain	u k r a i n
usuliga	u s u l i g a
viloyatlar	v i l o y a L a r
vositalaridan	v o s i t a l a r i d a n
yaratilishi	y a r a t i l i S i
yerlarning	y e r  n i N
yozadi	y o z a d i
Afrikada	f n i t i m a d a
Amaldagi	m a l d a g i
Buni	u n i
Federatsiyasining	e d e r a c i y a s i n i N
Germaniyada	e r m a n i y a d a
Layli	a y l i
Margʻilon	a r g i l o n
Qattiq	a t t i
Roman	t a x
Turkiy	u r t i n i
Yerga	e r g a
ahvoli	a h v o l i
albom	a l b o m
aloqasi	a l o x a s i
aniklash	a n i kw~ p i S
armiya	a r m i y a
asoslab	a s o s l a b "
atrofdagi	a t r o f d a g i
aytdi	a i t d i
bal	b a l
birini	b i r i n i
boʻlmaydigan	b o 7 l m o w d i g a n
davrlarida	d a b l a r i d a
dvigateli	d v i g a t e l i
egallash	g a ly~ a
ehtiyot	e h t i y o t
eta	e t a
fakulteti	f a k u l t e t i
fonetik	f o n e t i k
gʻoyasini	g 7 o y a s i n
harakatga	h a r a k a t g a
haydash	h a y d a S
infeksion	i n f k S i o n
iqlimi	i k l i m i
jinslardan	h i s  d a n
kitobida	k i t o b i d a
kofe	k o f e
koreys	k o r e y
laboratoriya	l a b o r a t o r i y a
mavqei	m a b E i
maydonining	m a y d o n i n i N
moddalardan	m o d d a l a r d a n
nomlar	n o m l a r
oʻsadigan	o 7 s a d i g a n
pedagogik	p E d a g o g i k
plastmassa	p l a y i Sx~ s a
qahramoni	kp~ a h r a m o n i
qatorida	q a t o r i d a
qazish	q a L
qishlogʻida	q i S l a l i g i d a
qismlarga	g w i h s m l a r g a
qissa	g w i h s s a
quruqlikda	q u r u k l i k d a
rejimi	r e h i m i
rux	r u S
samolyot	s a m o l e o t
taraqqiyotining	t a r a k " o i y o t i n i N
tarkibli	t a r k i b l i
texnikada	t e S n i k a d a
tizmalari	t i z b e r m a l a r i
togʻlarida	t o x 7 l a r i d a
toʻplamlari	t o 7 p l a n i n m l a r i
trikotaj	t r e k o t a x
tushdi	t u S d i
tuzlari	t u z l a r i
vitaminlar	v i t a m i n l a r
xlorid	S l o r i d
xodimi	S o d i m i
yarmi	y a r m i
yomgʻir	y o hwy$ i r
yoziladi	y o  l a d i
zamin	z a m i n
AQShning	h n i N
Adabiy	d a b i
Bino	i n o
Buxoroga	u S o r o g a
Haydar	a y d a r
Milodiy	i l o d i
Oʻn	7 n
Yunon	u n o n
adolat	a d o l a t
astronomiya	a s t r o n o m i y a
ataydilar	a t a y d i l a r
boshqaradi	b o S k  a r a d i
boʻz	b o 7
dasturlar	d a s t u r l a r
dotsent	d o c e n t
elastik	e l a s t i k
energiyasini	e n e r g i y a s i n
farmatsevtika	f a r m a c u s t i k a
federatsiyasi	f e d e r a c i y a s i
gidravlik	g i d r a v b u C o
gʻoyalar	g 7 o y a l a r
haqda	h a q d a
harakatining	h a r a k a t i n i N
havoning	h a v o n i N
havzasida	h a v z a s i d a
hisoblagan	h i s o b l a a g a n
hokazo	h o k a Z o
ibodatxona	i b o d a 5 o n a
idoralari	d o r a l a r i
ikkiga	i k i g a
ishlashga	i s L a S g a
jihozlangan	h i o z l a N a n
jismning	h i s m n i N
joylarga	j o y  g a
ketishga	k e t i S g a
konserva	q o n i k e r v a
kurashish	k u r a s i S
maydonni	m a y d o* n i
mazmun	m a z m u n
moslama	n o S l a m a
mumkinligi	m u m k i n l i g i
mutlaqo	m u t l a q u
namunalarini	n a m u n a l a r i n i
nem	n e m
odamlarni	o d a m  n i
okrugi	o k r u g i
olmos	o l m o s
otib	o t i
oʻsimlikning	o 7 b u p l i k n i N
qilishdi	q i l i S d i
reaktiv	r e a k t
romanlari	r o m a n l a r i
sakkiz	s a k i z
saylandi	s a y l a n d i
saylangan	s a y l a N a n
shaklini	S a k l i n i
stadion	s t a d i o n
tafakkur	t a f a k k u r u
tanqidiy	t a n m u a y a
taxlil	t a x l o
tayyorlanadigan	d a t a y o r l a n a d i g a n
tipdagi	t e p d a g i
tipidagi	t e p i d a g i
turlarida	t u r l a r i d a
tuzdi	t u z d i
urushida	u r u s i d a
uygʻur	u y g 7 u r
vegetativ	f e g 3 t a t i
volfram	v o l f r a m
xudo	S u d o
xususiyatlar	S u s u s i y a L a r
yadrosi	y a s i
yanvarda	y a n v a r d a
yaratib	y a r a t i
yerlarga	y e r  g a
yerning	y e r n i N
yogʻadi	y o g 7 a d i
yongʻoq	y o N 7 a
Siyosiy	i y o s i
Texas	" 3 s
alomatlari	a xy~ u 7 L a r i
aniqlab	a n i k l a b "
asir	a s i r
beda	b e d a
bepul	b e p u l
biokimyoviy	b i o k i m o w i
boʻlishga	b o 7 l i S g a
boʻlishida	b o 7 l i S i d a
boʻsh	b o 7 S
dumaloq	d u m a l o q
erigan	r i g a n
