ha	s i
ygarata	y N a r a t a
yvága	y v a g a
Ñemby	e m b a
ñemohenda	d a m a o* h e n d a
ñemongakuaa	5 e m o N i 5 u
ñorairõme	5 o r a i r o m e
Apa	p a
Arahaku	r a h a k u
Arapytu	r a p 3 t u
Ateneo	t e n e o
Benigno	e n i g n o
Benjamín	e n c a m o l e
Campo	a m p o
Capital	a p i t a l
Castellano	a s t e l a nz~ o
Cecilio	e T i l i o
Censo	e n s o
Cháko	h a k o
Chína	h i n a
Domingo	o m i Ng~ o
Ejército	h y k i t o
Fernández	E a n a n d e z
Festival	e s t i w a l
Galeano	a l e a
Garay	a r a y
Hyãsia	y a s i a
Imitã	m i t a*
Isla	s l a
Joapykuéra	o a p i  e r a
Joaty	o a t
Juana	u a n a
Larrosa	a r s a
Mundial	u n d i a l
Nde	d e
Ojapo	y a p o
Oriental	r i e n t a l
Orquesta	r k e s t a
Oñemoĩ	5 e m o i*
Plata	l a t a
Pèicha	e i T a
Roberto	o b e r t o
Ruiz	k i z
Salemma	a l e m a
Salto	a l t o
Saussure	a u s s u r e
Tembiapo	e m b a u
Trinidad	r i n i d a d
Tuicha	k i T a
Uperire	p e r
Uruguái	r u g u a i
Vera	e r a
achegety	a k h e g e t
ama	a m a
ambuére	a m b u y e
arapýpe	a r a p p e
arquitectura	a r k i t e k t u r a
avaite	a b a i t e
barrio	b a r o
composición	k o m p o s i i o n
compositor	k o m p o s i t o r
concierto	r o n C y e r t o
corriente	k o r e n t e
crup	k r u p
derecho	d e r e T h o
ferrocarril	f e r o k a r i l
guaréva	g u a r e v a
guasúre	g u a s u r e
hekohápe	h e k o h a p e
hembiapokuéra	h e by~ a p o k u e r a
hembiasakue	h e by~ a s a k u e
henyhẽ	h e 5 e*
heñóiva	h e ny~ o i v a
hikuéi	h i k u e i
hokẽ	h o k e*
hyepýpe	h e p p e
háicha	h a i T a
ijehe	g i y e d e
ikatupyryvéva	i k a t u p 3 r 3 v e v a
institución	s t i t u i o n
intendente	i n t e n d e n t e
ipohýi	p o h i
ipukúva	i p u k u v a
jeguaka	h e g o a k a
jehaipyre	h e h a i p y r e
kesu	k e s u
kuarahyreike	k u a r a h 3 r e i k e
kuarahyresẽ	k u a r a h 3 r e s e*
kuñáme	k u 5 a m e
kyhyje	ky~ i L
mburuvichakuéra	m b u r u w i k u e r a
mbytetépe	b 3 t E n p e
michĩva	m i C u s e v a
millones	m i l l o n i
misión	m i s i o n
mitãme	m i a*
natural	n a t u r a l
ndojapói	nd~ o h a p a N
ne	n e
ogapýpe	o x a p p e
ohayhu	o h a y u
oipota	o i p o t a
ojehaíva	o x e h a i v a
ojehecháva	o x e h e C a v a
ojeipapaháicha	o q i p a p a h a i T a
ojoko	o x o k o
okaraháre	k a d a h a
okára	o k a r a
omboguatáva	c o g w a k a t v a
omohendáva	h e nd~ a v a
omombarete	o m o m b a d e t e
omosẽ	s e*
osyry	o s 3 r
oñemosarambi	w e m o s a r a m b i
oñepyrũkuri	w e p 3 r u k u r i
oñeñandu	w y u* k a* a n d u
pakova	p a k o v a
papapy	p a p a p y
pero	p e r o
poder	p o d e r
popular	p o p u l a r
poravopyre	p o r a v o p 3 r e
porãvéva	p o r a* v e v a
proyecto	p r o y o j t o
puerto	p u e r t o
pumbyry	p u m b 3 r
pyharépe	p 3 h a r e p e
pyre	p 3 r e
pytuhẽ	p 3 t u h e*
rogue	r o a
rural	r u r a l
sistema	s i s t e m a
taipu	t a i p u
tapichakuérape	t a p i C a k u y a p e
techapyrãrõ	t e C a py~ r i o*
tekovekuéra	t a k o p e m u  e r a
teróre	t E r o
tetãvorépe	t e t a* v o r e p e
tiempo	t i e N p o
tyapu	t y a p u
távagui	t a v a g u i
un	u n
vaicha	v a i T a
véima	v e i m a
ymaguaréva	i m g u a r e v a
ypýpe	3 p p e
yso	y s o
yvatevéva	y v a t e v e v a
ága	a g a
ña	5 a
ñemitỹrã	5 r e p e  q r a*
ñemoambue	d a m a y a m b u e
ýrõ	3
