te	t e
auaha	a u a h a
haria	h a r i a
kaukau	k a u k a u
oku	o k u
rūma	r u m a
taunakitanga	t a u n a k i t a Ng~ a
tūru	t u r u
whakatō	wh~ E k a a
Pōneke	r 3 n e k e
atawhai	a t a l a i
aukati	a u k a t i
kirimana	l i m a n a
paenga	p u i Ng~ a
waeine	w a e i n e
whanonga	wh~ E a n o n g a
Aho	h o
mohiotia	o* h i o t i a
mona	m o n a
rata	r a t a
takoha	t a k o h a
Tamaki	a m a k i
Whakamana	h a k a m a n a
awatea	a w a t e a
kānga	k a nj~ 3 Ng ~ a
ohorere	h o r e r e
pīrangi	p i r a N i
takea	t a k e a
tuahine	t u a h i n e
wareware	w a r e w a r e
Huanga	u a Ng~ a
Maniapoto	a n i a p o t o
kohia	k o h i a
kōwhiri	k o wh~ E i r i
peka	p e k a
taitamariki	t a i t a m a r i k i
Kaupae	a u p a e
Kawana	a w a n a
Rohe	o h e
hōu	h o u
parirau	p e r a u
poaka	p o a k a
puke	p u k e
tauiwi	t a w i w i
tānga	m a Ng~ a
tūtaki	t u t a k i
Kirihimete	i r i h i m e t e
hekenga	h e k e n g a
hipa	h i p a
panoni	p a n o n i
tahua	h i
tapahi	t a p a h i
tāpirihia	m a p i r i h i a
Hāhi	a
Rāhoroi	a h o r o i
atahanga	a t a h a Ng~ a
koha	k o h a
kīanga	k i a Ng~ a
kōrerorero	k o r e r o r e r o
tohatoha	t o h a t o h a
Mahuru	a h u r u
Pouako	o u a k o
kapua	k a p u a
korerotia	k o r e r o t i a
mataku	m a t a k u
ngahuru	N a h u r u
para	p a r a
pāngia	p a N i
tihi	t i 7 i
toenga	t o e n g a
toko	t o k o m o
tōpana	a p a n a
whakawhānui	wh~ E k a w h a n u i
Mei	e i
Takawaenga	a k a w a i Ng~ a
iii	i i
koi	k o i
mara	m a r a
nekeneke	n e k 3 n 3 q k e
pahi	p a h i
pene	p e n e
pire	p i r
tangohanga	t a N o h a Ng~ a
tara	t a r a
tupapaku	t u p a p a k u
whakamuri	wh~ E k a m u r i
Ako	k o
Hui	u i
Kamupene	a m u p e n e
arataki	a r a t a k i
haramai	h a r a m a i
puhuruhurutanga	p u h u r u h u r u t a Ng~ a
puia	p u i a
rewa	r e w a
whakamātautau	wh~ E k a m a t a u t a u
āwangawanga	a w a N a w a Ng~ a
Kara	a r a
herea	h e r e a
hurihanga	h u r i 7 a Ng~ a
kaumatua	k a u m a t u a
main	m a i n
maru	m a* r u
pari	p a r i
umanga	u m a n g a
wehewehe	w e h e w e h e
whakaū	wh~ E k a u
Inā	n
Kotahitanga	o t a h i t a Ng~ a
Manatū	a n a t u
Whakahaere	h a k a h a e r e
hōhonu	h o h o n u
pōuri	p o u r i
raina	r a i n a
tākuta	m a k u t a
whaihua	wh~ E a i w a
whakanuia	wh~ E k a n u i a
Aroha	r o h a
Ia	a
Tapu	a p u
Waitaha	i t a h a
Whakatane	h a k a t a n e
hāhi	h a
karangatia	k a r a N a t i a
nohoanga	n o h o a Ng~ a
oho	h o
rāngai	r a N a i
tautohetohe	t a u t o h e t o h e
tomo	t o m o
Wairarapa	a i r a r a p a
Whakamārama	h a k a m a r a m a
aa	a
amuamu	a m u a m u
hū	h u
poro	p o r o
tapahia	t a p a h i a
wehea	w e h e a
whakaakoranga	wh~ E k a k o r a Ng~ a
Paoa	a o a
hoiho	h o i h o
paepae	p a e p a e
pua	p u a
reanga	r e a Ng~ a
tamāhine	t a m a h i n e
whakahaeretia	wh~ E k a h a e r e t i a
whakapiri	wh~ E k a p i r i
Ahorangi	h o r a N i
Kiwi	i w i
Wāhanga	a a Ng~ a
ama	a m a
awhi	r u f i
hapa	h a p a
kahurangi	k a h u r a N i
muka	m u k a
māua	m a i
ngaio	N a i o
ripoata	r i p o a t a
whakarea	wh~ E k a r e a
ōwehenga	o w e h e n g a
North	u r
Pai	a i
Pānui	a n u i
Tukuna	o v a s a
inenga	g a
kāre	k a r e
pārekareka	p a r e k a r e k a
tukunga	m o v a s a b i
tāku	m a k u
tūāhua	t u a w a
whakatupato	wh~ E k a t u p a t o
whiu	wh~ E i u
Ana	n a
Ariki	r i k i
Tū	u
Whānui	h a n u i
hokonga	h o k o n g a
kaiwhakawā	S i r k a a
konā	q o n i k
puninga	p u n i Ng~ a
takaro	t a k a r o
tautokona	t a u t o k o n a
tikina	t i k i n a
tohe	t o h e
āpiha	a o z g a
Kingi	b i N i
auraki	a u r a k i
hainatia	h a i n a t i a
hoia	h o i a
kapu	k a p u
kurī	k u r i
toe	t o e
tohungatanga	t o h u N a t a n g a
torotoro	t o r o t o r o
waimarie	w a i m a r i e
whakakotahi	wh~ E k a k o t a h i
whakawhanaketanga	wh~ E a b o r u f 3 n k e t a Ng~ a
whānuitia	wh~ E nj~ 3 i t i a
Kaiako	a y a k o
Tūroa	u r o a
kara	k a r a
ngāi	N a i
tuākana	t u a k a n a
Henrietta	e n r i e t t a
Kimihia	i m i h i a
Oketopa	k e t o p a
Tauira	a u i r a
Turi	u r i
hiranga	h i r a Ng~ a
hopukina	h o p u k i n a
kōnae	k o n a e
mataono	m a t a o n o
mati	m a C i
ngahau	N a h a u
pepeha	p e p e h a
riu	r i u
takahia	t a k a h i a
hohoro	h o h o r o
pere	p e r e
āheinga	a  i Ng~ a
Reipa	e i p a
noatia	n o a t i a
rongoa	r o N o a
tarai	t a r a i
u	u
Hoani	o a n i
Tahi	a h i
Tūwharetoa	u wh~ a r e t o a
Whakatau	h a k a t a u
hauwhā	h a u w h a
karangahia	k a r a N a h i a
kata	k a t a
kiwi	k i w i
kōti	k o t i
maimai	m a i m a i
maumahara	m a u m a h a r a
peita	p e i t a
ruarua	r u a r u a
tūpono	t u p o n o
whakahuatia	wh~ E k a w a t i a
whiringa	wh~ E i r i Ng~ a
ōkawa	 w e d a
Taua	a u a
Waiho	i h o
hora	h o r a
kotiro	k o t i r o
māia	m a i a
taia	t a i a
waihangatia	w a i h a N a t i a
whakataki	wh~ E k a t a k i
whetu	f e t u
Hauraki	a u r a k i
Maehe	a e e
Marama	a r a m a
Motu	o t u
Neke	e k e
Tu	u
Uenuku	e n u k u
hainatanga	h a i n a t a n g a
papai	p a p a i
putu	p u t u
raupatu	r a u p a t u
ruri	r u r i
tahu	t a h u
tohungia	t o h o N i
tē	t a N
whakarunga	wh~ E k a r u N a
Hauhau	a u h a u
Kahu	a h u
Mātāpunenga	a t a p u n i Ng~ a
Rongo	o n g o
Rātana	a t a n a
Tino	i n o
Whakaraparapatia	h a k a r a p a r a p a t i a
kaipōti	k a i p o t i
karo	k a r o
kauhoe	k a u h o e
tuihono	t u i h o n o
whakaturia	wh~ E k a t u r i a
Kāhore	a h o r e
Noho	h o
Whakaahua	h a k a h i
akoako	a k o a k o
harikoa	h a r i k a
kapi	k a p i
kāta	k a a t a
matapae	m a t a p a e
ngota	N o t a
poipoi	p o p o i p o i
roro	r o r o
tokotoru	t o k o  r u
tīpako	t o a k o
whanui	wh~ E a n u i
Papakupu	a p a k u p u
mīharo	m i e n a
mōrearea	m o r e a r e a
putiputi	p u t i m a p u t i 7
pūngāwerewere	p u n g a w e r a w e r e
whakakī	wh~ E k a k i
whakawakia	wh~ E k a w a k i a
ōhanga	o a Ng~ a
Pire	i r
ataahua	a t a h i
mārō	m a r o
nōna	n r 3 n a
pāpāho	p a p a h o
raranga	r a r a Ng~ a
tiketike	t i k e t i k e
turanga	t u r a Ng~ a
Hokianga	o k i a Ng~ a
Homai	t a i
Karere	a r e r e
Kerei	e r e i
ariki	a r i k i
kaiwhakatere	S i r k a t e r e
maro	m a* r o
pōwhiri	p o wh~ E i r i
tauhokohoko	t a u h o k o h o k o
whiriwhiria	wh~ E i r i wh~ E i r i a
Whiti	h i t i
hautoru	h a u t o r u
kaikorero	k a i k k i o r e r o
makariri	m a k a r i r i
taurite	t a u r i t e
whakapaunga	wh~ E k a p a u N a
Koirā	o i r
Takiwa	a k i w a
Tāpiritia	a p i r i t i a
Tīreni	i r e n i
aruhe	a r u e
hao	h a o
kōiwi	k o w i
matea	m a t e a
tuawhenua	m a r u f e n u a
whakakapi	wh~ E k a k a p i
whakatipuranga	wh~ E k a t i p u r a Ng~ a
whakatupu	wh~ E k a t u p u
wāwāhi	a  a
Apirana	p i r a n a
Kore	u r e
Maunga	a u N a
Otirā	t i r
Pae	a e
Poneke	n e k e
matapihi	m a t a p i 7 i
ngoikore	N o i k o r e
pirau	p i r a u
puehu	p u e h u
tamahine	t a m a h i n e
tāia	m a i a
whakamāori	wh~ E k a m a o r i
Heretaunga	e r e t a u N a
Mahere	i*
Noema	o e m a
Pānuitia	nj~ 3 i t i a
Whāriki	h a r i k i
iahiko	i a i k o
kairangahau	k a i r a N a h a u
kētia	q e t i a
pata	p a t a
pukenga	p u k 3 N a
tīkina	t i k i n a
whakaharahara	wh~ E k a h a r a h a r e y
whakamau	wh~ E k a m a u
whakawhirinaki	wh~ E k a l i r i n a k i
īngoa	i N g o a
Hepetema	e p e t e m a
Nei	e i
Puhi	a i
Tamariki	a m a r i k i
kimihia	k i m i h i a
korua	k o r u a
kōpaki	k o l o
maramara	r a m a r a
motokā	t o  l
takenga	t a k e n g a
tuturu	t u t u r u
whaikōrero	wh~ E a i k o r e r o
whakahaeretanga	wh~ E k a h a e r e t a Ng~ a
Ētahi	t a h i
rū	r u
tahae	t a h a e
teihana	t e i h a n a
tima	t i m a
tokoiti	t o k o i t i
whaitake	wh~ E a i t a k e
whakahāngai	wh~ E k a h a N a i
whakarōpū	wh~ E k a r o p u
Anō	n o
Komiti	o m i t i
Mau	a u
Tara	a r a
aroturuki	a r o t u r u k i
hurihuri	h u r i 7 u r i
kaituku	k a i t u k u
kirihou	k i r i h o u
kona	q o n a
kukume	k u k u
maimoatanga	m a i y a t a n g a
mitarau	m i t a r a u
paanga	p a n g a
parāoa	p i a o a
ripanga	r i p a n g a
tuawhā	t u a w h a
tutu	t u t u
uira	k i r a
whakapaipai	wh~ E k a p a i p a i
whakatinanatanga	wh~ E k a t i n a n a t a n g a
Aratohu	r a t o h u
Hangaia	a N a i a
Hiku	i k u
Kupenga	u p e n g a
Mema	3 m a
Teina	e i n a
kaihautū	k a i h a u t u
kaute	k a u t e
more	m o r e
reti	r e t i
tēpu	t a N p u
whakatakotoranga	wh~ E k a t a k a t o r a Ng~ a
whatitiri	wh~ E a t i t i r i
āwhata	a wh~ E a t a
Atu	t u
Hakihea	a k i h e a
Koiora	o i o r a
Mahara	a h a r a
Upoko	p o k o
Whāia	h a i a
awe	a w e
hautanga	h a u t a Ng~ a
kaupae	k a u p a e
koro	k o r o
kō	k o
māpere	m a p e r e
ou	o u
raihana	r a i h a n a
torutoru	t o r u t o r u
uwha	u w a
Āe	e
ēhea	a N h e a
Heke	e k e
Kaikohe	i k o h e
Rata	a t a
herenga	h e r e n g a
hiwi	h i w i
kāwai	l w a i
makawe	m a k a w e
ngawari	N a w a r i
pana	p a n a
puni	p u n i
raatou	r a a t o u
ruru	r u r u
taiapa	t a i a p a
Kāi	a i
Manaia	a n a i a
Tāhei	a h e i
Tākuta	a k u t a
auau	a u a u
kaihanga	k a i h a Ng~ a
kauae	k a u a e
kokonga	k o k o n g a
pakitara	p a k i t a r a
raweke	r a w e k e
taiaha	t a i a h a
tangihanga	t a N i h a Ng~ a
tuhituhinga	t u h i t i Ng~ a
Ngake	g a k e
Waiariki	a y a r i k i
eetahi	e th~ a h i
karapu	k a r a p u
maia	m a i a
mihinare	m i h i n a r e
motika	m o t i k a
mōu	m o u
otira	o t i r a
ropu	r o p u
uiuinga	k i u i Ng~ a
whakararo	wh~ E k a r a r o
whakarerekē	wh~ E k a r e r e k a N
Mena	e n a
Nana	a n a
Ngai	g a i
Ranga	a N a
Tane	a n e
Whakarea	h a k a r e a
aitua	i t u a
hōhipera	h o i p e r a
meka	m e k a
neherā	n e h e r
pena	p e n a
pikinga	p i k i Ng~ a
rahinga	r a h i n g a
rōrahi	r o r a h i
tauhou	t a w u
whakakaha	wh~ E k a k a h a
whakatupuranga	wh~ E k a t u p u r a Ng~ a
Ākonga	q o n g a
Kōeke	o e k e
Porirua	o r i r u a
Rarotonga	a r o t o n g a
Ratonga	a t o n g a
Rēhia	a N i a
Tata	a t a
Tatauranga	a t a u r a Ng~ a
hira	h i r a
hāunga	h a u N a
kaumoana	k a u m o a n a
kohatu	k o h a t u
maku	m a k u
motukā	m o t u l
mura	m u r a
mātai	m a t a i
paraoa	p a r a o a
paru	p a r u
tahataha	t a h a t a h a
tohorā	t o h o r
utaina	u t a i n a
werohia	w e r o h i a
whakatairite	wh~ E k a t a i r i t e
whakatenatena	wh~ E k a t e n a t e n a
Ōtautahi	t a u t a h i
Mutu	u t u
Rangitāne	a N i t a n e
Tika	i k a
Tukua	u k u a
Turanga	u r a N g a
Tutanekai	u t a n e k h a i
Waiapu	a y a p u
harore	h a r o r e
kaihokohoko	k a i h o k o h o k o
kaitākaro	k a i t a k a r o
kakara	k a k a r a
kītanga	k i t a Ng~ a
manawanui	m a n a w a n u i
miharo	m i e n a
moea	m o e a
motuka	m o t u k a
nehe	n e h e
panui	p a n u i
taina	t a i n a
taraka	t a r a k a
tautohe	t a u t o h e
tumu	t u m u
whakarauora	wh~ E k a r a w o r a
whakariterite	wh~ E k a r i t E r i t e
Haina	a i n a
Kiwa	i w o
Matatini	m a t a t i n i
akona	a k o n a
haurehu	h a u r e h u
hue	h u e
kaka	k a k a
koroni	k o r o n i
mīhini	m i h i n i
ngau	N a u
papanga	p a p a n g a
tāpiria	m a p i r i a
whakanoho	wh~ E k a n o h o
whakarewa	wh~ E k a r e w a
whakataurite	wh~ E k a t a u r i t e
Hangarau	a N a r a u
Hāunga	a u N a
Mihi	i 7 i
Parihaka	a r i h a k a
Pita	i t a
Puea	u e a
Pēwhairangi	a N wh~ a i r a N i
Waititi	i t i t i
atamira	a t a m i r a
auahi	a u a h i
kake	k a k e
maa	m a 7 a
mahunga	m a u N a
mātāmua	m a t a a
ngako	N a k o
oriori	u r i o r i
pahikara	p a i k a r a
pepe	p E p E 7
tao	t a o
taro	t a r o
taru	t a r u
taunaki	t a u n a k i
tina	t i n a
wh	w
whakatā	wh~ E k a t a
Kaha	a h a
Tohua	o w a
Tēnei	a N n e i
Whakaritea	h a k a r i t e a
Whina	h i n a
hararei	h a r a r e i
manaakitanga	m a n a k i t a Ng~ a
maoa	m a o a
mōteatea	m o t e a t e a
nau	n a u
ngākaunui	N a k a u n u i
paunga	p a u N a
pēnā	l u a N n
taangata	t a N a t a
taatau	t a t a u
teenei	% t e n e i
tü	t u*
wao	w a o
whakaingoatia	wh~ E k a i N o a t i a
whakamihi	wh~ E k a m i 7 i
whakamāramatanga	wh~ E k a m a r a m a t a n g a
whakapūmau	wh~ E k a p u m a u
wharenui	wh~ E a r e n u i
ātete	a t e t e
Kāhui	a w i
Ngapuhi	g a p o
Runanga	u n a Ng~ a
Timi	i m i
Whakataunga	h a k a t a u N a
apopo	a p o p o
hika	h i k a
hiku	h i k u
honoa	h o n o a
kumea	k u m e a
kīhai	k i a i
marea	m a r e a
ngārara	N a r a r a
puhi	p u h i
rawatia	r a w a t i a
rūnanga	r u n a Ng~ a
tohaina	t o h a i n a
whaia	wh~ E a i a
whakarere	wh~ E k a r e r e
wheke	wh~ e k e
Hirini	i r i n i
Kōmihana	k o j i h a n a
Mate	a t e
Ngohe	g o h e
Rātapu	a t a p u
eka	e k a
haumi	h a u m i
huaina	w a i n a
hākari	h a k a r i
kapo	k a p o
punga	p u N a
punua	p u n u a
ruku	r u k u
rōia	r o i a
tuara	t u a r a
whakaekea	wh~ E k a e k e a
whakahoutanga	wh~ E k a h o u t a Ng~ a
whiriwhiringa	wh~ E i r i wh~ E i r i Ng~ a
āe	a e
Ahupūngao	h u p u n g a o
Koro	o r o
Nāwai	a w a i
Peter	e t e r
Puketeraki	u k e t e r a k i
Pēpuere	a N p u e r e
Rūnaka	u n a k a
Taiao	i a o
Whakaata	h a k a a t a
Whātaitai	h a t a i t a i
aka	a k a
anoo	a n o
hipi	h i p i
iri	i r i
pononga	p o n o n g a
pāwhiri	p a wh~ E i r i
pūtohu	p u t o h u
raakau	r a k a u
roimata	r o i m a t a
tāpaetanga	m a p a e t a Ng~ a
tāua	m a i
tōkeke	h  e k e
uku	u k u
waiaro	w a i 7 r o
whakaahuatia	wh~ E k a a w a t i a
whakaatuhia	wh~ E k a t i a
whakamaharatanga	wh~ E k a m a h a r a t a n g a
whakaratohia	wh~ E k a r a t o h i a
whakarārangi	wh~ E k a r a r a N i
whakatutukitanga	wh~ E k a t u t u n u N  n g a
Harakeke	a r a k e k e
Heuheu	u u
Huirapa	k i r a p a
Hōngongoi	r 3 n m a  i
Mere	e r e
Mihinare	i h i n a r e
Ngaheu	g a h a u
Taupo	a u p o
Tiaki	i a k i
ahei	m a h e i
hangarite	h a N a r i t e
hine	h i n e
huānga	a Ng~ a
karangatanga	k a r a N a t a n g a
mātao	m a t a o
pakupaku	p a k u p a k u
pia	p i a
pōturi	p o t u r i
repo	r e p o
rāwhiti	r a wh~ E i t i
titoa	t i t o a
toroa	t o r o a
Āti	t i
Kairangi	a i r a N i
Mahia	a h i a
Mahuta	a h u t a
Pouaka	o o a k a
Puanga	u a Ng~ a
Raki	a k i
Rangahau	a N a h a u
Rere	e r e
Tangi	a n g i
Tihema	i h e m a
Waitara	i t a r a
ate	a t e
huarere	w a r e r e
hā	h a
kaitirotiro	k a i t i r o t i r o
kaiwhiwhi	S i r i w
karahipi	k a r a h i p i
kauhau	k a u h a u
kiritaki	k i r i t a k i
korowai	k o r o w a i
kowhatu	k o w h a t u
kōaro	k o a r o
kōwhai	k o wh~ E a i
kōwhiria	k o wh~ E i r i a
moemoeā	m o e m o e
piriona	p i r i o n a
rae	r a e
tāhuhu	m a u h u
tārua	m a r u a
whakatangi	wh~ E k a t a n g i
whakatata	wh~ E k a t a t a
whakatauranga	wh~ E k a t a u r a Ng~ a
āwhinatia	a wh~ E i n a t i a
Apanui	p a n u i
Mane	a n e
Taupō	a u p o
Tongarewa	o N a r e w a
Tūranga	u r a Ng~ a
an	a n
ekenga	e k e n g a
horahia	h o r a h i a
huia	w i a
kaainga	k a i Ng~ a
kaitito	k a i t i t o
korokoro	k o r o k o r o
manene	m a n e n e
matawaka	m a t a w a k a
mö	m o
paemahana	p a e m a h a n a
pūwāhi	p u a
raanei	r a n e i
turi	t u r i
uhia	a i a
whakaakona	wh~ E k a k o n a
whakaara	wh~ E a k a d a
whakakitenga	wh~ E k a k i r e n g a
whiri	wh~ E i r i
ëtahi	3 a h i
ākona	a k o n a
īnanga	i N a Ng~ a
Aurere	u r e r e
Kawekawe	a w e k a w e
Kirikiriroa	i r i k i r i r o a
Kāre	a r e
Maketu	a k e t u
Ngāpuhi	g a k
Tūmatauenga	u m a t a u e n g a
hihi	h i 7 i
kohuru	k o h u r u
kori	k o r i
miro	m i r o
māharahara	m a h a r a h a r e y
mōkai	m o k a i
paheko	p a h e k o
paparanga	p a p a r a Ng~ a
puru	p u r u
pānuitia	p nj~ 3 i t i a
pātaka	p a t a k a
rahui	y a w a i
rāhui	r a w i
taatai	t a t a i
tūmataiti	t u m a t a i t i
whakarahi	wh~ E k a r a h i
whakaraupapa	wh~ E k a r a u p a p a
whutupōro	wh~ E u t u p o r o
Hopihona	o p i h o n a
Kuki	u k i
Kāwhia	a wh~ E i a
Mohi	h i
Oranga	r a n g a
Tuhoe	a h o e
Wairoa	a i r o a
Whaea	h a e a
korenga	k o r e n g a
meatia	m e a t i a
mihingare	m i h i N a r e
mē	m a N
pūkete	p u k e t e
rapa	r a p a
rapua	r a p u a
tahumaero	t a h u m a e r o
taupatupatu	t a u p a t u p a t u
toitū	t o i t u
umu	u m u
whakawa	wh~ E k a w a
wharekura	wh~ E a r e k u r a
whutupaoro	wh~ E u t u p a o r o
wāriu	w a r i u
Ano	n o
Atawhai	t a l a i
Hune	u n e
Katoa	a t o a
Taitokerau	i t o k e r a u
Taurangi	a u r a N i
arahi	a r a h i
ena	e n a
hemo	h e m o
kaihauturu	k a i h a u t u r u
kainoho	k a i n o h o
kaki	k a k i
karekau	k a r e k a u
kui	k u i
kuku	k u k u
pitihana	p i t i e n a n a
purapura	p u r a p i r a
pātara	p a t a r a
pōhēhē	p o
rarangi	r a r a N i
tukinga	t u k i Ng~ a
tūmahi	t u m a h i
tūrangawaewae	t u r a N a w a e w a e
waikano	w a i k a
waikawa	w a i k a w a
whakamāramatia	wh~ E k a m a r a m a t i a
ūpoko	u p o k o
Ihaka	h a k a
Kākano	a k a
Manawatū	a n a w a t u
Mark	a r
Motuhake	o t u h a k e
Rārangi	a r a N i
Unit	n i t
Whakamāramahia	h a k a m a r h i a
kairangi	k a i r a N i
karaehe	k a r a e e
kauri	k a u r u
kiihia	k i i a
manako	m a n a k o
pirangi	p i r a N i
poho	p o h o
puare	p u a r e
pūoro	p u o r o
ruma	r u m a
takanga	t a k a n g a
tatū	t a t u
tuaka	t u a k a
tūhonohono	t u h o n o h o n o
waihoki	w a i h o k i
wananga	w a n a Ng~ a
whakakorea	wh~ E k a k o r e a
whakakorehia	wh~ E k a k o r e h i a
ārainga	a r a i Ng~ a
Komihana	o m i h a n a
Korero	o r e r o
Ta	a
Toko	o k o
Whakaaro	h a k a d o
ahuareka	a w a r e k a
are	a r e
honohono	h o n o h o n o
kaiwhakamahi	S i r k a m a h i
koko	k o k o
marangai	r a N a i
mataara	m a t a r a
matakitaki	m a t a k i t a k i
memeha	m e m  a
mihini	m i h i n i
omaoma	t a o m a
oo	o
paearu	p u i a r u
panga	p a n g a
parauri	p a r a u r u
pirepire	p i r e p i r
pēwhea	l u a N wh~ e a
pūkoro	p u k o r o
rawhiti	n a l i t i
rotarota	r o t a r o t a
tuitui	t u i t u i
turoro	t u r o r o
tāpui	m a p u i
waia	w a i a
wetewete	w e t e w e t e
Ae	e
Awarua	w a r u a
Kōwhiri	o wh~ E i r i
Matiu	a t i u
Opotiki	p o t i k i
Pounamu	o u n a m u
Tinirau	i n i r a u
Tongariro	o N a r i r o
Wairua	a i r u a
arai	a r a i
arero	a r e r o
ihirangi	i h i r a N i
kamo	k a m o
makere	k e r e
mautohe	m a u t o h e
pakirehua	p a k i r e w a
poka	p o k a
poroporoaki	p o r o p o r o a k i
pungarehu	p u a r e h u
pupū	p u p u
puāwai	p u a w a i
reorua	r E o r u a
rokohanga	r o k o h a Ng~ a
tauanga	t a w a Ng~ a
tirotirohia	t u r o t i r o h i a
titi	t i
tāhei	m a h e i
tāroaroa	m a r o a r o a
tūpato	t u p a t o
whaiwhai	wh~ E i r a i
whakaarotia	wh~ E a k a d o t i a
whakahaerenga	wh~ E k a h a e r e n g a
whakatu	wh~ E k a t u
whakatūpato	wh~ E k a t u p a t o
whana	wh~ E a n a
Ināianei	n a e n u
Kati	a t i
Taka	a k a
hāpori	h a p o r i
hōnore	h r 3 n o r e
ihi	i 7 i
inoi	i n o i
kanae	k a n a e
kiripuaki	k i r i p o a k i
koura	k o u r a
kīnaki	k i N k i
kīwaha	k i w a h a
matatini	m a t a t i n i
mokai	m o k a i
nawe	n a w e
nūpepa	n u p e p a
pani	p a n i
pāremata	p a r e m a t a
pōtae	p o t a e
rironga	r i r o n g a
tauranga	t a u r a Ng~ a
tokowhā	t o k o w h a
tāpae	m a p a e
tūroro	t u ph~ u
whakaingoa	wh~ E k a i N o a
whakairi	wh~ E k a i r i
whakama	wh~ E k a m a
whakamahana	wh~ E k a m a h a n a
whakamanahia	wh~ E k a m a n a h i a
whakatauhia	wh~ E k a t a u h i a
whiore	wh~ E i o r e
wātaka	w a t a k a
Ākarana	k a r a n a
ākau	a k a u
Hongoeka	o N o e k a
Kōwhiringa	o wh~ E i r i Ng~ a
Otiia	t i a
Poutini	o u t i n i
Rehua	e w a
Tairāwhiti	a i r a wh~ E i t i
Tētahi	a N t a h i
aahua	a h i
huaki	w a k i
hūnuku	h u n u k u
kaikawe	k a i k k i a w e
kirikiri	k i r i k i r i
kooti	o t i
kuraina	k u r a i n a
kāwana	l w a n a
mokemoke	m o k e m o k e
nohoia	n o h o i a
pātuhi	p a t i
pīni	p i n i
pūtoru	p u t o r u
tahitia	t a h i t i a
taiepa	t a i e p a
takere	t a k e r e
tiwhikete	t i wh~ E i k e t e
tutaki	t u t a k i
wahie	w a h i e
waiatatia	w a i a t a t i a
whaimana	wh~ E a i m a n a
whakawakanga	wh~ E k a w a k a n g a
Āniwaniwa	n i r 3 w a
ātea	a t e a
Hanuere	a n u e r e
Hauauru	a u a u r u
Hiko	i k o
Hone	o 7
Kapiti	a p i t i
Maru	a r u
Mua	u a
Paerewa	a e r e w a
Wenerei	e n e r e i
Whāinga	h a i Ng~ a
aituā	i t u
heketea	h e k e t e a
kaihoe	k a i h o e
karihi	k a r i 7 i
keke	k e k e
kereru	k e r a i n u
korikori	k o r i k o r i
manaakitia	m a n a k i t i a
mimiti	m i m i t i
mōkihi	m  i 7 i
ngaki	N a k i
ngarara	N a r a r a
paura	p a u r a
putake	p u t a k e
rereketanga	r e r e k e t a Ng~ a
rita	r i t a
rokiroki	r o k i r o k i
rīpoata	r o o a t a
tahaki	t a h a k i
teka	t e k a
that	th~ a t
tukino	t u k i n o
tupato	t u p a t o
tëtahi	t 3 a h i
tūhuratanga	t u u r a t a n g a
whainga	wh~ E a i Ng~ a
whakahoahoa	wh~ E k a h o a h o a
whakamutu	wh~ E k a m u t u
whakaongaonga	wh~ E k a o N a o n g a
whakawehe	wh~ E k a w e h e
whangai	wh~ E a N a i
Āpiha	p i h a
Āwhina	wh~ E i n a
Kahurangi	a h u r a N i
Matū	a t u
Park	a r
Poutama	o u t a m a
Pērā	a N r
Pū	u
Tauiwi	a u i w i
Tokomaru	o k o m a r u
Whanau	h a n a u
ahatia	a h a t u i a
anuhe	a n u e
etehi	e t e h i
hi	h i
hokowhitu	h o k o w h i t u
manga	m a n g a
papaki	p a p a k i
poua	p o u a
rare	r a r e
rourou	r o u r o u
rāwaho	r a w a h o
tatauria	t a t a u r i a
tautokohia	t a u t o k o h i a
tawahi	t a w a h i
tereina	t e r a i n a
tia	t i a
tonutanga	t o n u t a Ng~ a
tuatahitia	t u a t a h i t i a
waituhi	w a i t u h i
waro	w a
whaitua	wh~ E a i t u a
whakatauki	wh~ E k a t a u k i
whakautua	wh~ E k a u t u a
whakawātea	wh~ E k a w a t e a
whānautanga	wh~ E nj~ 3 a u t a Ng~ a
whētui	w  t u i
Ōtaki	t a k i
Heoti	e o t i
Huia	k i a
Iti	t i
Karaitiana	a r a i t i a n a
Kitea	i t e a
Kāpiti	a
Mea	e a
Rangahautia	a N a h a u t i a
Urewera	r e w e r a
aronui	a r o n u i
keehi	k e e h i
motopaika	m u t u p a i k a
ngâ	N a
nona	n o n a
nēhi	n a N
ohotata	h o t a t a
okioki	o k i o k i
pona	p o n a
pooti	p o t i
rino	r i n o
ruia	r u i a
takahanga	t a k a h a Ng~ a
torotika	t o r o t i k a
tāngia	m a N i
tārai	m a r a i
uauatanga	u a u a t a n g a
whakamarumaru	wh~ E k a m a r u m a r u
whakamaua	wh~ E k a m a u a
whakaminenga	wh~ E k a m i n i Ng~ a
whakamoemiti	wh~ E k a m o r e p e
whakarawe	wh~ E k a r a w e
whakarerea	wh~ E k a r e r e a
whakarērea	wh~ E k a r a N r e a
whakawā	wh~ E k a a
Ōtākou	m a k o u
Hāmoa	a m o a
Hōne	r 3 n e
Hūrae	u r a e
Irirangi	r a N i
Katorika	a t u r i k a
Kawerau	a w e r a u
Korimako	u r i m a k o
Kāreti	a r e t i
Rāwhitiroa	a wh~ E i t i r o a
Rāwiri	a w i r i
Tangohia	a N o h i a
Tumu	u m u
Whiro	h i r o
Whātua	h a t u a
